rank,team,group,readiness_score,p_champion,p_runner_up,p_semi_final,p_quarter_final,p_round_of_16,p_round_of_32,p_group_exit
1,France,I,71.18,8.7,4.9,7.4,13.0,21.3,24.7,20.0
2,Spain,H,69.21,8.1,5.6,8.1,12.6,16.6,26.4,22.7
3,Argentina,J,69.81,7.3,4.8,7.4,12.3,21.3,25.6,21.4
4,Germany,E,65.69,7.1,5.5,8.2,14.6,19.4,24.2,21.1
5,Brazil,C,65.32,6.6,5.4,9.0,12.0,18.6,26.5,21.8
6,Portugal,K,60.76,4.4,3.3,5.9,12.4,20.5,28.4,25.0
7,England,L,60.88,4.1,3.6,6.2,11.8,19.3,29.4,25.5
8,Croatia,L,58.93,3.8,3.3,5.9,12.8,18.9,29.2,26.1
9,United States,D,57.54,3.6,3.7,7.2,10.7,21.7,28.0,25.0
10,Mexico,A,54.36,3.2,2.9,6.9,12.7,18.9,28.9,26.6
11,Uruguay,H,56.11,3.2,3.1,6.0,10.0,15.9,32.5,29.3
12,Canada,B,54.67,3.1,3.4,7.2,13.1,19.7,28.5,25.1
13,Morocco,C,53.43,3.0,3.2,6.2,9.6,17.7,32.9,27.4
14,Netherlands,F,55.43,3.0,3.4,5.5,11.1,21.1,29.8,26.0
15,Colombia,K,53.65,2.5,2.3,4.1,10.0,19.4,31.5,30.1
16,Belgium,G,50.87,2.1,2.5,5.0,9.6,22.1,30.9,27.9
17,Japan,F,50.26,1.9,2.5,4.6,9.7,19.9,32.9,28.6
18,Austria,J,52.18,1.8,2.2,4.3,8.5,18.0,33.9,31.2
19,Switzerland,B,48.8,1.8,2.2,5.4,10.2,19.0,33.5,27.9
20,Senegal,I,53.34,1.8,2.3,4.9,8.6,17.6,34.7,30.1
21,Iran,G,46.39,1.5,1.8,4.1,8.8,20.0,32.4,31.4
22,Turkey,D,48.32,1.5,2.2,4.9,8.2,17.3,33.9,32.0
23,Ecuador,E,42.92,1.3,1.6,3.5,8.2,15.6,36.3,33.6
24,Côte d'Ivoire,E,46.13,1.3,2.1,3.8,9.1,15.8,36.4,31.6
25,Czech Republic,A,44.9,1.3,1.7,4.2,8.8,16.7,33.9,33.4
26,Egypt,G,46.66,1.2,2.0,4.2,8.2,20.3,33.7,30.4
27,Algeria,J,46.1,1.1,1.5,3.1,6.7,17.1,35.5,35.1
28,DR Congo,K,46.24,1.1,1.6,3.6,7.9,17.5,35.5,32.8
29,South Africa,A,41.76,0.9,1.3,3.6,8.1,16.0,35.0,35.0
30,Sweden,F,38.18,0.7,1.0,2.6,6.4,16.4,36.4,36.6
31,Paraguay,D,40.72,0.7,1.4,3.2,6.3,16.6,35.6,36.3
32,Cape Verde,H,40.96,0.7,1.2,2.7,6.2,12.8,35.8,40.5
33,Norway,I,41.92,0.7,1.1,2.6,6.4,15.4,36.0,37.8
34,Saudi Arabia,H,39.37,0.6,1.0,2.6,6.3,13.1,35.7,40.8
35,Scotland,C,38.16,0.5,0.7,3.0,6.0,14.3,37.3,38.1
36,Australia,D,36.94,0.5,0.9,2.4,5.5,14.7,36.7,39.4
37,South Korea,A,40.23,0.5,1.2,3.2,8.5,15.5,35.5,35.5
38,Ghana,L,36.8,0.4,0.8,2.1,6.0,12.9,36.8,41.1
39,Qatar,B,34.2,0.4,0.9,2.1,6.0,15.4,37.4,37.8
40,Panama,L,35.87,0.3,0.6,2.0,5.7,13.3,36.6,41.5
41,Tunisia,F,32.0,0.3,0.8,1.8,5.1,13.7,36.6,41.8
42,Jordan,J,30.68,0.2,0.4,1.3,3.7,11.5,36.5,46.4
43,Iraq,I,30.66,0.2,0.5,1.6,4.0,11.5,36.5,45.8
44,Uzbekistan,K,29.63,0.2,0.3,1.5,3.6,11.4,36.7,46.4
45,Bosnia and Herzegovina,B,28.47,0.2,0.4,1.5,4.6,13.7,37.5,42.0
46,Haiti,C,25.32,0.2,0.3,1.3,3.1,11.0,37.0,47.0
47,Curaçao,E,24.79,0.1,0.3,0.9,3.7,10.6,37.0,47.3
48,New Zealand,G,27.05,0.1,0.4,1.2,3.8,13.0,37.7,43.8
