rank,country,final_score,composite_score,confederation_bonus,player_quality_score,player_confidence,n_players_scored,tactical_archetype,gmm_confidence,fifa_score,club_cohesion_score,coach_tenure_score,tournament_exp_score,squad_age_score,archetype_available
1,France,71.18,71.18,1.0,63.25,1.0,14,95.0,1.0,100.0,20.83,63.9,95.3,100.0,True
2,Argentina,69.81,67.77,1.03,60.67,1.0,11,95.0,1.0,80.5,12.5,87.0,97.3,100.0,True
3,Spain,69.21,69.21,1.0,66.72,1.0,13,82.0,0.0,87.7,25.0,80.75,95.3,100.0,True
4,Germany,65.69,65.69,1.0,60.58,1.0,11,95.0,1.0,59.1,30.43,72.5,99.1,100.0,True
5,Brazil,65.32,63.41,1.03,57.12,1.0,12,95.0,1.0,68.1,16.67,50.0,100.8,100.0,True
6,England,60.88,60.88,1.0,54.32,0.909,10,82.0,0.0,75.4,17.39,53.0,95.3,100.0,True
7,Portugal,60.76,60.76,1.0,52.37,0.727,8,82.0,0.0,71.4,20.0,80.5,85.9,100.0,True
8,Croatia,58.93,58.93,1.0,49.19,0.636,7,95.0,1.0,57.4,13.33,82.5,82.0,90.9,True
9,United States,57.54,54.8,1.05,41.24,0.364,4,95.0,1.0,50.7,14.29,57.5,89.1,100.0,True
10,Uruguay,56.11,55.01,1.02,40.46,0.455,5,95.0,1.0,49.6,8.33,78.5,93.1,100.0,True
11,Netherlands,55.43,55.43,1.0,50.4,0.909,10,63.0,1.0,65.4,19.05,80.5,89.1,100.0,True
12,Canada,54.67,52.07,1.05,37.77,0.545,6,95.0,1.0,39.5,25.0,62.0,66.5,100.0,True
13,Mexico,54.36,51.78,1.05,38.97,0.273,3,82.0,0.0,51.9,11.11,60.5,96.3,100.0,True
14,Colombia,53.65,52.59,1.02,39.16,0.545,6,82.0,0.0,54.4,12.5,81.75,79.8,100.0,True
15,Morocco,53.43,53.43,1.0,47.62,0.273,3,70.0,1.0,63.0,18.18,50.0,79.8,100.0,True
16,Senegal,53.34,53.34,1.0,40.03,0.182,2,95.0,1.0,53.1,12.5,54.5,70.8,97.0,True
17,Austria,52.18,52.18,1.0,40.11,0.182,2,80.0,1.0,43.5,25.0,82.25,82.0,98.0,True
18,Belgium,50.87,50.87,1.0,42.88,0.364,4,63.0,1.0,60.9,18.18,53.0,93.1,100.0,True
19,Japan,50.26,50.26,1.0,41.57,0.182,2,70.0,1.0,48.6,10.0,86.5,82.0,100.0,True
20,Switzerland,48.8,48.8,1.0,38.18,0.364,4,63.0,1.0,47.7,22.22,84.0,90.5,94.7,True
21,Turkey,48.32,48.32,1.0,42.46,0.273,3,70.0,1.0,45.0,11.11,72.5,66.5,92.9,True
22,Egypt,46.66,46.66,1.0,31.95,0.273,3,80.0,1.0,40.1,20.0,66.5,70.8,92.0,True
23,Iran,46.39,46.39,1.0,36.79,0.182,2,63.0,0.0,45.9,20.0,80.0,79.8,80.8,True
24,DR Congo,46.24,46.24,1.0,35.22,0.182,2,80.0,1.0,31.9,10.0,81.5,61.0,100.0,True
25,Côte d'Ivoire,46.13,46.13,1.0,31.99,0.455,5,82.0,0.0,37.3,10.0,68.0,70.8,100.0,True
26,Algeria,46.1,46.1,1.0,30.6,0.0,0,82.0,0.0,40.8,9.09,65.0,74.3,100.0,True
27,Czech Republic,44.9,44.9,1.0,34.31,0.273,3,70.0,0.0,34.0,20.0,50.0,85.9,100.0,True
28,Ecuador,42.92,42.49,1.01,36.26,0.455,5,48.0,0.9564,44.3,20.0,59.0,74.3,100.0,True
29,Norway,41.92,41.92,1.0,37.3,0.182,2,,,38.9,18.18,85.75,70.8,100.0,False
30,South Africa,41.76,41.76,1.0,29.44,0.182,2,48.0,0.0,27.2,50.0,84.75,70.8,100.0,True
