market_id,question,slug,event_slug,category,volume,active,closed,created_at,end_date,year,found_teams,found_teams_slug,all_found_teams,num_teams_found,found_players_question,found_players_slug,all_found_players,num_players_found,market_context,tournament_v2,tournament_final,market_type,matches_played,goals_for,goals_against,goal_diff,xg_for,xg_against,xg_diff,xg_per_match,team_name,tournament,final_odds
502319,Argentina wins Copa America 2024?,argentina-wins-copa-america-2024,copa-america-winner,,235586.26,True,True,2024-06-11 18:42:18,2024-07-14 12:00:00,2024.0,['Argentina'],['Argentina'],['Argentina'],1,[],[],[],0,international,Copa America 2024,Copa America 2024,tournament_future,6,9,1,8,16.04,7.46,8.58,2.67,Argentina,Copa America 2024,0.655
502320,Bolivia wins Copa America 2024?,bolivia-wins-copa-america-2024,copa-america-winner,,16875.02,True,True,2024-06-11 18:47:24,2024-07-14 12:00:00,2024.0,['Bolivia'],['Bolivia'],['Bolivia'],1,[],[],[],0,international,Copa America 2024,Copa America 2024,tournament_future,3,1,10,-9,0.99,6.07,-5.08,0.33,Bolivia,Copa America 2024,0.0005
502321,Brazil wins Copa America 2024?,brazil-wins-copa-america-2024,copa-america-winner,,33335.18,True,True,2024-06-11 18:47:24,2024-07-14 12:00:00,2024.0,['Brazil'],['Brazil'],['Brazil'],1,[],[],[],0,international,Copa America 2024,Copa America 2024,tournament_future,4,5,2,3,9.48,6.78,2.71,2.37,Brazil,Copa America 2024,0.185
502322,Chile wins Copa America 2024?,chile-wins-copa-america-2024,copa-america-winner,,19044.5,True,True,2024-06-11 18:47:25,2024-07-14 12:00:00,2024.0,['Chile'],['Chile'],['Chile'],1,[],[],[],0,international,Copa America 2024,Copa America 2024,tournament_future,3,0,1,-1,1.61,4.16,-2.55,0.54,Chile,Copa America 2024,0.006
502323,Canada wins Copa America 2024?,canada-wins-copa-america-2024,copa-america-winner,,175914.14,True,True,2024-06-11 18:48:46,2024-07-14 12:00:00,2024.0,['Canada'],['Canada'],['Canada'],1,[],[],[],0,international,Copa America 2024,Copa America 2024,tournament_future,6,4,7,-3,15.52,16.6,-1.08,2.59,Canada,Copa America 2024,0.041
502324,Colombia wins Copa America 2024?,colombia-wins-copa-america-2024,copa-america-winner,,237863.88,True,True,2024-06-11 18:48:47,2024-07-14 12:00:00,2024.0,['Colombia'],['Colombia'],['Colombia'],1,[],[],[],0,international,Copa America 2024,Copa America 2024,tournament_future,6,12,3,9,9.37,3.75,5.62,1.56,Colombia,Copa America 2024,0.355
502325,Costa Rica wins Copa America 2024?,costa-rica-wins-copa-america-2024,copa-america-winner,,23660.4,True,True,2024-06-11 18:50:09,2024-07-14 12:00:00,2024.0,['Costa Rica'],[],['Costa Rica'],1,[],[],[],0,international,Copa America 2024,Copa America 2024,tournament_future,3,2,4,-2,0.47,5.96,-5.49,0.16,Costa Rica,Copa America 2024,0.0005
502326,Ecuador wins Copa America 2024?,ecuador-wins-copa-america-2024,copa-america-winner,,15027.51,True,True,2024-06-11 18:51:13,2024-07-14 12:00:00,2024.0,['Ecuador'],['Ecuador'],['Ecuador'],1,[],[],[],0,international,Copa America 2024,Copa America 2024,tournament_future,4,5,4,1,7.9,8.23,-0.34,1.97,Ecuador,Copa America 2024,0.0245
502328,United States wins Copa America 2024?,united-states-wins-copa-america-2024,copa-america-winner,,21112.95,True,True,2024-06-11 18:53:56,2024-07-14 12:00:00,2024.0,['United States'],[],['United States'],1,[],[],[],0,international,Copa America 2024,Copa America 2024,tournament_future,3,3,3,0,3.79,2.15,1.64,1.26,United States,Copa America 2024,0.022
502329,Jamaica wins Copa America 2024?,jamaica-wins-copa-america-2024,copa-america-winner,,6478.34,True,True,2024-06-11 18:55:59,2024-07-14 12:00:00,2024.0,['Jamaica'],['Jamaica'],['Jamaica'],1,[],[],[],0,international,Copa America 2024,Copa America 2024,tournament_future,3,1,7,-6,2.11,5.18,-3.07,0.7,Jamaica,Copa America 2024,0.0015
