market_id,question,slug,event_slug,category,volume,active,closed,created_at,end_date,year,found_teams,found_teams_slug,all_found_teams,num_teams_found,found_players_question,found_players_slug,all_found_players,num_players_found,market_context,tournament_v2,tournament_final,market_type,player_mentioned,player_statsbomb,market_subtype,match_score,minutes_played,total_xg,xg_per_90,shots,goals,player_name,final_odds,implied_prob
503273,Will Fabian Ruiz be Player of the Tournament for Euro 2024?,will-fabian-ruiz-be-player-of-the-tournament-for-euro-2024,euro-2024-player-of-the-tournament,,2571.05,True,True,2024-07-08 16:01:22,2024-07-14 12:00:00,2024.0,[],[],[],0,[],[],[],0,international,UEFA Euro 2024,UEFA Euro 2024,player_prop,Fabian Ruiz,Fabian Lukas Schär,player_of_tournament,86.0,449,1.0,0.2,6,1,Fabian Lukas Schär,0.005,0.005
503274,Will Dani Olmo be Player of the Tournament for Euro 2024?,will-dani-olmo-be-player-of-the-tournament-for-euro-2024,euro-2024-player-of-the-tournament,,6320.33,True,True,2024-07-08 16:22:48,2024-07-14 12:00:00,2024.0,[],[],[],0,[],[],[],0,international,UEFA Euro 2024,UEFA Euro 2024,player_prop,Dani Olmo,Daniel Olmo Carvajal,player_of_tournament,86.0,492,1.38,0.25,17,3,Daniel Olmo Carvajal,0.005,0.005
503275,Will Bukayo Saka be Player of the Tournament for Euro 2024?,will-bukayo-saka-be-player-of-the-tournament-for-euro-2024,euro-2024-player-of-the-tournament,,2798.56,True,True,2024-07-08 16:23:31,2024-07-14 12:00:00,2024.0,[],[],[],0,['Bukayo Saka'],[],['Bukayo Saka'],1,international,UEFA Euro 2024,UEFA Euro 2024,player_prop,Bukayo Saka,Bukayo Saka,player_of_tournament,100.0,575,1.3,0.2,9,2,Bukayo Saka,0.445,0.445
503276,Will Xavi Simons be Player of the Tournament for Euro 2024?,will-xavi-simons-be-player-of-the-tournament-for-euro-2024,euro-2024-player-of-the-tournament,,12788.49,True,True,2024-07-08 16:26:03,2024-07-14 12:00:00,2024.0,[],[],[],0,"['Xavi Simons', 'Xavi Simons']",[],['Xavi Simons'],1,international,UEFA Euro 2024,UEFA Euro 2024,player_prop,Xavi Simons,Xavi Simons,player_of_tournament,100.0,457,0.55,0.11,11,1,Xavi Simons,0.0095,0.0095
502554,Will Kai Havertz be Euro 2024 top scorer?,will-kai-havertz-be-euro-2024-top-scorer,euro-2024-top-scorer,,23338.25,True,True,2024-06-17 20:37:29,2024-07-14 12:00:00,2024.0,[],[],[],0,['Kai Havertz'],[],['Kai Havertz'],1,international,UEFA Euro 2024,UEFA Euro 2024,player_prop,Kai Havertz,Kai Havertz,top_scorer,100.0,389,3.78,0.87,19,2,Kai Havertz,0.0785,0.0785
502555,Will Harry Kane be Euro 2024 top scorer?,will-harry-kane-be-euro-2024-top-scorer,euro-2024-top-scorer,,27115.58,True,True,2024-06-17 20:39:28,2024-07-14 12:00:00,2024.0,[],[],[],0,"['Harry Kane', 'Harry Kane']",[],['Harry Kane'],1,international,UEFA Euro 2024,UEFA Euro 2024,player_prop,Harry Kane,Harry Kane,top_scorer,100.0,638,3.05,0.43,18,3,Harry Kane,0.005,0.005
502557,Will Florian Wirtz be Euro 2024 top scorer?,will-florian-wirtz-be-euro-2024-top-scorer,euro-2024-top-scorer,,7343.67,True,True,2024-06-17 20:50:00,2024-07-14 12:00:00,2024.0,[],[],[],0,"['Florian Wirtz', 'Florian Wirtz']",[],['Florian Wirtz'],1,international,UEFA Euro 2024,UEFA Euro 2024,player_prop,Florian Wirtz,Florian Wirtz,top_scorer,100.0,249,0.58,0.21,8,2,Florian Wirtz,0.006,0.006
502558,Will Cristiano Ronaldo be Euro 2024 top scorer?,will-cristiano-ronaldo-be-euro-2024-top-scorer,euro-2024-top-scorer,,21723.15,True,True,2024-06-17 20:51:07,2024-07-14 12:00:00,2024.0,[],[],[],0,[],[],[],0,international,UEFA Euro 2024,UEFA Euro 2024,player_prop,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,top_scorer,90.0,425,4.54,0.96,25,2,Cristiano Ronaldo dos Santos Aveiro,0.0005,0.0005
502559,Will Romelu Lukaku be Euro 2024 top scorer?,will-romelu-lukaku-be-euro-2024-top-scorer,euro-2024-top-scorer,,8257.9,True,True,2024-06-17 20:54:43,2024-07-14 12:00:00,2024.0,[],[],[],0,[],[],[],0,international,UEFA Euro 2024,UEFA Euro 2024,player_prop,Romelu Lukaku,Romelu Lukaku Menama,top_scorer,90.0,359,1.75,0.44,11,0,Romelu Lukaku Menama,0.015,0.015
502561,Will Jude Bellingham be Euro 2024 top scorer?,will-jude-bellingham-be-euro-2024-top-scorer,euro-2024-top-scorer,,69055.9,True,True,2024-06-17 20:58:32,2024-07-14 12:00:00,2024.0,[],[],[],0,['Jude Bellingham'],[],['Jude Bellingham'],1,international,UEFA Euro 2024,UEFA Euro 2024,player_prop,Jude Bellingham,Jude Bellingham,top_scorer,100.0,664,1.45,0.2,7,3,Jude Bellingham,0.0005,0.0005
