player,team,total_passes,total_opponents_packed,avg_packing_per_pass,progressive_passes,avg_packing_progressive
Dominik Szoboszlai,Hungary,58,143.0,2.47,26.0,4.62
Milos Kerkez,Hungary,9,22.0,2.44,6.0,3.17
Norbert Gyömbér,Slovakia,7,17.0,2.43,6.0,2.67
Chul Hong,South Korea,5,12.0,2.4,3.0,4.0
Harry Wilson,Wales,16,36.0,2.25,8.0,4.13
Veljko Birmančević,Serbia,5,11.0,2.2,3.0,3.67
Jon Gorenc Stankovič,Slovenia,8,17.0,2.13,5.0,3.0
Tomáš Suslov,Slovakia,19,40.0,2.11,11.0,2.82
João Mário Naval da Costa Eduardo,Portugal,9,19.0,2.11,1.0,1.0
Valentin Mihai Mihăilă,Romania,11,22.0,2.0,6.0,3.17
Pierre Kunde Malong,Cameroon,16,32.0,2.0,11.0,2.82
Qazim Laçi,Albania,11,21.0,1.91,5.0,3.4
Pape Abou Cissé,Senegal,11,21.0,1.91,9.0,2.22
Yunus Akgün,Turkey,5,9.0,1.8,3.0,2.33
Sami Khalil Al Naji,Saudi Arabia,5,9.0,1.8,4.0,2.0
Ritsu Doan,Japan,17,30.0,1.76,9.0,2.67
Chris Führich,Germany,7,12.0,1.71,3.0,2.0
Scott McTominay,Scotland,21,36.0,1.71,9.0,3.0
Takumi Minamino,Japan,7,12.0,1.71,2.0,4.0
Trent Alexander-Arnold,England,45,76.0,1.69,23.0,2.61
Mason Mount,England,19,32.0,1.68,13.0,1.92
Jonas Hofmann,Germany,6,10.0,1.67,1.0,6.0
Bryan Mbeumo,Cameroon,27,45.0,1.67,8.0,2.63
Dries Mertens,Belgium,11,18.0,1.64,4.0,2.5
Ádám Lang,Hungary,8,13.0,1.63,5.0,2.2
Jun-Ho Son,South Korea,18,29.0,1.61,9.0,2.67
Mohamed Zeki Amdouni,Switzerland,5,8.0,1.6,2.0,1.0
David Jurásek,Czech Republic,20,32.0,1.6,11.0,2.55
Michael Steveen Estrada Martínez,Ecuador,7,11.0,1.57,3.0,2.0
Dušan Vlahović,Serbia,9,14.0,1.56,3.0,2.33
Giacomo Raspadori,Italy,18,28.0,1.56,11.0,2.27
Leandro Trossard,Belgium,42,65.0,1.55,15.0,2.33
Nemanja Radonjić,Serbia,11,17.0,1.55,4.0,2.75
