player,team,match_id,possessions_with_buildup,xg_buildup,avg_xg_per_possession,total_touches_in_buildup,minutes_played,xg_buildup_per90
Pedro Lomba Neto,Portugal,3930166,1,0.59,0.59,4.0,5.0,10.62
Joshua Zirkzee,Netherlands,3942382,1,0.072,0.072,2.0,1.0,6.47
Dániel Gazdag,Hungary,3930168,1,0.284,0.284,1.0,4.0,6.391
Brenden Aaronson,United States,3939974,1,1.089,0.544,10.0,16.0,6.125
Paulo Bruno Exequiel Dybala,Argentina,3869685,1,0.107,0.107,2.0,2.0,4.795
Ernest Muçi,Albania,3930161,1,0.104,0.104,6.0,2.0,4.682
Juan Fernando Quintero Paniagua,Colombia,3939975,1,0.102,0.102,4.0,2.0,4.575
Luca de la Torre,United States,3939974,2,1.133,0.378,10.0,27.0,3.778
Vincent Sierro,Switzerland,3942227,1,0.157,0.079,8.0,4.0,3.542
Abdiel Armando Ayarza Cocanegra,Panama,3939973,1,0.076,0.076,1.0,2.0,3.422
Luis Fernando Sinisterra Lucumí,Colombia,3942852,1,0.33,0.33,2.0,9.0,3.295
Sandro Altunashvili,Georgia,3938639,1,0.396,0.198,4.0,14.0,2.547
Nicolás Hernán Otamendi,Argentina,3939969,1,0.415,0.415,3.0,15.0,2.49
Philip Foden,England,3857271,1,0.626,0.626,1.0,25.0,2.255
Marcus Rashford,England,3857271,1,0.626,0.626,2.0,27.0,2.088
Jeremy Doku,Belgium,3857296,2,1.106,0.369,14.0,48.0,2.074
Lucas René Olaza Catrofe,Uruguay,3943076,1,0.527,0.527,2.0,25.0,1.897
Kacper Urbanski,Poland,3938641,1,0.12,0.12,4.0,6.0,1.805
Bruno Petković,Croatia,3857281,1,0.687,0.687,2.0,35.0,1.767
Youri Tielemans,Belgium,3857296,2,1.106,0.369,9.0,57.0,1.747
Ritsu Doan,Japan,3857255,1,0.873,0.873,2.0,45.0,1.745
João Neves,Portugal,3930174,2,0.192,0.096,7.0,10.0,1.731
Zsolt Nagy,Hungary,3930168,1,0.284,0.284,2.0,15.0,1.704
Matheus Luiz Nunes,Portugal,3938644,2,0.937,0.312,10.0,51.0,1.654
Kalvin Phillips,England,3869118,1,0.146,0.146,4.0,8.0,1.642
Lucas Martínez Quarta,Argentina,3939986,1,0.179,0.179,1.0,10.0,1.613
Matthias Ginter,Germany,3857292,2,0.266,0.089,10.0,15.0,1.598
Giovani Lo Celso,Argentina,3939969,1,0.415,0.415,10.0,25.0,1.494
Eric Dier,England,3857271,2,0.704,0.352,10.0,46.0,1.377
Teun Koopmeiners,Netherlands,3857285,1,0.286,0.286,2.0,19.0,1.355
Andreas Evald Cornelius,Denmark,3857254,1,0.84,0.42,2.0,56.0,1.349
Muhammed Kerem Aktürkoğlu,Turkey,3938639,1,0.159,0.159,2.0,11.0,1.3
Luis Alberto Suárez Díaz,Uruguay,3939990,1,0.171,0.086,2.0,12.0,1.285
Zsolt Nagy,Hungary,3930177,1,0.185,0.185,1.0,13.0,1.279
Lautaro Javier Martínez,Argentina,3857264,1,0.224,0.224,7.0,16.0,1.261
Endrick Felipe Moreira de Sousa,Brazil,3939991,1,0.041,0.041,2.0,3.0,1.231
Leandro Daniel Paredes,Argentina,3869685,1,0.592,0.296,4.0,44.0,1.212
Enzo Fernandez,Argentina,3939986,1,0.361,0.361,1.0,27.0,1.205
Gonzalo Ariel Montiel,Argentina,3869151,2,0.424,0.212,6.0,32.0,1.191
Germán Alejandro Pezzella,Argentina,3857264,1,0.224,0.224,13.0,17.0,1.187
Jan Bednarek,Poland,3869152,1,0.104,0.104,2.0,8.0,1.175
Diogo José Teixeira da Silva,Portugal,3938644,2,0.408,0.204,6.0,32.0,1.148
Davy Klaassen,Netherlands,3857285,1,0.451,0.225,4.0,38.0,1.068
Anthony Gordon,England,3930181,1,0.047,0.047,2.0,4.0,1.065
Abolfazl Jalali,Iran,3857278,1,0.305,0.305,4.0,26.0,1.057
Denis Lemi Zakaria Lako Lado,Switzerland,3857256,1,0.317,0.317,4.0,27.0,1.056
Kevin Duvan Castaño Gil,Colombia,3942852,1,0.411,0.411,3.0,36.0,1.028
Micky van de Ven,Netherlands,3941021,2,0.427,0.213,3.0,38.0,1.011
Eric Dier,England,3869118,1,0.146,0.146,5.0,13.0,1.01
Lawrence Shankland,Scotland,3930169,1,0.033,0.033,1.0,3.0,0.979
Eduardo Antonio Guerrero Lozcano,Panama,3939973,1,0.076,0.076,1.0,7.0,0.978
Rúben Diogo Da Silva Neves,Portugal,3930174,2,1.049,0.525,4.0,98.0,0.964
Mario Pašalić,Croatia,3869684,1,0.236,0.236,2.0,22.0,0.964
Lautaro Javier Martínez,Argentina,3869685,2,0.846,0.211,10.0,80.0,0.951
Nélson Cabral Semedo,Portugal,3938644,2,0.917,0.306,6.0,87.0,0.949
Ángel Fabián Di María Hernández,Argentina,3869321,5,0.42,0.084,9.0,40.0,0.945
Ibrahima Konaté,France,3857266,2,0.417,0.209,11.0,40.0,0.939
Kingsley Coman,France,3857266,2,0.417,0.209,9.0,40.0,0.939
Tanitoluwa Oluwaseyi,Canada,3939985,1,0.196,0.196,4.0,19.0,0.927
Emre Can,Germany,3940983,1,0.256,0.256,8.0,25.0,0.923
Jamie MacLaren,Australia,3869151,1,0.234,0.234,1.0,23.0,0.915
Muhammed Kerem Aktürkoğlu,Turkey,3942382,1,0.322,0.161,6.0,32.0,0.907
Jules Koundé,France,3857279,2,0.121,0.06,6.0,12.0,0.907
Deiver Andrés Machado Mena,Colombia,3939991,1,0.463,0.463,1.0,46.0,0.905
José Luis Sanmartín Mato,Spain,3942226,1,0.201,0.201,2.0,20.0,0.903
Luka Lochoshvili,Georgia,3938639,1,0.396,0.198,4.0,40.0,0.891
Mohamed Zeki Amdouni,Switzerland,3942227,1,0.157,0.079,2.0,16.0,0.885
Ezri Konsa Ngoyo,England,3941017,1,0.123,0.123,1.0,13.0,0.854
Lukáš Haraslín,Slovakia,3941017,1,0.528,0.528,5.0,56.0,0.849
Arbër Hoxha,Albania,3930167,3,0.31,0.103,9.0,33.0,0.845
Waldemar Anton,Germany,3940983,2,0.13,0.065,2.0,14.0,0.835
Shūichi Gonda,Japan,3857255,1,0.873,0.873,1.0,94.0,0.835
