match_id,player,team,possessions_with_shot,xg_chain,shots_in_chain,goals_in_chain,avg_xg_per_possession,total_touches_in_chains,minutes_played,xg_chain_per90,team_involvement_pct
3869220,Badr Banoun,Morocco,1,0.784,1.0,0.0,0.784,1.0,3.0,23.52,21.16
3869685,Paulo Bruno Exequiel Dybala,Argentina,2,0.89,2.0,1.0,0.445,3.0,4.0,20.025,15.43
3930166,Francisco Fernandes Conceição,Portugal,1,0.59,1.0,1.0,0.59,1.0,3.0,17.7,32.87
3930166,Pedro Lomba Neto,Portugal,1,0.59,1.0,1.0,0.59,4.0,5.0,10.62,32.87
3869220,Pablo Sarabia García,Spain,3,0.959,4.0,0.0,0.32,8.0,9.0,9.59,34.18
3942382,Joshua Zirkzee,Netherlands,1,0.072,1.0,0.0,0.072,2.0,1.0,6.48,11.25
3930168,Dániel Gazdag,Hungary,1,0.284,1.0,0.0,0.284,1.0,4.0,6.39,23.66
3939974,Brenden Aaronson,United States,1,0.546,2.0,0.0,0.546,5.0,8.0,6.143,29.32
3938639,Budu Zivzivadze,Georgia,1,0.339,2.0,0.0,0.339,1.0,5.0,6.102,22.28
3942227,Trent Alexander-Arnold,England,1,0.784,1.0,1.0,0.784,1.0,12.0,5.88,17.96
3942227,Vincent Sierro,Switzerland,1,0.118,2.0,0.0,0.118,4.0,2.0,5.31,2.75
3857260,Hattan Babhir,Saudi Arabia,1,0.516,1.0,1.0,0.516,1.0,9.0,5.16,47.95
3869552,Randal Kolo Muani,France,1,0.852,2.0,1.0,0.852,1.0,15.0,5.112,51.26
3942227,Mohamed Zeki Amdouni,Switzerland,2,0.901,3.0,1.0,0.451,3.0,16.0,5.068,20.97
3939982,Rodrigo Bentancur Colmán,Uruguay,1,0.225,1.0,1.0,0.225,1.0,4.0,5.063,9.72
3942227,Ivan Toney,England,1,0.784,1.0,1.0,0.784,1.0,14.0,5.04,17.96
3857281,Mislav Oršić,Croatia,2,0.733,2.0,1.0,0.366,5.0,14.0,4.712,28.43
3942416,Miguel Ángel Borja Hernández,Colombia,1,0.784,1.0,1.0,0.784,1.0,15.0,4.704,35.96
3930161,Ernest Muçi,Albania,1,0.104,1.0,0.0,0.104,6.0,2.0,4.68,29.33
3939975,Kevin Duvan Castaño Gil,Colombia,1,0.102,1.0,0.0,0.102,1.0,2.0,4.59,16.4
