match_id,team,buildup_possessions,total_xg_from_buildup,total_touches_in_buildup,avg_xg_per_buildup_possession,avg_touches_per_buildup_possession
3857254,Denmark,26,7.096,89.0,0.273,3.42
3857254,Tunisia,23,1.276,81.0,0.055,3.52
3857255,Japan,12,2.94,37.0,0.245,3.08
3857255,Spain,72,6.104,645.0,0.085,8.96
3857256,Serbia,34,5.258,122.0,0.155,3.59
3857256,Switzerland,43,11.209,117.0,0.261,2.72
3857257,Australia,16,0.801,31.0,0.05,1.94
3857257,Denmark,55,3.71,291.0,0.067,5.29
3857258,Brazil,76,9.355,381.0,0.123,5.01
3857258,Serbia,10,0.195,24.0,0.02,2.4
3857259,Cameroon,16,1.625,30.0,0.102,1.88
3857259,Serbia,53,5.317,144.0,0.1,2.72
3857260,Mexico,53,5.289,135.0,0.1,2.55
3857260,Saudi Arabia,32,3.132,67.0,0.098,2.09
3857261,England,43,4.826,128.0,0.112,2.98
3857261,Wales,15,0.354,34.0,0.024,2.27
3857262,Portugal,51,5.626,208.0,0.11,4.08
3857262,South Korea,25,1.381,50.0,0.055,2.0
3857263,Germany,22,3.918,59.0,0.178,2.68
3857263,Spain,32,4.15,117.0,0.13,3.66
3857264,Argentina,83,12.02,627.0,0.145,7.55
3857264,Poland,6,0.269,10.0,0.045,1.67
3857265,Mexico,37,1.56,142.0,0.042,3.84
3857265,Poland,12,3.169,27.0,0.264,2.25
3857266,Denmark,22,1.966,83.0,0.089,3.77
3857266,France,66,7.492,265.0,0.114,4.02
3857267,Ecuador,28,1.094,109.0,0.039,3.89
3857267,Senegal,28,2.824,97.0,0.101,3.46
3857268,Belgium,20,2.578,64.0,0.129,3.2
3857268,Canada,83,6.515,263.0,0.078,3.17
3857269,Brazil,47,2.5,190.0,0.053,4.04
3857269,Switzerland,14,1.3619999999999999,116.0,0.097,8.29
3857270,Portugal,46,1.342,136.0,0.029,2.96
3857270,Uruguay,30,5.398,68.0,0.18,2.27
3857271,England,54,10.139,202.0,0.188,3.74
3857271,Iran,13,1.183,44.0,0.091,3.38
3857272,England,22,1.611,61.0,0.073,2.77
3857272,United States,38,2.45,110.0,0.064,2.89
3857273,Iran,50,3.855,136.0,0.077,2.72
3857273,Wales,30,2.564,129.0,0.085,4.3
3857274,Ecuador,27,3.673,51.0,0.136,1.89
3857274,Netherlands,13,0.641,43.0,0.049,3.31
3857275,France,25,1.281,63.0,0.051,2.52
3857275,Tunisia,10,0.367,17.0,0.037,1.7
3857276,Canada,7,0.779,12.0,0.111,1.71
3857276,Morocco,19,1.162,39.0,0.061,2.05
3857277,Croatia,13,3.37,40.0,0.259,3.08
3857277,Morocco,26,1.21,75.0,0.047,2.88
3857278,Iran,16,4.59,39.0,0.287,2.44
3857278,United States,38,5.386,102.0,0.142,2.68
3857279,Australia,18,1.378,37.0,0.077,2.06
3857279,France,90,14.709,564.0,0.163,6.27
3857280,Brazil,61,8.266,181.0,0.136,2.97
3857280,Cameroon,21,1.316,42.0,0.063,2.0
3857281,Canada,34,1.48,89.0,0.044,2.62
3857281,Croatia,46,10.052,140.0,0.219,3.04
3857282,United States,26,2.133,93.0,0.082,3.58
3857282,Wales,11,0.482,36.0,0.044,3.27
3857283,Belgium,26,1.141,63.0,0.044,2.42
3857283,Morocco,34,1.351,89.0,0.04,2.62
3857284,Germany,100,10.075,509.0,0.101,5.09
3857284,Japan,39,6.648,120.0,0.17,3.08
3857285,Netherlands,33,5.338,83.0,0.162,2.52
3857285,Senegal,42,1.887,150.0,0.045,3.57
3857286,Ecuador,12,0.542,56.0,0.045,4.67
3857286,Qatar,25,1.281,49.0,0.051,1.96
3857287,South Korea,30,2.858,86.0,0.095,2.87
3857287,Uruguay,39,1.581,140.0,0.041,3.59
3857288,Australia,24,0.815,78.0,0.034,3.25
