match_id,team,total_defensive_actions,defensive_line_height,defensive_third_pct,middle_third_pct,attacking_third_pct,defensive_style,Defensive Third,Middle Third,Attacking Third
3857254,Denmark,53.0,1.528,58.49,30.19,11.32,Low Block,31.0,16.0,6.0
3857254,Tunisia,65.0,1.369,70.77,21.54,7.69,Low Block,46.0,14.0,5.0
3857255,Japan,62.0,1.21,80.65,17.74,1.61,Low Block,50.0,11.0,1.0
3857255,Spain,21.0,1.81,38.1,42.86,19.05,Balanced,8.0,9.0,4.0
3857256,Serbia,37.0,1.595,59.46,21.62,18.92,Low Block,22.0,8.0,7.0
3857256,Switzerland,62.0,1.419,66.13,25.81,8.06,Low Block,41.0,16.0,5.0
3857257,Australia,68.0,1.426,67.65,22.06,10.29,Low Block,46.0,15.0,7.0
3857257,Denmark,61.0,1.574,55.74,31.15,13.11,Low Block,34.0,19.0,8.0
3857258,Brazil,46.0,1.609,54.35,30.43,15.22,Low Block,25.0,14.0,7.0
3857258,Serbia,49.0,1.449,65.31,24.49,10.2,Low Block,32.0,12.0,5.0
3857259,Cameroon,58.0,1.328,70.69,25.86,3.45,Low Block,41.0,15.0,2.0
3857259,Serbia,66.0,1.5,57.58,34.85,7.58,Low Block,38.0,23.0,5.0
3857260,Mexico,55.0,1.564,56.36,30.91,12.73,Low Block,31.0,17.0,7.0
3857260,Saudi Arabia,73.0,1.233,80.82,15.07,4.11,Low Block,59.0,11.0,3.0
3857261,England,31.0,1.548,58.06,29.03,12.9,Low Block,18.0,9.0,4.0
3857261,Wales,40.0,1.45,67.5,20.0,12.5,Low Block,27.0,8.0,5.0
3857262,Portugal,40.0,1.375,75.0,12.5,12.5,Low Block,30.0,5.0,5.0
3857262,South Korea,52.0,1.346,71.15,23.08,5.77,Low Block,37.0,12.0,3.0
3857263,Germany,55.0,1.727,43.64,40.0,16.36,Balanced,24.0,22.0,9.0
3857263,Spain,43.0,1.488,60.47,30.23,9.3,Low Block,26.0,13.0,4.0
3857264,Argentina,26.0,1.731,46.15,34.62,19.23,Balanced,12.0,9.0,5.0
3857264,Poland,59.0,1.288,77.97,15.25,6.78,Low Block,46.0,9.0,4.0
3857265,Mexico,47.0,1.447,68.09,19.15,12.77,Low Block,32.0,9.0,6.0
3857265,Poland,63.0,1.238,80.95,14.29,4.76,Low Block,51.0,9.0,3.0
3857266,Denmark,42.0,1.286,78.57,14.29,7.14,Low Block,33.0,6.0,3.0
3857266,France,51.0,1.412,68.63,21.57,9.8,Low Block,35.0,11.0,5.0
3857267,Ecuador,57.0,1.474,64.91,22.81,12.28,Low Block,37.0,13.0,7.0
3857267,Senegal,60.0,1.3,73.33,23.33,3.33,Low Block,44.0,14.0,2.0
3857268,Belgium,70.0,1.286,78.57,14.29,7.14,Low Block,55.0,10.0,5.0
3857268,Canada,39.0,1.718,51.28,25.64,23.08,Low Block,20.0,10.0,9.0
3857269,Brazil,42.0,1.571,52.38,38.1,9.52,Low Block,22.0,16.0,4.0
3857269,Switzerland,49.0,1.163,89.8,4.08,6.12,Low Block,44.0,2.0,3.0
3857270,Portugal,60.0,1.583,56.67,28.33,15.0,Low Block,34.0,17.0,9.0
3857270,Uruguay,48.0,1.458,68.75,16.67,14.58,Low Block,33.0,8.0,7.0
3857271,England,26.0,1.692,50.0,30.77,19.23,Balanced,13.0,8.0,5.0
3857271,Iran,59.0,1.339,76.27,13.56,10.17,Low Block,45.0,8.0,6.0
3857272,England,48.0,1.396,64.58,31.25,4.17,Low Block,31.0,15.0,2.0
3857272,United States,43.0,1.349,69.77,25.58,4.65,Low Block,30.0,11.0,2.0
3857273,Iran,51.0,1.373,70.59,21.57,7.84,Low Block,36.0,11.0,4.0
3857273,Wales,71.0,1.338,76.06,14.08,9.86,Low Block,54.0,10.0,7.0
3857274,Ecuador,53.0,1.528,60.38,26.42,13.21,Low Block,32.0,14.0,7.0
3857274,Netherlands,54.0,1.444,66.67,22.22,11.11,Low Block,36.0,12.0,6.0
3857275,France,48.0,1.542,62.5,20.83,16.67,Low Block,30.0,10.0,8.0
3857275,Tunisia,69.0,1.333,72.46,21.74,5.8,Low Block,50.0,15.0,4.0
3857276,Canada,35.0,1.743,45.71,34.29,20.0,Balanced,16.0,12.0,7.0
3857276,Morocco,56.0,1.357,73.21,17.86,8.93,Low Block,41.0,10.0,5.0
3857277,Croatia,39.0,1.513,56.41,35.9,7.69,Low Block,22.0,14.0,3.0
3857277,Morocco,60.0,1.467,65.0,23.33,11.67,Low Block,39.0,14.0,7.0
3857278,Iran,44.0,1.273,77.27,18.18,4.55,Low Block,34.0,8.0,2.0
3857278,United States,51.0,1.392,66.67,27.45,5.88,Low Block,34.0,14.0,3.0
3857279,Australia,56.0,1.214,83.93,10.71,5.36,Low Block,47.0,6.0,3.0
3857279,France,35.0,1.543,51.43,42.86,5.71,Low Block,18.0,15.0,2.0
3857280,Brazil,27.0,1.444,62.96,29.63,7.41,Low Block,17.0,8.0,2.0
3857280,Cameroon,52.0,1.346,69.23,26.92,3.85,Low Block,36.0,14.0,2.0
3857281,Canada,58.0,1.362,70.69,22.41,6.9,Low Block,41.0,13.0,4.0
3857281,Croatia,51.0,1.373,72.55,17.65,9.8,Low Block,37.0,9.0,5.0
3857282,United States,58.0,1.517,58.62,31.03,10.34,Low Block,34.0,18.0,6.0
3857282,Wales,62.0,1.29,77.42,16.13,6.45,Low Block,48.0,10.0,4.0
3857283,Belgium,11.0,1.364,72.73,18.18,9.09,Low Block,8.0,2.0,1.0
3857283,Morocco,56.0,1.411,62.5,33.93,3.57,Low Block,35.0,19.0,2.0
3857284,Germany,34.0,1.676,52.94,26.47,20.59,Low Block,18.0,9.0,7.0
3857284,Japan,79.0,1.342,72.15,21.52,6.33,Low Block,57.0,17.0,5.0
3857285,Netherlands,42.0,1.429,66.67,23.81,9.52,Low Block,28.0,10.0,4.0
3857285,Senegal,56.0,1.25,82.14,10.71,7.14,Low Block,46.0,6.0,4.0
3857286,Ecuador,33.0,1.818,42.42,33.33,24.24,Balanced,14.0,11.0,8.0
3857286,Qatar,37.0,1.243,78.38,18.92,2.7,Low Block,29.0,7.0,1.0
3857287,South Korea,44.0,1.545,68.18,9.09,22.73,Low Block,30.0,4.0,10.0
3857287,Uruguay,68.0,1.353,72.06,20.59,7.35,Low Block,49.0,14.0,5.0
3857288,Australia,80.0,1.45,70.0,15.0,15.0,Low Block,56.0,12.0,12.0
3857288,Tunisia,70.0,1.371,68.57,25.71,5.71,Low Block,48.0,18.0,4.0
3857289,Argentina,42.0,1.357,71.43,21.43,7.14,Low Block,30.0,9.0,3.0
3857289,Mexico,41.0,1.317,70.73,26.83,2.44,Low Block,29.0,11.0,1.0
3857290,Cameroon,49.0,1.286,79.59,12.24,8.16,Low Block,39.0,6.0,4.0
3857290,Switzerland,44.0,1.318,72.73,22.73,4.55,Low Block,32.0,10.0,2.0
3857291,Costa Rica,50.0,1.4,64.0,32.0,4.0,Low Block,32.0,16.0,2.0
3857291,Spain,26.0,2.077,23.08,46.15,30.77,High Press,6.0,12.0,8.0
3857292,Costa Rica,73.0,1.178,87.67,6.85,5.48,Low Block,64.0,5.0,4.0
3857292,Germany,35.0,1.8,42.86,34.29,22.86,Balanced,15.0,12.0,8.0
3857293,Ghana,57.0,1.684,50.88,29.82,19.3,Low Block,29.0,17.0,11.0
3857293,Uruguay,63.0,1.333,73.02,20.63,6.35,Low Block,46.0,13.0,4.0
3857294,Netherlands,28.0,1.821,42.86,32.14,25.0,Balanced,12.0,9.0,7.0
3857294,Qatar,36.0,1.167,86.11,11.11,2.78,Low Block,31.0,4.0,1.0
3857295,Costa Rica,57.0,1.193,82.46,15.79,1.75,Low Block,47.0,9.0,1.0
3857295,Japan,30.0,1.7,40.0,50.0,10.0,Balanced,12.0,15.0,3.0
3857296,Belgium,64.0,1.438,65.62,25.0,9.38,Low Block,42.0,16.0,6.0
3857296,Croatia,53.0,1.396,69.81,20.75,9.43,Low Block,37.0,11.0,5.0
3857297,Poland,58.0,1.31,75.86,17.24,6.9,Low Block,44.0,10.0,4.0
3857297,Saudi Arabia,39.0,1.462,69.23,15.38,15.38,Low Block,27.0,6.0,6.0
3857298,Ghana,41.0,1.39,68.29,24.39,7.32,Low Block,28.0,10.0,3.0
3857298,Portugal,33.0,1.636,60.61,15.15,24.24,Low Block,20.0,5.0,8.0
3857299,Ghana,95.0,1.211,85.26,8.42,6.32,Low Block,81.0,8.0,6.0
3857299,South Korea,37.0,1.541,64.86,16.22,18.92,Low Block,24.0,6.0,7.0
3857300,Argentina,48.0,1.479,60.42,31.25,8.33,Low Block,29.0,15.0,4.0
3857300,Saudi Arabia,63.0,1.286,74.6,22.22,3.17,Low Block,47.0,14.0,2.0
3857301,Qatar,50.0,1.38,70.0,22.0,8.0,Low Block,35.0,11.0,4.0
3857301,Senegal,39.0,1.564,64.1,15.38,20.51,Low Block,25.0,6.0,8.0
3869117,Netherlands,76.0,1.25,80.26,14.47,5.26,Low Block,61.0,11.0,4.0
3869117,United States,43.0,1.628,51.16,34.88,13.95,Low Block,22.0,15.0,6.0
3869118,England,42.0,1.476,57.14,38.1,4.76,Low Block,24.0,16.0,2.0
3869118,Senegal,50.0,1.4,66.0,28.0,6.0,Low Block,33.0,14.0,3.0
3869151,Argentina,54.0,1.481,64.81,22.22,12.96,Low Block,35.0,12.0,7.0
3869151,Australia,43.0,1.465,69.77,13.95,16.28,Low Block,30.0,6.0,7.0
3869152,France,45.0,1.333,73.33,20.0,6.67,Low Block,33.0,9.0,3.0
3869152,Poland,46.0,1.37,71.74,19.57,8.7,Low Block,33.0,9.0,4.0
3869219,Croatia,87.0,1.425,66.67,24.14,9.2,Low Block,58.0,21.0,8.0
3869219,Japan,86.0,1.302,74.42,20.93,4.65,Low Block,64.0,18.0,4.0
3869220,Morocco,73.0,1.164,84.93,13.7,1.37,Low Block,62.0,10.0,1.0
3869220,Spain,37.0,1.757,45.95,32.43,21.62,Balanced,17.0,12.0,8.0
3869253,Brazil,34.0,1.618,58.82,20.59,20.59,Low Block,20.0,7.0,7.0
3869253,South Korea,58.0,1.483,63.79,24.14,12.07,Low Block,37.0,14.0,7.0
3869254,Portugal,43.0,1.209,83.72,11.63,4.65,Low Block,36.0,5.0,2.0
3869254,Switzerland,38.0,1.289,73.68,23.68,2.63,Low Block,28.0,9.0,1.0
3869321,Argentina,53.0,1.358,71.7,20.75,7.55,Low Block,38.0,11.0,4.0
3869321,Netherlands,63.0,1.381,66.67,28.57,4.76,Low Block,42.0,18.0,3.0
3869354,England,28.0,1.5,60.71,28.57,10.71,Low Block,17.0,8.0,3.0
3869354,France,38.0,1.132,86.84,13.16,0.0,Low Block,33.0,5.0,0.0
3869420,Brazil,50.0,1.46,64.0,26.0,10.0,Low Block,32.0,13.0,5.0
3869420,Croatia,70.0,1.143,87.14,11.43,1.43,Low Block,61.0,8.0,1.0
3869486,Morocco,75.0,1.28,78.67,14.67,6.67,Low Block,59.0,11.0,5.0
3869486,Portugal,15.0,2.0,40.0,20.0,40.0,High Press,6.0,3.0,6.0
3869519,Argentina,49.0,1.286,77.55,16.33,6.12,Low Block,38.0,8.0,3.0
3869519,Croatia,32.0,1.781,46.88,28.12,25.0,Balanced,15.0,9.0,8.0
3869552,France,59.0,1.305,74.58,20.34,5.08,Low Block,44.0,12.0,3.0
3869552,Morocco,27.0,1.63,48.15,40.74,11.11,Balanced,13.0,11.0,3.0
3869684,Croatia,40.0,1.4,70.0,20.0,10.0,Low Block,28.0,8.0,4.0
3869684,Morocco,47.0,1.574,55.32,31.91,12.77,Low Block,26.0,15.0,6.0
3869685,Argentina,65.0,1.508,58.46,32.31,9.23,Low Block,38.0,21.0,6.0
3869685,France,58.0,1.431,67.24,22.41,10.34,Low Block,39.0,13.0,6.0
3930158,Germany,32.0,1.812,37.5,43.75,18.75,Balanced,12.0,14.0,6.0
3930158,Scotland,44.0,1.341,72.73,20.45,6.82,Low Block,32.0,9.0,3.0
3930159,Hungary,48.0,1.292,75.0,20.83,4.17,Low Block,36.0,10.0,2.0
3930159,Switzerland,43.0,1.605,55.81,27.91,16.28,Low Block,24.0,12.0,7.0
3930160,Croatia,47.0,1.766,44.68,34.04,21.28,Balanced,21.0,16.0,10.0
3930160,Spain,29.0,1.655,48.28,37.93,13.79,Balanced,14.0,11.0,4.0
3930161,Albania,50.0,1.24,78.0,20.0,2.0,Low Block,39.0,10.0,1.0
3930161,Italy,30.0,2.0,33.33,33.33,33.33,High Press,10.0,10.0,10.0
3930162,Denmark,37.0,1.432,67.57,21.62,10.81,Low Block,25.0,8.0,4.0
3930162,Slovenia,65.0,1.246,78.46,18.46,3.08,Low Block,51.0,12.0,2.0
3930163,England,45.0,1.267,73.33,26.67,0.0,Low Block,33.0,12.0,0.0
3930163,Serbia,37.0,1.378,70.27,21.62,8.11,Low Block,26.0,8.0,3.0
3930164,Belgium,40.0,1.425,67.5,22.5,10.0,Low Block,27.0,9.0,4.0
3930164,Slovakia,50.0,1.44,68.0,20.0,12.0,Low Block,34.0,10.0,6.0
3930165,Austria,56.0,1.554,55.36,33.93,10.71,Low Block,31.0,19.0,6.0
3930165,France,61.0,1.311,73.77,21.31,4.92,Low Block,45.0,13.0,3.0
3930166,Czech Republic,73.0,1.247,80.82,13.7,5.48,Low Block,59.0,10.0,4.0
3930166,Portugal,40.0,1.55,52.5,40.0,7.5,Low Block,21.0,16.0,3.0
3930167,Albania,61.0,1.148,88.52,8.2,3.28,Low Block,54.0,5.0,2.0
3930167,Croatia,39.0,1.41,71.79,15.38,12.82,Low Block,28.0,6.0,5.0
3930168,Germany,41.0,1.366,73.17,17.07,9.76,Low Block,30.0,7.0,4.0
3930168,Hungary,56.0,1.161,87.5,8.93,3.57,Low Block,49.0,5.0,2.0
3930169,Scotland,39.0,1.59,61.54,17.95,20.51,Low Block,24.0,7.0,8.0
3930169,Switzerland,62.0,1.29,74.19,22.58,3.23,Low Block,46.0,14.0,2.0
3930170,Serbia,39.0,1.513,58.97,30.77,10.26,Low Block,23.0,12.0,4.0
3930170,Slovenia,59.0,1.237,79.66,16.95,3.39,Low Block,47.0,10.0,2.0
3930171,Denmark,35.0,1.8,42.86,34.29,22.86,Balanced,15.0,12.0,8.0
3930171,England,35.0,1.286,80.0,11.43,8.57,Low Block,28.0,4.0,3.0
3930172,Italy,38.0,1.158,86.84,10.53,2.63,Low Block,33.0,4.0,1.0
3930172,Spain,35.0,1.686,54.29,22.86,22.86,Low Block,19.0,8.0,8.0
3930173,France,23.0,1.652,52.17,30.43,17.39,Low Block,12.0,7.0,4.0
3930173,Netherlands,47.0,1.319,76.6,14.89,8.51,Low Block,36.0,7.0,4.0
3930174,Portugal,40.0,1.325,77.5,12.5,10.0,Low Block,31.0,5.0,4.0
3930174,Turkey,36.0,1.5,61.11,27.78,11.11,Low Block,22.0,10.0,4.0
3930175,Belgium,48.0,1.542,60.42,25.0,14.58,Low Block,29.0,12.0,7.0
3930175,Romania,47.0,1.213,82.98,12.77,4.26,Low Block,39.0,6.0,2.0
3930176,Germany,31.0,1.806,35.48,48.39,16.13,Balanced,11.0,15.0,5.0
3930176,Switzerland,49.0,1.49,67.35,16.33,16.33,Low Block,33.0,8.0,8.0
3930177,Hungary,57.0,1.526,54.39,38.6,7.02,Low Block,31.0,22.0,4.0
3930177,Scotland,53.0,1.358,69.81,24.53,5.66,Low Block,37.0,13.0,3.0
3930178,Croatia,60.0,1.45,71.67,11.67,16.67,Low Block,43.0,7.0,10.0
3930178,Italy,31.0,1.484,64.52,22.58,12.9,Low Block,20.0,7.0,4.0
3930179,Albania,54.0,1.296,75.93,18.52,5.56,Low Block,41.0,10.0,3.0
3930179,Spain,46.0,1.63,54.35,28.26,17.39,Low Block,25.0,13.0,8.0
3930180,Austria,49.0,1.592,57.14,26.53,16.33,Low Block,28.0,13.0,8.0
3930180,Netherlands,35.0,1.514,57.14,34.29,8.57,Low Block,20.0,12.0,3.0
3930181,England,26.0,1.731,46.15,34.62,19.23,Balanced,12.0,9.0,5.0
3930181,Slovenia,43.0,1.326,74.42,18.6,6.98,Low Block,32.0,8.0,3.0
3930182,Denmark,41.0,1.512,58.54,31.71,9.76,Low Block,24.0,13.0,4.0
3930182,Serbia,45.0,1.267,77.78,17.78,4.44,Low Block,35.0,8.0,2.0
3930183,Romania,41.0,1.317,78.05,12.2,9.76,Low Block,32.0,5.0,4.0
3930183,Slovakia,39.0,1.59,56.41,28.21,15.38,Low Block,22.0,11.0,6.0
3930184,Czech Republic,40.0,1.25,82.5,10.0,7.5,Low Block,33.0,4.0,3.0
3930184,Turkey,42.0,1.167,85.71,11.9,2.38,Low Block,36.0,5.0,1.0
3938637,Netherlands,39.0,1.359,71.79,20.51,7.69,Low Block,28.0,8.0,3.0
3938637,Poland,66.0,1.303,78.79,12.12,9.09,Low Block,52.0,8.0,6.0
3938638,Romania,49.0,1.204,85.71,8.16,6.12,Low Block,42.0,4.0,3.0
3938638,Ukraine,30.0,1.5,56.67,36.67,6.67,Low Block,17.0,11.0,2.0
3938639,Georgia,49.0,1.204,81.63,16.33,2.04,Low Block,40.0,8.0,1.0
3938639,Turkey,34.0,1.412,70.59,17.65,11.76,Low Block,24.0,6.0,4.0
3938640,Slovakia,25.0,1.08,92.0,8.0,0.0,Low Block,23.0,2.0,0.0
3938640,Ukraine,43.0,1.442,67.44,20.93,11.63,Low Block,29.0,9.0,5.0
3938641,Austria,60.0,1.633,48.33,40.0,11.67,Balanced,29.0,24.0,7.0
3938641,Poland,48.0,1.479,58.33,35.42,6.25,Low Block,28.0,17.0,3.0
3938642,Czech Republic,35.0,1.743,54.29,17.14,28.57,Low Block,19.0,6.0,10.0
3938642,Georgia,77.0,1.13,87.01,12.99,0.0,Low Block,67.0,10.0,0.0
3938643,France,40.0,1.55,65.0,15.0,20.0,Low Block,26.0,6.0,8.0
3938643,Poland,61.0,1.344,73.77,18.03,8.2,Low Block,45.0,11.0,5.0
3938644,Georgia,49.0,1.163,89.8,4.08,6.12,Low Block,44.0,2.0,3.0
3938644,Portugal,32.0,1.906,37.5,34.38,28.12,Balanced,12.0,11.0,9.0
3938645,Belgium,29.0,1.483,65.52,20.69,13.79,Low Block,19.0,6.0,4.0
3938645,Ukraine,47.0,1.234,78.72,19.15,2.13,Low Block,37.0,9.0,1.0
3939969,Argentina,44.0,1.591,54.55,31.82,13.64,Low Block,24.0,14.0,6.0
3939969,Canada,48.0,1.417,68.75,20.83,10.42,Low Block,33.0,10.0,5.0
3939970,Chile,35.0,1.571,51.43,40.0,8.57,Low Block,18.0,14.0,3.0
3939970,Peru,44.0,1.409,65.91,27.27,6.82,Low Block,29.0,12.0,3.0
3939971,Jamaica,69.0,1.377,68.12,26.09,5.8,Low Block,47.0,18.0,4.0
3939971,Mexico,61.0,1.443,65.57,24.59,9.84,Low Block,40.0,15.0,6.0
3939972,Ecuador,62.0,1.177,83.87,14.52,1.61,Low Block,52.0,9.0,1.0
3939972,Venezuela,47.0,1.532,65.96,14.89,19.15,Low Block,31.0,7.0,9.0
3939973,Panama,49.0,1.429,69.39,18.37,12.24,Low Block,34.0,9.0,6.0
3939973,Uruguay,48.0,1.438,70.83,14.58,14.58,Low Block,34.0,7.0,7.0
