match_id,team,counter_attacks,avg_distance_gained,avg_time_elapsed,avg_speed_units_per_sec
3857254,Tunisia,26,13.05,4.43,3.73
3857254,Denmark,30,15.35,4.86,3.35
3857255,Japan,13,17.94,4.55,3.76
3857255,Spain,23,10.85,5.27,2.17
3857256,Switzerland,28,16.29,4.37,4.47
3857256,Serbia,29,15.8,5.07,3.41
3857257,Australia,23,18.5,4.76,3.73
3857257,Denmark,28,16.76,5.14,3.3
3857258,Brazil,31,14.72,5.08,3.21
3857258,Serbia,24,14.06,5.08,3.18
3857259,Cameroon,31,19.45,4.84,4.31
3857259,Serbia,30,17.54,5.21,3.48
3857260,Saudi Arabia,38,18.34,4.79,3.97
3857260,Mexico,28,15.69,4.95,3.6
3857261,England,20,18.12,4.64,4.68
3857261,Wales,15,11.36,4.47,4.1
3857262,South Korea,24,13.51,4.37,3.63
3857262,Portugal,27,14.34,4.92,3.15
3857263,Germany,22,16.07,4.14,4.01
3857263,Spain,22,13.98,4.48,3.21
3857264,Poland,15,13.86,3.5,3.57
3857264,Argentina,28,15.72,5.19,3.0
3857265,Poland,24,16.02,4.48,5.06
3857265,Mexico,24,14.85,5.43,2.87
3857266,Denmark,24,10.06,3.95,3.52
3857266,France,25,15.87,5.26,2.88
3857267,Ecuador,20,16.94,4.38,3.81
3857267,Senegal,30,13.85,4.42,3.11
3857268,Canada,30,15.12,4.4,3.51
3857268,Belgium,26,15.5,4.82,3.38
3857269,Brazil,33,14.39,4.64,3.81
3857269,Switzerland,21,11.39,4.47,3.03
3857270,Uruguay,23,17.73,5.27,3.42
3857270,Portugal,25,13.51,4.71,2.96
3857271,Iran,19,19.9,4.72,4.54
3857271,England,24,15.02,5.27,3.2
3857272,United States,20,20.73,5.09,4.05
3857272,England,18,19.55,4.83,3.84
3857273,Iran,38,16.7,4.41,3.73
3857273,Wales,29,15.21,4.95,3.19
3857274,Ecuador,29,14.02,4.57,3.85
3857274,Netherlands,18,11.05,4.14,3.21
3857275,Tunisia,29,17.31,4.59,3.71
3857275,France,37,14.31,5.3,2.82
3857276,Canada,33,13.19,4.61,2.86
3857276,Morocco,21,10.2,4.33,2.73
3857277,Morocco,34,12.74,4.14,3.04
3857277,Croatia,27,11.75,4.6,2.9
3857278,United States,30,16.23,4.54,3.18
3857278,Iran,25,14.72,4.71,3.18
3857279,Australia,24,15.3,4.54,3.38
3857279,France,22,12.03,5.03,2.69
3857280,Brazil,34,16.32,5.07,3.59
3857280,Cameroon,18,13.89,4.46,3.24
3857281,Croatia,29,18.99,5.19,4.07
3857281,Canada,32,15.8,4.9,3.06
3857282,United States,30,21.01,4.86,4.25
3857282,Wales,26,18.17,4.7,3.74
3857283,Morocco,19,12.28,4.67,3.86
3857283,Belgium,22,12.56,5.15,2.73
3857284,Japan,19,18.21,4.02,5.86
3857284,Germany,33,17.56,4.6,3.7
3857285,Netherlands,19,17.03,4.65,3.67
3857285,Senegal,25,14.62,5.3,2.78
3857286,Qatar,18,10.56,5.0,4.56
3857286,Ecuador,19,12.19,4.93,2.52
3857287,Uruguay,26,15.4,4.88,3.38
3857287,South Korea,24,12.55,5.15,2.6
3857288,Australia,24,19.76,4.51,4.52
3857288,Tunisia,45,13.53,4.91,3.38
3857289,Mexico,21,11.68,3.91,3.05
3857289,Argentina,19,12.38,5.21,2.31
3857290,Switzerland,26,14.82,4.47,3.16
3857290,Cameroon,32,13.88,4.85,2.96
3857291,Spain,25,15.05,4.78,4.06
3857291,Costa Rica,20,13.25,3.94,3.67
3857292,Costa Rica,31,15.8,4.61,3.82
3857292,Germany,32,17.73,5.42,3.52
3857293,Uruguay,23,18.49,4.58,4.21
3857293,Ghana,36,12.64,4.95,2.62
3857294,Qatar,24,15.11,4.83,3.4
3857294,Netherlands,21,12.14,4.68,3.02
3857295,Japan,30,14.88,4.83,3.35
3857295,Costa Rica,24,13.27,4.99,2.72
3857296,Belgium,25,15.17,4.59,4.01
3857296,Croatia,38,14.94,4.75,3.39
3857297,Poland,22,15.05,4.19,3.85
3857297,Saudi Arabia,29,12.21,4.69,3.16
3857298,Ghana,32,13.67,4.36,3.08
3857298,Portugal,21,13.55,5.15,2.78
3857299,Ghana,16,15.39,4.61,3.44
3857299,South Korea,29,11.5,4.95,2.6
3857300,Saudi Arabia,30,12.88,4.39,3.26
3857300,Argentina,28,11.64,4.6,2.65
3857301,Senegal,26,14.92,4.43,3.55
3857301,Qatar,25,16.18,4.82,3.29
3869117,United States,41,14.3,4.66,4.3
3869117,Netherlands,16,17.47,4.47,4.0
3869118,England,28,14.6,4.79,3.42
3869118,Senegal,21,12.15,4.56,3.16
3869151,Australia,20,13.92,4.26,3.53
3869151,Argentina,21,10.29,4.76,2.14
3869152,Poland,29,13.72,4.86,3.17
3869152,France,25,12.29,5.08,2.74
3869219,Croatia,37,12.89,4.83,3.6
3869219,Japan,37,11.47,4.3,3.03
3869220,Morocco,31,14.23,4.19,3.58
3869220,Spain,30,14.43,4.76,3.11
3869253,South Korea,30,12.96,4.4,3.25
3869253,Brazil,26,11.53,4.68,2.46
3869254,Portugal,23,11.72,4.06,3.51
3869254,Switzerland,19,15.93,5.08,3.49
3869321,Argentina,29,14.24,4.68,3.53
3869321,Netherlands,28,15.19,5.19,3.15
3869354,France,22,18.31,4.97,3.49
3869354,England,28,12.88,4.57,3.02
3869420,Croatia,29,17.71,4.94,3.7
3869420,Brazil,29,13.43,4.5,3.31
3869486,Morocco,25,19.69,5.16,3.64
3869486,Portugal,33,12.98,4.73,2.69
3869519,Argentina,24,16.99,4.32,4.28
3869519,Croatia,30,12.8,4.89,2.98
3869552,France,26,22.64,4.9,5.07
3869552,Morocco,31,13.33,5.14,2.72
3869684,Morocco,27,14.21,4.33,3.63
3869684,Croatia,24,13.93,4.73,3.12
3869685,Argentina,32,16.49,5.0,3.53
3869685,France,39,13.98,4.41,3.34
3930158,Germany,18,12.02,4.25,3.07
3930158,Scotland,14,8.1,3.11,2.59
3930159,Switzerland,20,16.75,4.74,3.79
3930159,Hungary,24,14.03,4.7,3.29
3930160,Spain,19,16.98,4.48,4.6
3930160,Croatia,20,17.77,4.9,3.49
3930161,Albania,18,11.8,3.95,2.92
3930161,Italy,16,12.72,5.41,2.4
3930162,Slovenia,20,15.15,3.9,4.21
