match_id,team,opponent_passes,defensive_actions,ppda
3857254,Denmark,187,38,4.92
3857254,Tunisia,419,27,15.52
3857255,Japan,867,24,36.13
3857255,Spain,109,29,3.76
3857256,Serbia,249,44,5.66
3857256,Switzerland,302,32,9.44
3857257,Australia,433,28,15.46
3857257,Denmark,209,42,4.98
3857258,Brazil,233,34,6.85
3857258,Serbia,441,34,12.97
3857259,Cameroon,334,36,9.28
3857259,Serbia,218,37,5.89
3857260,Mexico,189,44,4.3
3857260,Saudi Arabia,282,35,8.06
3857261,England,163,27,6.04
3857261,Wales,393,36,10.92
3857262,Portugal,209,25,8.36
3857262,South Korea,394,21,18.76
3857263,Germany,312,44,7.09
3857263,Spain,180,21,8.57
3857264,Argentina,156,24,6.5
3857264,Poland,712,25,28.48
3857265,Mexico,221,30,7.37
3857265,Poland,341,33,10.33
3857266,Denmark,324,31,10.45
3857266,France,386,26,14.85
3857267,Ecuador,183,45,4.07
3857267,Senegal,264,29,9.1
3857268,Belgium,310,21,14.76
3857268,Canada,203,31,6.55
3857269,Brazil,240,35,6.86
3857269,Switzerland,422,22,19.18
3857270,Portugal,266,25,10.64
3857270,Uruguay,367,36,10.19
3857271,England,122,31,3.94
3857271,Iran,538,30,17.93
3857272,England,236,23,10.26
3857272,United States,325,31,10.48
3857273,Iran,338,30,11.27
3857273,Wales,185,31,5.97
3857274,Ecuador,284,46,6.17
3857274,Netherlands,260,42,6.19
3857275,France,228,31,7.35
3857275,Tunisia,455,39,11.67
3857276,Canada,144,28,5.14
3857276,Morocco,353,33,10.7
3857277,Croatia,208,33,6.3
3857277,Morocco,402,43,9.35
3857278,Iran,343,42,8.17
3857278,United States,300,29,10.34
3857279,Australia,578,28,20.64
3857279,France,229,25,9.16
3857280,Brazil,195,32,6.09
3857280,Cameroon,348,33,10.55
3857281,Canada,312,22,14.18
3857281,Croatia,303,36,8.42
3857282,United States,212,37,5.73
3857282,Wales,393,30,13.1
3857283,Belgium,152,28,5.43
3857283,Morocco,400,30,13.33
3857284,Germany,123,28,4.39
3857284,Japan,529,35,15.11
3857285,Netherlands,282,34,8.29
3857285,Senegal,302,30,10.07
3857286,Ecuador,241,36,6.69
3857286,Qatar,247,19,13.0
3857287,South Korea,359,46,7.8
3857287,Uruguay,321,31,10.35
3857288,Australia,343,58,5.91
3857288,Tunisia,241,46,5.24
3857289,Argentina,240,37,6.49
3857289,Mexico,348,40,8.7
3857290,Cameroon,345,28,12.32
3857290,Switzerland,297,27,11.0
3857291,Costa Rica,766,34,22.53
3857291,Spain,109,31,3.52
3857292,Costa Rica,612,15,40.8
3857292,Germany,180,30,6.0
3857293,Ghana,270,46,5.87
3857293,Uruguay,309,36,8.58
3857294,Netherlands,286,32,8.94
3857294,Qatar,674,23,29.3
3857295,Costa Rica,489,27,18.11
3857295,Japan,189,40,4.72
3857296,Belgium,375,25,15.0
3857296,Croatia,351,24,14.63
3857297,Poland,407,39,10.44
3857297,Saudi Arabia,174,34,5.12
3857298,Ghana,443,43,10.3
3857298,Portugal,199,29,6.86
3857299,Ghana,434,28,15.5
3857299,South Korea,194,38,5.11
3857300,Argentina,181,18,10.06
3857300,Saudi Arabia,345,41,8.41
3857301,Qatar,358,19,18.84
3857301,Senegal,231,21,11.0
3869117,Netherlands,419,25,16.76
3869117,United States,204,33,6.18
3869118,England,214,46,4.65
3869118,Senegal,341,26,13.12
3869151,Argentina,175,30,5.83
3869151,Australia,425,38,11.18
3869152,France,292,22,13.27
3869152,Poland,401,30,13.37
3869219,Croatia,342,42,8.14
3869219,Japan,537,43,12.49
3869220,Morocco,888,29,30.62
3869220,Spain,156,31,5.03
3869253,Brazil,351,29,12.1
3869253,South Korea,357,31,11.52
3869254,Portugal,307,26,11.81
3869254,Switzerland,256,24,10.67
3869321,Argentina,403,33,12.21
3869321,Netherlands,415,52,7.98
3869354,England,271,37,7.32
3869354,France,357,26,13.73
3869420,Brazil,451,50,9.02
3869420,Croatia,512,35,14.63
3869486,Morocco,565,19,29.74
3869486,Portugal,76,30,2.53
3869519,Argentina,412,33,12.48
3869519,Croatia,277,21,13.19
3869552,France,357,32,11.16
3869552,Morocco,215,37,5.81
3869684,Croatia,267,24,11.13
3869684,Morocco,286,35,8.17
3869685,Argentina,359,52,6.9
3869685,France,400,51,7.84
3930158,Germany,114,31,3.68
3930158,Scotland,592,18,32.89
3930159,Hungary,323,32,10.09
3930159,Switzerland,275,37,7.43
3930160,Croatia,297,37,8.03
3930160,Spain,316,30,10.53
3930161,Albania,676,22,30.73
3930161,Italy,202,19,10.63
3930162,Denmark,205,22,9.32
3930162,Slovenia,526,31,16.97
3930163,England,367,30,12.23
3930163,Serbia,417,32,13.03
3930164,Belgium,220,31,7.1
3930164,Slovakia,326,26,12.54
3930165,Austria,273,39,7.0
3930165,France,350,21,16.67
3930166,Czech Republic,583,43,13.56
3930166,Portugal,138,20,6.9
3930167,Albania,556,24,23.17
3930167,Croatia,166,31,5.35
3930168,Germany,150,30,5.0
3930168,Hungary,615,27,22.78
3930169,Scotland,257,36,7.14
3930169,Switzerland,232,27,8.59
3930170,Serbia,252,29,8.69
3930170,Slovenia,389,28,13.89
3930171,Denmark,323,38,8.5
3930171,England,401,25,16.04
3930172,Italy,442,29,15.24
3930172,Spain,251,40,6.28
3930173,France,189,18,10.5
3930173,Netherlands,512,18,28.44
3930174,Portugal,276,25,11.04
3930174,Turkey,337,32,10.53
3930175,Belgium,239,29,8.24
3930175,Romania,332,34,9.76
3930176,Germany,210,30,7.0
3930176,Switzerland,468,21,22.29
3930177,Hungary,333,48,6.94
3930177,Scotland,229,40,5.72
3930178,Croatia,413,34,12.15
3930178,Italy,341,18,18.94
3930179,Albania,425,22,19.32
3930179,Spain,234,38,6.16
3930180,Austria,269,39,6.9
3930180,Netherlands,260,36,7.22
3930181,England,163,22,7.41
3930181,Slovenia,607,13,46.69
3930182,Denmark,285,41,6.95
3930182,Serbia,394,38,10.37
3930183,Romania,285,28,10.18
3930183,Slovakia,187,28,6.68
3930184,Czech Republic,360,35,10.29
3930184,Turkey,138,24,5.75
3938637,Netherlands,172,21,8.19
3938637,Poland,442,22,20.09
3938638,Romania,436,21,20.76
3938638,Ukraine,158,23,6.87
3938639,Georgia,492,25,19.68
3938639,Turkey,290,36,8.06
3938640,Slovakia,198,20,9.9
3938640,Ukraine,366,19,19.26
3938641,Austria,231,47,4.91
3938641,Poland,324,28,11.57
3938642,Czech Republic,197,41,4.8
3938642,Georgia,445,35,12.71
3938643,France,214,31,6.9
3938643,Poland,433,31,13.97
3938644,Georgia,636,19,33.47
3938644,Portugal,120,29,4.14
3938645,Belgium,232,19,12.21
3938645,Ukraine,391,28,13.96
3939969,Argentina,194,27,7.19
3939969,Canada,323,21,15.38
3939970,Chile,204,35,5.83
3939970,Peru,292,53,5.51
3939971,Jamaica,393,34,11.56
3939971,Mexico,191,32,5.97
3939972,Ecuador,389,45,8.64
3939972,Venezuela,162,32,5.06
3939973,Panama,318,32,9.94
3939973,Uruguay,234,29,8.07
3939974,Bolivia,367,26,14.12
3939974,United States,208,32,6.5
3939975,Colombia,171,33,5.18
3939975,Paraguay,323,44,7.34
3939976,Brazil,101,40,2.53
3939976,Costa Rica,590,24,24.58
3939977,Argentina,227,24,9.46
3939977,Chile,378,29,13.03
3939978,Canada,231,27,8.56
3939978,Peru,252,43,5.86
3939979,Mexico,206,40,5.15
3939979,Venezuela,332,29,11.45
3939980,Ecuador,181,32,5.66
3939980,Jamaica,203,35,5.8
3939981,Panama,105,26,4.04
3939981,United States,453,31,14.61
3939982,Bolivia,395,40,9.88
3939982,Uruguay,145,43,3.37
3939983,Brazil,261,21,12.43
3939983,Paraguay,259,33,7.85
3939984,Colombia,160,31,5.16
3939984,Costa Rica,349,35,9.97
3939985,Canada,188,26,7.23
3939985,Chile,289,41,7.05
3939986,Argentina,162,33,4.91
3939986,Peru,341,34,10.03
3939987,Jamaica,273,14,19.5
3939987,Venezuela,179,33,5.42
3939988,Ecuador,273,42,6.5
3939988,Mexico,179,40,4.47
3939989,Bolivia,273,31,8.81
3939989,Panama,220,30,7.33
3939990,United States,198,33,6.0
3939990,Uruguay,231,28,8.25
3939991,Brazil,281,23,12.22
3939991,Colombia,212,34,6.24
3939992,Costa Rica,386,21,18.38
3939992,Paraguay,131,43,3.05
3940878,Italy,401,20,20.05
3940878,Switzerland,401,27,14.85
3940983,Denmark,394,27,14.59
3940983,Germany,295,23,12.83
3941017,England,312,48,6.5
3941017,Slovakia,510,39,13.08
3941018,Georgia,723,12,60.25
3941018,Spain,79,35,2.26
3941019,Belgium,503,25,20.12
3941019,France,241,23,10.48
3941020,Portugal,183,41,4.46
3941020,Slovenia,635,43,14.77
3941021,Netherlands,181,24,7.54
3941021,Romania,392,25,15.68
3941022,Austria,213,36,5.92
3941022,Turkey,460,16,28.75
3942226,Germany,401,35,11.46
3942226,Spain,403,31,13.0
3942227,England,436,22,19.82
3942227,Switzerland,545,29,18.79
3942228,Argentina,185,36,5.14
3942228,Ecuador,247,28,8.82
3942229,Canada,273,30,9.1
3942229,Venezuela,204,39,5.23
3942349,France,588,21,28.0
3942349,Portugal,418,20,20.9
3942382,Netherlands,215,27,7.96
3942382,Turkey,439,33,13.3
3942415,Brazil,197,35,5.63
3942415,Uruguay,218,42,5.19
3942416,Colombia,221,32,6.91
3942416,Panama,224,33,6.79
3942752,France,360,30,12.0
3942752,Spain,262,19,13.79
3942785,Argentina,270,15,18.0
3942785,Canada,180,33,5.45
3942819,England,228,23,9.91
3942819,Netherlands,437,23,19.0
3942852,Colombia,280,31,9.03
3942852,Uruguay,173,20,8.65
3943043,England,395,31,12.74
3943043,Spain,179,30,5.97
3943076,Canada,154,53,2.91
3943076,Uruguay,261,25,10.44
3943077,Argentina,409,16,25.56
3943077,Colombia,306,41,7.46
