team,player,total_mins,progressive_passes,progressive_carries,progressive_passes_received,progressive_passes_p90,progressive_carries_p90,progressive_passes_received_p90,total_progressive_actions_p90,progression_type
Albania,Arbër Hoxha,60.0,3.0,10.0,5.0,4.5,15.0,7.5,27.0,Complete Progressor
Colombia,Jorge Andrés Carrascal Guardo,47.0,7.0,4.0,3.0,13.4,7.66,5.74,26.800000000000004,Complete Progressor
Portugal,Francisco Fernandes Conceição,180.0,4.0,20.0,26.0,2.0,10.0,13.0,25.0,Ball Carrier
Portugal,Pedro Lomba Neto,128.0,3.0,11.0,21.0,2.11,7.73,14.77,24.61,Ball Carrier
Colombia,Juan Fernando Quintero Paniagua,48.0,5.0,3.0,5.0,9.38,5.62,9.38,24.380000000000003,Complete Progressor
Germany,Florian Wirtz,287.0,19.0,19.0,37.0,5.96,5.96,11.6,23.52,Complete Progressor
Czech Republic,Matěj Jurásek,50.0,2.0,5.0,6.0,3.6,9.0,10.8,23.4,Complete Progressor
Paraguay,Ramón Sosa Acosta,143.0,5.0,13.0,19.0,3.15,8.18,11.96,23.29,Complete Progressor
Brazil,Sávio Moreira de Oliveira,122.0,2.0,14.0,14.0,1.48,10.33,10.33,22.14,Ball Carrier
Colombia,Luis Fernando Sinisterra Lucumí,34.0,0.0,2.0,6.0,0.0,5.29,15.88,21.17,Ball Carrier
Brazil,Antony Matheus dos Santos,182.0,7.0,16.0,19.0,3.46,7.91,9.4,20.770000000000003,Complete Progressor
Germany,Jamal Musiala,692.0,31.0,66.0,62.0,4.03,8.58,8.06,20.67,Complete Progressor
Spain,Carlos Soler Barragán,98.0,9.0,4.0,9.0,8.27,3.67,8.27,20.21,Complete Progressor
Japan,Hiroki Ito,49.0,2.0,2.0,7.0,3.67,3.67,12.86,20.2,Complete Progressor
Spain,Nicholas Williams Arthuer,639.0,22.0,48.0,73.0,3.1,6.76,10.28,20.14,Complete Progressor
Brazil,Neymar da Silva Santos Junior,280.0,16.0,22.0,23.0,5.14,7.07,7.39,19.6,Complete Progressor
Germany,Mario Götze,51.0,2.0,4.0,5.0,3.53,7.06,8.82,19.41,Complete Progressor
South Korea,Chang-Hoon Kwon,53.0,3.0,3.0,5.0,5.09,5.09,8.49,18.67,Complete Progressor
Belgium,Jeremy Doku,337.0,9.0,32.0,28.0,2.4,8.55,7.48,18.43,Ball Carrier
France,Kylian Mbappé Lottin,1090.0,32.0,94.0,96.0,2.64,7.76,7.93,18.33,Ball Carrier
Italy,Mattia Zaccagni,90.0,1.0,5.0,12.0,1.0,5.0,12.0,18.0,Ball Carrier
Portugal,André Miguel Valente Silva,30.0,1.0,3.0,2.0,3.0,9.0,6.0,18.0,Complete Progressor
Ghana,Daniel-Kofi Kyereh,51.0,4.0,5.0,1.0,7.06,8.82,1.76,17.64,Complete Progressor
Argentina,Ángel Fabián Di María Hernández,646.0,25.0,40.0,61.0,3.48,5.57,8.5,17.55,Complete Progressor
Paraguay,Alejandro Romero Gamarra,36.0,1.0,2.0,4.0,2.5,5.0,10.0,17.5,Ball Carrier
Portugal,Rafael Alexandre Conceição Leão,397.0,10.0,38.0,27.0,2.27,8.61,6.12,17.0,Ball Carrier
Saudi Arabia,Abdulrahman Al-Obood,43.0,1.0,2.0,5.0,2.09,4.19,10.47,16.75,Ball Carrier
Germany,Leroy Sané,328.0,14.0,21.0,26.0,3.84,5.76,7.13,16.73,Complete Progressor
Iran,Saman Ghoddos,49.0,3.0,0.0,6.0,5.51,0.0,11.02,16.53,Progressive Passer
Spain,Lamine Yamal Nasraoui Ebana,507.0,15.0,36.0,42.0,2.66,6.39,7.46,16.51,Ball Carrier
Portugal,Gonçalo Bernardo Inácio,120.0,18.0,3.0,1.0,13.5,2.25,0.75,16.5,Progressive Passer
France,Bradley Barcola,110.0,3.0,9.0,8.0,2.45,7.36,6.55,16.36,Ball Carrier
Brazil,Vinícius José Paixão de Oliveira Júnior,549.0,8.0,48.0,43.0,1.31,7.87,7.05,16.23,Ball Carrier
Slovakia,Matúš Bero,39.0,2.0,2.0,3.0,4.62,4.62,6.92,16.16,Complete Progressor
France,Ousmane Dembélé,801.0,28.0,57.0,57.0,3.15,6.4,6.4,15.950000000000001,Complete Progressor
Turkey,Mehmet Zeki Çelik,113.0,5.0,6.0,9.0,3.98,4.78,7.17,15.93,Complete Progressor
Germany,Serge Gnabry,267.0,10.0,15.0,22.0,3.37,5.06,7.42,15.85,Complete Progressor
Paraguay,Julio César Enciso Espínola,256.0,11.0,18.0,16.0,3.87,6.33,5.62,15.82,Complete Progressor
Canada,Ali Ahmed,131.0,4.0,9.0,10.0,2.75,6.18,6.87,15.8,Ball Carrier
