match_id,team,progressive_passes,progressive_carries,progressive_passes_received,progressive_actions,progressive_carry_pct,progressive_pass_pct
3857254,Denmark,55.0,23.0,55.0,133.0,17.29,41.35
3857254,Tunisia,18.0,12.0,18.0,48.0,25.0,37.5
3857255,Japan,19.0,14.0,19.0,52.0,26.92,36.54
3857255,Spain,59.0,29.0,59.0,147.0,19.73,40.14
3857256,Serbia,38.0,23.0,38.0,99.0,23.23,38.38
3857256,Switzerland,20.0,19.0,20.0,59.0,32.2,33.9
3857257,Australia,12.0,8.0,12.0,32.0,25.0,37.5
3857257,Denmark,31.0,30.0,31.0,92.0,32.61,33.7
3857258,Brazil,59.0,47.0,59.0,165.0,28.48,35.76
3857258,Serbia,25.0,21.0,25.0,71.0,29.58,35.21
3857259,Cameroon,13.0,21.0,13.0,47.0,44.68,27.66
3857259,Serbia,40.0,42.0,40.0,122.0,34.43,32.79
3857260,Mexico,24.0,20.0,24.0,68.0,29.41,35.29
3857260,Saudi Arabia,14.0,9.0,14.0,37.0,24.32,37.84
3857261,England,40.0,28.0,40.0,108.0,25.93,37.04
3857261,Wales,4.0,5.0,4.0,13.0,38.46,30.77
3857262,Portugal,30.0,26.0,30.0,86.0,30.23,34.88
3857262,South Korea,16.0,7.0,16.0,39.0,17.95,41.03
3857263,Germany,22.0,28.0,22.0,72.0,38.89,30.56
3857263,Spain,24.0,19.0,24.0,67.0,28.36,35.82
3857264,Argentina,64.0,52.0,64.0,180.0,28.89,35.56
3857264,Poland,6.0,6.0,6.0,18.0,33.33,33.33
3857265,Mexico,32.0,26.0,32.0,90.0,28.89,35.56
3857265,Poland,7.0,9.0,7.0,23.0,39.13,30.43
3857266,Denmark,33.0,18.0,33.0,84.0,21.43,39.29
3857266,France,33.0,26.0,33.0,92.0,28.26,35.87
3857267,Ecuador,20.0,12.0,20.0,52.0,23.08,38.46
3857267,Senegal,21.0,17.0,21.0,59.0,28.81,35.59
3857268,Belgium,13.0,10.0,13.0,36.0,27.78,36.11
3857268,Canada,35.0,33.0,35.0,103.0,32.04,33.98
3857269,Brazil,26.0,22.0,26.0,74.0,29.73,35.14
3857269,Switzerland,6.0,7.0,6.0,19.0,36.84,31.58
3857270,Portugal,27.0,25.0,27.0,79.0,31.65,34.18
