player,team,matches,shots,xg,goals,goals_minus_xg
Cody Mathès Gakpo,Netherlands,9,18,1.45,6.0,4.55
Bukayo Saka,England,8,16,1.88,5.0,3.12
Julián Álvarez,Argentina,10,21,4.25,7.0,2.75
Wout Weghorst,Netherlands,5,7,1.44,4.0,2.56
Kylian Mbappé Lottin,France,12,56,7.52,10.0,2.48
Ivan Schranz,Slovakia,3,5,0.88,3.0,2.12
Folarin Balogun,United States,2,5,0.25,2.0,1.75
Jude Bellingham,England,7,12,2.29,4.0,1.71
Jefferson Andrés Lerma Solís,Colombia,5,8,0.33,2.0,1.67
Xherdan Shaqiri,Switzerland,4,7,1.36,3.0,1.64
Marcus Rashford,England,5,11,1.38,3.0,1.62
Rafael Alexandre Conceição Leão,Portugal,7,8,0.43,2.0,1.57
Daniel Olmo Carvajal,Spain,10,29,2.46,4.0,1.54
Rodrigo Bentancur Colmán,Uruguay,5,7,2.5,4.0,1.5
Ferrán Torres García,Spain,5,9,1.5,3.0,1.5
Vincent Paté Aboubakar,Cameroon,2,6,0.53,2.0,1.47
Vinícius José Paixão de Oliveira Júnior,Brazil,6,13,1.54,3.0,1.46
Florian Wirtz,Germany,4,8,0.58,2.0,1.42
Niclas Füllkrug,Germany,7,17,2.6,4.0,1.4
Richarlison de Andrade,Brazil,4,8,1.62,3.0,1.38
Mohammed Kudus,Ghana,3,8,0.66,2.0,1.34
Álvaro Borja Morata Martín,Spain,10,22,2.68,4.0,1.32
Gue-Sung Cho,South Korea,3,8,0.71,2.0,1.29
Remo Freuler,Switzerland,3,6,0.76,2.0,1.24
Gonçalo Matias Ramos,Portugal,3,8,1.77,3.0,1.23
José Fajardo Nelson,Panama,4,8,0.8,2.0,1.2
Giorgian Daniel De Arrascaeta Benedetti,Uruguay,5,7,2.8,4.0,1.2
Răzvan Gabriel Marin,Romania,3,6,0.89,2.0,1.11
Maximiliano Javier Araújo Vilches,Uruguay,5,11,0.9,2.0,1.1
Nicholas Williams Arthuer,Spain,4,12,0.95,2.0,1.05
Andrej Kramarić,Croatia,7,14,2.01,3.0,0.99
Georges Mikautadze,Georgia,3,6,2.03,3.0,0.97
Bruno Miguel Borges Fernandes,Portugal,6,19,3.04,4.0,0.96
Youssef En-Nesyri,Morocco,4,11,1.05,2.0,0.95
Jamal Musiala,Germany,8,21,2.05,3.0,0.95
Mislav Oršić,Croatia,5,10,1.06,2.0,0.94
Hakim Ziyech,Morocco,7,11,1.1,2.0,0.9
José Salomón Rondón Giménez,Venezuela,4,19,3.1,4.0,0.9
Nicolae Claudiu Stanciu,Romania,2,5,0.13,1.0,0.87
Carlos Henrique Casimiro,Brazil,4,10,1.14,2.0,0.86
Morten Hjulmand,Denmark,3,5,0.14,1.0,0.86
Fabián Ruiz Peña,Spain,6,17,1.15,2.0,0.85
Olivier Giroud,France,6,19,3.19,4.0,0.81
Rodrigo Hernández Cascante,Spain,3,6,0.2,1.0,0.8
Richard Rios Montoya,Colombia,6,8,0.23,1.0,0.77
Mitchell Thomas Duke,Australia,3,7,0.25,1.0,0.75
Kevin José Rodríguez Cortez,Ecuador,4,6,0.26,1.0,0.74
Hakan Çalhanoğlu,Turkey,4,10,0.27,1.0,0.73
Federico Santiago Valverde Dipetta,Uruguay,9,24,2.27,3.0,0.73
Takuma Asano,Japan,4,9,1.28,2.0,0.72
Theo Bernard François Hernández,France,7,10,1.29,2.0,0.71
Wahbi Khazri,Tunisia,2,5,0.3,1.0,0.7
Arda Güler,Turkey,5,9,0.33,1.0,0.67
Jacob Shaffelburg,Canada,3,5,0.34,1.0,0.66
Jhon Andrés Córdoba Copete,Colombia,5,11,1.37,2.0,0.63
Mehdi Taremi,Iran,3,6,1.38,2.0,0.62
Jeremy Leonel Sarmiento Morante,Ecuador,5,7,0.42,1.0,0.58
Bernardo Mota Veiga de Carvalho e Silva,Portugal,5,10,2.42,3.0,0.58
Sergej Milinković-Savić,Serbia,4,6,0.42,1.0,0.58
Luis Fernando Díaz Marulanda,Colombia,6,9,1.43,2.0,0.57
Randal Kolo Muani,France,6,8,2.5,3.0,0.5
Donyell Malen,Netherlands,3,6,1.51,2.0,0.49
Christian Pulisic,United States,5,16,1.51,2.0,0.49
Daley Blind,Netherlands,3,5,0.52,1.0,0.48
Luis Gerardo Chávez Magallón,Mexico,5,17,0.52,1.0,0.48
Denzel Dumfries,Netherlands,4,6,0.55,1.0,0.45
Xavi Simons,Netherlands,6,11,0.55,1.0,0.45
Khvicha Kvaratskhelia,Georgia,4,6,0.55,1.0,0.45
Salem Mohammed Al Dawsari,Saudi Arabia,3,7,1.56,2.0,0.44
Hee-Chan Hwang,South Korea,2,6,0.57,1.0,0.43
Mikel Oyarzabal Ugarte,Spain,3,6,0.6,1.0,0.4
Marco Asensio Willemsen,Spain,4,10,0.61,1.0,0.39
Michy Batshuayi Tunga,Belgium,2,6,0.62,1.0,0.38
Julio César Enciso Espínola,Paraguay,3,14,0.66,1.0,0.34
Timothy Weah,United States,4,8,0.66,1.0,0.34
Boulaye Dia,Senegal,4,8,0.66,1.0,0.34
Roman Yaremchuk,Ukraine,3,6,0.66,1.0,0.34
