player,team,total_passes,total_opponents_packed,avg_packing_per_pass,progressive_passes,avg_packing_progressive
Katherine Maria Alvarado Aguilar,Costa Rica Women's,29,90.0,3.1,19.0,4.42
Emma Snerle,Denmark Women's,10,25.0,2.5,7.0,2.71
Dominik Szoboszlai,Hungary,58,143.0,2.47,26.0,4.62
Milos Kerkez,Hungary,9,22.0,2.44,6.0,3.17
Norbert Gyömbér,Slovakia,7,17.0,2.43,6.0,2.67
Hye-Ji Hong,Korea Republic Women's,13,29.0,2.23,10.0,2.9
Veljko Birmančević,Serbia,5,11.0,2.2,3.0,3.67
Christopher Antwi-Adjej,Bochum,6,13.0,2.17,3.0,3.67
Maksim Mukhin,Russia,6,13.0,2.17,4.0,3.0
Sérgio Miguel Relvas de Oliveira,Portugal,6,13.0,2.17,6.0,2.17
Cengiz Ünder,Turkey,29,62.0,2.14,11.0,3.73
Jon Gorenc Stankovič,Slovenia,8,17.0,2.13,5.0,3.0
Pierre Kunde Malong,Cameroon,16,32.0,2.0,11.0,2.82
Leila Wandeler,Switzerland Women's,8,16.0,2.0,3.0,2.0
Fabio Torsiello,Darmstadt 98,5,10.0,2.0,1.0,9.0
Valentin Mihai Mihăilă,Romania,11,22.0,2.0,6.0,3.17
Brajan Gruda,FSV Mainz 05,17,33.0,1.94,9.0,3.0
Adriana Achcińska,Poland Women's,28,54.0,1.93,12.0,3.33
Pape Abou Cissé,Senegal,11,21.0,1.91,9.0,2.22
Qazim Laçi,Albania,11,21.0,1.91,5.0,3.4
Tomáš Suslov,Slovakia,22,42.0,1.91,11.0,2.82
Lucy Quinn,Republic of Ireland Women's,7,13.0,1.86,7.0,1.86
Harry Wilson,Wales,22,41.0,1.86,9.0,3.89
Harry Kane,Bayern Munich,7,13.0,1.86,1.0,6.0
Ga-Ram Chun,Korea Republic Women's,6,11.0,1.83,3.0,2.67
Yunus Akgün,Turkey,5,9.0,1.8,3.0,2.33
Maria Eduarda Ferreira Sampaio,Brazil Women's,10,18.0,1.8,7.0,2.43
Sami Khalil Al Naji,Saudi Arabia,5,9.0,1.8,4.0,2.0
Daniel Olmo Carvajal,RB Leipzig,19,34.0,1.79,9.0,2.89
Ritsu Doan,Japan,17,30.0,1.76,9.0,2.67
Giacomo Raspadori,Italy,20,35.0,1.75,12.0,2.67
Takumi Minamino,Japan,7,12.0,1.71,2.0,4.0
Chris Führich,Germany,7,12.0,1.71,3.0,2.0
Sydney Lohmann,Germany Women's,30,51.0,1.7,18.0,2.28
Sofie Bruun Bredgaard,Denmark Women's,10,17.0,1.7,5.0,2.8
Sarah Wijnants,Belgium Women's,6,10.0,1.67,4.0,2.25
Bryan Mbeumo,Cameroon,27,45.0,1.67,8.0,2.63
Jonas Hofmann,Germany,6,10.0,1.67,1.0,6.0
Antionette Oyedupe Payne,Nigeria Women's,38,63.0,1.66,25.0,2.16
