match_id,team,buildup_possessions,total_xg_from_buildup,total_touches_in_buildup,avg_xg_per_buildup_possession,avg_touches_per_buildup_possession
7298,Chelsea FCW,62,8.646,239.0,0.139,3.85
7298,Manchester City WFC,23,2.575,60.0,0.112,2.61
7430,North Carolina Courage,32,4.701,76.0,0.147,2.38
7430,Washington Spirit,12,1.253,28.0,0.104,2.33
7443,OL Reign,16,1.121,30.0,0.07,1.88
7443,Portland Thorns,60,11.124,205.0,0.185,3.42
7444,Chicago Red Stars,12,0.751,25.0,0.063,2.08
7444,North Carolina Courage,66,6.708,146.0,0.102,2.21
7445,Utah Royals,9,0.53,19.0,0.059,2.11
7445,Washington Spirit,35,7.7989999999999995,77.0,0.223,2.2
7451,North Carolina Courage,38,5.288,110.0,0.139,2.89
7451,Washington Spirit,28,4.155,84.0,0.148,3.0
7456,NJ/NY Gotham FC,11,0.672,17.0,0.061,1.55
7456,North Carolina Courage,65,11.246,163.0,0.173,2.51
7457,North Carolina Courage,67,21.53,290.0,0.321,4.33
7457,Orlando Pride,28,4.832,60.0,0.173,2.14
7471,North Carolina Courage,52,4.369,147.0,0.084,2.83
7471,Orlando Pride,43,4.486,139.0,0.104,3.23
7472,OL Reign,53,6.212,136.0,0.117,2.57
7472,Portland Thorns,10,1.461,14.0,0.146,1.4
7473,NJ/NY Gotham FC,11,0.6900000000000001,29.0,0.063,2.64
7473,Utah Royals,38,3.6470000000000002,102.0,0.096,2.68
7474,Chicago Red Stars,44,5.7010000000000005,87.0,0.13,1.98
7474,Washington Spirit,28,4.441,84.0,0.159,3.0
7475,Chicago Red Stars,29,2.106,73.0,0.073,2.52
7475,North Carolina Courage,52,9.963000000000001,173.0,0.192,3.33
7476,Chicago Red Stars,50,11.053,119.0,0.221,2.38
7476,NJ/NY Gotham FC,27,2.756,65.0,0.102,2.41
7477,Portland Thorns,14,1.791,23.0,0.128,1.64
7477,Utah Royals,18,1.721,30.0,0.096,1.67
7478,Houston Dash,20,2.044,48.0,0.102,2.4
7478,OL Reign,29,6.056,93.0,0.209,3.21
7479,Orlando Pride,79,7.63,243.0,0.097,3.08
7479,Washington Spirit,16,2.42,85.0,0.151,5.31
7480,OL Reign,32,3.246,75.0,0.101,2.34
7480,Utah Royals,26,2.994,93.0,0.115,3.58
7482,North Carolina Courage,54,7.447,122.0,0.138,2.26
7482,Washington Spirit,18,1.302,35.0,0.072,1.94
7483,Orlando Pride,18,2.2399999999999998,39.0,0.124,2.17
7483,Utah Royals,14,2.57,53.0,0.184,3.79
7484,NJ/NY Gotham FC,44,6.801,123.0,0.155,2.8
7484,North Carolina Courage,46,11.471,136.0,0.249,2.96
7485,Chicago Red Stars,59,3.277,199.0,0.056,3.37
7485,OL Reign,34,4.732,73.0,0.139,2.15
7486,Houston Dash,26,8.793,93.0,0.338,3.58
7486,Portland Thorns,51,7.394,126.0,0.145,2.47
7487,North Carolina Courage,30,2.305,55.0,0.077,1.83
7487,Utah Royals,14,0.777,29.0,0.056,2.07
7490,NJ/NY Gotham FC,41,7.6899999999999995,94.0,0.188,2.29
7490,Portland Thorns,26,3.0749999999999997,63.0,0.118,2.42
7492,NJ/NY Gotham FC,26,7.92,61.0,0.305,2.35
7492,Orlando Pride,46,12.854,154.0,0.279,3.35
7493,OL Reign,56,9.225999999999999,135.0,0.165,2.41
7493,Washington Spirit,38,4.321,100.0,0.114,2.63
7494,Houston Dash,29,2.662,67.0,0.092,2.31
7494,Utah Royals,28,2.967,111.0,0.106,3.96
7496,Utah Royals,41,3.962,98.0,0.097,2.39
7496,Washington Spirit,11,0.94,32.0,0.085,2.91
7497,Chicago Red Stars,38,2.839,102.0,0.075,2.68
7497,North Carolina Courage,49,3.86,125.0,0.079,2.55
7500,Orlando Pride,26,1.6,52.0,0.062,2.0
7500,Portland Thorns,56,13.11,185.0,0.234,3.3
7519,North Carolina Courage,38,7.441,79.0,0.196,2.08
7519,Portland Thorns,10,0.73,20.0,0.073,2.0
7520,Chicago Red Stars,22,2.503,58.0,0.114,2.64
7520,Washington Spirit,19,2.293,50.0,0.121,2.63
7521,NJ/NY Gotham FC,31,2.654,59.0,0.086,1.9
7521,Utah Royals,19,1.401,49.0,0.074,2.58
7522,Houston Dash,24,0.994,63.0,0.041,2.62
7522,North Carolina Courage,16,1.846,34.0,0.115,2.12
7523,OL Reign,53,6.74,166.0,0.127,3.13
7523,Orlando Pride,27,2.24,55.0,0.083,2.04
7524,Houston Dash,33,3.5460000000000003,69.0,0.107,2.09
7524,Orlando Pride,62,6.989,263.0,0.113,4.24
7525,Russia,38,3.017,90.0,0.079,2.37
7525,Saudi Arabia,24,0.617,78.0,0.026,3.25
7529,Croatia,34,2.674,170.0,0.079,5.0
7529,Nigeria,54,3.283,148.0,0.061,2.74
7530,Australia,5,0.092,12.0,0.018,2.4
7530,France,28,0.933,82.0,0.033,2.93
7531,Argentina,103,6.808,436.0,0.066,4.23
7531,Iceland,18,1.86,45.0,0.103,2.5
7532,Denmark,29,2.127,66.0,0.073,2.28
7532,Peru,67,5.518,172.0,0.082,2.57
7533,Brazil,53,8.329,190.0,0.157,3.58
7533,Switzerland,23,0.97,54.0,0.042,2.35
7534,Germany,106,10.193,298.0,0.096,2.81
7534,Mexico,23,1.8840000000000001,49.0,0.082,2.13
7535,Costa Rica,31,2.104,132.0,0.068,4.26
7535,Serbia,32,8.011,78.0,0.25,2.44
7536,Belgium,36,4.186,82.0,0.116,2.28
7536,Panama,15,2.106,48.0,0.14,3.2
7537,England,34,4.7379999999999995,88.0,0.139,2.59
7537,Tunisia,14,0.655,59.0,0.047,4.21
7538,South Korea,10,1.504,22.0,0.15,2.2
7538,Sweden,30,2.613,101.0,0.087,3.37
7539,Poland,28,2.422,81.0,0.087,2.89
7539,Senegal,19,2.177,49.0,0.115,2.58
7540,Egypt,51,3.2680000000000002,115.0,0.064,2.25
7540,Russia,27,1.222,60.0,0.045,2.22
7541,Colombia,12,1.305,32.0,0.109,2.67
7541,Japan,45,4.087,190.0,0.091,4.22
7542,Morocco,48,3.522,143.0,0.073,2.98
7542,Portugal,19,1.517,38.0,0.08,2.0
7543,Iran,14,1.304,23.0,0.093,1.64
7543,Spain,59,6.464,249.0,0.11,4.22
