match_id,team,zone,defensive_actions
7298,Chelsea FCW,Attacking Third,12
7298,Chelsea FCW,Defensive Third,16
7298,Chelsea FCW,Middle Third,14
7298,Manchester City WFC,Attacking Third,4
7298,Manchester City WFC,Defensive Third,42
7298,Manchester City WFC,Middle Third,10
7430,North Carolina Courage,Attacking Third,14
7430,North Carolina Courage,Defensive Third,38
7430,North Carolina Courage,Middle Third,27
7430,Washington Spirit,Attacking Third,3
7430,Washington Spirit,Defensive Third,42
7430,Washington Spirit,Middle Third,6
7443,OL Reign,Attacking Third,6
7443,OL Reign,Defensive Third,45
7443,OL Reign,Middle Third,8
7443,Portland Thorns,Defensive Third,35
7443,Portland Thorns,Middle Third,11
7444,Chicago Red Stars,Attacking Third,4
7444,Chicago Red Stars,Defensive Third,83
7444,Chicago Red Stars,Middle Third,21
7444,North Carolina Courage,Attacking Third,3
7444,North Carolina Courage,Defensive Third,34
7444,North Carolina Courage,Middle Third,13
7445,Utah Royals,Attacking Third,8
7445,Utah Royals,Defensive Third,37
7445,Utah Royals,Middle Third,16
7445,Washington Spirit,Attacking Third,4
7445,Washington Spirit,Defensive Third,22
7445,Washington Spirit,Middle Third,5
7451,North Carolina Courage,Attacking Third,5
7451,North Carolina Courage,Defensive Third,25
7451,North Carolina Courage,Middle Third,15
7451,Washington Spirit,Attacking Third,6
7451,Washington Spirit,Defensive Third,52
7451,Washington Spirit,Middle Third,12
7456,NJ/NY Gotham FC,Attacking Third,3
7456,NJ/NY Gotham FC,Defensive Third,51
7456,NJ/NY Gotham FC,Middle Third,8
7456,North Carolina Courage,Attacking Third,6
7456,North Carolina Courage,Defensive Third,16
7456,North Carolina Courage,Middle Third,11
7457,North Carolina Courage,Attacking Third,7
7457,North Carolina Courage,Defensive Third,19
7457,North Carolina Courage,Middle Third,12
7457,Orlando Pride,Attacking Third,3
7457,Orlando Pride,Defensive Third,48
7457,Orlando Pride,Middle Third,20
7471,North Carolina Courage,Attacking Third,6
7471,North Carolina Courage,Defensive Third,33
7471,North Carolina Courage,Middle Third,19
7471,Orlando Pride,Attacking Third,1
7471,Orlando Pride,Defensive Third,27
7471,Orlando Pride,Middle Third,13
7472,OL Reign,Defensive Third,13
7472,OL Reign,Middle Third,16
7472,Portland Thorns,Attacking Third,6
7472,Portland Thorns,Defensive Third,29
7472,Portland Thorns,Middle Third,12
7473,NJ/NY Gotham FC,Attacking Third,6
7473,NJ/NY Gotham FC,Defensive Third,19
7473,NJ/NY Gotham FC,Middle Third,8
7473,Utah Royals,Attacking Third,2
