match_id,team,counter_attacks,avg_distance_gained,avg_time_elapsed,avg_speed_units_per_sec
7298,Chelsea FCW,34,20.23,5.04,4.1
7298,Manchester City WFC,29,13.9,5.19,2.87
7430,North Carolina Courage,51,16.95,4.66,3.79
7430,Washington Spirit,39,11.47,5.05,2.52
7443,Portland Thorns,32,15.96,4.81,3.45
7443,OL Reign,26,11.38,4.49,2.86
7444,Chicago Red Stars,32,18.09,4.36,4.29
7444,North Carolina Courage,49,15.49,4.7,3.55
7445,Washington Spirit,26,10.54,4.77,3.04
7445,Utah Royals,34,11.64,4.55,2.85
7451,Washington Spirit,31,16.08,4.84,3.41
7451,North Carolina Courage,38,13.71,4.65,3.21
7456,North Carolina Courage,40,16.19,5.16,3.69
7456,NJ/NY Gotham FC,33,13.96,4.61,3.28
7457,North Carolina Courage,44,13.49,4.92,3.18
7457,Orlando Pride,30,13.64,5.11,2.89
7471,North Carolina Courage,48,15.23,4.98,4.05
7471,Orlando Pride,40,13.74,4.73,3.24
7472,Portland Thorns,24,14.41,4.73,3.2
7472,OL Reign,36,11.18,4.21,3.02
7473,Utah Royals,26,12.12,4.86,3.25
7473,NJ/NY Gotham FC,26,12.85,4.47,3.12
7474,Chicago Red Stars,35,19.14,5.08,4.94
7474,Washington Spirit,36,14.45,4.69,4.33
7475,Chicago Red Stars,38,16.18,4.86,3.72
7475,North Carolina Courage,40,13.65,4.86,3.51
7476,NJ/NY Gotham FC,43,15.7,4.16,5.63
7476,Chicago Red Stars,34,12.78,4.21,3.2
7477,Portland Thorns,36,16.85,4.84,3.59
7477,Utah Royals,36,15.98,4.87,3.52
7478,OL Reign,41,13.72,4.17,4.01
7478,Houston Dash,41,15.94,4.64,3.66
7479,Washington Spirit,39,14.64,4.66,3.55
7479,Orlando Pride,37,16.19,4.83,3.36
7480,Utah Royals,37,17.52,4.85,4.11
7480,OL Reign,32,13.84,5.01,3.49
7482,Washington Spirit,28,13.89,4.42,3.8
7482,North Carolina Courage,44,16.15,5.25,3.32
7483,Orlando Pride,28,16.04,4.82,3.66
7483,Utah Royals,24,14.97,4.84,3.46
7484,North Carolina Courage,37,16.33,4.39,3.94
7484,NJ/NY Gotham FC,40,13.46,4.56,3.42
7485,OL Reign,26,18.91,4.57,4.86
7485,Chicago Red Stars,33,15.07,4.65,4.0
7486,Portland Thorns,41,13.84,4.21,4.46
7486,Houston Dash,29,17.03,4.99,3.63
7487,North Carolina Courage,35,17.92,4.14,4.65
7487,Utah Royals,31,13.2,4.91,2.85
7490,Portland Thorns,36,13.1,4.01,17.92
7490,NJ/NY Gotham FC,35,12.52,4.56,4.4
7492,NJ/NY Gotham FC,25,11.25,4.3,6.45
7492,Orlando Pride,35,13.08,5.12,4.27
7493,Washington Spirit,29,14.96,4.33,3.69
7493,OL Reign,32,18.29,5.47,3.59
7494,Houston Dash,38,17.83,5.0,3.85
7494,Utah Royals,35,14.38,5.12,3.25
7496,Washington Spirit,25,15.17,5.08,3.9
