match_id,team,opponent_passes,defensive_actions,ppda
7298,Chelsea FCW,228,26,8.77
7298,Manchester City WFC,333,14,23.79
7430,North Carolina Courage,214,54,3.96
7430,Washington Spirit,287,28,10.25
7443,OL Reign,309,17,18.18
7443,Portland Thorns,226,22,10.27
7444,Chicago Red Stars,307,26,11.81
7444,North Carolina Courage,166,21,7.9
7445,Utah Royals,278,21,13.24
7445,Washington Spirit,280,28,10.0
7451,North Carolina Courage,196,23,8.52
7451,Washington Spirit,289,19,15.21
7456,NJ/NY Gotham FC,324,17,19.06
7456,North Carolina Courage,157,30,5.23
7457,North Carolina Courage,200,22,9.09
7457,Orlando Pride,284,29,9.79
7471,North Carolina Courage,293,34,8.62
7471,Orlando Pride,234,18,13.0
7472,OL Reign,229,29,7.9
7472,Portland Thorns,305,22,13.86
7473,NJ/NY Gotham FC,309,20,15.45
7473,Utah Royals,208,19,10.95
7474,Chicago Red Stars,229,29,7.9
7474,Washington Spirit,238,25,9.52
7475,Chicago Red Stars,271,22,12.32
7475,North Carolina Courage,261,18,14.5
7476,Chicago Red Stars,237,35,6.77
7476,NJ/NY Gotham FC,317,32,9.91
7477,Portland Thorns,287,27,10.63
7477,Utah Royals,204,32,6.38
7478,Houston Dash,322,35,9.2
7478,OL Reign,236,29,8.14
7479,Orlando Pride,181,25,7.24
7479,Washington Spirit,344,24,14.33
7480,OL Reign,260,19,13.68
7480,Utah Royals,199,17,11.71
7482,North Carolina Courage,178,20,8.9
7482,Washington Spirit,332,22,15.09
7483,Orlando Pride,214,20,10.7
7483,Utah Royals,202,16,12.63
7484,NJ/NY Gotham FC,253,28,9.04
7484,North Carolina Courage,224,24,9.33
7485,Chicago Red Stars,219,22,9.95
7485,OL Reign,288,27,10.67
7486,Houston Dash,319,21,15.19
7486,Portland Thorns,180,29,6.21
7487,North Carolina Courage,252,26,9.69
7487,Utah Royals,218,17,12.82
7490,NJ/NY Gotham FC,233,18,12.94
7490,Portland Thorns,278,31,8.97
7492,NJ/NY Gotham FC,321,14,22.93
7492,Orlando Pride,167,26,6.42
7493,OL Reign,240,30,8.0
7493,Washington Spirit,258,37,6.97
7494,Houston Dash,383,21,18.24
7494,Utah Royals,219,20,10.95
7496,Utah Royals,226,18,12.56
7496,Washington Spirit,273,18,15.17
7497,Chicago Red Stars,291,32,9.09
7497,North Carolina Courage,282,31,9.1
7500,Orlando Pride,242,21,11.52
7500,Portland Thorns,208,18,11.56
7519,North Carolina Courage,233,27,8.63
7519,Portland Thorns,176,21,8.38
7520,Chicago Red Stars,276,30,9.2
7520,Washington Spirit,228,23,9.91
7521,NJ/NY Gotham FC,271,32,8.47
7521,Utah Royals,234,13,18.0
7522,Houston Dash,298,20,14.9
7522,North Carolina Courage,211,28,7.54
7523,OL Reign,273,27,10.11
7523,Orlando Pride,270,32,8.44
7524,Houston Dash,429,27,15.89
7524,Orlando Pride,150,23,6.52
7525,Russia,320,37,8.65
7525,Saudi Arabia,254,29,8.76
7529,Croatia,236,34,6.94
7529,Nigeria,288,25,11.52
7530,Australia,393,28,14.04
7530,France,213,27,7.89
7531,Argentina,129,17,7.59
7531,Iceland,646,28,23.07
7532,Denmark,294,34,8.65
7532,Peru,261,23,11.35
7533,Brazil,287,21,13.67
7533,Switzerland,333,29,11.48
7534,Germany,178,23,7.74
7534,Mexico,502,21,23.9
7535,Costa Rica,299,29,10.31
7535,Serbia,329,26,12.65
7536,Belgium,222,26,8.54
7536,Panama,418,30,13.93
7537,England,157,21,7.48
7537,Tunisia,381,22,17.32
7538,South Korea,337,33,10.21
7538,Sweden,241,31,7.77
7539,Poland,233,15,15.53
7539,Senegal,355,31,11.45
7540,Egypt,323,27,11.96
7540,Russia,330,23,14.35
7541,Colombia,483,24,20.13
7541,Japan,236,27,8.74
7542,Morocco,222,46,4.83
7542,Portugal,369,26,14.19
7543,Iran,653,16,40.81
7543,Spain,123,19,6.47
7544,Saudi Arabia,375,30,12.5
7544,Uruguay,397,24,16.54
7545,Argentina,224,41,5.46
7545,Croatia,345,29,11.9
7546,France,359,31,11.58
7546,Peru,288,22,13.09
7547,Australia,345,9,38.33
7547,Denmark,310,21,14.76
7548,Brazil,161,28,5.75
7548,Costa Rica,578,20,28.9
7549,Iceland,376,29,12.97
7549,Nigeria,231,18,12.83
7550,Serbia,324,36,9.0
7550,Switzerland,202,23,8.78
7551,Germany,141,26,5.42
7551,Sweden,557,26,21.42
7552,Belgium,288,26,11.08
7552,Tunisia,278,19,14.63
7553,Mexico,227,27,8.41
7553,South Korea,351,28,12.54
7554,England,283,23,12.3
7554,Panama,465,22,21.14
7555,Colombia,301,29,10.38
7555,Poland,352,50,7.04
7556,Japan,239,25,9.56
7556,Senegal,302,31,9.74
7557,Iran,433,30,14.43
7557,Portugal,134,13,10.31
7558,Russia,350,27,12.96
7558,Uruguay,248,28,8.86
7559,Egypt,533,22,24.23
7559,Saudi Arabia,196,18,10.89
7560,Morocco,621,17,36.53
7560,Spain,118,25,4.72
7561,Croatia,230,20,11.5
7561,Iceland,353,25,14.12
7562,Australia,248,17,14.59
7562,Peru,364,21,17.33
7563,Denmark,540,30,18.0
7563,France,192,16,12.0
7564,Argentina,181,31,5.84
7564,Nigeria,431,34,12.68
7565,Brazil,324,21,15.43
7565,Serbia,433,30,14.43
7566,Mexico,149,21,7.1
7566,Sweden,385,27,14.26
7567,Germany,129,15,8.6
7567,South Korea,552,27,20.44
7568,Costa Rica,302,23,13.13
7568,Switzerland,221,18,12.28
7569,Panama,434,37,11.73
7569,Tunisia,171,29,5.9
7570,Belgium,309,28,11.04
7570,England,330,24,13.75
7571,Colombia,194,16,12.13
7571,Senegal,245,29,8.45
7572,Japan,312,23,13.57
7572,Poland,401,26,15.42
7576,Portugal,578,17,34.0
7576,Spain,249,18,13.83
7577,Iran,333,27,12.33
7577,Morocco,142,34,4.18
7578,Egypt,433,40,10.82
7578,Uruguay,292,24,12.17
7579,Portugal,177,26,6.81
7579,Uruguay,459,29,15.83
7580,Argentina,198,27,7.33
7580,France,381,29,13.14
7581,Croatia,368,22,16.73
7581,Denmark,405,36,11.25
7582,Russia,968,32,30.25
7582,Spain,176,19,9.26
7583,Brazil,289,24,12.04
7583,Mexico,231,31,7.45
