season_name,player,team,total_passes,total_opponents_packed,avg_packing_per_pass,progressive_passes,avg_packing_progressive
2024,Dominik Szoboszlai,Hungary,18,72.0,4.0,10.0,6.4
2022,Harry Wilson,Wales,8,27.0,3.38,5.0,4.8
2024,Angus Gunn,Scotland,13,40.0,3.08,13.0,3.08
2022,Saeid Ezatolahi Afagh,Iran,6,18.0,3.0,5.0,3.4
2024,Trent Alexander-Arnold,England,10,29.0,2.9,7.0,3.71
2022,Pierre Kunde Malong,Cameroon,9,26.0,2.89,6.0,4.33
2022,Bruno Petković,Croatia,5,14.0,2.8,1.0,4.0
2024,Andrei Burcă Andonie,Romania,10,26.0,2.6,8.0,3.25
2022,Bryan Mbeumo,Cameroon,14,36.0,2.57,3.0,5.67
2022,Kang-In Lee,South Korea,11,28.0,2.55,9.0,3.0
2024,Norbert Gyömbér,Slovakia,7,17.0,2.43,6.0,2.67
2022,Sebastian Szymański,Poland,5,12.0,2.4,2.0,5.5
2022,Chul Hong,South Korea,5,12.0,2.4,3.0,4.0
2024,Memphis Depay,Netherlands,5,12.0,2.4,2.0,0.5
2022,Harry Kane,England,11,26.0,2.36,8.0,2.88
2022,Angelo Smit Preciado Quiñónez,Ecuador,17,40.0,2.35,10.0,3.5
2024,Harry Kane,England,6,14.0,2.33,5.0,2.8
2022,Kylian Mbappé Lottin,France,6,14.0,2.33,2.0,5.5
2022,Luis Gerardo Chávez Magallón,Mexico,17,39.0,2.29,10.0,3.6
2024,Scott McTominay,Scotland,7,16.0,2.29,3.0,4.33
2024,Hakan Çalhanoğlu,Turkey,17,39.0,2.29,9.0,2.56
2022,Ehsan Hajsafi,Iran,12,27.0,2.25,5.0,2.8
2022,Marco Asensio Willemsen,Spain,9,20.0,2.22,4.0,4.0
2022,Antoine Griezmann,France,24,53.0,2.21,13.0,2.38
2024,Bukayo Saka,England,10,22.0,2.2,2.0,5.5
2022,Karl Brillant Toko Ekambi,Cameroon,5,11.0,2.2,2.0,4.5
2024,Youssouf Fofana,France,5,11.0,2.2,3.0,3.0
2022,Jonathan David,Canada,5,11.0,2.2,2.0,5.0
2024,Tomáš Souček,Czech Republic,5,11.0,2.2,5.0,2.2
2024,Sebastian Szymański,Poland,5,11.0,2.2,3.0,3.67
2024,Dominik Szoboszlai,Hungary,21,46.0,2.19,8.0,4.5
2024,Ferrán Torres García,Spain,6,13.0,2.17,3.0,3.33
2024,Lukáš Haraslín,Slovakia,6,13.0,2.17,3.0,3.33
2022,Mohammed Kudus,Ghana,7,15.0,2.14,2.0,5.5
2024,Romano Schmid,Austria,7,15.0,2.14,4.0,3.5
2024,Mykhailo Mudryk,Ukraine,8,17.0,2.13,7.0,2.29
2022,João Mário Naval da Costa Eduardo,Portugal,9,19.0,2.11,1.0,1.0
2022,Philip Foden,England,9,19.0,2.11,4.0,1.75
2022,Ivan Perišić,Croatia,9,19.0,2.11,3.0,3.33
2022,Luis Gerardo Chávez Magallón,Mexico,20,42.0,2.1,14.0,2.79
2024,Ousmane Dembélé,France,13,27.0,2.08,5.0,2.6
2024,Declan Rice,England,17,35.0,2.06,6.0,3.83
2024,Bruno Miguel Borges Fernandes,Portugal,26,53.0,2.04,16.0,2.75
2024,Luka Sučić,Croatia,9,18.0,2.0,5.0,2.6
2022,Dries Mertens,Belgium,5,10.0,2.0,2.0,3.0
2024,Pedro González López,Spain,14,28.0,2.0,7.0,3.0
2024,İlkay Gündoğan,Germany,7,14.0,2.0,5.0,2.4
2022,Richie Laryea,Canada,5,10.0,2.0,4.0,1.25
