season_name,match_id,player,team,possessions_with_buildup,xg_buildup,avg_xg_per_possession,total_touches_in_buildup,minutes_played,xg_buildup_per90
2024,3930166,Pedro Lomba Neto,Portugal,1,0.59,0.59,4.0,5.0,10.62
2024,3942382,Joshua Zirkzee,Netherlands,1,0.072,0.072,2.0,1.0,6.47
2024,3930168,Dániel Gazdag,Hungary,1,0.284,0.284,1.0,4.0,6.391
2023,3920386,Paul Onuachu,Nigeria,1,0.551,0.138,8.0,8.0,6.203
2024,3939974,Brenden Aaronson,United States,1,1.089,0.544,10.0,16.0,6.125
2023,3920387,Laros Duarte,Cape Verde Islands,1,0.858,0.858,1.0,13.0,5.937
2022,3869685,Paulo Bruno Exequiel Dybala,Argentina,1,0.107,0.107,2.0,2.0,4.795
2024,3930161,Ernest Muçi,Albania,1,0.104,0.104,6.0,2.0,4.682
2024,3939975,Juan Fernando Quintero Paniagua,Colombia,1,0.102,0.102,4.0,2.0,4.575
2023,3920408,Alejandro Balboa Bandeira,Equatorial Guinea,1,0.275,0.275,1.0,6.0,4.12
2024,3939974,Luca de la Torre,United States,2,1.133,0.378,10.0,27.0,3.778
2024,3942227,Vincent Sierro,Switzerland,1,0.157,0.079,8.0,4.0,3.542
2024,3939973,Abdiel Armando Ayarza Cocanegra,Panama,1,0.076,0.076,1.0,2.0,3.422
2024,3942852,Luis Fernando Sinisterra Lucumí,Colombia,1,0.33,0.33,2.0,9.0,3.295
2023,3920384,Idrissa Doumbia,Côte d'Ivoire,1,0.096,0.096,4.0,3.0,2.866
2023,3920411,Mostafa Fathi,Egypt,1,0.221,0.221,2.0,7.0,2.836
2023,3920419,Bilal El Khannous,Morocco,2,0.796,0.265,6.0,27.0,2.655
2024,3938639,Sandro Altunashvili,Georgia,1,0.396,0.198,4.0,14.0,2.547
2024,3939969,Nicolás Hernán Otamendi,Argentina,1,0.415,0.415,3.0,15.0,2.49
2023,3920405,Amine Harit,Morocco,1,0.425,0.425,4.0,16.0,2.388
2023,3922238,Kenneth Josiah Omeruo,Nigeria,1,0.207,0.207,1.0,8.0,2.327
2022,3857271,Philip Foden,England,1,0.626,0.626,1.0,25.0,2.255
2023,3920400,Junior Tchamadeu,Cameroon,1,0.116,0.116,1.0,5.0,2.094
2022,3857271,Marcus Rashford,England,1,0.626,0.626,2.0,27.0,2.088
