season_name,match_id,team,player,total_pressures,counterpresses,pressure_regains,high_pressures,pressure_success_pct,minutes_played,pressures_per_90
2024,3939977,Chile,Rodrigo Eduardo Echeverría Sáez,40,10.0,6.0,4,15.0,94,38.3
2024,3939969,Canada,Alistair Johnston,39,6.0,10.0,11,25.64,92,38.15
2023,3922237,Angola,Deivi Miguel Vieira,38,9.0,4.0,10,10.53,69,49.57
2024,3942227,England,Philip Foden,37,8.0,4.0,15,10.81,113,29.47
2023,3922242,Senegal,Ismail Jakobs,37,5.0,10.0,5,27.03,121,27.52
2024,3930165,Austria,Christoph Baumgartner,37,8.0,4.0,23,10.81,98,33.98
2022,3869552,France,Antoine Griezmann,36,5.0,3.0,8,8.33,95,34.11
2023,3920393,Namibia,Prins Menelik Tjiueza,35,9.0,4.0,15,11.43,72,43.75
2023,3920391,Mali,Kamory Doumbia,35,4.0,13.0,11,37.14,91,34.62
2024,3938641,Austria,Christoph Baumgartner,35,7.0,5.0,13,14.29,79,39.87
2024,3938643,Poland,Kacper Urbanski,35,7.0,2.0,5,5.71,94,33.51
2024,3939969,Canada,Liam Millar,35,7.0,5.0,9,14.29,84,37.5
2022,3857255,Japan,Daizen Maeda,35,1.0,3.0,13,8.57,61,51.64
2024,3938645,Ukraine,Mykola Shaparenko,34,6.0,3.0,4,8.82,69,44.35
2024,3930172,Italy,Lorenzo Pellegrini,34,3.0,1.0,9,2.94,79,38.73
2024,3939970,Peru,Piero Aldair Quispe Córdova,34,3.0,8.0,7,23.53,70,43.71
2022,3869420,Croatia,Mateo Kovačić,34,7.0,10.0,3,29.41,107,28.6
2022,3869552,France,Youssouf Fofana,34,3.0,11.0,1,32.35,93,32.9
2023,3922659,Mali,Kamory Doumbia,34,4.0,8.0,14,23.53,95,32.21
2024,3938645,Ukraine,Oleksandr Tymchyk,34,6.0,9.0,1,26.47,92,33.26
2024,3930176,Switzerland,Fabian Rieder,33,5.0,2.0,7,6.06,65,45.69
2023,3920385,Mozambique,Ricardo Martins Guimarães,33,5.0,7.0,0,21.21,88,33.75
2022,3857296,Croatia,Ivan Perišić,33,5.0,2.0,14,6.06,93,31.94
2023,3920416,South Africa,Teboho Mokoena,33,8.0,7.0,4,21.21,94,31.6
2023,3920400,Senegal,Lamine Camara,33,12.0,2.0,4,6.06,83,35.78
2024,3941020,Slovenia,Adam Gnezda Čerin,33,6.0,5.0,4,15.15,116,25.6
2022,3857284,Japan,Wataru Endo,33,4.0,11.0,5,33.33,97,30.62
2024,3930162,Slovenia,Adam Gnezda Čerin,33,5.0,7.0,5,21.21,92,32.28
2023,3920408,Côte d'Ivoire,Ibrahim Sangaré,32,10.0,8.0,7,25.0,96,30.0
2023,3920403,Angola,Manuel Luís da Silva Cafumana,32,4.0,7.0,2,21.88,92,31.3
2023,3920418,Tanzania,Haji Mnoga,32,4.0,7.0,5,21.88,88,32.73
2022,3857286,Ecuador,Gonzalo Jordy Plata Jiménez,32,7.0,5.0,7,15.63,92,31.3
2024,3939977,Chile,Eduardo Jesús Vargas Rojas,32,3.0,4.0,10,12.5,86,33.49
2023,3920418,Congo DR,Samuel Moutoussamy,32,6.0,4.0,3,12.5,92,31.3
2024,3930158,Scotland,Ryan Christie,32,5.0,2.0,4,6.25,80,36.0
2022,3857261,Wales,Kieffer Roberto Francisco Moore,31,1.0,0.0,16,0.0,92,30.33
2024,3939969,Canada,Jonathan David,31,2.0,4.0,15,12.9,88,31.7
2023,3920415,Mauritania,Bodda Mouhsine,31,5.0,9.0,1,29.03,100,27.9
2023,3920390,Angola,Alfredo Kulembe Ribeiro,31,2.0,7.0,2,22.58,87,32.07
2022,3857272,United States,Tyler Adams,31,10.0,7.0,2,22.58,90,31.0
2024,3930165,Austria,Nicolas Seiwald,30,2.0,10.0,6,33.33,98,27.55
2023,3922659,Côte d'Ivoire,Franck Yannick Kessié,30,5.0,10.0,3,33.33,116,23.28
2023,3922240,Congo DR,Samuel Moutoussamy,30,6.0,8.0,8,26.67,117,23.08
2024,3939978,Peru,Wilder José Cartagena Mendoza,30,4.0,8.0,3,26.67,97,27.84
2022,3869321,Netherlands,Frenkie de Jong,30,4.0,3.0,7,10.0,117,23.08
