season_name,match_id,team,player,tackles,interceptions,pressures,blocks,clearances,ball_recoveries,fouls_committed,duels_won,total_duels,defensive_third_actions,middle_third_actions,attacking_third_actions,high_turnovers,total_defensive_actions,duel_win_pct,pressure_pct,tackle_interception_pct,high_turnover_pct,attacking_third_pct,defensive_profile
2023,3922242,Senegal,Ismail Jakobs,0.0,4.0,37.0,7.0,4.0,4.0,2.0,1.0,7.0,39.0,16.0,10.0,2.0,48.0,14.29,77.08,8.33,4.17,15.38,Balanced Defender
2024,3939977,Chile,Rodrigo Eduardo Echeverría Sáez,0.0,2.0,40.0,3.0,0.0,9.0,0.0,0.0,3.0,14.0,35.0,8.0,3.0,45.0,0.0,88.89,4.44,6.67,14.04,Balanced Defender
2024,3939969,Canada,Alistair Johnston,0.0,2.0,39.0,1.0,1.0,2.0,1.0,0.0,5.0,19.0,20.0,12.0,0.0,42.0,0.0,92.86,4.76,0.0,23.53,Balanced Defender
2024,3941020,Slovenia,Adam Gnezda Čerin,0.0,2.0,33.0,6.0,2.0,6.0,2.0,1.0,4.0,24.0,22.0,9.0,2.0,41.0,25.0,80.49,4.88,4.88,16.36,Balanced Defender
2023,3922237,Angola,Deivi Miguel Vieira,0.0,3.0,38.0,0.0,0.0,2.0,0.0,1.0,1.0,20.0,13.0,11.0,1.0,41.0,100.0,92.68,7.32,2.44,25.0,Dominant Duelist
2022,3857284,Japan,Wataru Endo,0.0,0.0,33.0,7.0,6.0,4.0,3.0,0.0,5.0,25.0,24.0,9.0,1.0,40.0,0.0,82.5,0.0,2.5,15.52,Balanced Defender
2024,3930165,Austria,Nicolas Seiwald,0.0,3.0,30.0,6.0,3.0,4.0,0.0,1.0,7.0,26.0,18.0,9.0,1.0,39.0,14.29,76.92,7.69,2.56,16.98,Balanced Defender
2022,3869420,Croatia,Mateo Kovačić,0.0,2.0,34.0,3.0,1.0,5.0,2.0,2.0,7.0,26.0,23.0,5.0,1.0,39.0,28.57,87.18,5.13,2.56,9.26,Balanced Defender
2022,3869552,France,Antoine Griezmann,0.0,2.0,36.0,1.0,3.0,4.0,0.0,0.0,1.0,17.0,22.0,8.0,0.0,39.0,0.0,92.31,5.13,0.0,17.02,Balanced Defender
2024,3939969,Canada,Liam Millar,0.0,0.0,35.0,4.0,3.0,4.0,1.0,0.0,1.0,10.0,26.0,12.0,1.0,39.0,0.0,89.74,0.0,2.56,25.0,Balanced Defender
