season_name,match_id,team,total_actions,final_third_actions,field_tilt_pct
2022,3857254,Denmark,1231,304,24.7
2022,3857254,Tunisia,779,117,15.02
2022,3857255,Spain,2047,547,26.72
2022,3857255,Japan,423,80,18.91
2022,3857256,Switzerland,761,182,23.92
2022,3857256,Serbia,910,196,21.54
2022,3857257,Australia,594,171,28.79
2022,3857257,Denmark,1338,345,25.78
2022,3857258,Brazil,1210,389,32.15
2022,3857258,Serbia,802,144,17.96
2022,3857259,Cameroon,694,194,27.95
2022,3857259,Serbia,1003,277,27.62
2022,3857260,Mexico,866,230,26.56
2022,3857260,Saudi Arabia,534,141,26.4
2022,3857261,England,1200,291,24.25
2022,3857261,Wales,608,87,14.31
2022,3857262,Portugal,1157,312,26.97
2022,3857262,South Korea,678,171,25.22
2022,3857263,Germany,687,161,23.44
2022,3857263,Spain,1212,174,14.36
2022,3857264,Argentina,1737,578,33.28
2022,3857264,Poland,576,61,10.59
2022,3857265,Mexico,1020,261,25.59
2022,3857265,Poland,632,146,23.1
2022,3857266,Denmark,1068,280,26.22
2022,3857266,France,1076,252,23.42
2022,3857267,Senegal,569,192,33.74
2022,3857267,Ecuador,814,154,18.92
2022,3857268,Canada,924,286,30.95
2022,3857268,Belgium,993,113,11.38
2022,3857269,Brazil,1161,367,31.61
2022,3857269,Switzerland,960,140,14.58
2022,3857270,Portugal,1160,305,26.29
2022,3857270,Uruguay,745,193,25.91
2022,3857271,Iran,456,105,23.03
2022,3857271,England,1533,309,20.16
2022,3857272,England,1056,241,22.82
2022,3857272,United States,845,182,21.54
2022,3857273,Iran,627,188,29.98
2022,3857273,Wales,998,238,23.85
2022,3857274,Ecuador,842,173,20.55
2022,3857274,Netherlands,955,143,14.97
2022,3857275,France,1269,314,24.74
2022,3857275,Tunisia,653,158,24.2
2022,3857276,Canada,1047,211,20.15
2022,3857276,Morocco,741,116,15.65
2022,3857277,Morocco,724,134,18.51
2022,3857277,Croatia,1263,199,15.76
2022,3857278,United States,974,288,29.57
2022,3857278,Iran,890,169,18.99
2022,3857279,France,1392,380,27.3
2022,3857279,Australia,849,118,13.9
2022,3857280,Brazil,1096,308,28.1
2022,3857280,Cameroon,590,134,22.71
2022,3857281,Croatia,947,276,29.14
2022,3857281,Canada,1016,250,24.61
2022,3857282,United States,1151,271,23.54
2022,3857282,Wales,801,148,18.48
2022,3857283,Morocco,656,122,18.6
2022,3857283,Belgium,1321,226,17.11
2022,3857284,Germany,1477,435,29.45
