season_name,match_id,team,progressive_passes,progressive_carries,progressive_passes_received,progressive_actions,progressive_carry_pct,progressive_pass_pct
2022,3857254,Denmark,55.0,21.0,53.0,129.0,16.28,42.64
2022,3857254,Tunisia,18.0,10.0,17.0,45.0,22.22,40.0
2022,3857255,Japan,19.0,7.0,11.0,37.0,18.92,51.35
2022,3857255,Spain,59.0,27.0,48.0,134.0,20.15,44.03
2022,3857256,Serbia,38.0,19.0,29.0,86.0,22.09,44.19
2022,3857256,Switzerland,20.0,13.0,15.0,48.0,27.08,41.67
2022,3857257,Australia,12.0,4.0,9.0,25.0,16.0,48.0
2022,3857257,Denmark,31.0,29.0,27.0,87.0,33.33,35.63
2022,3857258,Brazil,59.0,32.0,43.0,134.0,23.88,44.03
2022,3857258,Serbia,25.0,21.0,25.0,71.0,29.58,35.21
2022,3857259,Cameroon,13.0,13.0,9.0,35.0,37.14,37.14
2022,3857259,Serbia,40.0,42.0,40.0,122.0,34.43,32.79
2022,3857260,Mexico,24.0,19.0,17.0,60.0,31.67,40.0
2022,3857260,Saudi Arabia,14.0,6.0,9.0,29.0,20.69,48.28
2022,3857261,England,40.0,27.0,34.0,101.0,26.73,39.6
2022,3857261,Wales,4.0,2.0,0.0,6.0,33.33,66.67
2022,3857262,Portugal,30.0,17.0,20.0,67.0,25.37,44.78
2022,3857262,South Korea,16.0,6.0,7.0,29.0,20.69,55.17
2022,3857263,Germany,22.0,24.0,16.0,62.0,38.71,35.48
2022,3857263,Spain,24.0,16.0,20.0,60.0,26.67,40.0
2022,3857264,Argentina,64.0,52.0,64.0,180.0,28.89,35.56
2022,3857264,Poland,6.0,4.0,3.0,13.0,30.77,46.15
2022,3857265,Mexico,32.0,24.0,28.0,84.0,28.57,38.1
2022,3857265,Poland,7.0,3.0,2.0,12.0,25.0,58.33
2022,3857266,Denmark,33.0,17.0,25.0,75.0,22.67,44.0
2022,3857266,France,33.0,19.0,26.0,78.0,24.36,42.31
2022,3857267,Ecuador,20.0,11.0,14.0,45.0,24.44,44.44
2022,3857267,Senegal,21.0,11.0,11.0,43.0,25.58,48.84
2022,3857268,Belgium,13.0,6.0,7.0,26.0,23.08,50.0
2022,3857268,Canada,35.0,30.0,34.0,99.0,30.3,35.35
2022,3857269,Brazil,26.0,18.0,20.0,64.0,28.12,40.62
2022,3857269,Switzerland,6.0,5.0,4.0,15.0,33.33,40.0
2022,3857270,Portugal,27.0,23.0,23.0,73.0,31.51,36.99
2022,3857270,Uruguay,25.0,14.0,15.0,54.0,25.93,46.3
2022,3857271,England,47.0,18.0,34.0,99.0,18.18,47.47
2022,3857271,Iran,15.0,8.0,6.0,29.0,27.59,51.72
2022,3857272,England,25.0,10.0,12.0,47.0,21.28,53.19
2022,3857272,United States,22.0,15.0,18.0,55.0,27.27,40.0
2022,3857273,Iran,20.0,13.0,16.0,49.0,26.53,40.82
2022,3857273,Wales,31.0,19.0,31.0,81.0,23.46,38.27
2022,3857274,Ecuador,12.0,11.0,12.0,35.0,31.43,34.29
2022,3857274,Netherlands,22.0,13.0,16.0,51.0,25.49,43.14
2022,3857275,France,28.0,18.0,20.0,66.0,27.27,42.42
2022,3857275,Tunisia,19.0,10.0,12.0,41.0,24.39,46.34
2022,3857276,Canada,18.0,11.0,10.0,39.0,28.21,46.15
2022,3857276,Morocco,15.0,12.0,11.0,38.0,31.58,39.47
2022,3857277,Croatia,26.0,9.0,21.0,56.0,16.07,46.43
2022,3857277,Morocco,16.0,11.0,14.0,41.0,26.83,39.02
2022,3857278,Iran,30.0,11.0,22.0,63.0,17.46,47.62
2022,3857278,United States,40.0,35.0,36.0,111.0,31.53,36.04
2022,3857279,Australia,14.0,2.0,4.0,20.0,10.0,70.0
2022,3857279,France,49.0,30.0,46.0,125.0,24.0,39.2
2022,3857280,Brazil,39.0,27.0,23.0,89.0,30.34,43.82
2022,3857280,Cameroon,22.0,9.0,14.0,45.0,20.0,48.89
2022,3857281,Canada,27.0,18.0,23.0,68.0,26.47,39.71
2022,3857281,Croatia,36.0,34.0,34.0,104.0,32.69,34.62
2022,3857282,United States,36.0,29.0,33.0,98.0,29.59,36.73
2022,3857282,Wales,18.0,7.0,10.0,35.0,20.0,51.43
2022,3857283,Belgium,28.0,12.0,21.0,61.0,19.67,45.9
2022,3857283,Morocco,16.0,14.0,11.0,41.0,34.15,39.02
2022,3857284,Germany,42.0,27.0,42.0,111.0,24.32,37.84
2022,3857284,Japan,19.0,12.0,14.0,45.0,26.67,42.22
