season_name,player,team,matches,shots,xg,goals,goals_minus_xg
2022,Kylian Mbappé Lottin,France,7,32,5.02,9.0,3.98
2023,Jacinto Muondo Dala,Angola,3,9,1.52,4.0,2.48
2022,Cody Mathès Gakpo,Netherlands,4,5,0.56,3.0,2.44
2022,Bukayo Saka,England,4,7,0.58,3.0,2.42
2024,Cody Mathès Gakpo,Netherlands,5,13,0.88,3.0,2.12
2024,Ivan Schranz,Slovakia,3,5,0.88,3.0,2.12
2024,Lautaro Javier Martínez,Argentina,5,11,2.89,5.0,2.11
2024,Jamal Musiala,Germany,5,10,0.9,3.0,2.1
2022,Julián Álvarez,Argentina,5,11,1.91,4.0,2.09
2023,Emilio Nsue López,Equatorial Guinea,4,9,2.95,5.0,2.05
2022,Álvaro Borja Morata Martín,Spain,4,8,1.11,3.0,1.89
2022,Rafael Alexandre Conceição Leão,Portugal,4,5,0.25,2.0,1.75
2024,Folarin Balogun,United States,2,5,0.25,2.0,1.75
2023,Ademola Lookman,Nigeria,5,8,1.32,3.0,1.68
2024,Jefferson Andrés Lerma Solís,Colombia,5,8,0.33,2.0,1.67
2022,Marcus Rashford,England,5,11,1.38,3.0,1.62
2024,Daniel Olmo Carvajal,Spain,6,17,1.38,3.0,1.62
2023,Mohammed Kudus,Ghana,2,9,0.41,2.0,1.59
2024,Jude Bellingham,England,4,7,1.45,3.0,1.55
2023,Lassine Sinayoko,Mali,4,9,1.53,3.0,1.47
2022,Vincent Paté Aboubakar,Cameroon,2,6,0.53,2.0,1.47
2023,William Troost-Ekong,Nigeria,3,6,2.54,4.0,1.46
2024,Florian Wirtz,Germany,4,8,0.58,2.0,1.42
2022,Lionel Andrés Messi Cuccittini,Argentina,7,34,7.6,9.0,1.4
2022,Richarlison de Andrade,Brazil,4,8,1.62,3.0,1.38
2022,Mohammed Kudus,Ghana,3,8,0.66,2.0,1.34
2022,Gonçalo Matias Ramos,Portugal,2,7,1.67,3.0,1.33
2022,Gue-Sung Cho,South Korea,3,8,0.71,2.0,1.29
2023,Mohamed Bayo,Guinea,4,9,1.77,3.0,1.23
2024,José Fajardo Nelson,Panama,4,8,0.8,2.0,1.2
2023,Sébastien Haller,Côte d'Ivoire,4,11,1.88,3.0,1.12
2024,Răzvan Gabriel Marin,Romania,3,6,0.89,2.0,1.11
2023,Baghdad Bounedjah,Algeria,3,9,1.89,3.0,1.11
2024,Jonathan David,Canada,6,10,2.9,4.0,1.1
