season_name,match_id,team,total_shots,total_xg,npxg,total_goals,np_goals,avg_npxg_per_shot
2022,3857254,Denmark,11,1.567,1.567,0.0,0.0,0.142
2022,3857254,Tunisia,13,1.06,1.06,0.0,0.0,0.082
2022,3857255,Japan,6,1.158,1.158,2.0,2.0,0.193
2022,3857255,Spain,12,0.858,0.858,1.0,1.0,0.071
2022,3857256,Switzerland,14,3.104,3.104,3.0,3.0,0.222
2022,3857256,Serbia,12,1.189,1.189,2.0,2.0,0.099
2022,3857257,Denmark,14,0.737,0.737,0.0,0.0,0.053
2022,3857257,Australia,8,0.47,0.47,1.0,1.0,0.059
2022,3857258,Brazil,23,2.124,2.124,2.0,2.0,0.092
2022,3857258,Serbia,5,0.163,0.163,0.0,0.0,0.033
2022,3857259,Cameroon,13,2.07,2.07,3.0,3.0,0.159
2022,3857259,Serbia,15,1.738,1.738,3.0,3.0,0.116
2022,3857260,Mexico,26,2.322,2.322,2.0,2.0,0.089
2022,3857260,Saudi Arabia,10,1.076,1.076,1.0,1.0,0.108
2022,3857261,England,18,2.915,2.915,3.0,3.0,0.162
2022,3857261,Wales,7,0.208,0.208,0.0,0.0,0.03
2022,3857262,South Korea,12,1.399,1.399,2.0,2.0,0.117
2022,3857262,Portugal,13,0.974,0.974,1.0,1.0,0.075
2022,3857263,Germany,11,1.147,1.147,1.0,1.0,0.104
2022,3857263,Spain,7,0.64,0.64,1.0,1.0,0.091
2022,3857264,Argentina,24,3.077,2.293,2.0,2.0,0.1
2022,3857264,Poland,4,0.198,0.198,0.0,0.0,0.049
2022,3857265,Mexico,11,0.529,0.529,0.0,0.0,0.048
2022,3857265,Poland,6,1.138,0.354,0.0,0.0,0.071
2022,3857266,France,21,1.934,1.934,2.0,2.0,0.092
2022,3857266,Denmark,10,0.889,0.889,1.0,1.0,0.089
2022,3857267,Ecuador,9,1.002,1.002,1.0,1.0,0.111
2022,3857267,Senegal,13,1.707,0.924,2.0,1.0,0.077
2022,3857268,Canada,22,2.546,1.763,0.0,0.0,0.084
2022,3857268,Belgium,9,0.67,0.67,1.0,1.0,0.074
2022,3857269,Brazil,13,0.923,0.923,1.0,1.0,0.071
2022,3857269,Switzerland,6,0.289,0.289,0.0,0.0,0.048
2022,3857270,Uruguay,11,1.217,1.217,0.0,0.0,0.111
2022,3857270,Portugal,15,1.214,0.43,2.0,1.0,0.031
2022,3857271,England,13,1.987,1.987,6.0,6.0,0.153
2022,3857271,Iran,8,1.456,0.672,2.0,1.0,0.096
2022,3857272,United States,10,0.514,0.514,0.0,0.0,0.051
2022,3857272,England,8,0.461,0.461,0.0,0.0,0.058
2022,3857273,Iran,21,1.454,1.454,2.0,2.0,0.069
2022,3857273,Wales,10,0.616,0.616,0.0,0.0,0.062
2022,3857274,Ecuador,15,1.651,1.651,1.0,1.0,0.11
2022,3857274,Netherlands,2,0.104,0.104,1.0,1.0,0.052
2022,3857275,France,10,0.477,0.477,0.0,0.0,0.048
2022,3857275,Tunisia,5,0.298,0.298,1.0,1.0,0.06
2022,3857276,Canada,5,1.096,1.096,0.0,0.0,0.219
2022,3857276,Morocco,7,0.426,0.426,2.0,2.0,0.061
2022,3857277,Croatia,5,0.85,0.85,0.0,0.0,0.17
2022,3857277,Morocco,8,0.363,0.363,0.0,0.0,0.045
2022,3857278,United States,12,1.17,1.17,1.0,1.0,0.097
2022,3857278,Iran,4,0.921,0.921,0.0,0.0,0.23
2022,3857279,France,23,3.17,3.17,4.0,4.0,0.138
2022,3857279,Australia,4,0.323,0.323,1.0,1.0,0.081
2022,3857280,Brazil,21,2.378,2.378,0.0,0.0,0.113
2022,3857280,Cameroon,7,0.383,0.383,1.0,1.0,0.055
2022,3857281,Croatia,13,2.61,2.61,4.0,4.0,0.201
2022,3857281,Canada,8,0.287,0.287,1.0,1.0,0.036
2022,3857282,Wales,7,1.395,0.612,1.0,0.0,0.102
2022,3857282,United States,6,0.602,0.602,1.0,1.0,0.1
2022,3857283,Morocco,10,0.991,0.991,2.0,2.0,0.099
2022,3857283,Belgium,10,0.643,0.643,0.0,0.0,0.064
2022,3857284,Germany,26,2.768,1.985,1.0,0.0,0.079
2022,3857284,Japan,12,1.249,1.249,2.0,2.0,0.104
2022,3857285,Netherlands,10,1.124,1.124,2.0,2.0,0.112
2022,3857285,Senegal,15,0.691,0.691,0.0,0.0,0.046
2022,3857286,Ecuador,6,1.154,0.371,2.0,1.0,0.074
2022,3857286,Qatar,5,0.304,0.304,0.0,0.0,0.061
2022,3857287,South Korea,7,0.493,0.493,0.0,0.0,0.07
2022,3857287,Uruguay,10,0.417,0.417,0.0,0.0,0.042
2022,3857288,Tunisia,14,1.052,1.052,0.0,0.0,0.075
2022,3857288,Australia,9,0.359,0.359,1.0,1.0,0.04
2022,3857289,Argentina,5,0.325,0.325,2.0,2.0,0.065
2022,3857289,Mexico,4,0.206,0.206,0.0,0.0,0.052
2022,3857290,Switzerland,7,1.427,1.427,1.0,1.0,0.204
2022,3857290,Cameroon,8,0.613,0.613,0.0,0.0,0.077
2022,3857291,Spain,17,2.762,1.978,7.0,6.0,0.124
2022,3857292,Germany,31,4.316,4.316,4.0,4.0,0.139
2022,3857292,Costa Rica,7,1.035,1.035,1.0,1.0,0.148
2022,3857293,Uruguay,12,1.637,1.637,2.0,2.0,0.136
2022,3857293,Ghana,9,1.393,0.609,0.0,0.0,0.076
2022,3857294,Netherlands,13,1.714,1.714,2.0,2.0,0.132
2022,3857294,Qatar,5,0.144,0.144,0.0,0.0,0.029
2022,3857295,Japan,13,0.774,0.774,0.0,0.0,0.06
2022,3857295,Costa Rica,4,0.199,0.199,1.0,1.0,0.05
2022,3857296,Belgium,16,2.382,2.382,0.0,0.0,0.149
2022,3857296,Croatia,11,0.695,0.695,0.0,0.0,0.063
2022,3857297,Poland,9,1.734,1.734,2.0,2.0,0.193
2022,3857297,Saudi Arabia,17,1.972,1.188,0.0,0.0,0.074
2022,3857298,Portugal,11,2.097,1.313,3.0,2.0,0.131
2022,3857298,Ghana,9,0.78,0.78,2.0,2.0,0.087
2022,3857299,South Korea,21,1.368,1.368,2.0,2.0,0.065
2022,3857299,Ghana,7,1.181,1.181,3.0,3.0,0.169
2022,3857300,Argentina,15,2.492,1.708,1.0,0.0,0.122
2022,3857300,Saudi Arabia,3,0.153,0.153,2.0,2.0,0.051
2022,3857301,Qatar,10,0.96,0.96,1.0,1.0,0.096
2022,3857301,Senegal,12,0.903,0.903,3.0,3.0,0.075
2022,3869117,United States,18,1.652,1.652,1.0,1.0,0.092
2022,3869117,Netherlands,11,1.482,1.482,3.0,3.0,0.135
2022,3869118,England,8,1.02,1.02,3.0,3.0,0.128
2022,3869118,Senegal,10,0.973,0.973,0.0,0.0,0.097
2022,3869151,Argentina,14,1.482,1.482,2.0,2.0,0.106
2022,3869151,Australia,5,0.426,0.426,0.0,0.0,0.085
2022,3869152,France,16,1.126,1.126,3.0,3.0,0.07
2022,3869152,Poland,12,1.594,0.81,1.0,0.0,0.074
2022,3869219,Japan,17,4.203,1.069,2.0,1.0,0.082
2022,3869219,Croatia,21,3.988,0.854,4.0,1.0,0.05
2022,3869220,Morocco,10,3.704,0.57,3.0,0.0,0.095
2022,3869220,Spain,15,2.845,0.495,0.0,0.0,0.041
2022,3869253,Brazil,18,3.261,2.478,4.0,3.0,0.146
2022,3869253,South Korea,8,0.345,0.345,1.0,1.0,0.043
2022,3869254,Portugal,15,2.284,2.284,6.0,6.0,0.152
2022,3869254,Switzerland,10,1.272,1.272,1.0,1.0,0.127
2022,3869321,Argentina,19,5.857,1.156,6.0,1.0,0.089
2022,3869321,Netherlands,12,4.487,0.57,5.0,2.0,0.081
2022,3869354,France,8,0.839,0.839,2.0,2.0,0.105
2022,3869354,England,16,2.353,0.786,1.0,0.0,0.056
2022,3869420,Brazil,24,4.95,1.816,3.0,1.0,0.091
2022,3869420,Croatia,13,3.767,0.633,5.0,1.0,0.07
2022,3869486,Morocco,9,0.972,0.972,1.0,1.0,0.108
2022,3869486,Portugal,12,0.744,0.744,0.0,0.0,0.062
2022,3869519,Argentina,9,1.864,1.081,3.0,2.0,0.135
2022,3869519,Croatia,12,0.41,0.41,0.0,0.0,0.034
2022,3869552,France,14,2.002,2.002,2.0,2.0,0.143
2022,3869552,Morocco,13,1.23,1.23,0.0,0.0,0.095
2022,3869684,Morocco,9,0.991,0.991,1.0,1.0,0.11
2022,3869684,Croatia,12,0.849,0.849,2.0,2.0,0.071
2022,3869685,Argentina,24,5.892,1.975,7.0,2.0,0.104
2022,3869685,France,14,5.407,0.706,5.0,1.0,0.088
2023,3920384,Côte d'Ivoire,10,0.707,0.707,2.0,2.0,0.071
2023,3920384,Guinea-Bissau,10,0.53,0.53,0.0,0.0,0.053
2023,3920385,Egypt,22,1.929,1.146,2.0,1.0,0.055
2023,3920385,Mozambique,6,0.728,0.728,2.0,2.0,0.121
2023,3920386,Nigeria,19,2.687,2.687,1.0,1.0,0.141
2023,3920386,Equatorial Guinea,8,0.332,0.332,1.0,1.0,0.042
2023,3920387,Cape Verde Islands,15,2.72,2.72,2.0,2.0,0.181
2023,3920387,Ghana,11,1.438,1.438,1.0,1.0,0.131
2023,3920388,Senegal,14,1.721,1.721,3.0,3.0,0.123
2023,3920388,Gambia,12,1.008,1.008,0.0,0.0,0.084
2023,3920389,Cameroon,13,0.879,0.879,1.0,1.0,0.068
2023,3920389,Guinea,6,0.71,0.71,1.0,1.0,0.118
2023,3920390,Algeria,16,0.697,0.697,1.0,1.0,0.044
2023,3920390,Angola,7,1.197,0.414,1.0,0.0,0.069
2023,3920391,Mali,16,2.342,2.342,2.0,2.0,0.146
2023,3920391,South Africa,12,1.39,0.606,0.0,0.0,0.055
2023,3920392,Mauritania,9,0.516,0.516,0.0,0.0,0.057
2023,3920392,Burkina Faso,11,1.137,0.353,1.0,0.0,0.035
2023,3920393,Namibia,13,1.61,1.61,1.0,1.0,0.124
2023,3920393,Tunisia,9,0.871,0.871,0.0,0.0,0.097
2023,3920394,Morocco,15,2.3,2.3,3.0,3.0,0.153
2023,3920394,Tanzania,2,0.012,0.012,0.0,0.0,0.006
2023,3920395,Congo DR,27,2.682,2.682,1.0,1.0,0.099
2023,3920395,Zambia,3,0.096,0.096,1.0,1.0,0.032
2023,3920396,Egypt,11,1.204,1.204,2.0,2.0,0.109
2023,3920396,Ghana,6,0.426,0.426,2.0,2.0,0.071
2023,3920397,Equatorial Guinea,8,1.777,1.777,4.0,4.0,0.222
2023,3920397,Guinea-Bissau,12,1.034,1.034,1.0,1.0,0.086
2023,3920398,Nigeria,11,1.576,0.792,1.0,0.0,0.079
2023,3920398,Côte d'Ivoire,14,0.607,0.607,0.0,0.0,0.043
2023,3920399,Cape Verde Islands,11,0.599,0.599,3.0,3.0,0.054
2023,3920399,Mozambique,8,0.331,0.331,0.0,0.0,0.041
2023,3920400,Senegal,5,1.231,1.231,3.0,3.0,0.246
2023,3920400,Cameroon,5,0.249,0.249,1.0,1.0,0.05
2023,3920401,Guinea,16,2.439,2.439,1.0,1.0,0.152
2023,3920401,Gambia,7,0.254,0.254,0.0,0.0,0.036
2023,3920402,Algeria,15,1.998,1.998,2.0,2.0,0.133
2023,3920402,Burkina Faso,7,1.259,0.475,2.0,1.0,0.079
2023,3920403,Angola,20,2.044,2.044,3.0,3.0,0.102
2023,3920403,Mauritania,14,1.111,1.111,2.0,2.0,0.079
2023,3920404,Mali,12,0.846,0.846,1.0,1.0,0.07
2023,3920404,Tunisia,5,0.53,0.53,1.0,1.0,0.106
2023,3920405,Congo DR,11,2.31,1.527,1.0,1.0,0.153
2023,3920405,Morocco,11,1.055,1.055,1.0,1.0,0.096
2023,3920406,Zambia,11,0.797,0.797,1.0,1.0,0.072
2023,3920406,Tanzania,6,0.39,0.39,1.0,1.0,0.065
2023,3920407,South Africa,12,2.216,1.432,4.0,3.0,0.13
2023,3920407,Namibia,4,0.569,0.569,0.0,0.0,0.142
2023,3920408,Côte d'Ivoire,22,2.069,2.069,0.0,0.0,0.094
2023,3920408,Equatorial Guinea,10,1.093,1.093,4.0,4.0,0.109
2023,3920409,Nigeria,11,0.971,0.971,0.0,0.0,0.088
2023,3920409,Guinea-Bissau,12,0.351,0.351,0.0,0.0,0.029
2023,3920410,Mozambique,14,1.54,0.756,2.0,1.0,0.058
2023,3920410,Ghana,8,1.843,0.276,2.0,0.0,0.046
2023,3920411,Egypt,27,1.764,1.764,2.0,2.0,0.065
2023,3920411,Cape Verde Islands,6,0.407,0.407,2.0,2.0,0.068
2023,3920412,Senegal,12,0.943,0.943,2.0,2.0,0.079
2023,3920412,Guinea,4,0.553,0.553,0.0,0.0,0.138
2023,3920413,Cameroon,13,1.367,1.367,2.0,2.0,0.105
2023,3920413,Gambia,15,1.296,1.296,2.0,2.0,0.086
2023,3920414,Burkina Faso,20,0.995,0.995,0.0,0.0,0.05
2023,3920414,Angola,6,0.884,0.884,2.0,2.0,0.147
2023,3920415,Mauritania,17,1.328,1.328,1.0,1.0,0.078
2023,3920415,Algeria,16,1.186,1.186,0.0,0.0,0.074
2023,3920416,Tunisia,11,1.018,1.018,0.0,0.0,0.093
2023,3920416,South Africa,11,0.52,0.52,0.0,0.0,0.047
2023,3920417,Mali,11,0.681,0.681,0.0,0.0,0.062
2023,3920417,Namibia,5,0.656,0.656,0.0,0.0,0.131
2023,3920418,Congo DR,9,0.659,0.659,0.0,0.0,0.073
2023,3920418,Tanzania,4,0.059,0.059,0.0,0.0,0.015
2023,3920419,Morocco,19,2.421,2.421,1.0,1.0,0.127
2023,3920419,Zambia,11,0.44,0.44,0.0,0.0,0.04
2023,3922237,Angola,11,1.585,1.585,3.0,3.0,0.144
2023,3922237,Namibia,12,0.871,0.871,0.0,0.0,0.073
2023,3922238,Nigeria,8,1.31,1.31,2.0,2.0,0.164
2023,3922238,Cameroon,6,0.301,0.301,0.0,0.0,0.05
2023,3922239,Guinea,10,0.557,0.557,1.0,1.0,0.056
2023,3922239,Equatorial Guinea,5,0.956,0.173,0.0,0.0,0.043
2023,3922240,Congo DR,21,8.627,1.575,9.0,1.0,0.131
2023,3922240,Egypt,20,8.424,0.589,8.0,0.0,0.059
2023,3922241,Cape Verde Islands,18,1.572,0.788,1.0,0.0,0.046
2023,3922241,Mauritania,11,0.777,0.777,0.0,0.0,0.071
2023,3922242,Senegal,18,5.235,1.318,5.0,1.0,0.101
2023,3922242,Côte d'Ivoire,13,5.038,0.337,6.0,0.0,0.048
2023,3922243,Morocco,13,2.09,1.307,0.0,0.0,0.109
2023,3922243,South Africa,5,0.241,0.241,2.0,2.0,0.048
2023,3922244,Burkina Faso,8,1.46,0.677,1.0,0.0,0.097
2023,3922244,Mali,14,0.666,0.666,1.0,1.0,0.048
2023,3922321,Nigeria,13,1.462,1.462,1.0,1.0,0.112
2023,3922321,Angola,10,0.955,0.955,0.0,0.0,0.095
2023,3922356,Congo DR,13,1.653,0.869,3.0,2.0,0.072
2023,3922356,Guinea,7,1.135,0.352,1.0,0.0,0.059
2023,3922658,Cape Verde Islands,30,5.427,1.51,1.0,0.0,0.06
2023,3922658,South Africa,20,4.231,1.097,2.0,0.0,0.069
2023,3922659,Côte d'Ivoire,11,0.837,0.837,2.0,2.0,0.076
2023,3922659,Mali,11,1.317,0.534,1.0,1.0,0.053
2023,3922837,South Africa,18,4.897,0.979,3.0,0.0,0.075
2023,3922837,Nigeria,19,5.409,0.708,5.0,0.0,0.054
2023,3922838,Côte d'Ivoire,14,0.85,0.85,1.0,1.0,0.061
2023,3922838,Congo DR,7,0.826,0.826,0.0,0.0,0.118
2023,3923880,Congo DR,20,7.166,1.682,5.0,0.0,0.129
2023,3923880,South Africa,13,5.751,0.266,6.0,0.0,0.044
2023,3923881,Côte d'Ivoire,18,1.414,1.414,2.0,2.0,0.079
2023,3923881,Nigeria,5,0.258,0.258,1.0,1.0,0.052
2024,3930158,Germany,20,1.845,1.061,5.0,4.0,0.056
2024,3930158,Scotland,1,0.061,0.061,0.0,0.0,0.061
2024,3930159,Switzerland,15,2.096,2.096,3.0,3.0,0.14
2024,3930159,Hungary,6,1.103,1.103,1.0,1.0,0.184
2024,3930160,Croatia,16,2.482,1.699,0.0,0.0,0.113
2024,3930160,Spain,11,1.567,1.567,3.0,3.0,0.142
2024,3930161,Italy,17,1.45,1.45,2.0,2.0,0.085
2024,3930161,Albania,8,0.355,0.355,1.0,1.0,0.044
2024,3930162,Denmark,16,1.511,1.511,1.0,1.0,0.094
2024,3930162,Slovenia,11,0.966,0.966,1.0,1.0,0.088
2024,3930163,England,5,0.559,0.559,1.0,1.0,0.112
2024,3930163,Serbia,6,0.249,0.249,0.0,0.0,0.042
2024,3930164,Belgium,16,1.735,1.735,0.0,0.0,0.108
2024,3930164,Slovakia,10,0.687,0.687,1.0,1.0,0.069
2024,3930165,France,14,1.905,1.905,0.0,0.0,0.136
2024,3930165,Austria,5,0.748,0.748,0.0,0.0,0.15
2024,3930166,Portugal,19,1.838,1.838,1.0,1.0,0.097
2024,3930166,Czech Republic,5,0.315,0.315,1.0,1.0,0.063
2024,3930167,Croatia,21,1.859,1.859,1.0,1.0,0.089
2024,3930167,Albania,14,1.326,1.326,2.0,2.0,0.095
2024,3930168,Germany,19,1.484,1.484,2.0,2.0,0.078
2024,3930168,Hungary,11,1.228,1.228,0.0,0.0,0.112
2024,3930169,Switzerland,11,0.99,0.99,1.0,1.0,0.09
2024,3930169,Scotland,12,0.772,0.772,1.0,1.0,0.064
