match_id,team,total_actions,final_third_actions,field_tilt_pct
7298,Chelsea FCW,1013,376,37.12
7298,Manchester City WFC,912,190,20.83
7430,North Carolina Courage,863,243,28.16
7430,Washington Spirit,907,178,19.63
7443,Portland Thorns,860,291,33.84
7443,OL Reign,652,193,29.6
7444,North Carolina Courage,830,342,41.2
7444,Chicago Red Stars,548,125,22.81
7445,Washington Spirit,770,214,27.79
7445,Utah Royals,886,199,22.46
7451,North Carolina Courage,786,246,31.3
7451,Washington Spirit,747,147,19.68
7456,North Carolina Courage,850,341,40.12
7456,NJ/NY Gotham FC,553,98,17.72
7457,North Carolina Courage,862,304,35.27
7457,Orlando Pride,745,175,23.49
7471,Orlando Pride,950,289,30.42
7471,North Carolina Courage,757,208,27.48
7472,OL Reign,930,222,23.87
7472,Portland Thorns,648,143,22.07
7473,Utah Royals,1144,239,20.89
7473,NJ/NY Gotham FC,690,139,20.14
7474,Chicago Red Stars,744,218,29.3
7474,Washington Spirit,696,184,26.44
7475,North Carolina Courage,812,242,29.8
7475,Chicago Red Stars,838,150,17.9
7476,Chicago Red Stars,945,198,20.95
7476,NJ/NY Gotham FC,798,150,18.8
7477,Utah Royals,847,246,29.04
7477,Portland Thorns,787,161,20.46
7478,Houston Dash,760,192,25.26
7478,OL Reign,1094,241,22.03
7479,Orlando Pride,1035,298,28.79
7479,Washington Spirit,759,109,14.36
7480,Utah Royals,781,181,23.18
7480,OL Reign,817,158,19.34
7482,North Carolina Courage,945,277,29.31
7482,Washington Spirit,829,114,13.75
7483,Orlando Pride,618,180,29.13
7483,Utah Royals,769,153,19.9
7484,North Carolina Courage,850,208,24.47
7484,NJ/NY Gotham FC,866,163,18.82
7485,Chicago Red Stars,917,338,36.86
7485,OL Reign,802,185,23.07
7486,Portland Thorns,1045,265,25.36
7486,Houston Dash,629,149,23.69
7487,North Carolina Courage,688,221,32.12
7487,Utah Royals,899,204,22.69
7490,NJ/NY Gotham FC,854,229,26.81
7490,Portland Thorns,846,181,21.39
7492,Orlando Pride,929,347,37.35
7492,NJ/NY Gotham FC,696,84,12.07
7493,OL Reign,924,208,22.51
7493,Washington Spirit,776,143,18.43
7494,Houston Dash,729,159,21.81
7494,Utah Royals,1182,247,20.9
7496,Utah Royals,823,237,28.8
7496,Washington Spirit,716,180,25.14
7497,Chicago Red Stars,816,260,31.86
7497,North Carolina Courage,846,206,24.35
7500,Orlando Pride,580,233,40.17
7500,Portland Thorns,863,240,27.81
7519,Portland Thorns,735,209,28.44
7519,North Carolina Courage,633,161,25.43
7520,Washington Spirit,879,204,23.21
7520,Chicago Red Stars,717,127,17.71
7521,NJ/NY Gotham FC,660,193,29.24
7521,Utah Royals,833,213,25.57
7522,North Carolina Courage,889,179,20.13
7522,Houston Dash,884,150,16.97
7523,Orlando Pride,744,198,26.61
7523,OL Reign,912,198,21.71
7524,Orlando Pride,1149,362,31.51
7524,Houston Dash,638,115,18.03
7525,Russia,683,215,31.48
7525,Saudi Arabia,1029,182,17.69
7529,Croatia,923,200,21.67
7529,Nigeria,771,145,18.81
7530,France,1040,279,26.83
7530,Australia,799,116,14.52
7531,Argentina,1537,617,40.14
7531,Iceland,392,97,24.74
7532,Peru,819,305,37.24
7532,Denmark,747,237,31.73
7533,Brazil,1142,297,26.01
7533,Switzerland,882,212,24.04
7534,Germany,1187,590,49.71
7534,Mexico,653,174,26.65
7535,Costa Rica,870,229,26.32
7535,Serbia,804,201,25.0
7536,Panama,687,175,25.47
7536,Belgium,1186,302,25.46
7537,England,1092,329,30.13
7537,Tunisia,713,99,13.88
7538,South Korea,713,200,28.05
7538,Sweden,888,239,26.91
7539,Senegal,695,194,27.91
7539,Poland,1066,201,18.86
7540,Russia,812,310,38.18
7540,Egypt,846,240,28.37
7541,Japan,1216,323,26.56
7541,Colombia,814,201,24.69
7542,Morocco,956,343,35.88
7542,Portugal,683,149,21.82
7543,Spain,1548,612,39.53
7543,Iran,457,91,19.91
7544,Saudi Arabia,1107,294,26.56
7544,Uruguay,948,185,19.51
7545,Argentina,1018,244,23.97
7545,Croatia,667,129,19.34
7546,France,843,242,28.71
7546,Peru,1016,265,26.08
7547,Denmark,923,236,25.57
7547,Australia,987,245,24.82
7548,Brazil,1495,471,31.51
7548,Costa Rica,518,106,20.46
7549,Iceland,612,213,34.8
7549,Nigeria,956,246,25.73
7550,Serbia,656,205,31.25
7550,Switzerland,1059,221,20.87
7551,Germany,1382,594,42.98
7551,Sweden,399,103,25.81
7552,Tunisia,814,245,30.1
7552,Belgium,925,218,23.57
7553,South Korea,733,227,30.97
7553,Mexico,978,219,22.39
7554,Panama,749,193,25.77
7554,England,1176,170,14.46
7555,Colombia,1085,282,25.99
7555,Poland,774,184,23.77
7556,Senegal,723,235,32.5
7556,Japan,847,148,17.47
7557,Portugal,1244,356,28.62
7557,Iran,417,113,27.1
7558,Russia,650,203,31.23
7558,Uruguay,1012,216,21.34
7559,Saudi Arabia,1330,491,36.92
7559,Egypt,694,147,21.18
7560,Spain,1371,444,32.39
7560,Morocco,473,81,17.12
7561,Iceland,590,172,29.15
7561,Croatia,1053,270,25.64
7562,Australia,1050,288,27.43
7562,Peru,799,134,16.77
7563,France,1340,451,33.66
7563,Denmark,624,138,22.12
7564,Argentina,1099,271,24.66
7564,Nigeria,611,134,21.93
7565,Serbia,847,308,36.36
7565,Brazil,1223,277,22.65
7566,Mexico,1011,311,30.76
7566,Sweden,445,100,22.47
7567,Germany,1433,592,41.31
7567,South Korea,481,119,24.74
7568,Costa Rica,675,179,26.52
7568,Switzerland,1103,168,15.23
7569,Tunisia,1227,269,21.92
7569,Panama,517,101,19.54
7570,England,1021,200,19.59
7570,Belgium,1132,176,15.55
7571,Senegal,586,119,20.31
7571,Colombia,812,113,13.92
7572,Poland,944,189,20.02
7572,Japan,1043,167,16.01
7576,Portugal,709,172,24.26
7576,Spain,1480,358,24.19
7577,Iran,462,98,21.21
7577,Morocco,925,195,21.08
7578,Egypt,823,242,29.4
7578,Uruguay,1144,309,27.01
7579,Portugal,1114,531,47.67
7579,Uruguay,511,131,25.64
7580,Argentina,1060,300,28.3
7580,France,707,119,16.83
7581,Croatia,1224,296,24.18
7581,Denmark,1084,221,20.39
7582,Russia,548,175,31.93
7582,Spain,2151,626,29.1
7583,Mexico,854,244,28.57
7583,Brazil,839,234,27.89
7584,Belgium,1159,350,30.2
7584,Japan,827,169,20.44
7585,England,1050,250,23.81
7585,Colombia,1032,189,18.31
7586,Switzerland,1145,305,26.64
7586,Sweden,515,137,26.6
8649,Uruguay,610,204,33.44
8649,France,1084,314,28.97
8650,Brazil,1041,415,39.87
8650,Belgium,695,140,20.14
8651,England,1040,333,32.02
8651,Sweden,667,117,17.54
8652,Russia,687,187,27.22
8652,Croatia,1392,353,25.36
8655,France,667,185,27.74
8655,Belgium,1135,313,27.58
8656,Croatia,1155,351,30.39
8656,England,900,210,23.33
8657,England,1370,424,30.95
8657,Belgium,1000,280,28.0
8658,Croatia,978,258,26.38
8658,France,536,91,16.98
9575,Barcelona,1300,368,28.31
9575,Real Betis,814,128,15.72
9581,Barcelona,1534,618,40.29
9581,Deportivo Alavés,521,64,12.28
9592,Espanyol,467,140,29.98
9592,Barcelona,1440,282,19.58
9602,Barcelona,1300,364,28.0
9602,Getafe,581,156,26.85
9609,Eibar,755,194,25.7
9609,Barcelona,1202,220,18.3
9620,Girona,707,148,20.93
9620,Barcelona,1062,158,14.88
9636,Barcelona,1064,345,32.42
9636,Las Palmas,1135,211,18.59
9642,Barcelona,1445,605,41.87
9642,Atlético Madrid,663,129,19.46
9650,Barcelona,1359,344,25.31
9650,Málaga,801,178,22.22
9661,Athletic Club,711,218,30.66
9661,Barcelona,1067,257,24.09
9673,Barcelona,1217,356,29.25
9673,Sevilla,1070,205,19.16
9682,Leganés,589,176,29.88
9682,Barcelona,1213,185,15.25
9695,Barcelona,1482,465,31.38
9695,Valencia,668,159,23.8
9700,Barcelona,1501,489,32.58
9700,Celta Vigo,777,103,13.26
9717,Barcelona,1511,493,32.63
9717,Villarreal,701,103,14.69
9726,RC Deportivo La Coruña,836,185,22.13
9726,Barcelona,1333,287,21.53
9736,Real Madrid,932,246,26.39
9736,Barcelona,1183,245,20.71
9742,Barcelona,1402,382,27.25
9742,Levante UD,564,118,20.92
9754,Real Sociedad,989,301,30.43
9754,Barcelona,952,201,21.11
9765,Barcelona,1109,323,29.13
9765,Real Betis,969,238,24.56
9774,Barcelona,1470,507,34.49
9774,Deportivo Alavés,423,73,17.26
9783,Barcelona,1241,399,32.15
9783,Espanyol,455,122,26.81
9794,Barcelona,1535,478,31.14
9794,Getafe,418,86,20.57
9799,Eibar,970,289,29.79
9799,Barcelona,984,116,11.79
9811,Barcelona,1217,339,27.86
9811,Girona,670,145,21.64
9827,Barcelona,1077,278,25.81
9827,Las Palmas,647,94,14.53
9837,Atlético Madrid,876,228,26.03
9837,Barcelona,1267,310,24.47
9855,Athletic Club,776,209,26.93
9855,Barcelona,1185,223,18.82
9860,Barcelona,1241,437,35.21
9860,Sevilla,852,256,30.05
9870,Barcelona,1421,340,23.93
9870,Leganés,644,140,21.74
9880,Barcelona,1310,513,39.16
9880,Valencia,802,222,27.68
9889,Celta Vigo,947,325,34.32
9889,Barcelona,1025,241,23.51
9912,Barcelona,1352,497,36.76
9912,RC Deportivo La Coruña,867,278,32.06
9924,Real Madrid,1078,328,30.43
9924,Barcelona,1055,286,27.11
9928,Barcelona,1288,364,28.26
9928,Villarreal,968,212,21.9
9948,Barcelona,1223,409,33.44
9948,Real Sociedad,744,182,24.46
15946,Barcelona,1689,633,37.48
15946,Deportivo Alavés,416,39,9.38
15956,Barcelona,1155,330,28.57
15956,Real Valladolid,674,171,25.37
15973,Barcelona,1315,487,37.03
15973,Huesca,605,104,17.19
15978,Barcelona,1503,337,22.42
15978,Real Sociedad,686,105,15.31
15986,Barcelona,1450,413,28.48
15986,Girona,692,87,12.57
15998,Barcelona,1659,461,27.79
15998,Leganés,514,138,26.85
16010,Barcelona,1333,365,27.38
16010,Athletic Club,532,104,19.55
16023,Barcelona,2018,765,37.91
16023,Valencia,611,130,21.28
16029,Sevilla,855,252,29.47
16029,Barcelona,1010,213,21.09
16056,Barcelona,975,310,31.79
16056,Real Betis,823,165,20.05
16073,Atlético Madrid,675,193,28.59
16073,Barcelona,1489,378,25.39
16079,Barcelona,1359,461,33.92
16079,Villarreal,817,166,20.32
16086,Espanyol,953,278,29.17
16086,Barcelona,1174,227,19.34
16095,Levante UD,791,260,32.87
16095,Barcelona,1067,181,16.96
16109,Celta Vigo,1026,268,26.12
16109,Barcelona,1072,254,23.69
16120,Getafe,459,152,33.12
16120,Barcelona,1477,222,15.03
16131,Eibar,839,309,36.83
16131,Barcelona,1210,150,12.4
16136,Barcelona,1595,433,27.15
16136,Leganés,542,72,13.28
16149,Barcelona,1266,357,28.2
16149,Girona,715,184,25.73
16157,Barcelona,1602,678,42.32
16157,Valencia,720,134,18.61
16173,Barcelona,1337,381,28.5
16173,Athletic Club,688,149,21.66
16182,Barcelona,1445,434,30.03
16182,Real Valladolid,894,140,15.66
16190,Sevilla,742,247,33.29
16190,Barcelona,1139,296,25.99
16196,Real Madrid,999,336,33.63
16196,Barcelona,1076,273,25.37
16205,Barcelona,1434,620,43.24
16205,Rayo Vallecano,643,103,16.02
16215,Barcelona,946,263,27.8
16215,Real Betis,1148,280,24.39
16231,Barcelona,1435,518,36.1
16231,Espanyol,594,129,21.72
16240,Barcelona,1386,381,27.49
16240,Villarreal,652,140,21.47
16248,Barcelona,1525,592,38.82
16248,Atlético Madrid,855,191,22.34
16265,Barcelona,1036,264,25.48
16265,Real Sociedad,1058,161,15.22
16275,Barcelona,1537,400,26.02
16275,Deportivo Alavés,437,100,22.88
16289,Barcelona,1272,407,32.0
16289,Levante UD,736,179,24.32
16306,Getafe,479,146,30.48
16306,Barcelona,1834,459,25.03
16317,Eibar,776,243,31.31
16317,Barcelona,1226,209,17.05
18235,Bayern Munich,1245,387,31.08
18235,Inter Milan,557,153,27.47
18236,Barcelona,1642,407,24.79
18236,Manchester United,735,172,23.4
18237,Bayern Munich,1411,562,39.83
18237,Chelsea,1107,212,19.15
18240,Bayern Munich,1073,262,24.42
18240,Borussia Dortmund,722,168,23.27
18241,Real Madrid,1469,440,29.95
18241,Atlético Madrid,848,235,27.71
18242,Barcelona,1160,325,28.02
18242,Juventus,708,186,26.27
18243,Atlético Madrid,1364,369,27.05
18243,Real Madrid,1241,315,25.38
18244,Juventus,804,218,27.11
18244,Real Madrid,1102,225,20.42
18245,Liverpool,660,154,23.33
18245,Real Madrid,1226,286,23.33
19714,Chelsea FCW,814,233,28.62
19714,Manchester City WFC,961,180,18.73
19715,Bristol City WFC,488,171,35.04
19715,Brighton & Hove Albion WFC,727,173,23.8
19716,Reading WFC,1189,267,22.46
19716,Yeovil Town LFC,507,56,11.05
19717,Arsenal WFC,1210,362,29.92
19717,Liverpool WFC,645,100,15.5
19718,Birmingham City WFC,1143,300,26.25
19718,Everton LFC,654,85,13.0
19719,Reading WFC,661,212,32.07
19719,West Ham United LFC,543,120,22.1
19720,Chelsea FCW,1426,513,35.97
19720,Bristol City WFC,441,47,10.66
19722,Arsenal WFC,1421,589,41.45
19722,Yeovil Town LFC,488,70,14.34
19723,Manchester City WFC,1176,288,24.49
19723,Everton LFC,718,79,11.0
19724,Arsenal WFC,1068,314,29.4
19724,West Ham United LFC,738,90,12.2
19725,Brighton & Hove Albion WFC,935,212,22.67
