match_id,team,passes,total_passes,possession_pct
7298,Chelsea FCW,521,1000.0,52.1
7298,Manchester City WFC,479,1000.0,47.9
7430,Washington Spirit,476,920.0,51.74
7430,North Carolina Courage,444,920.0,48.26
7443,Portland Thorns,441,803.0,54.92
7443,OL Reign,362,803.0,45.08
7444,North Carolina Courage,443,760.0,58.29
7444,Chicago Red Stars,317,760.0,41.71
7445,Utah Royals,513,975.0,52.62
7445,Washington Spirit,462,975.0,47.38
7451,North Carolina Courage,432,824.0,52.43
7451,Washington Spirit,392,824.0,47.57
7456,North Carolina Courage,439,756.0,58.07
7456,NJ/NY Gotham FC,317,756.0,41.93
7457,North Carolina Courage,446,873.0,51.09
7457,Orlando Pride,427,873.0,48.91
7471,Orlando Pride,500,912.0,54.82
7471,North Carolina Courage,412,912.0,45.18
7472,OL Reign,537,925.0,58.05
7472,Portland Thorns,388,925.0,41.95
7473,Utah Royals,596,987.0,60.39
7473,NJ/NY Gotham FC,391,987.0,39.61
7474,Washington Spirit,412,819.0,50.31
7474,Chicago Red Stars,407,819.0,49.69
7475,Chicago Red Stars,456,880.0,51.82
7475,North Carolina Courage,424,880.0,48.18
7476,Chicago Red Stars,525,950.0,55.26
7476,NJ/NY Gotham FC,425,950.0,44.74
7477,Utah Royals,447,860.0,51.98
7477,Portland Thorns,413,860.0,48.02
7478,OL Reign,589,1018.0,57.86
7478,Houston Dash,429,1018.0,42.14
7479,Orlando Pride,535,950.0,56.32
7479,Washington Spirit,415,950.0,43.68
7480,OL Reign,446,887.0,50.28
7480,Utah Royals,441,887.0,49.72
7482,North Carolina Courage,502,944.0,53.18
7482,Washington Spirit,442,944.0,46.82
7483,Utah Royals,425,779.0,54.56
7483,Orlando Pride,354,779.0,45.44
7484,NJ/NY Gotham FC,435,859.0,50.64
7484,North Carolina Courage,424,859.0,49.36
7485,Chicago Red Stars,485,929.0,52.21
7485,OL Reign,444,929.0,47.79
7486,Portland Thorns,552,902.0,61.2
7486,Houston Dash,350,902.0,38.8
7487,Utah Royals,526,898.0,58.57
7487,North Carolina Courage,372,898.0,41.43
7490,NJ/NY Gotham FC,488,946.0,51.59
7490,Portland Thorns,458,946.0,48.41
7492,Orlando Pride,482,869.0,55.47
7492,NJ/NY Gotham FC,387,869.0,44.53
7493,OL Reign,512,927.0,55.23
7493,Washington Spirit,415,927.0,44.77
7494,Utah Royals,658,1038.0,63.39
7494,Houston Dash,380,1038.0,36.61
7496,Utah Royals,457,844.0,54.15
7496,Washington Spirit,387,844.0,45.85
7497,Chicago Red Stars,457,912.0,50.11
7497,North Carolina Courage,455,912.0,49.89
7500,Portland Thorns,465,800.0,58.13
7500,Orlando Pride,335,800.0,41.88
7519,Portland Thorns,410,746.0,54.96
7519,North Carolina Courage,336,746.0,45.04
7520,Washington Spirit,502,914.0,54.92
7520,Chicago Red Stars,412,914.0,45.08
7521,Utah Royals,463,844.0,54.86
7521,NJ/NY Gotham FC,381,844.0,45.14
7522,North Carolina Courage,472,935.0,50.48
7522,Houston Dash,463,935.0,49.52
7523,OL Reign,514,968.0,53.1
7523,Orlando Pride,454,968.0,46.9
7524,Orlando Pride,578,919.0,62.89
7524,Houston Dash,341,919.0,37.11
7525,Saudi Arabia,572,960.0,59.58
7525,Russia,388,960.0,40.42
7529,Croatia,503,928.0,54.2
7529,Nigeria,425,928.0,45.8
7530,France,549,993.0,55.29
7530,Australia,444,993.0,44.71
7531,Argentina,796,1020.0,78.04
7531,Iceland,224,1020.0,21.96
7532,Peru,435,837.0,51.97
7532,Denmark,402,837.0,48.03
7533,Brazil,555,1013.0,54.79
7533,Switzerland,458,1013.0,45.21
7534,Germany,619,943.0,65.64
7534,Mexico,324,943.0,34.36
7535,Costa Rica,481,920.0,52.28
7535,Serbia,439,920.0,47.72
7536,Belgium,610,974.0,62.63
7536,Panama,364,974.0,37.37
7537,England,570,938.0,60.77
7537,Tunisia,368,938.0,39.23
7538,Sweden,477,859.0,55.53
7538,South Korea,382,859.0,44.47
7539,Poland,585,967.0,60.5
7539,Senegal,382,967.0,39.5
7540,Egypt,484,951.0,50.89
7540,Russia,467,951.0,49.11
7541,Japan,630,1052.0,59.89
7541,Colombia,422,1052.0,40.11
7542,Morocco,519,916.0,56.66
7542,Portugal,397,916.0,43.34
7543,Spain,816,1078.0,75.7
7543,Iran,262,1078.0,24.3
7544,Saudi Arabia,584,1095.0,53.33
7544,Uruguay,511,1095.0,46.67
7545,Argentina,535,917.0,58.34
7545,Croatia,382,917.0,41.66
7546,Peru,548,983.0,55.75
7546,France,435,983.0,44.25
7547,Australia,533,1011.0,52.72
7547,Denmark,478,1011.0,47.28
7548,Brazil,750,1044.0,71.84
7548,Costa Rica,294,1044.0,28.16
7549,Nigeria,529,868.0,60.94
7549,Iceland,339,868.0,39.06
7550,Switzerland,554,901.0,61.49
7550,Serbia,347,901.0,38.51
7551,Germany,718,952.0,75.42
7551,Sweden,234,952.0,24.58
7552,Belgium,475,942.0,50.42
7552,Tunisia,467,942.0,49.58
7553,Mexico,495,855.0,57.89
7553,South Korea,360,855.0,42.11
7554,England,607,1013.0,59.92
7554,Panama,406,1013.0,40.08
7555,Colombia,548,996.0,55.02
7555,Poland,448,996.0,44.98
7556,Japan,476,868.0,54.84
7556,Senegal,392,868.0,45.16
7557,Portugal,630,869.0,72.5
7557,Iran,239,869.0,27.5
7558,Uruguay,526,906.0,58.06
7558,Russia,380,906.0,41.94
7559,Saudi Arabia,674,1053.0,64.01
7559,Egypt,379,1053.0,35.99
7560,Spain,753,1004.0,75.0
7560,Morocco,251,1004.0,25.0
7561,Croatia,535,866.0,61.78
7561,Iceland,331,866.0,38.22
7562,Australia,575,1006.0,57.16
7562,Peru,431,1006.0,42.84
7563,France,699,1041.0,67.15
7563,Denmark,342,1041.0,32.85
7564,Argentina,595,917.0,64.89
7564,Nigeria,322,917.0,35.11
7565,Brazil,653,1100.0,59.36
7565,Serbia,447,1100.0,40.64
7566,Mexico,508,762.0,66.67
7566,Sweden,254,762.0,33.33
7567,Germany,734,993.0,73.92
7567,South Korea,259,993.0,26.08
7568,Switzerland,595,957.0,62.17
7568,Costa Rica,362,957.0,37.83
7569,Tunisia,648,939.0,69.01
7569,Panama,291,939.0,30.99
7570,Belgium,569,1083.0,52.54
7570,England,514,1083.0,47.46
