match_id,team,possession_pct,passes,total_passes,field_tilt_pct,tilt_differential,territorial_control,pass_efficiency_pct,verticality,final_third_passes,possession_quality_gap,gap_interpretation,possession_style
7298,Chelsea FCW,52.1,521,1000.0,37.12,16.29,Total Dominance,33.4,Vertical,174,-22.14,Ultra-Efficient,Attacking
7298,Manchester City WFC,47.9,479,1000.0,20.83,-16.29,Pinned Back,21.09,Patient,101,6.24,Patient Build-up,Contested
7430,Washington Spirit,51.74,476,920.0,19.63,-8.53,Under Pressure,17.44,Horizontal,83,12.48,Patient Build-up,Defensive
7430,North Carolina Courage,48.26,444,920.0,28.16,8.53,Strong Control,27.7,Balanced,123,-8.06,Direct & Efficient,Contested
7443,Portland Thorns,54.92,441,803.0,33.84,4.24,Contested,30.61,Vertical,135,-12.76,Direct & Efficient,Attacking
7443,OL Reign,45.08,362,803.0,29.6,-4.24,Contested,27.07,Balanced,98,-14.12,Direct & Efficient,Contested
7444,North Carolina Courage,58.29,443,760.0,41.2,18.39,Total Dominance,37.7,Ultra-Vertical,167,-24.11,Ultra-Efficient,The Steamroller
7444,Chicago Red Stars,41.71,317,760.0,22.81,-18.39,Pinned Back,20.5,Patient,65,-3.91,Balanced,Contested
7445,Utah Royals,52.62,513,975.0,22.46,-5.33,Contested,20.86,Patient,107,7.7,Patient Build-up,Contested
7445,Washington Spirit,47.38,462,975.0,27.79,5.33,Contested,25.11,Balanced,116,-8.2,Direct & Efficient,Contested
7451,North Carolina Courage,52.43,432,824.0,31.3,11.62,Strong Control,28.47,Vertical,123,-10.17,Direct & Efficient,Attacking
7451,Washington Spirit,47.57,392,824.0,19.68,-11.62,Under Pressure,16.58,Horizontal,65,8.21,Patient Build-up,Defensive
7456,North Carolina Courage,58.07,439,756.0,40.12,22.4,Total Dominance,36.9,Ultra-Vertical,162,-22.17,Ultra-Efficient,The Steamroller
7456,NJ/NY Gotham FC,41.93,317,756.0,17.72,-22.4,Pinned Back,17.35,Horizontal,55,6.49,Patient Build-up,Counter-Punchers
