match_id,team,total_sequences,total_passes,avg_passes_per_sequence,longest_sequence
7298,Chelsea FCW,140,521.0,3.72,20
7298,Manchester City WFC,135,479.0,3.55,17
7430,Washington Spirit,140,476.0,3.4,20
7430,North Carolina Courage,133,444.0,3.34,13
7443,Portland Thorns,131,441.0,3.37,27
7443,OL Reign,127,362.0,2.85,18
7444,North Carolina Courage,119,443.0,3.72,16
7444,Chicago Red Stars,112,317.0,2.83,18
7445,Utah Royals,128,513.0,4.01,26
7445,Washington Spirit,133,462.0,3.47,16
7451,North Carolina Courage,123,432.0,3.51,11
7451,Washington Spirit,137,392.0,2.86,15
7456,North Carolina Courage,119,439.0,3.69,20
7456,NJ/NY Gotham FC,120,317.0,2.64,13
7457,North Carolina Courage,120,446.0,3.72,19
7457,Orlando Pride,118,427.0,3.62,20
7471,Orlando Pride,134,500.0,3.73,18
7471,North Carolina Courage,121,412.0,3.4,18
7472,OL Reign,148,537.0,3.63,19
7472,Portland Thorns,143,388.0,2.71,13
7473,Utah Royals,136,596.0,4.38,22
7473,NJ/NY Gotham FC,123,391.0,3.18,20
7474,Chicago Red Stars,125,407.0,3.26,20
7474,Washington Spirit,141,412.0,2.92,14
7475,Chicago Red Stars,120,456.0,3.8,17
7475,North Carolina Courage,123,424.0,3.45,15
7476,Chicago Red Stars,134,525.0,3.92,19
7476,NJ/NY Gotham FC,139,425.0,3.06,23
7477,Utah Royals,119,447.0,3.76,17
7477,Portland Thorns,121,413.0,3.41,17
7478,OL Reign,159,589.0,3.7,19
7478,Houston Dash,154,429.0,2.79,12
7479,Orlando Pride,126,535.0,4.25,21
7479,Washington Spirit,116,415.0,3.58,17
7480,Utah Royals,122,441.0,3.61,26
7480,OL Reign,126,446.0,3.54,16
7482,North Carolina Courage,127,502.0,3.95,23
7482,Washington Spirit,123,442.0,3.59,19
7483,Utah Royals,123,425.0,3.46,15
7483,Orlando Pride,125,354.0,2.83,12
7484,NJ/NY Gotham FC,117,435.0,3.72,16
7484,North Carolina Courage,126,424.0,3.37,12
7485,OL Reign,113,444.0,3.93,16
7485,Chicago Red Stars,126,485.0,3.85,17
7486,Portland Thorns,121,552.0,4.56,28
7486,Houston Dash,114,350.0,3.07,16
7487,Utah Royals,131,526.0,4.02,26
7487,North Carolina Courage,150,372.0,2.48,10
7490,Portland Thorns,128,458.0,3.58,21
7490,NJ/NY Gotham FC,137,488.0,3.56,18
7492,Orlando Pride,122,482.0,3.95,20
7492,NJ/NY Gotham FC,119,387.0,3.25,16
7493,OL Reign,126,512.0,4.06,24
7493,Washington Spirit,120,415.0,3.46,17
7494,Utah Royals,111,658.0,5.93,38
7494,Houston Dash,118,380.0,3.22,9
7496,Utah Royals,115,457.0,3.97,17
7496,Washington Spirit,102,387.0,3.79,15
7497,Chicago Red Stars,135,457.0,3.39,20
7497,North Carolina Courage,136,455.0,3.35,20
7500,Portland Thorns,119,465.0,3.91,22
7500,Orlando Pride,118,335.0,2.84,13
7519,North Carolina Courage,114,336.0,2.95,10
7519,Portland Thorns,151,410.0,2.72,11
7520,Washington Spirit,136,502.0,3.69,19
7520,Chicago Red Stars,131,412.0,3.15,19
7521,Utah Royals,120,463.0,3.86,16
7521,NJ/NY Gotham FC,126,381.0,3.02,16
7522,North Carolina Courage,127,472.0,3.72,22
7522,Houston Dash,136,463.0,3.4,14
7523,OL Reign,147,514.0,3.5,18
7523,Orlando Pride,171,454.0,2.65,9
7524,Orlando Pride,123,578.0,4.7,33
7524,Houston Dash,126,341.0,2.71,11
7525,Saudi Arabia,119,572.0,4.81,28
7525,Russia,116,388.0,3.34,16
7529,Croatia,110,503.0,4.57,35
7529,Nigeria,99,425.0,4.29,28
7530,France,106,549.0,5.18,31
7530,Australia,97,444.0,4.58,36
7531,Argentina,97,796.0,8.21,54
7531,Iceland,76,224.0,2.95,15
7532,Peru,92,435.0,4.73,29
7532,Denmark,104,402.0,3.87,19
7533,Brazil,99,555.0,5.61,33
7533,Switzerland,99,458.0,4.63,21
7534,Germany,104,619.0,5.95,33
7534,Mexico,92,324.0,3.52,21
7535,Costa Rica,107,481.0,4.5,32
7535,Serbia,104,439.0,4.22,28
7536,Belgium,104,610.0,5.87,35
7536,Panama,89,364.0,4.09,18
7537,England,110,570.0,5.18,23
7537,Tunisia,83,368.0,4.43,30
7538,Sweden,104,477.0,4.59,31
7538,South Korea,101,382.0,3.78,14
7539,Poland,110,585.0,5.32,28
7539,Senegal,89,382.0,4.29,23
7540,Egypt,111,484.0,4.36,23
7540,Russia,131,467.0,3.56,19
7541,Japan,101,630.0,6.24,39
7541,Colombia,103,422.0,4.1,19
7542,Morocco,118,519.0,4.4,31
7542,Portugal,110,397.0,3.61,27
7543,Spain,102,816.0,8.0,36
7543,Iran,88,262.0,2.98,13
7544,Saudi Arabia,97,584.0,6.02,29
7544,Uruguay,102,511.0,5.01,33
7545,Argentina,123,535.0,4.35,22
7545,Croatia,108,382.0,3.54,13
7546,Peru,110,548.0,4.98,25
7546,France,116,435.0,3.75,23
7547,Australia,90,533.0,5.92,37
7547,Denmark,91,478.0,5.25,24
7548,Brazil,100,750.0,7.5,43
