team,player,total_mins,progressive_passes,progressive_carries,progressive_passes_received,progressive_passes_p90,progressive_carries_p90,progressive_passes_received_p90,total_progressive_actions_p90,progression_type
Brazil,Douglas Costa de Souza,87.0,8.0,20.0,20.0,8.28,20.69,20.69,49.66,Complete Progressor
Angers,Sofiane Boufal,31.0,2.0,8.0,6.0,5.81,23.23,17.42,46.46,Complete Progressor
Manchester City WFC,Geum-Min Lee,45.0,3.0,8.0,11.0,6.0,16.0,22.0,44.0,Complete Progressor
Portugal,Rafael Alexandre Fernandes Ferreira da Silva,59.0,8.0,7.0,12.0,12.2,10.68,18.31,41.19,Complete Progressor
France,Benjamin Mendy,42.0,3.0,3.0,12.0,6.43,6.43,25.71,38.57,Complete Progressor
Mexico,Jesús Manuel Corona Ruíz,40.0,2.0,6.0,9.0,4.5,13.5,20.25,38.25,Complete Progressor
Germany,Mesut Özil,190.0,36.0,25.0,19.0,17.05,11.84,9.0,37.89,Complete Progressor
Spain Women's,Amanda Sampedro Bustos,46.0,3.0,6.0,10.0,5.87,11.74,19.57,37.18,Complete Progressor
Germany,Jérôme Boateng,171.0,43.0,26.0,1.0,22.63,13.68,0.53,36.84,Complete Progressor
Brazil,Manoel Francisco dos Santos,262.0,12.0,67.0,28.0,4.12,23.02,9.62,36.76,Complete Progressor
AC Ajaccio,Romain Hamouma,35.0,2.0,5.0,7.0,5.14,12.86,18.0,36.0,Complete Progressor
Angers,Sada Thioub,36.0,2.0,7.0,5.0,5.0,17.5,12.5,35.0,Complete Progressor
Spain,Francisco Román Alarcón Suárez,404.0,41.0,50.0,65.0,9.13,11.14,14.48,34.75,Complete Progressor
Levante UD,Hernâni Jorge Santos Fortes,32.0,1.0,4.0,7.0,2.81,11.25,19.69,33.75,Ball Carrier
Portugal,Ricardo Andrade Quaresma Bernardo,120.0,2.0,21.0,22.0,1.5,15.75,16.5,33.75,Ball Carrier
Japan,Keisuke Honda,57.0,3.0,6.0,12.0,4.74,9.47,18.95,33.16,Complete Progressor
Real Murcia CF,Rosinei Adolfo,38.0,1.0,7.0,6.0,2.37,16.58,14.21,33.16,Ball Carrier
Brazil,Neymar da Silva Santos Junior,747.0,56.0,103.0,116.0,6.75,12.41,13.98,33.14,Complete Progressor
Brazil,Edvaldo Izidio Neto,253.0,14.0,33.0,46.0,4.98,11.74,16.36,33.08,Complete Progressor
Brazil,Roberto Firmino Barbosa de Oliveira,105.0,5.0,12.0,21.0,4.29,10.29,18.0,32.58,Complete Progressor
