match_id,team,progressive_passes,progressive_carries,progressive_passes_received,progressive_actions,progressive_carry_pct,progressive_pass_pct
7298,Chelsea FCW,56.0,64.0,56.0,176.0,36.36,31.82
7298,Manchester City WFC,30.0,24.0,30.0,84.0,28.57,35.71
7430,North Carolina Courage,37.0,38.0,37.0,112.0,33.93,33.04
7430,Washington Spirit,29.0,19.0,29.0,77.0,24.68,37.66
7443,OL Reign,21.0,19.0,21.0,61.0,31.15,34.43
7443,Portland Thorns,52.0,43.0,52.0,147.0,29.25,35.37
7444,Chicago Red Stars,17.0,19.0,17.0,53.0,35.85,32.08
7444,North Carolina Courage,48.0,52.0,48.0,148.0,35.14,32.43
7445,Utah Royals,23.0,15.0,23.0,61.0,24.59,37.7
7445,Washington Spirit,19.0,19.0,19.0,57.0,33.33,33.33
7451,North Carolina Courage,48.0,32.0,48.0,128.0,25.0,37.5
7451,Washington Spirit,22.0,25.0,22.0,69.0,36.23,31.88
7456,NJ/NY Gotham FC,17.0,6.0,17.0,40.0,15.0,42.5
7456,North Carolina Courage,74.0,80.0,74.0,228.0,35.09,32.46
7457,North Carolina Courage,42.0,38.0,42.0,122.0,31.15,34.43
7457,Orlando Pride,23.0,16.0,23.0,62.0,25.81,37.1
7471,North Carolina Courage,52.0,47.0,52.0,151.0,31.13,34.44
7471,Orlando Pride,40.0,23.0,40.0,103.0,22.33,38.83
7472,OL Reign,30.0,25.0,30.0,85.0,29.41,35.29
7472,Portland Thorns,22.0,14.0,22.0,58.0,24.14,37.93
7473,NJ/NY Gotham FC,26.0,16.0,26.0,68.0,23.53,38.24
7473,Utah Royals,47.0,32.0,47.0,126.0,25.4,37.3
7474,Chicago Red Stars,44.0,33.0,44.0,121.0,27.27,36.36
7474,Washington Spirit,23.0,20.0,23.0,66.0,30.3,34.85
7475,Chicago Red Stars,25.0,22.0,25.0,72.0,30.56,34.72
7475,North Carolina Courage,41.0,33.0,41.0,115.0,28.7,35.65
7476,Chicago Red Stars,37.0,35.0,37.0,109.0,32.11,33.94
7476,NJ/NY Gotham FC,26.0,18.0,26.0,70.0,25.71,37.14
7477,Portland Thorns,30.0,33.0,30.0,93.0,35.48,32.26
7477,Utah Royals,43.0,27.0,43.0,113.0,23.89,38.05
7478,Houston Dash,28.0,24.0,28.0,80.0,30.0,35.0
7478,OL Reign,31.0,22.0,31.0,84.0,26.19,36.9
7479,Orlando Pride,66.0,56.0,66.0,188.0,29.79,35.11
7479,Washington Spirit,19.0,14.0,19.0,52.0,26.92,36.54
7480,OL Reign,17.0,18.0,17.0,52.0,34.62,32.69
7480,Utah Royals,29.0,19.0,29.0,77.0,24.68,37.66
7482,North Carolina Courage,61.0,49.0,61.0,171.0,28.65,35.67
7482,Washington Spirit,31.0,14.0,31.0,76.0,18.42,40.79
7483,Orlando Pride,27.0,23.0,27.0,77.0,29.87,35.06
7483,Utah Royals,22.0,15.0,22.0,59.0,25.42,37.29
7484,NJ/NY Gotham FC,37.0,28.0,37.0,102.0,27.45,36.27
7484,North Carolina Courage,52.0,51.0,52.0,155.0,32.9,33.55
7485,Chicago Red Stars,44.0,35.0,44.0,123.0,28.46,35.77
7485,OL Reign,32.0,15.0,32.0,79.0,18.99,40.51
7486,Houston Dash,28.0,25.0,28.0,81.0,30.86,34.57
7486,Portland Thorns,44.0,35.0,44.0,123.0,28.46,35.77
7487,North Carolina Courage,32.0,35.0,32.0,99.0,35.35,32.32
7487,Utah Royals,12.0,13.0,12.0,37.0,35.14,32.43
7490,NJ/NY Gotham FC,26.0,24.0,26.0,76.0,31.58,34.21
7490,Portland Thorns,27.0,21.0,27.0,75.0,28.0,36.0
7492,NJ/NY Gotham FC,14.0,14.0,14.0,42.0,33.33,33.33
7492,Orlando Pride,42.0,39.0,42.0,123.0,31.71,34.15
7493,OL Reign,30.0,19.0,30.0,79.0,24.05,37.97
7493,Washington Spirit,16.0,19.0,16.0,51.0,37.25,31.37
7494,Houston Dash,42.0,42.0,42.0,126.0,33.33,33.33
7494,Utah Royals,67.0,37.0,67.0,171.0,21.64,39.18
7496,Utah Royals,43.0,34.0,43.0,120.0,28.33,35.83
7496,Washington Spirit,45.0,33.0,45.0,123.0,26.83,36.59
7497,Chicago Red Stars,34.0,39.0,34.0,107.0,36.45,31.78
7497,North Carolina Courage,52.0,48.0,52.0,152.0,31.58,34.21
7500,Orlando Pride,16.0,18.0,16.0,50.0,36.0,32.0
7500,Portland Thorns,24.0,23.0,24.0,71.0,32.39,33.8
7519,North Carolina Courage,41.0,48.0,41.0,130.0,36.92,31.54
7519,Portland Thorns,39.0,36.0,39.0,114.0,31.58,34.21
7520,Chicago Red Stars,23.0,16.0,23.0,62.0,25.81,37.1
7520,Washington Spirit,30.0,19.0,30.0,79.0,24.05,37.97
7521,NJ/NY Gotham FC,35.0,24.0,35.0,94.0,25.53,37.23
7521,Utah Royals,31.0,27.0,31.0,89.0,30.34,34.83
7522,Houston Dash,25.0,31.0,25.0,81.0,38.27,30.86
7522,North Carolina Courage,40.0,29.0,40.0,109.0,26.61,36.7
7523,OL Reign,22.0,21.0,22.0,65.0,32.31,33.85
7523,Orlando Pride,19.0,11.0,19.0,49.0,22.45,38.78
7524,Houston Dash,19.0,21.0,19.0,59.0,35.59,32.2
7524,Orlando Pride,70.0,53.0,70.0,193.0,27.46,36.27
7525,Russia,27.0,30.0,27.0,84.0,35.71,32.14
7525,Saudi Arabia,22.0,12.0,22.0,56.0,21.43,39.29
7529,Croatia,34.0,21.0,34.0,89.0,23.6,38.2
7529,Nigeria,31.0,22.0,31.0,84.0,26.19,36.9
7530,Australia,23.0,13.0,23.0,59.0,22.03,38.98
7530,France,65.0,42.0,65.0,172.0,24.42,37.79
7531,Argentina,77.0,76.0,77.0,230.0,33.04,33.48
7531,Iceland,10.0,9.0,10.0,29.0,31.03,34.48
7532,Denmark,33.0,28.0,33.0,94.0,29.79,35.11
7532,Peru,45.0,45.0,45.0,135.0,33.33,33.33
7533,Brazil,49.0,46.0,49.0,144.0,31.94,34.03
7533,Switzerland,39.0,25.0,39.0,103.0,24.27,37.86
7534,Germany,101.0,77.0,101.0,279.0,27.6,36.2
7534,Mexico,25.0,33.0,25.0,83.0,39.76,30.12
7535,Costa Rica,39.0,32.0,39.0,110.0,29.09,35.45
7535,Serbia,48.0,37.0,48.0,133.0,27.82,36.09
7536,Belgium,42.0,36.0,42.0,120.0,30.0,35.0
7536,Panama,21.0,12.0,21.0,54.0,22.22,38.89
7537,England,47.0,29.0,47.0,123.0,23.58,38.21
7537,Tunisia,9.0,8.0,9.0,26.0,30.77,34.62
7538,South Korea,25.0,22.0,25.0,72.0,30.56,34.72
7538,Sweden,30.0,23.0,30.0,83.0,27.71,36.14
7539,Poland,37.0,29.0,37.0,103.0,28.16,35.92
7539,Senegal,29.0,32.0,29.0,90.0,35.56,32.22
7540,Egypt,52.0,27.0,52.0,131.0,20.61,39.69
7540,Russia,43.0,45.0,43.0,131.0,34.35,32.82
7541,Colombia,27.0,26.0,27.0,80.0,32.5,33.75
7541,Japan,53.0,34.0,53.0,140.0,24.29,37.86
7542,Morocco,29.0,34.0,29.0,92.0,36.96,31.52
7542,Portugal,19.0,20.0,19.0,58.0,34.48,32.76
7543,Iran,17.0,9.0,17.0,43.0,20.93,39.53
7543,Spain,72.0,56.0,72.0,200.0,28.0,36.0
7544,Saudi Arabia,37.0,26.0,37.0,100.0,26.0,37.0
7544,Uruguay,45.0,28.0,45.0,118.0,23.73,38.14
7545,Argentina,33.0,32.0,33.0,98.0,32.65,33.67
7545,Croatia,27.0,18.0,27.0,72.0,25.0,37.5
7546,France,29.0,25.0,29.0,83.0,30.12,34.94
7546,Peru,28.0,17.0,28.0,73.0,23.29,38.36
7547,Australia,46.0,48.0,46.0,140.0,34.29,32.86
7547,Denmark,47.0,23.0,47.0,117.0,19.66,40.17
7548,Brazil,81.0,67.0,81.0,229.0,29.26,35.37
7548,Costa Rica,17.0,11.0,17.0,45.0,24.44,37.78
7549,Iceland,29.0,27.0,29.0,85.0,31.76,34.12
7549,Nigeria,43.0,34.0,43.0,120.0,28.33,35.83
7550,Serbia,19.0,22.0,19.0,60.0,36.67,31.67
7550,Switzerland,37.0,27.0,37.0,101.0,26.73,36.63
7551,Germany,99.0,79.0,99.0,277.0,28.52,35.74
7551,Sweden,24.0,15.0,24.0,63.0,23.81,38.1
7552,Belgium,36.0,36.0,36.0,108.0,33.33,33.33
7552,Tunisia,36.0,29.0,36.0,101.0,28.71,35.64
7553,Mexico,39.0,32.0,39.0,110.0,29.09,35.45
7553,South Korea,36.0,32.0,36.0,104.0,30.77,34.62
7554,England,30.0,16.0,30.0,76.0,21.05,39.47
7554,Panama,35.0,15.0,35.0,85.0,17.65,41.18
7555,Colombia,46.0,47.0,46.0,139.0,33.81,33.09
7555,Poland,34.0,17.0,34.0,85.0,20.0,40.0
7556,Japan,51.0,25.0,51.0,127.0,19.69,40.16
7556,Senegal,19.0,17.0,19.0,55.0,30.91,34.55
7557,Iran,18.0,12.0,18.0,48.0,25.0,37.5
7557,Portugal,44.0,35.0,44.0,123.0,28.46,35.77
7558,Russia,32.0,23.0,32.0,87.0,26.44,36.78
7558,Uruguay,39.0,24.0,39.0,102.0,23.53,38.24
7559,Egypt,26.0,17.0,26.0,69.0,24.64,37.68
7559,Saudi Arabia,67.0,55.0,67.0,189.0,29.1,35.45
7560,Morocco,8.0,12.0,8.0,28.0,42.86,28.57
7560,Spain,111.0,56.0,111.0,278.0,20.14,39.93
