season_name,match_id,team,player,total_pressures,counterpresses,pressure_regains,high_pressures,pressure_success_pct,minutes_played,pressures_per_90
2021/2022,3802983,Paris Saint-Germain,Marco Verratti,48,8.0,6.0,9,12.5,87,49.66
2021/2022,3802839,Nantes,Andrei Girotto,47,7.0,8.0,12,17.02,94,45.0
2021/2022,3802930,Troyes,Renaud Ripart,46,4.0,5.0,6,10.87,93,44.52
2021/2022,3802983,Paris Saint-Germain,Idrissa Gana Gueye,45,5.0,4.0,7,8.89,80,50.63
2021/2022,3813267,East Bengal,Sourav Das,44,7.0,10.0,4,22.73,94,42.13
2021/2022,3802983,Paris Saint-Germain,Neymar da Silva Santos Junior,44,9.0,7.0,21,15.91,96,41.25
2021/2022,3817891,East Bengal,Sourav Das,42,9.0,10.0,6,23.81,95,39.79
2021/2022,3802795,Paris Saint-Germain,Marco Verratti,42,14.0,7.0,14,16.67,92,41.09
2021/2022,3813303,ATK Mohun Bagan,Liston Colaco,40,11.0,5.0,9,12.5,85,42.35
2021/2022,3802805,OGC Nice,Justin Kluivert,39,7.0,6.0,7,15.38,85,41.29
2021/2022,3803000,Clermont Foot,Yohann Magnin,39,5.0,8.0,4,20.51,91,38.57
2021/2022,3802683,AS Monaco,Aleksandr Golovin,38,4.0,5.0,14,13.16,91,37.58
2021/2022,3802818,Lorient,Laurent Abergel,38,5.0,13.0,5,34.21,92,37.17
2021/2022,3802752,Lyon,Lucas Tolentino Coelho de Lima,38,7.0,8.0,6,21.05,85,40.24
2021/2022,3817891,East Bengal,Naorem Mahesh Singh,38,8.0,6.0,5,15.79,76,45.0
2021/2022,3813271,Kerala Blasters,Lalthathanga Khawlhring,37,3.0,14.0,2,37.84,72,46.25
2021/2022,3817888,East Bengal,Naorem Mahesh Singh,37,9.0,7.0,9,18.92,91,36.59
2021/2022,3802904,Bordeaux,Yacine Adli,37,5.0,5.0,6,13.51,80,41.63
2021/2022,3813267,East Bengal,Naorem Mahesh Singh,36,6.0,8.0,7,22.22,79,41.01
