season_name,player,team,matches,shots,xg,goals,goals_minus_xg
2021/2022,Bartholomew Owogbalor Ogbeche,Hyderabad,20,66,8.44,18.0,9.56
2021/2022,Kylian Mbappé Lottin,Paris Saint-Germain,23,94,15.22,22.0,6.78
2021/2022,Adrián Nicolás Luna Retamar,Kerala Blasters,18,30,1.0,6.0,5.0
2021/2022,Greg Stewart,Jamshedpur,18,62,6.1,11.0,4.9
2022,Kylian Mbappé Lottin,France,7,32,5.02,9.0,3.98
2021/2022,Darren Sidoel,East Bengal,6,7,0.37,3.0,2.63
2021/2022,João Victor de Albuquerque Bruno,Hyderabad,18,26,3.49,6.0,2.51
2021/2022,Sahal Abdul Samad,Kerala Blasters,15,24,3.55,6.0,2.45
2022,Cody Mathès Gakpo,Netherlands,4,5,0.56,3.0,2.44
2022,Bukayo Saka,England,4,7,0.58,3.0,2.42
2021/2022,Ariday Cabrera Suárez,Odisha,15,37,2.65,5.0,2.35
2021/2022,Jorge Ortiz Mendoza,Goa,14,60,5.67,8.0,2.33
2021/2022,Hugo Adnan Boumous,ATK Mohun Bagan,12,22,2.77,5.0,2.23
2021/2022,Deshorn Brown,NorthEast United,9,26,4.91,7.0,2.09
2022,Julián Álvarez,Argentina,5,11,1.91,4.0,2.09
2021/2022,Kiyan Nassiri Giri,ATK Mohun Bagan,5,8,1.03,3.0,1.97
2021/2022,Bipin Singh Thounajam,Mumbai City,18,35,4.1,6.0,1.9
2022,Álvaro Borja Morata Martín,Spain,4,8,1.11,3.0,1.89
2021/2022,Cleiton Augusto Oliveira Silva,Bengaluru,18,49,7.12,9.0,1.88
2021/2022,Marcos Aoás Corrêa,Paris Saint-Germain,8,14,2.13,4.0,1.87
2021/2022,Daniel Chima Chukwu,Jamshedpur,10,25,5.2,7.0,1.8
2022,Rafael Alexandre Conceição Leão,Portugal,4,5,0.25,2.0,1.75
2021/2022,Serigne Mourtada Fall,Mumbai City,10,15,1.26,3.0,1.74
2021/2022,Amir Derviševič,East Bengal,5,8,0.31,2.0,1.69
2021/2022,Danilo Luís Hélio Pereira,Paris Saint-Germain,9,15,2.33,4.0,1.67
2022,Marcus Rashford,England,5,11,1.38,3.0,1.62
2021/2022,Danish Farooq Bhat,Bengaluru,8,15,1.38,3.0,1.62
2021/2022,Javier Siverio Toro,Hyderabad,15,38,5.41,7.0,1.59
2021/2022,Mohammed Irshad,NorthEast United,7,12,0.44,2.0,1.56
2021/2022,Ygor de Oliveira Ferreira,Mumbai City,11,19,1.44,3.0,1.56
2021/2022,Jonathas Cristian de Jesus,Odisha,14,34,6.45,8.0,1.55
2021/2022,Igor Angulo Albóniga,Mumbai City,18,51,8.53,10.0,1.47
2022,Vincent Paté Aboubakar,Cameroon,2,6,0.53,2.0,1.47
2021/2022,Denis Bouanga,Saint-Étienne,2,6,0.54,2.0,1.46
2021/2022,Liston Colaco,ATK Mohun Bagan,21,84,6.54,8.0,1.46
2021/2022,Jerry Mawihmingthanga,Odisha,12,22,1.55,3.0,1.45
2021/2022,Francisco Javier Hernández González,Odisha,18,49,4.57,6.0,1.43
2021/2022,Vladimir Koman Jr.,Chennaiyin,11,20,1.58,3.0,1.42
2021/2022,Joel Joseph Chianese,Hyderabad,10,15,2.59,4.0,1.41
2022,Lionel Andrés Messi Cuccittini,Argentina,7,34,7.6,9.0,1.4
2022,Richarlison de Andrade,Brazil,4,8,1.62,3.0,1.38
2021/2022,Peter Hartley,Jamshedpur,10,13,1.63,3.0,1.37
2021/2022,Ahmed Jahouh,Mumbai City,12,23,1.65,3.0,1.35
2022,Mohammed Kudus,Ghana,3,8,0.66,2.0,1.34
2022,Gonçalo Matias Ramos,Portugal,2,7,1.67,3.0,1.33
2021/2022,Thongkhosiem Haokip,East Bengal,6,8,0.71,2.0,1.29
2022,Gue-Sung Cho,South Korea,3,8,0.71,2.0,1.29
