season_name,player,team,total_passes,total_opponents_packed,avg_packing_per_pass,progressive_passes,avg_packing_progressive
2022/2023,Gideon Mensah,Auxerre,60,0.0,0.0,16.0,0.0
2022/2023,Souleyman Doumbia,Angers,31,0.0,0.0,7.0,0.0
2023,Nayef Aguerd,Morocco,37,0.0,0.0,20.0,0.0
2022/2023,Melvin Bard,OGC Nice,36,0.0,0.0,5.0,0.0
2023,Kialonda Gaspar,Angola,29,0.0,0.0,11.0,0.0
2022/2023,Edon Zhegrova,Lille,14,0.0,0.0,0.0,
2022/2023,Brice Samba,Lens,19,0.0,0.0,10.0,0.0
2023,Aubrey Maphosa Modiba,South Africa,56,0.0,0.0,17.0,0.0
2023,Hichem Boudaoui,Algeria,27,0.0,0.0,3.0,0.0
2023,Elias Gaspar Pelembe,Mozambique,20,0.0,0.0,9.0,0.0
2023,Elliot Panicco,Nashville SC,21,0.0,0.0,15.0,0.0
2023,Álvaro Martín Barreal,Cincinnati,37,0.0,0.0,15.0,0.0
2022/2023,Achraf Hakimi Mouh,Paris Saint-Germain,80,0.0,0.0,19.0,0.0
2022/2023,Vitor Machado Ferreira,Paris Saint-Germain,53,0.0,0.0,9.0,0.0
2023,Charles Pickel,Congo DR,19,0.0,0.0,5.0,0.0
2023,Ryan Isaac Mendes da Graça,Cape Verde Islands,18,0.0,0.0,2.0,0.0
2023,Drake Callender,Inter Miami,21,0.0,0.0,6.0,0.0
2023,Ryan Nyambe,Namibia,17,0.0,0.0,4.0,0.0
2022/2023,El Chadaille Bitshiabu,Paris Saint-Germain,72,0.0,0.0,14.0,0.0
2023,Dixon Jair Arroyo Espinoza,Inter Miami,52,0.0,0.0,16.0,0.0
2022/2023,Danilo Luís Hélio Pereira,Paris Saint-Germain,69,0.0,0.0,26.0,0.0
2023,Logan Costa,Cape Verde Islands,58,0.0,0.0,19.0,0.0
2023,Faisal Salum Abdalla,Tanzania,18,0.0,0.0,2.0,0.0
2023,Diadie Samassekou,Mali,47,0.0,0.0,12.0,0.0
2023,Nouh Mohamed El Abd,Mauritania,42,0.0,0.0,22.0,0.0
2023,Alhassan Yusuf,Nigeria,16,0.0,0.0,9.0,0.0
2023,Ghislain Konan,Côte d'Ivoire,59,0.0,0.0,12.0,0.0
2023,Ali Abdi,Tunisia,25,0.0,0.0,13.0,0.0
2022/2023,Florent Ogier,Clermont Foot,36,0.0,0.0,12.0,0.0
2023,Teboho Mokoena,South Africa,48,0.0,0.0,14.0,0.0
2023,Jordi Alba Ramos,Inter Miami,21,0.0,0.0,5.0,0.0
2023,Issa Kabore,Burkina Faso,34,0.0,0.0,11.0,0.0
2022/2023,Franck Honorat,Stade Brestois,26,0.0,0.0,6.0,0.0
2022/2023,Gianluigi Donnarumma,Paris Saint-Germain,22,0.0,0.0,8.0,0.0
2023,Kamal Miller,Inter Miami,31,0.0,0.0,15.0,0.0
2023,Opa Sangante,Guinea-Bissau,35,0.0,0.0,14.0,0.0
2023,Lionel Mpasi-Nzau,Congo DR,25,0.0,0.0,17.0,0.0
2023,Frank Onyeka,Nigeria,36,0.0,0.0,7.0,0.0
2023,Mohamed Abdel Monem,Egypt,58,0.0,0.0,23.0,0.0
2022/2023,Rémy Cabella,Lille,41,0.0,0.0,10.0,0.0
2023,Fernando de Lacerda Gomes,Guinea-Bissau,56,0.0,0.0,7.0,0.0
2022/2023,Lionel Andrés Messi Cuccittini,Paris Saint-Germain,57,0.0,0.0,18.0,0.0
2023,Serhiy Kryvtsov,Inter Miami,65,0.0,0.0,29.0,0.0
2022/2023,Nordi Mukiele Mulere,Paris Saint-Germain,52,0.0,0.0,18.0,0.0
2023,Deon Hotto Kavendji,Namibia,21,0.0,0.0,5.0,0.0
2023,Tomas Lían Romero Keubler,Toronto FC,29,0.0,0.0,14.0,0.0
2022/2023,Danilo Luís Hélio Pereira,Paris Saint-Germain,68,0.0,0.0,25.0,0.0
2023,Mohamed Hussein Mohamed,Tanzania,34,0.0,0.0,7.0,0.0
2022/2023,Cédric Hountondji,Angers,23,0.0,0.0,6.0,0.0
2023,Kialonda Gaspar,Angola,51,0.0,0.0,14.0,0.0
2023,Júnior Leonardo Moreno Borrero,Cincinnati,30,0.0,0.0,4.0,0.0
2022/2023,Hugo Ekitike,Paris Saint-Germain,21,0.0,0.0,3.0,0.0
2023,Mouctar Diakhaby,Guinea,60,0.0,0.0,24.0,0.0
2023,Aïssa Bilal Laïdouni,Tunisia,19,0.0,0.0,12.0,0.0
