season_name,match_id,team,player,tackles,interceptions,pressures,blocks,clearances,ball_recoveries,fouls_committed,duels_won,total_duels,defensive_third_actions,middle_third_actions,attacking_third_actions,high_turnovers,total_defensive_actions,duel_win_pct,pressure_pct,tackle_interception_pct,high_turnover_pct,attacking_third_pct,defensive_profile
2022/2023,3837928,Lyon,Bradley Barcola,0.0,0.0,57.0,6.0,0.0,2.0,3.0,0.0,3.0,15.0,38.0,18.0,0.0,63.0,0.0,90.48,0.0,0.0,25.35,Balanced Defender
2022/2023,3837954,Angers,Himad Abdelli,0.0,3.0,51.0,3.0,1.0,9.0,1.0,3.0,5.0,16.0,39.0,18.0,7.0,57.0,60.0,89.47,5.26,12.28,24.66,Balanced Defender
2022/2023,3837896,Nantes,Samuel Moutoussamy,0.0,0.0,52.0,5.0,1.0,6.0,0.0,0.0,5.0,43.0,21.0,5.0,1.0,57.0,0.0,91.23,0.0,1.75,7.25,Balanced Defender
2022/2023,3837928,Lyon,Johann Lepenant,0.0,0.0,51.0,1.0,2.0,4.0,3.0,0.0,2.0,31.0,22.0,10.0,1.0,52.0,0.0,98.08,0.0,1.92,15.87,Balanced Defender
2022/2023,3837902,Stade Brestois,Hugo Magnetti,0.0,0.0,47.0,3.0,0.0,4.0,1.0,0.0,2.0,19.0,27.0,11.0,1.0,50.0,0.0,94.0,0.0,2.0,19.3,Balanced Defender
2022/2023,3837987,AC Ajaccio,Vincent Marchetti,0.0,0.0,46.0,4.0,3.0,6.0,2.0,1.0,3.0,44.0,18.0,2.0,1.0,50.0,33.33,92.0,0.0,2.0,3.12,Balanced Defender
2022/2023,3837885,Paris Saint-Germain,Fabián Ruiz Peña,0.0,1.0,45.0,4.0,3.0,3.0,4.0,2.0,10.0,23.0,35.0,12.0,0.0,50.0,20.0,90.0,2.0,0.0,17.14,Balanced Defender
2022/2023,3837987,AC Ajaccio,Mickaël Barreto,0.0,0.0,48.0,1.0,0.0,7.0,0.0,2.0,6.0,27.0,29.0,6.0,2.0,49.0,33.33,97.96,0.0,4.08,9.68,Balanced Defender
2023,3922242,Senegal,Ismail Jakobs,0.0,4.0,37.0,7.0,4.0,4.0,2.0,1.0,7.0,39.0,16.0,10.0,2.0,48.0,14.29,77.08,8.33,4.17,15.38,Balanced Defender
2022/2023,3837954,Angers,Jean-Mattéo Bahoya Négoce,0.0,0.0,43.0,2.0,0.0,5.0,1.0,1.0,4.0,8.0,28.0,19.0,3.0,45.0,25.0,95.56,0.0,6.67,34.55,Balanced Defender
2022/2023,3837902,Stade Brestois,Steve Michel Mounié,0.0,0.0,42.0,2.0,1.0,2.0,2.0,0.0,4.0,10.0,35.0,8.0,1.0,44.0,0.0,95.45,0.0,2.27,15.09,Balanced Defender
2022/2023,3837928,Lyon,Nicolás Alejandro Tagliafico,0.0,4.0,35.0,5.0,6.0,6.0,0.0,0.0,3.0,30.0,16.0,13.0,4.0,44.0,0.0,79.55,9.09,9.09,22.03,Balanced Defender
2022/2023,3837859,Toulouse,Stijn Spierings,0.0,3.0,35.0,5.0,0.0,2.0,2.0,0.0,3.0,25.0,21.0,4.0,1.0,43.0,0.0,81.4,6.98,2.33,8.0,Balanced Defender
2022/2023,3837902,Stade Brestois,Haris Belkebla,0.0,2.0,39.0,2.0,0.0,5.0,1.0,1.0,7.0,34.0,17.0,5.0,0.0,43.0,14.29,90.7,4.65,0.0,8.93,Balanced Defender
2022/2023,3837928,Lyon,Thiago Henrique Mendes Ribeiro,0.0,2.0,39.0,1.0,2.0,5.0,2.0,2.0,6.0,37.0,16.0,4.0,0.0,42.0,33.33,92.86,4.76,0.0,7.02,Balanced Defender
