season_name,match_id,team,opponent_passes,defensive_actions,ppda
2022/2023,3837650,Clermont Foot,443,24,18.46
2022/2023,3837650,Paris Saint-Germain,243,24,10.13
2022/2023,3837659,Montpellier,546,16,34.13
2022/2023,3837659,Paris Saint-Germain,205,42,4.88
2022/2023,3837662,Lille,386,27,14.3
2022/2023,3837662,Paris Saint-Germain,342,18,19.0
2022/2023,3837680,AS Monaco,425,40,10.63
2022/2023,3837680,Paris Saint-Germain,202,25,8.08
2022/2023,3837683,Paris Saint-Germain,227,21,10.81
2022/2023,3837683,Toulouse,448,33,13.58
2022/2023,3837695,Nantes,537,21,25.57
2022/2023,3837695,Paris Saint-Germain,279,23,12.13
2022/2023,3837706,Paris Saint-Germain,253,26,9.73
2022/2023,3837706,Stade Brestois,517,39,13.26
2022/2023,3837717,Lyon,588,36,16.33
2022/2023,3837717,Paris Saint-Germain,303,16,18.94
2022/2023,3837727,OGC Nice,425,26,16.35
2022/2023,3837727,Paris Saint-Germain,321,26,12.35
2022/2023,3837747,Marseille,322,24,13.42
2022/2023,3837747,Paris Saint-Germain,351,25,14.04
2022/2023,3837752,AC Ajaccio,398,35,11.37
2022/2023,3837752,Paris Saint-Germain,262,26,10.08
2022/2023,3837771,Paris Saint-Germain,139,39,3.56
2022/2023,3837771,Troyes,597,14,42.64
2022/2023,3837785,Auxerre,502,28,17.93
2022/2023,3837785,Paris Saint-Germain,265,23,11.52
2022/2023,3837818,Angers,630,10,63.0
2022/2023,3837818,Paris Saint-Germain,265,19,13.95
2022/2023,3837827,Paris Saint-Germain,210,37,5.68
2022/2023,3837827,Rennes,507,26,19.5
2022/2023,3837839,Paris Saint-Germain,327,17,19.24
2022/2023,3837839,Stade de Reims,449,31,14.48
2022/2023,3837844,Montpellier,570,24,23.75
2022/2023,3837844,Paris Saint-Germain,185,33,5.61
2022/2023,3837859,Paris Saint-Germain,223,15,14.87
2022/2023,3837859,Toulouse,476,22,21.64
2022/2023,3837876,Lille,225,41,5.49
2022/2023,3837876,Paris Saint-Germain,352,30,11.73
2022/2023,3837885,Marseille,242,40,6.05
2022/2023,3837885,Paris Saint-Germain,361,27,13.37
2022/2023,3837896,Nantes,657,19,34.58
2022/2023,3837896,Paris Saint-Germain,210,27,7.78
2022/2023,3837902,Paris Saint-Germain,254,25,10.16
2022/2023,3837902,Stade Brestois,532,18,29.56
2022/2023,3837918,Paris Saint-Germain,246,19,12.95
2022/2023,3837918,Rennes,418,34,12.29
2022/2023,3837928,Lyon,566,30,18.87
2022/2023,3837928,Paris Saint-Germain,233,30,7.77
2022/2023,3837938,OGC Nice,446,18,24.78
2022/2023,3837938,Paris Saint-Germain,464,15,30.93
2022/2023,3837947,Lens,541,17,31.82
2022/2023,3837947,Paris Saint-Germain,322,19,16.95
2022/2023,3837954,Angers,628,22,28.55
2022/2023,3837954,Paris Saint-Germain,340,19,17.89
2022/2023,3837963,Lorient,465,26,17.88
2022/2023,3837963,Paris Saint-Germain,298,31,9.61
2022/2023,3837987,AC Ajaccio,678,19,35.68
2022/2023,3837987,Paris Saint-Germain,139,32,4.34
2022/2023,3837998,Auxerre,498,28,17.79
2022/2023,3837998,Paris Saint-Germain,303,21,14.43
2022/2023,3838004,Paris Saint-Germain,260,24,10.83
2022/2023,3838004,Strasbourg,487,23,21.17
2022/2023,3838017,Clermont Foot,337,29,11.62
2022/2023,3838017,Paris Saint-Germain,313,20,15.65
2023,3877060,Inter Miami,359,26,13.81
2023,3877060,New York Red Bulls,238,31,7.68
2023,3877072,Inter Miami,142,41,3.46
2023,3877072,Nashville SC,604,8,75.5
2023,3877090,Inter Miami,293,22,13.32
2023,3877090,LAFC,238,46,5.17
2023,3877115,Inter Miami,239,41,5.83
2023,3877115,Toronto FC,505,21,24.05
2023,3877170,Cincinnati,390,21,18.57
2023,3877170,Inter Miami,198,34,5.82
2023,3877194,Charlotte,349,37,9.43
2023,3877194,Inter Miami,265,17,15.59
2023,3893787,New Zealand Women's,219,43,5.09
2023,3893787,Norway Women's,258,47,5.49
2023,3893788,Australia Women's,173,29,5.97
2023,3893788,Republic of Ireland Women's,296,32,9.25
2023,3893789,Philippines Women's,476,22,21.64
2023,3893789,Switzerland Women's,152,28,5.43
2023,3893790,Canada Women's,119,32,3.72
2023,3893790,Nigeria Women's,389,31,12.55
2023,3893791,Costa Rica Women's,568,29,19.59
2023,3893791,Spain Women's,60,32,1.88
2023,3893792,United States Women's,89,41,2.17
2023,3893792,Vietnam Women's,442,25,17.68
2023,3893793,Japan Women's,199,22,9.05
2023,3893793,Zambia Women's,414,28,14.79
2023,3893794,England Women's,98,48,2.04
2023,3893794,Haiti Women's,513,22,23.32
2023,3893795,China PR Women's,274,41,6.68
2023,3893795,Denmark Women's,250,38,6.58
2023,3893796,South Africa Women's,451,14,32.21
2023,3893796,Sweden Women's,137,25,5.48
2023,3893797,Netherlands Women's,214,37,5.78
2023,3893797,Portugal Women's,273,48,5.69
2023,3893798,France Women's,107,35,3.06
2023,3893798,Jamaica Women's,385,32,12.03
2023,3893799,Germany Women's,155,35,4.43
2023,3893799,Morocco Women's,378,36,10.5
2023,3893800,Argentina Women's,273,39,7.0
2023,3893800,Italy Women's,216,47,4.6
2023,3893801,Brazil Women's,82,31,2.65
2023,3893801,Panama Women's,494,20,24.7
2023,3893802,Colombia Women's,194,41,4.73
2023,3893802,Korea Republic Women's,271,56,4.84
2023,3893803,New Zealand Women's,168,39,4.31
2023,3893803,Philippines Women's,395,34,11.62
2023,3893804,Norway Women's,315,30,10.5
2023,3893804,Switzerland Women's,333,23,14.48
2023,3893805,Costa Rica Women's,361,32,11.28
2023,3893805,Japan Women's,191,34,5.62
2023,3893806,Spain Women's,115,34,3.38
2023,3893806,Zambia Women's,534,20,26.7
2023,3893807,Canada Women's,183,37,4.95
2023,3893807,Republic of Ireland Women's,368,43,8.56
2023,3893808,Netherlands Women's,300,35,8.57
2023,3893808,United States Women's,264,48,5.5
2023,3893809,Australia Women's,147,23,6.39
2023,3893809,Nigeria Women's,327,25,13.08
2023,3893810,Portugal Women's,114,24,4.75
2023,3893810,Vietnam Women's,466,26,17.92
2023,3893811,Denmark Women's,413,44,9.39
2023,3893811,England Women's,145,31,4.68
2023,3893812,Argentina Women's,176,31,5.68
2023,3893812,South Africa Women's,367,44,8.34
2023,3893813,China PR Women's,247,40,6.18
2023,3893813,Haiti Women's,257,30,8.57
2023,3893814,Italy Women's,282,27,10.44
2023,3893814,Sweden Women's,254,32,7.94
2023,3893815,Brazil Women's,299,33,9.06
2023,3893815,France Women's,223,53,4.21
2023,3893816,Jamaica Women's,209,34,6.15
2023,3893816,Panama Women's,209,32,6.53
