team,player,total_mins,progressive_passes,progressive_carries,progressive_passes_received,progressive_passes_p90,progressive_carries_p90,progressive_passes_received_p90,total_progressive_actions_p90,progression_type
Angers,Sofiane Boufal,31.0,2.0,8.0,6.0,5.81,23.23,17.42,46.46,Complete Progressor
AC Ajaccio,Romain Hamouma,35.0,2.0,5.0,7.0,5.14,12.86,18.0,36.0,Complete Progressor
Angers,Sada Thioub,36.0,2.0,7.0,5.0,5.0,17.5,12.5,35.0,Complete Progressor
Lyon,Karl Brillant Toko Ekambi,86.0,1.0,11.0,15.0,1.05,11.51,15.7,28.259999999999998,Ball Carrier
Angers,Farid El Melali,31.0,1.0,4.0,4.0,2.9,11.61,11.61,26.119999999999997,Ball Carrier
Lille,Alan Virginius,39.0,1.0,4.0,6.0,2.31,9.23,13.85,25.39,Ball Carrier
Stade de Reims,Alexis Flips,74.0,6.0,6.0,8.0,7.3,7.3,9.73,24.33,Complete Progressor
AS Monaco,Maghnes Akliouche,38.0,3.0,2.0,5.0,7.11,4.74,11.84,23.69,Complete Progressor
Paris Saint-Germain,Kylian Mbappé Lottin,2409.0,81.0,242.0,301.0,3.03,9.04,11.25,23.32,Complete Progressor
Lorient,Romain Faivre,93.0,5.0,14.0,5.0,4.84,13.55,4.84,23.23,Complete Progressor
Marseille,Amine Harit,70.0,5.0,5.0,8.0,6.43,6.43,10.29,23.15,Complete Progressor
Auxerre,Hamza Sakhi,83.0,15.0,4.0,2.0,16.27,4.34,2.17,22.78,Complete Progressor
Inter Miami,Robert Taylor,198.0,15.0,12.0,21.0,6.82,5.45,9.55,21.82,Complete Progressor
Lyon,Mathis Rayan Cherki,87.0,5.0,8.0,8.0,5.17,8.28,8.28,21.729999999999997,Complete Progressor
Angers,Yan Valery,89.0,7.0,10.0,4.0,7.08,10.11,4.04,21.229999999999997,Complete Progressor
Strasbourg,Morgan Sanson,86.0,8.0,8.0,4.0,8.37,8.37,4.19,20.93,Complete Progressor
Auxerre,Gauthier Hein,117.0,5.0,10.0,12.0,3.85,7.69,9.23,20.770000000000003,Complete Progressor
Cincinnati,Luciano Federico Acosta,87.0,7.0,8.0,5.0,7.24,8.28,5.17,20.689999999999998,Complete Progressor
