season_name,match_id,team,total_shots,total_xg,npxg,total_goals,np_goals,avg_npxg_per_shot
2022/2023,3837650,Paris Saint-Germain,18,2.611,2.611,5.0,5.0,0.145
2022/2023,3837650,Clermont Foot,7,0.264,0.264,0.0,0.0,0.038
2022/2023,3837659,Paris Saint-Germain,20,3.53,1.963,4.0,3.0,0.109
2022/2023,3837659,Montpellier,7,0.811,0.811,2.0,2.0,0.116
2022/2023,3837662,Paris Saint-Germain,16,3.899,3.899,7.0,7.0,0.244
2022/2023,3837662,Lille,16,1.974,1.974,1.0,1.0,0.123
2022/2023,3837680,Paris Saint-Germain,18,2.56,1.777,1.0,0.0,0.105
2022/2023,3837680,AS Monaco,4,0.453,0.453,1.0,1.0,0.113
2022/2023,3837683,Paris Saint-Germain,21,3.057,3.057,3.0,3.0,0.146
2022/2023,3837683,Toulouse,14,0.804,0.804,0.0,0.0,0.057
2022/2023,3837695,Paris Saint-Germain,20,3.824,3.824,3.0,3.0,0.191
2022/2023,3837695,Nantes,11,0.428,0.428,0.0,0.0,0.039
2022/2023,3837706,Paris Saint-Germain,14,1.493,1.493,1.0,1.0,0.107
2022/2023,3837706,Stade Brestois,6,1.082,0.298,0.0,0.0,0.06
2022/2023,3837717,Paris Saint-Germain,15,1.949,1.949,1.0,1.0,0.13
2022/2023,3837717,Lyon,12,0.811,0.811,0.0,0.0,0.068
2022/2023,3837727,Paris Saint-Germain,12,0.773,0.773,2.0,2.0,0.064
2022/2023,3837727,OGC Nice,4,0.382,0.382,1.0,1.0,0.096
2022/2023,3837747,Paris Saint-Germain,22,2.09,2.09,1.0,1.0,0.095
2022/2023,3837747,Marseille,20,1.209,1.209,0.0,0.0,0.06
2022/2023,3837752,Paris Saint-Germain,11,2.862,2.862,3.0,3.0,0.26
2022/2023,3837752,AC Ajaccio,8,0.24,0.24,0.0,0.0,0.03
2022/2023,3837771,Paris Saint-Germain,20,2.835,2.052,4.0,3.0,0.108
2022/2023,3837771,Troyes,16,1.721,1.721,3.0,3.0,0.108
2022/2023,3837785,Paris Saint-Germain,9,1.428,1.428,5.0,5.0,0.159
2022/2023,3837785,Auxerre,10,0.667,0.667,0.0,0.0,0.067
2022/2023,3837818,Paris Saint-Germain,9,1.351,1.351,2.0,2.0,0.15
2022/2023,3837818,Angers,6,0.354,0.354,0.0,0.0,0.059
2022/2023,3837827,Paris Saint-Germain,8,1.039,1.039,0.0,0.0,0.13
2022/2023,3837827,Rennes,8,0.555,0.555,1.0,1.0,0.069
2022/2023,3837839,Stade de Reims,17,1.907,1.907,1.0,1.0,0.112
2022/2023,3837839,Paris Saint-Germain,12,1.72,1.72,1.0,1.0,0.143
2022/2023,3837844,Paris Saint-Germain,19,3.997,3.213,3.0,3.0,0.179
2022/2023,3837844,Montpellier,6,0.346,0.346,1.0,1.0,0.058
2022/2023,3837859,Paris Saint-Germain,22,1.768,1.768,2.0,2.0,0.08
2022/2023,3837859,Toulouse,12,0.7,0.7,1.0,1.0,0.058
2022/2023,3837876,Lille,16,2.204,1.421,3.0,2.0,0.095
2022/2023,3837876,Paris Saint-Germain,12,1.255,1.255,4.0,4.0,0.105
2022/2023,3837885,Paris Saint-Germain,12,2.197,2.197,3.0,3.0,0.183
2022/2023,3837885,Marseille,19,1.568,1.568,0.0,0.0,0.083
2022/2023,3837896,Paris Saint-Germain,17,1.472,1.472,3.0,3.0,0.087
2022/2023,3837896,Nantes,8,0.408,0.408,2.0,2.0,0.051
2022/2023,3837902,Paris Saint-Germain,17,2.47,2.47,2.0,2.0,0.145
2022/2023,3837902,Stade Brestois,7,0.622,0.622,1.0,1.0,0.089
2022/2023,3837918,Paris Saint-Germain,17,1.59,1.59,0.0,0.0,0.094
2022/2023,3837918,Rennes,10,1.359,1.359,2.0,2.0,0.136
2022/2023,3837928,Lyon,10,2.269,1.485,1.0,1.0,0.165
2022/2023,3837928,Paris Saint-Germain,16,1.064,1.064,0.0,0.0,0.067
2022/2023,3837938,OGC Nice,21,1.273,1.273,0.0,0.0,0.061
2022/2023,3837938,Paris Saint-Germain,13,0.772,0.772,2.0,2.0,0.059
2022/2023,3837947,Paris Saint-Germain,15,1.5,1.5,3.0,3.0,0.1
2022/2023,3837947,Lens,14,1.715,0.931,1.0,0.0,0.072
