season_name,match_id,team,player,passes_made,passes_received,total_pass_involvement,unique_receivers,unique_passers,degree_centrality,network_involvement_pct
2023/2024,3895266,Bayer Leverkusen,Granit Xhaka,161.0,159.0,320.0,11,11,22,36.87
2023/2024,3895139,Bayer Leverkusen,Granit Xhaka,142.0,137.0,279.0,12,10,22,35.63
2023/2024,3895266,Bayer Leverkusen,Exequiel Alejandro Palacios,144.0,135.0,279.0,12,11,23,32.14
2023/2024,3895210,Bayer Leverkusen,Granit Xhaka,142.0,136.0,278.0,11,12,23,30.58
2024,3942349,Portugal,Kléper Laveran Lima Ferreira,132.0,132.0,264.0,13,12,25,31.47
2023/2024,3895220,Bayer Leverkusen,Granit Xhaka,128.0,128.0,256.0,11,11,22,35.75
2023/2024,3895210,Bayer Leverkusen,Robert Andrich,134.0,117.0,251.0,11,11,22,27.61
2024,3930168,Germany,Toni Kroos,125.0,121.0,246.0,13,13,26,35.76
2024,3930161,Italy,Jorge Luiz Frello Filho,120.0,125.0,245.0,14,11,25,31.25
2024,3941017,England,John Stones,120.0,119.0,239.0,10,11,21,32.43
2024,3930161,Italy,Giovanni Di Lorenzo,123.0,115.0,238.0,10,12,22,30.36
2023/2024,3895086,Bayer Leverkusen,Granit Xhaka,118.0,112.0,230.0,14,13,27,29.08
2024,3942227,Switzerland,Granit Xhaka,117.0,110.0,227.0,14,13,27,37.71
2023/2024,3895194,Bayer Leverkusen,Granit Xhaka,113.0,113.0,226.0,11,10,21,29.85
2023/2024,3895210,Bayer Leverkusen,Piero Martín Hincapié Reyna,115.0,111.0,226.0,11,11,22,24.86
2023/2024,3895060,Bayer Leverkusen,Granit Xhaka,114.0,111.0,225.0,14,14,28,34.4
2023/2024,3895258,Bayer Leverkusen,Jonathan Tah,115.0,109.0,224.0,13,12,25,28.28
2023/2024,3895139,Bayer Leverkusen,Exequiel Alejandro Palacios,111.0,113.0,224.0,10,11,21,28.61
2025,3998847,Spain Women's,Patricia Guijarro Gutiérrez,112.0,110.0,222.0,15,12,27,31.58
2025,3998858,England Women's,Leah Williamson,111.0,110.0,221.0,12,12,24,31.89
2025,4020077,Spain Women's,Patricia Guijarro Gutiérrez,109.0,111.0,220.0,12,11,23,32.16
2024,3941018,Spain,Rodrigo Hernández Cascante,109.0,109.0,218.0,13,14,27,27.88
2024,3930167,Croatia,Luka Modrić,108.0,109.0,217.0,13,11,24,35.99
2024,3941018,Spain,Aymeric Laporte,113.0,104.0,217.0,11,11,22,27.75
2023/2024,3895107,Bayer Leverkusen,Exequiel Alejandro Palacios,112.0,105.0,217.0,14,13,27,30.52
2023/2024,3895067,Bayer Leverkusen,Granit Xhaka,109.0,108.0,217.0,11,12,23,29.36
2023/2024,3895348,Bayer Leverkusen,Odilon Kossonou,115.0,101.0,216.0,14,12,26,30.81
2024,3930173,France,Dayotchanculle Upamecano,110.0,104.0,214.0,12,10,22,33.97
2023/2024,3895275,Bayer Leverkusen,Exequiel Alejandro Palacios,107.0,106.0,213.0,10,9,19,30.69
2023/2024,3895210,Bayer Leverkusen,Josip Stanišić,108.0,105.0,213.0,10,10,20,23.43
2024,3930161,Italy,Nicolò Barella,105.0,107.0,212.0,11,13,24,27.04
2023/2024,3895180,Bayer Leverkusen,Granit Xhaka,110.0,102.0,212.0,14,11,25,31.04
2024,3938644,Portugal,Gonçalo Bernardo Inácio,108.0,104.0,212.0,12,11,23,32.07
2023/2024,3895258,Bayer Leverkusen,Granit Xhaka,104.0,107.0,211.0,14,13,27,26.64
2024,3930161,Italy,Alessandro Bastoni,111.0,99.0,210.0,11,10,21,26.79
