season_name,match_id,player,team,possessions_with_shot,xg_chain,shots_in_chain,goals_in_chain,avg_xg_per_possession,total_touches_in_chains,minutes_played,xg_chain_per90,team_involvement_pct
2024,3930166,Francisco Fernandes Conceição,Portugal,1,0.59,1.0,1.0,0.59,1.0,3.0,17.7,32.87
2023/2024,3895220,Noah Mbamba,Bayer Leverkusen,1,0.176,1.0,0.0,0.176,5.0,1.0,15.84,9.27
2024,3930166,Pedro Lomba Neto,Portugal,1,0.59,1.0,1.0,0.59,4.0,5.0,10.62,32.87
2023/2024,3895180,Adam Hložek,Bayer Leverkusen,1,0.521,2.0,0.0,0.521,2.0,5.0,9.378,20.14
2024,3942382,Joshua Zirkzee,Netherlands,1,0.072,1.0,0.0,0.072,2.0,1.0,6.48,11.25
2024,3930168,Dániel Gazdag,Hungary,1,0.284,1.0,0.0,0.284,1.0,4.0,6.39,23.66
2024,3939974,Brenden Aaronson,United States,1,0.546,2.0,0.0,0.546,5.0,8.0,6.143,29.32
2024,3938639,Budu Zivzivadze,Georgia,1,0.339,2.0,0.0,0.339,1.0,5.0,6.102,22.28
2024,3942227,Trent Alexander-Arnold,England,1,0.784,1.0,1.0,0.784,1.0,12.0,5.88,17.96
2024,3942227,Vincent Sierro,Switzerland,1,0.118,2.0,0.0,0.118,4.0,2.0,5.31,2.75
2024,3942227,Mohamed Zeki Amdouni,Switzerland,2,0.901,3.0,1.0,0.451,3.0,16.0,5.068,20.97
2024,3939982,Rodrigo Bentancur Colmán,Uruguay,1,0.225,1.0,1.0,0.225,1.0,4.0,5.063,9.72
2024,3942227,Ivan Toney,England,1,0.784,1.0,1.0,0.784,1.0,14.0,5.04,17.96
2024,3942416,Miguel Ángel Borja Hernández,Colombia,1,0.784,1.0,1.0,0.784,1.0,15.0,4.704,35.96
2024,3930161,Ernest Muçi,Albania,1,0.104,1.0,0.0,0.104,6.0,2.0,4.68,29.33
2024,3939975,Kevin Duvan Castaño Gil,Colombia,1,0.102,1.0,0.0,0.102,1.0,2.0,4.59,16.4
2024,3939975,Juan Fernando Quintero Paniagua,Colombia,1,0.102,1.0,0.0,0.102,4.0,2.0,4.59,16.4
2024,3938639,Sandro Altunashvili,Georgia,1,0.339,2.0,0.0,0.339,2.0,7.0,4.359,22.28
2024,3939982,Giorgian Daniel De Arrascaeta Benedetti,Uruguay,1,0.225,1.0,1.0,0.225,1.0,5.0,4.05,9.72
2023/2024,3895180,Piero Martín Hincapié Reyna,Bayer Leverkusen,1,0.521,2.0,0.0,0.521,2.0,12.0,3.908,20.14
2024,3942852,Luis Fernando Sinisterra Lucumí,Colombia,2,0.741,2.0,0.0,0.37,6.0,18.0,3.705,63.23
2023/2024,3895180,Nathan Tella,Bayer Leverkusen,1,0.521,2.0,0.0,0.521,2.0,13.0,3.607,20.14
2023/2024,3895153,Gustavo Adolfo Puerta Molano,Bayer Leverkusen,1,0.077,1.0,0.0,0.077,4.0,2.0,3.465,7.27
2023/2024,3895153,Nadiem Amiri,Bayer Leverkusen,1,0.077,1.0,0.0,0.077,4.0,2.0,3.465,7.27
2024,3939973,Abdiel Armando Ayarza Cocanegra,Panama,1,0.076,1.0,1.0,0.076,1.0,2.0,3.42,14.05
2024,3941020,Josip Iličić,Slovenia,2,0.829,2.0,0.0,0.414,2.0,22.0,3.391,27.39
2023/2024,3895320,Silas Katompa Mvumpa,VfB Stuttgart,1,0.429,1.0,0.0,0.429,4.0,12.0,3.218,24.98
2023/2024,3895158,Patrik Schick,Bayer Leverkusen,3,1.09,3.0,1.0,0.363,5.0,33.0,2.973,52.45
2024,3939974,Luca de la Torre,United States,2,0.591,3.0,0.0,0.295,8.0,18.0,2.955,31.74
2024,3930175,Denis Alibec,Romania,1,0.363,1.0,0.0,0.363,1.0,12.0,2.723,29.13
2023/2024,3895158,Thomas Meunier,Borussia Dortmund,1,0.236,1.0,0.0,0.236,4.0,8.0,2.655,29.5
2023/2024,3895275,Edmond Fayçal Tapsoba,Bayer Leverkusen,1,0.059,1.0,0.0,0.059,4.0,2.0,2.655,2.7
2023/2024,3895220,Edmond Fayçal Tapsoba,Bayer Leverkusen,1,0.176,1.0,0.0,0.176,1.0,6.0,2.64,9.27
2024,3930171,Andreas Skov Olsen,Denmark,1,0.293,1.0,0.0,0.293,1.0,10.0,2.637,39.95
2024,3938639,Muhammed Kerem Aktürkoğlu,Turkey,2,0.631,2.0,1.0,0.316,4.0,22.0,2.581,26.63
2023/2024,3895286,Josip Stanišić,Bayer Leverkusen,3,0.771,4.0,1.0,0.257,6.0,27.0,2.57,29.32
2023/2024,3895286,Nathan Tella,Bayer Leverkusen,3,0.771,4.0,1.0,0.257,7.0,27.0,2.57,29.32
2024,3939979,Orbelín Pineda Alvarado,Mexico,2,0.838,2.0,0.0,0.419,5.0,30.0,2.514,39.83
2024,3939987,Eric Kleybel Ramírez Matheus,Venezuela,2,0.501,2.0,1.0,0.25,4.0,18.0,2.505,29.75
2024,3938642,Saba Lobzhanidze,Georgia,1,0.306,1.0,0.0,0.306,1.0,11.0,2.504,25.93
2024,3939989,César Augusto Yanis Velasco,Panama,1,0.111,1.0,1.0,0.111,3.0,4.0,2.498,8.28
2024,3939987,Kervin Mario Andrade Navarro,Venezuela,1,0.459,1.0,1.0,0.459,2.0,17.0,2.43,27.25
2024,3939981,Ricardo Daniel Pepi,United States,1,0.538,1.0,0.0,0.538,2.0,20.0,2.421,58.84
2023/2024,3895333,Jeremie Frimpong,Bayer Leverkusen,1,0.479,1.0,1.0,0.479,1.0,18.0,2.395,18.52
2024,3939969,Lautaro Javier Martínez,Argentina,2,0.847,2.0,1.0,0.423,4.0,32.0,2.382,25.18
2024,3942229,Tomás Eduardo Rincón Hernández,Venezuela,1,0.784,1.0,1.0,0.784,1.0,30.0,2.352,13.96
2023/2024,3895074,Matthijs de Ligt,Bayern Munich,1,0.281,1.0,1.0,0.281,1.0,11.0,2.299,13.46
2024,3939969,Nicolás Hernán Otamendi,Argentina,3,1.138,3.0,1.0,0.379,6.0,45.0,2.276,33.84
2024,3942228,Gonzalo Ariel Montiel,Argentina,1,0.784,1.0,1.0,0.784,1.0,31.0,2.276,16.63
2024,3938644,Diogo José Teixeira da Silva,Portugal,3,1.112,4.0,0.0,0.371,9.0,48.0,2.085,48.12
2024,3942227,Xherdan Shaqiri,Switzerland,3,0.901,4.0,1.0,0.3,4.0,39.0,2.079,20.97
2023/2024,3895320,Woo-Yeong Jeong,VfB Stuttgart,1,0.429,1.0,0.0,0.429,2.0,19.0,2.032,24.98
2023/2024,3895067,Noah Mbamba,Bayer Leverkusen,2,0.632,2.0,1.0,0.316,12.0,28.0,2.031,22.73
2024,3942229,Wilker José Ángel Romero,Venezuela,1,0.784,1.0,0.0,0.784,1.0,37.0,1.907,13.96
2023/2024,3895302,Exequiel Alejandro Palacios,Bayer Leverkusen,2,0.507,2.0,1.0,0.253,5.0,24.0,1.901,17.52
2023/2024,3895340,Alejandro Grimaldo García,Bayer Leverkusen,7,1.749,7.0,2.0,0.25,20.0,84.0,1.874,41.54
2024,3942415,Gabriel Teodoro Martinelli Silva,Brazil,1,0.784,1.0,1.0,0.784,1.0,38.0,1.857,20.58
2024,3942415,Andreas Hoelgebaum Pereira,Brazil,1,0.784,1.0,1.0,0.784,1.0,38.0,1.857,20.58
2023/2024,3895052,Fabio Carvalho,RB Leipzig,1,0.246,2.0,0.0,0.246,2.0,12.0,1.845,15.06
2024,3938641,Kacper Urbanski,Poland,1,0.12,1.0,0.0,0.12,4.0,6.0,1.8,9.73
2024,3938639,Mehmet Zeki Çelik,Turkey,1,0.159,1.0,0.0,0.159,2.0,8.0,1.789,6.71
2024,3930174,João Neves,Portugal,2,0.192,2.0,0.0,0.096,7.0,10.0,1.728,10.1
2024,3942415,Douglas Luiz Soares de Paulo,Brazil,1,0.784,1.0,0.0,0.784,1.0,41.0,1.721,20.58
2024,3930168,Zsolt Nagy,Hungary,1,0.284,1.0,0.0,0.284,2.0,15.0,1.704,23.66
2024,3942229,Jefferson David Savarino Quintero,Venezuela,1,0.784,1.0,0.0,0.784,1.0,42.0,1.68,13.96
2024,3930160,Bruno Petković,Croatia,2,0.819,3.0,0.0,0.409,5.0,44.0,1.675,43.83
2023/2024,3895333,Victor Okoh Boniface,Bayer Leverkusen,2,1.262,2.0,2.0,0.631,2.0,68.0,1.67,48.8
2024,3939978,Tanitoluwa Oluwaseyi,Canada,2,0.408,2.0,0.0,0.204,3.0,22.0,1.669,44.88
2024,3939990,Luis Alberto Suárez Díaz,Uruguay,1,0.11,2.0,0.0,0.11,2.0,6.0,1.65,9.39
2024,3930169,Mohamed Zeki Amdouni,Switzerland,1,0.11,1.0,0.0,0.11,1.0,6.0,1.65,11.11
2024,3942382,Jeremie Frimpong,Netherlands,1,0.072,1.0,0.0,0.072,1.0,4.0,1.62,11.25
2024,3939986,Lucas Martínez Quarta,Argentina,1,0.179,1.0,0.0,0.179,1.0,10.0,1.611,9.21
2023/2024,3895067,Adam Hložek,Bayer Leverkusen,3,0.692,3.0,1.0,0.231,6.0,39.0,1.597,24.88
2024,3942349,João Félix Sequeira,Portugal,3,0.999,3.0,0.0,0.333,4.0,57.0,1.577,22.97
2024,3942415,Giorgian Daniel De Arrascaeta Benedetti,Uruguay,1,0.784,1.0,1.0,0.784,1.0,46.0,1.534,17.34
2024,3939977,Lautaro Javier Martínez,Argentina,3,1.011,4.0,1.0,0.337,3.0,60.0,1.517,41.04
2024,3942226,Pedro González López,Spain,1,0.117,1.0,0.0,0.117,1.0,7.0,1.504,7.63
2024,3938644,Matheus Luiz Nunes,Portugal,4,1.135,5.0,0.0,0.284,15.0,68.0,1.502,49.12
2023/2024,3895074,Amine Adli,Bayer Leverkusen,2,0.364,2.0,0.0,0.182,7.0,22.0,1.489,16.66
2024,3930182,Sergej Milinković-Savić,Serbia,2,0.165,2.0,0.0,0.083,5.0,10.0,1.485,50.86
2024,3939977,Giovani Lo Celso,Argentina,1,0.487,2.0,1.0,0.487,1.0,30.0,1.461,19.77
2024,3942228,Nicolás Hernán Otamendi,Argentina,1,0.784,1.0,1.0,0.784,1.0,49.0,1.44,16.63
2023/2024,3895060,Adam Hložek,Bayer Leverkusen,2,0.346,2.0,0.0,0.173,4.0,22.0,1.415,13.52
2024,3930178,Ante Budimir,Croatia,1,0.784,3.0,1.0,0.784,1.0,51.0,1.384,92.3
2024,3939985,Tajon Buchanan,Canada,1,0.196,1.0,0.0,0.196,8.0,13.0,1.357,28.02
2024,3942349,Bradley Barcola,France,3,0.897,3.0,1.0,0.299,6.0,60.0,1.346,18.07
2023/2024,3895302,Alejandro Grimaldo García,Bayer Leverkusen,2,0.358,2.0,1.0,0.179,4.0,24.0,1.343,12.37
2024,3938641,Romano Schmid,Austria,1,0.163,1.0,0.0,0.163,2.0,11.0,1.334,8.95
2024,3942228,Julián Álvarez,Argentina,1,0.784,1.0,1.0,0.784,1.0,54.0,1.307,16.63
2024,3942382,Semih Kılıçsoy,Turkey,2,0.144,2.0,0.0,0.072,3.0,10.0,1.296,13.06
2024,3930177,Zsolt Nagy,Hungary,1,0.185,1.0,0.0,0.185,1.0,13.0,1.281,18.48
2023/2024,3895153,Senne Lynen,Werder Bremen,1,0.128,1.0,0.0,0.128,2.0,9.0,1.28,68.84
2023/2024,3895333,Piero Martín Hincapié Reyna,Bayer Leverkusen,1,0.479,1.0,1.0,0.479,2.0,34.0,1.268,18.52
2024,3942415,Rodrigo Bentancur Colmán,Uruguay,1,0.784,1.0,1.0,0.784,1.0,56.0,1.26,17.34
2023/2024,3895113,Jakub Kamiński,Wolfsburg,1,0.194,2.0,0.0,0.194,2.0,14.0,1.247,18.35
