season_name,match_id,team,counter_attacks,avg_distance_gained,avg_time_elapsed,avg_speed_units_per_sec
2023/2024,3895052,RB Leipzig,27,16.77,5.03,3.63
2023/2024,3895052,Bayer Leverkusen,26,14.27,4.58,2.92
2023/2024,3895060,Bayer Leverkusen,28,19.03,4.73,4.03
2023/2024,3895060,Borussia Mönchengladbach,28,18.67,5.42,3.53
2023/2024,3895067,Darmstadt 98,27,14.7,4.2,3.68
2023/2024,3895067,Bayer Leverkusen,44,16.82,5.32,3.32
2023/2024,3895074,Bayern Munich,34,13.18,4.74,3.99
2023/2024,3895074,Bayer Leverkusen,32,14.79,4.63,3.11
2023/2024,3895086,Bayer Leverkusen,29,13.17,4.41,3.4
2023/2024,3895086,FC Heidenheim,18,19.64,5.38,3.35
2023/2024,3895095,Bayer Leverkusen,25,14.11,4.68,3.77
2023/2024,3895095,FSV Mainz 05,32,11.64,4.15,2.77
2023/2024,3895107,FC Köln,21,12.21,4.55,3.2
2023/2024,3895107,Bayer Leverkusen,31,11.49,4.5,2.86
2023/2024,3895113,Wolfsburg,30,14.87,4.72,3.37
2023/2024,3895113,Bayer Leverkusen,36,13.63,4.95,2.96
2023/2024,3895121,Bayer Leverkusen,31,12.57,4.14,3.23
2023/2024,3895121,Freiburg,19,11.08,4.82,2.92
2023/2024,3895134,Hoffenheim,28,18.21,4.81,4.17
2023/2024,3895134,Bayer Leverkusen,29,16.83,5.14,3.6
2023/2024,3895139,Bayer Leverkusen,28,16.59,5.36,3.06
2023/2024,3895139,Union Berlin,24,11.23,4.43,2.65
2023/2024,3895153,Werder Bremen,33,13.78,4.77,3.13
2023/2024,3895153,Bayer Leverkusen,26,14.74,4.82,3.03
2023/2024,3895158,Borussia Dortmund,24,15.17,4.09,4.0
2023/2024,3895158,Bayer Leverkusen,43,14.47,4.87,3.15
2023/2024,3895167,Bayer Leverkusen,31,18.4,5.09,3.6
2023/2024,3895167,VfB Stuttgart,31,12.91,4.72,3.11
2023/2024,3895180,Bayer Leverkusen,40,14.67,4.62,3.16
2023/2024,3895180,Eintracht Frankfurt,27,13.43,5.1,2.83
2023/2024,3895182,Bochum,26,11.21,3.32,3.72
2023/2024,3895182,Bayer Leverkusen,26,16.54,4.99,3.35
2023/2024,3895194,Augsburg,28,15.77,4.0,3.74
2023/2024,3895194,Bayer Leverkusen,32,12.9,4.37,3.23
2023/2024,3895202,RB Leipzig,27,16.35,4.45,3.45
2023/2024,3895202,Bayer Leverkusen,27,10.77,5.02,2.45
2023/2024,3895210,Borussia Mönchengladbach,21,15.1,4.2,3.68
2023/2024,3895210,Bayer Leverkusen,35,12.53,4.94,2.77
2023/2024,3895220,Darmstadt 98,31,17.99,4.43,3.81
2023/2024,3895220,Bayer Leverkusen,26,13.16,4.52,2.75
2023/2024,3895232,Bayer Leverkusen,25,17.34,4.77,4.0
2023/2024,3895232,Bayern Munich,29,15.78,5.45,3.0
2023/2024,3895244,Bayer Leverkusen,33,13.72,5.18,2.76
2023/2024,3895244,FC Heidenheim,28,10.61,4.06,2.71
2023/2024,3895250,FSV Mainz 05,34,12.13,4.05,3.34
2023/2024,3895250,Bayer Leverkusen,23,10.49,4.73,2.5
2023/2024,3895258,FC Köln,24,23.33,5.01,4.32
2023/2024,3895258,Bayer Leverkusen,25,16.24,5.71,2.96
2023/2024,3895266,Wolfsburg,17,9.49,3.47,3.38
2023/2024,3895266,Bayer Leverkusen,28,13.92,4.94,3.09
2023/2024,3895275,Freiburg,31,14.32,4.64,4.11
2023/2024,3895275,Bayer Leverkusen,24,12.55,4.99,2.92
2023/2024,3895286,Hoffenheim,19,20.99,4.7,4.11
2023/2024,3895286,Bayer Leverkusen,32,14.94,5.27,3.13
2023/2024,3895292,Union Berlin,26,14.71,4.57,3.1
2023/2024,3895292,Bayer Leverkusen,29,13.26,4.56,3.05
2023/2024,3895302,Werder Bremen,22,15.2,4.46,3.35
2023/2024,3895302,Bayer Leverkusen,34,17.03,5.07,3.29
2023/2024,3895309,Bayer Leverkusen,29,19.19,4.89,4.0
2023/2024,3895309,Borussia Dortmund,32,13.34,5.15,2.61
2023/2024,3895320,Bayer Leverkusen,26,18.61,4.95,4.08
2023/2024,3895320,VfB Stuttgart,23,13.93,4.73,3.12
2023/2024,3895333,Eintracht Frankfurt,31,15.17,4.43,3.49
2023/2024,3895333,Bayer Leverkusen,17,12.52,4.37,3.23
2023/2024,3895340,Bayer Leverkusen,33,14.07,4.95,2.89
2023/2024,3895340,Bochum,17,11.98,4.26,2.89
2023/2024,3895348,Augsburg,20,17.59,4.73,3.6
2023/2024,3895348,Bayer Leverkusen,30,13.64,4.92,2.84
2024,3930158,Germany,18,12.02,4.25,3.07
2024,3930158,Scotland,14,8.1,3.11,2.59
2024,3930159,Switzerland,20,16.75,4.74,3.79
2024,3930159,Hungary,24,14.03,4.7,3.29
2024,3930160,Spain,19,16.98,4.48,4.6
2024,3930160,Croatia,20,17.77,4.9,3.49
2024,3930161,Albania,18,11.8,3.95,2.92
2024,3930161,Italy,16,12.72,5.41,2.4
2024,3930162,Slovenia,20,15.15,3.9,4.21
2024,3930162,Denmark,24,12.38,5.35,2.56
2024,3930163,Serbia,19,12.6,5.16,2.8
2024,3930163,England,24,12.5,5.18,2.59
2024,3930164,Slovakia,21,11.46,4.42,2.92
2024,3930164,Belgium,23,14.32,5.0,2.9
2024,3930165,France,29,15.07,4.93,3.03
2024,3930165,Austria,24,13.95,4.7,2.93
2024,3930166,Czech Republic,27,16.6,5.05,3.72
2024,3930166,Portugal,28,14.52,4.71,3.22
2024,3930167,Albania,25,15.12,5.0,3.43
2024,3930167,Croatia,40,14.64,5.08,3.37
2024,3930168,Hungary,22,12.84,4.78,2.83
2024,3930168,Germany,29,12.91,4.85,2.79
2024,3930169,Scotland,17,11.77,5.35,2.91
2024,3930169,Switzerland,20,6.57,4.03,2.62
2024,3930170,Serbia,24,16.65,5.26,3.34
2024,3930170,Slovenia,23,15.22,4.85,3.16
2024,3930171,England,22,15.02,4.86,4.31
2024,3930171,Denmark,22,11.78,5.24,2.53
2024,3930172,Spain,27,15.01,5.06,3.0
2024,3930172,Italy,21,9.45,4.07,2.96
2024,3930173,Netherlands,15,14.62,4.83,3.27
2024,3930173,France,20,15.19,4.92,3.21
2024,3930174,Portugal,31,17.3,4.56,3.61
2024,3930174,Turkey,24,10.45,4.57,2.82
2024,3930175,Belgium,23,17.54,5.07,3.69
2024,3930175,Romania,17,15.03,5.17,3.28
2024,3930176,Germany,31,15.58,4.59,3.31
2024,3930176,Switzerland,24,13.34,4.73,2.97
2024,3930177,Hungary,16,18.02,5.38,3.2
2024,3930177,Scotland,17,13.9,4.82,2.97
2024,3930178,Croatia,25,11.31,4.75,2.54
2024,3930178,Italy,25,9.77,4.67,2.27
2024,3930179,Spain,27,14.99,4.5,3.49
2024,3930179,Albania,25,15.69,4.46,3.27
2024,3930180,Netherlands,21,18.0,5.3,3.24
2024,3930180,Austria,26,12.31,4.24,3.22
2024,3930181,Slovenia,20,13.7,4.1,3.45
2024,3930181,England,24,8.0,5.06,1.9
2024,3930182,Denmark,25,13.45,4.81,2.86
2024,3930182,Serbia,18,12.96,5.0,2.67
2024,3930183,Slovakia,20,11.72,5.07,2.96
2024,3930183,Romania,27,12.41,4.91,2.77
2024,3930184,Czech Republic,26,20.53,4.69,4.25
2024,3930184,Turkey,17,12.82,4.51,3.18
2024,3938637,Poland,21,16.58,4.75,3.49
2024,3938637,Netherlands,19,13.12,5.1,2.78
2024,3938638,Romania,23,12.69,4.64,3.06
2024,3938638,Ukraine,27,12.78,4.0,2.97
2024,3938639,Georgia,26,16.26,4.68,3.67
2024,3938639,Turkey,24,13.76,4.7,3.14
2024,3938640,Ukraine,20,16.49,5.05,3.34
2024,3938640,Slovakia,18,17.46,5.41,3.18
2024,3938641,Austria,30,14.87,4.49,3.41
2024,3938641,Poland,23,13.41,4.57,3.06
2024,3938642,Georgia,29,18.1,4.97,3.61
2024,3938642,Czech Republic,24,15.02,5.34,2.99
2024,3938643,France,19,16.25,4.35,4.17
2024,3938643,Poland,24,13.3,4.6,3.03
2024,3938644,Georgia,19,18.42,4.6,4.62
2024,3938644,Portugal,37,17.22,5.37,3.17
2024,3938645,Belgium,22,16.1,5.36,3.2
2024,3938645,Ukraine,16,10.42,4.74,2.35
2024,3939969,Canada,21,13.46,4.62,2.98
2024,3939969,Argentina,25,11.97,4.24,2.81
2024,3939970,Peru,26,12.07,3.67,3.74
2024,3939970,Chile,29,15.74,4.28,3.59
2024,3939971,Jamaica,29,14.26,4.26,3.55
2024,3939971,Mexico,41,14.57,5.03,2.97
2024,3939972,Ecuador,28,13.39,4.53,4.08
2024,3939972,Venezuela,28,14.56,4.9,3.05
2024,3939973,Uruguay,24,19.92,4.83,4.78
2024,3939973,Panama,30,15.31,4.04,3.75
2024,3939974,United States,27,18.63,4.79,3.99
2024,3939974,Bolivia,29,11.86,4.83,2.78
2024,3939975,Paraguay,27,19.05,4.69,4.88
2024,3939975,Colombia,24,11.75,4.68,2.91
2024,3939976,Costa Rica,24,15.41,4.45,3.78
2024,3939976,Brazil,24,11.95,5.12,2.6
2024,3939977,Argentina,25,14.44,4.69,4.02
2024,3939977,Chile,34,14.62,4.58,3.49
2024,3939978,Canada,31,17.56,4.48,3.82
2024,3939978,Peru,30,14.38,4.53,3.56
2024,3939979,Venezuela,24,14.99,4.19,3.66
2024,3939979,Mexico,35,13.36,4.38,3.31
2024,3939980,Ecuador,24,19.32,4.92,4.16
2024,3939980,Jamaica,23,15.07,5.02,3.46
2024,3939981,United States,13,18.42,4.33,4.09
2024,3939981,Panama,24,15.96,5.01,3.41
2024,3939982,Uruguay,25,14.45,4.49,3.6
2024,3939982,Bolivia,28,9.18,4.7,2.24
2024,3939983,Brazil,28,18.68,4.78,4.35
2024,3939983,Paraguay,32,14.98,4.35,3.8
2024,3939984,Colombia,32,15.3,4.68,3.48
2024,3939984,Costa Rica,19,12.43,4.82,2.69
2024,3939985,Canada,24,17.85,4.68,3.6
2024,3939985,Chile,19,15.44,4.58,3.54
2024,3939986,Argentina,17,11.15,4.19,2.94
2024,3939986,Peru,21,9.22,4.2,2.66
2024,3939987,Venezuela,29,16.12,4.82,3.59
