season_name,match_id,team,passes,total_passes,possession_pct
2023/2024,3895052,RB Leipzig,600,1081.0,55.5
2023/2024,3895052,Bayer Leverkusen,481,1081.0,44.5
2023/2024,3895060,Bayer Leverkusen,737,1239.0,59.48
2023/2024,3895060,Borussia Mönchengladbach,502,1239.0,40.52
2023/2024,3895067,Bayer Leverkusen,820,1130.0,72.57
2023/2024,3895067,Darmstadt 98,310,1130.0,27.43
2023/2024,3895074,Bayern Munich,637,1240.0,51.37
2023/2024,3895074,Bayer Leverkusen,603,1240.0,48.63
2023/2024,3895086,Bayer Leverkusen,873,1237.0,70.57
2023/2024,3895086,FC Heidenheim,364,1237.0,29.43
2023/2024,3895095,Bayer Leverkusen,635,1162.0,54.65
2023/2024,3895095,FSV Mainz 05,527,1162.0,45.35
2023/2024,3895107,Bayer Leverkusen,775,1211.0,64.0
2023/2024,3895107,FC Köln,436,1211.0,36.0
2023/2024,3895113,Bayer Leverkusen,654,1127.0,58.03
2023/2024,3895113,Wolfsburg,473,1127.0,41.97
2023/2024,3895121,Bayer Leverkusen,752,1081.0,69.57
2023/2024,3895121,Freiburg,329,1081.0,30.43
2023/2024,3895134,Bayer Leverkusen,588,1128.0,52.13
2023/2024,3895134,Hoffenheim,540,1128.0,47.87
2023/2024,3895139,Bayer Leverkusen,855,1257.0,68.02
2023/2024,3895139,Union Berlin,402,1257.0,31.98
2023/2024,3895153,Bayer Leverkusen,772,1309.0,58.98
2023/2024,3895153,Werder Bremen,537,1309.0,41.02
2023/2024,3895158,Bayer Leverkusen,727,1066.0,68.2
2023/2024,3895158,Borussia Dortmund,339,1066.0,31.8
2023/2024,3895167,VfB Stuttgart,608,1172.0,51.88
2023/2024,3895167,Bayer Leverkusen,564,1172.0,48.12
2023/2024,3895180,Bayer Leverkusen,779,1273.0,61.19
2023/2024,3895180,Eintracht Frankfurt,494,1273.0,38.81
2023/2024,3895182,Bayer Leverkusen,786,1137.0,69.13
2023/2024,3895182,Bochum,351,1137.0,30.87
2023/2024,3895194,Bayer Leverkusen,852,1132.0,75.27
2023/2024,3895194,Augsburg,280,1132.0,24.73
2023/2024,3895202,Bayer Leverkusen,675,1130.0,59.73
2023/2024,3895202,RB Leipzig,455,1130.0,40.27
2023/2024,3895210,Bayer Leverkusen,1002,1346.0,74.44
2023/2024,3895210,Borussia Mönchengladbach,344,1346.0,25.56
2023/2024,3895220,Bayer Leverkusen,803,1194.0,67.25
2023/2024,3895220,Darmstadt 98,391,1194.0,32.75
2023/2024,3895232,Bayern Munich,713,1166.0,61.15
2023/2024,3895232,Bayer Leverkusen,453,1166.0,38.85
2023/2024,3895244,Bayer Leverkusen,662,1084.0,61.07
2023/2024,3895244,FC Heidenheim,422,1084.0,38.93
2023/2024,3895250,Bayer Leverkusen,723,1087.0,66.51
2023/2024,3895250,FSV Mainz 05,364,1087.0,33.49
2023/2024,3895258,Bayer Leverkusen,874,1131.0,77.28
