season_name,match_id,team,progressive_passes,progressive_carries,progressive_passes_received,progressive_actions,progressive_carry_pct,progressive_pass_pct
2023/2024,3895052,Bayer Leverkusen,34.0,33.0,33.0,100.0,33.0,34.0
2023/2024,3895052,RB Leipzig,20.0,16.0,9.0,45.0,35.56,44.44
2023/2024,3895060,Bayer Leverkusen,45.0,40.0,44.0,129.0,31.01,34.88
2023/2024,3895060,Borussia Mönchengladbach,39.0,30.0,37.0,106.0,28.3,36.79
2023/2024,3895067,Bayer Leverkusen,65.0,43.0,62.0,170.0,25.29,38.24
2023/2024,3895067,Darmstadt 98,4.0,0.0,1.0,5.0,0.0,80.0
2023/2024,3895074,Bayer Leverkusen,31.0,29.0,31.0,91.0,31.87,34.07
2023/2024,3895074,Bayern Munich,45.0,34.0,40.0,119.0,28.57,37.82
2023/2024,3895086,Bayer Leverkusen,56.0,33.0,43.0,132.0,25.0,42.42
2023/2024,3895086,FC Heidenheim,18.0,9.0,16.0,43.0,20.93,41.86
2023/2024,3895095,Bayer Leverkusen,30.0,15.0,25.0,70.0,21.43,42.86
2023/2024,3895095,FSV Mainz 05,19.0,9.0,13.0,41.0,21.95,46.34
2023/2024,3895107,Bayer Leverkusen,54.0,42.0,51.0,147.0,28.57,36.73
2023/2024,3895107,FC Köln,20.0,8.0,15.0,43.0,18.6,46.51
2023/2024,3895113,Bayer Leverkusen,32.0,32.0,32.0,96.0,33.33,33.33
2023/2024,3895113,Wolfsburg,28.0,14.0,22.0,64.0,21.88,43.75
2023/2024,3895121,Bayer Leverkusen,51.0,38.0,50.0,139.0,27.34,36.69
2023/2024,3895121,Freiburg,18.0,10.0,14.0,42.0,23.81,42.86
2023/2024,3895134,Bayer Leverkusen,40.0,32.0,39.0,111.0,28.83,36.04
2023/2024,3895134,Hoffenheim,22.0,21.0,20.0,63.0,33.33,34.92
2023/2024,3895139,Bayer Leverkusen,78.0,28.0,77.0,183.0,15.3,42.62
2023/2024,3895139,Union Berlin,17.0,3.0,10.0,30.0,10.0,56.67
2023/2024,3895153,Bayer Leverkusen,32.0,27.0,26.0,85.0,31.76,37.65
2023/2024,3895153,Werder Bremen,37.0,20.0,23.0,80.0,25.0,46.25
2023/2024,3895158,Bayer Leverkusen,50.0,37.0,44.0,131.0,28.24,38.17
2023/2024,3895158,Borussia Dortmund,9.0,7.0,6.0,22.0,31.82,40.91
2023/2024,3895167,Bayer Leverkusen,33.0,33.0,31.0,97.0,34.02,34.02
2023/2024,3895167,VfB Stuttgart,40.0,36.0,37.0,113.0,31.86,35.4
2023/2024,3895180,Bayer Leverkusen,29.0,30.0,27.0,86.0,34.88,33.72
2023/2024,3895180,Eintracht Frankfurt,16.0,7.0,6.0,29.0,24.14,55.17
2023/2024,3895182,Bayer Leverkusen,51.0,32.0,50.0,133.0,24.06,38.35
2023/2024,3895182,Bochum,14.0,7.0,6.0,27.0,25.93,51.85
2023/2024,3895194,Augsburg,13.0,10.0,7.0,30.0,33.33,43.33
2023/2024,3895194,Bayer Leverkusen,50.0,30.0,46.0,126.0,23.81,39.68
2023/2024,3895202,Bayer Leverkusen,28.0,23.0,27.0,78.0,29.49,35.9
2023/2024,3895202,RB Leipzig,13.0,7.0,10.0,30.0,23.33,43.33
2023/2024,3895210,Bayer Leverkusen,78.0,80.0,77.0,235.0,34.04,33.19
2023/2024,3895210,Borussia Mönchengladbach,3.0,4.0,2.0,9.0,44.44,33.33
2023/2024,3895220,Bayer Leverkusen,42.0,29.0,42.0,113.0,25.66,37.17
2023/2024,3895220,Darmstadt 98,25.0,18.0,20.0,63.0,28.57,39.68
2023/2024,3895232,Bayer Leverkusen,11.0,9.0,7.0,27.0,33.33,40.74
2023/2024,3895232,Bayern Munich,48.0,28.0,44.0,120.0,23.33,40.0
2023/2024,3895244,Bayer Leverkusen,35.0,30.0,35.0,100.0,30.0,35.0
2023/2024,3895244,FC Heidenheim,18.0,7.0,11.0,36.0,19.44,50.0
2023/2024,3895250,Bayer Leverkusen,41.0,19.0,31.0,91.0,20.88,45.05
2023/2024,3895250,FSV Mainz 05,13.0,9.0,9.0,31.0,29.03,41.94
2023/2024,3895258,Bayer Leverkusen,88.0,56.0,83.0,227.0,24.67,38.77
2023/2024,3895258,FC Köln,9.0,7.0,6.0,22.0,31.82,40.91
2023/2024,3895266,Bayer Leverkusen,87.0,37.0,69.0,193.0,19.17,45.08
2023/2024,3895266,Wolfsburg,8.0,3.0,6.0,17.0,17.65,47.06
2023/2024,3895275,Bayer Leverkusen,37.0,27.0,29.0,93.0,29.03,39.78
2023/2024,3895275,Freiburg,25.0,12.0,11.0,48.0,25.0,52.08
2023/2024,3895286,Bayer Leverkusen,72.0,71.0,71.0,214.0,33.18,33.64
2023/2024,3895286,Hoffenheim,14.0,9.0,7.0,30.0,30.0,46.67
2023/2024,3895292,Bayer Leverkusen,54.0,33.0,54.0,141.0,23.4,38.3
2023/2024,3895292,Union Berlin,18.0,8.0,12.0,38.0,21.05,47.37
2023/2024,3895302,Bayer Leverkusen,59.0,40.0,59.0,158.0,25.32,37.34
2023/2024,3895302,Werder Bremen,15.0,11.0,13.0,39.0,28.21,38.46
2023/2024,3895309,Bayer Leverkusen,53.0,30.0,43.0,126.0,23.81,42.06
2023/2024,3895309,Borussia Dortmund,19.0,17.0,17.0,53.0,32.08,35.85
2023/2024,3895320,Bayer Leverkusen,34.0,30.0,27.0,91.0,32.97,37.36
2023/2024,3895320,VfB Stuttgart,10.0,4.0,5.0,19.0,21.05,52.63
2023/2024,3895333,Bayer Leverkusen,14.0,4.0,5.0,23.0,17.39,60.87
2023/2024,3895333,Eintracht Frankfurt,42.0,22.0,31.0,95.0,23.16,44.21
2023/2024,3895340,Bayer Leverkusen,74.0,47.0,66.0,187.0,25.13,39.57
2023/2024,3895340,Bochum,14.0,8.0,8.0,30.0,26.67,46.67
2023/2024,3895348,Augsburg,19.0,23.0,17.0,59.0,38.98,32.2
2023/2024,3895348,Bayer Leverkusen,78.0,53.0,72.0,203.0,26.11,38.42
2024,3930158,Germany,47.0,26.0,41.0,114.0,22.81,41.23
2024,3930158,Scotland,1.0,2.0,0.0,3.0,66.67,33.33
2024,3930159,Hungary,15.0,3.0,11.0,29.0,10.34,51.72
2024,3930159,Switzerland,27.0,15.0,16.0,58.0,25.86,46.55
2024,3930160,Croatia,17.0,13.0,12.0,42.0,30.95,40.48
2024,3930160,Spain,22.0,9.0,9.0,40.0,22.5,55.0
2024,3930161,Albania,13.0,4.0,8.0,25.0,16.0,52.0
2024,3930161,Italy,44.0,18.0,25.0,87.0,20.69,50.57
2024,3930162,Denmark,27.0,17.0,19.0,63.0,26.98,42.86
2024,3930162,Slovenia,12.0,4.0,3.0,19.0,21.05,63.16
2024,3930163,England,29.0,10.0,22.0,61.0,16.39,47.54
2024,3930163,Serbia,14.0,6.0,6.0,26.0,23.08,53.85
2024,3930164,Belgium,28.0,21.0,23.0,72.0,29.17,38.89
2024,3930164,Slovakia,15.0,10.0,10.0,35.0,28.57,42.86
2024,3930165,Austria,31.0,23.0,26.0,80.0,28.75,38.75
2024,3930165,France,32.0,29.0,31.0,92.0,31.52,34.78
2024,3930166,Czech Republic,6.0,4.0,1.0,11.0,36.36,54.55
2024,3930166,Portugal,49.0,52.0,36.0,137.0,37.96,35.77
2024,3930167,Albania,21.0,13.0,17.0,51.0,25.49,41.18
2024,3930167,Croatia,44.0,46.0,44.0,134.0,34.33,32.84
2024,3930168,Germany,72.0,43.0,59.0,174.0,24.71,41.38
2024,3930168,Hungary,12.0,8.0,10.0,30.0,26.67,40.0
2024,3930169,Scotland,12.0,6.0,8.0,26.0,23.08,46.15
2024,3930169,Switzerland,17.0,14.0,15.0,46.0,30.43,36.96
2024,3930170,Serbia,37.0,16.0,29.0,82.0,19.51,45.12
2024,3930170,Slovenia,17.0,19.0,15.0,51.0,37.25,33.33
2024,3930171,Denmark,31.0,10.0,18.0,59.0,16.95,52.54
2024,3930171,England,20.0,16.0,14.0,50.0,32.0,40.0
2024,3930172,Italy,23.0,11.0,17.0,51.0,21.57,45.1
2024,3930172,Spain,45.0,44.0,39.0,128.0,34.38,35.16
2024,3930173,France,36.0,17.0,31.0,84.0,20.24,42.86
2024,3930173,Netherlands,17.0,5.0,13.0,35.0,14.29,48.57
2024,3930174,Portugal,42.0,26.0,41.0,109.0,23.85,38.53
2024,3930174,Turkey,24.0,13.0,18.0,55.0,23.64,43.64
2024,3930175,Belgium,22.0,21.0,18.0,61.0,34.43,36.07
2024,3930175,Romania,10.0,0.0,4.0,14.0,0.0,71.43
2024,3930176,Germany,45.0,28.0,39.0,112.0,25.0,40.18
2024,3930176,Switzerland,20.0,11.0,11.0,42.0,26.19,47.62
2024,3930177,Hungary,16.0,14.0,16.0,46.0,30.43,34.78
2024,3930177,Scotland,16.0,6.0,7.0,29.0,20.69,55.17
2024,3930178,Croatia,18.0,14.0,9.0,41.0,34.15,43.9
2024,3930178,Italy,22.0,6.0,10.0,38.0,15.79,57.89
2024,3930179,Albania,19.0,15.0,14.0,48.0,31.25,39.58
2024,3930179,Spain,45.0,35.0,44.0,124.0,28.23,36.29
2024,3930180,Austria,17.0,11.0,12.0,40.0,27.5,42.5
2024,3930180,Netherlands,24.0,7.0,19.0,50.0,14.0,48.0
2024,3930181,England,68.0,25.0,49.0,142.0,17.61,47.89
2024,3930181,Slovenia,12.0,10.0,7.0,29.0,34.48,41.38
2024,3930182,Denmark,36.0,22.0,23.0,81.0,27.16,44.44
2024,3930182,Serbia,22.0,12.0,11.0,45.0,26.67,48.89
2024,3930183,Romania,12.0,8.0,5.0,25.0,32.0,48.0
2024,3930183,Slovakia,10.0,2.0,4.0,16.0,12.5,62.5
2024,3930184,Czech Republic,11.0,2.0,4.0,17.0,11.76,64.71
2024,3930184,Turkey,20.0,22.0,11.0,53.0,41.51,37.74
2024,3938637,Netherlands,23.0,16.0,21.0,60.0,26.67,38.33
2024,3938637,Poland,13.0,13.0,12.0,38.0,34.21,34.21
2024,3938638,Romania,12.0,9.0,9.0,30.0,30.0,40.0
2024,3938638,Ukraine,34.0,21.0,26.0,81.0,25.93,41.98
2024,3938639,Georgia,18.0,14.0,12.0,44.0,31.82,40.91
2024,3938639,Turkey,59.0,39.0,58.0,156.0,25.0,37.82
2024,3938640,Slovakia,22.0,11.0,18.0,51.0,21.57,43.14
2024,3938640,Ukraine,21.0,11.0,12.0,44.0,25.0,47.73
2024,3938641,Austria,33.0,26.0,26.0,85.0,30.59,38.82
2024,3938641,Poland,4.0,6.0,0.0,10.0,60.0,40.0
2024,3938642,Czech Republic,40.0,30.0,33.0,103.0,29.13,38.83
2024,3938642,Georgia,13.0,7.0,8.0,28.0,25.0,46.43
2024,3938643,France,36.0,31.0,36.0,103.0,30.1,34.95
2024,3938643,Poland,11.0,9.0,6.0,26.0,34.62,42.31
2024,3938644,Georgia,4.0,13.0,2.0,19.0,68.42,21.05
2024,3938644,Portugal,64.0,24.0,23.0,111.0,21.62,57.66
2024,3938645,Belgium,43.0,41.0,43.0,127.0,32.28,33.86
2024,3938645,Ukraine,18.0,11.0,12.0,41.0,26.83,43.9
2024,3939969,Argentina,28.0,23.0,22.0,73.0,31.51,38.36
2024,3939969,Canada,16.0,17.0,15.0,48.0,35.42,33.33
2024,3939970,Chile,35.0,18.0,23.0,76.0,23.68,46.05
2024,3939970,Peru,13.0,10.0,8.0,31.0,32.26,41.94
