player,team,matches_played,shots,xg,avg_xg_per_shot,goals,goals_vs_xg_ratio
Lionel Andrés Messi Cuccittini,Barcelona,510,2366,325.4845714382827,0.138,476.0,1.462
Luis Alberto Suárez Díaz,Barcelona,170,613,108.05482558277436,0.176,136.0,1.259
Neymar da Silva Santos Junior,Barcelona,106,351,53.77146735461429,0.153,62.0,1.153
Samuel Eto''o Fils,Barcelona,77,304,50.77884191740304,0.167,66.0,1.3
Vivianne Miedema,Arsenal WFC,55,280,44.78329246118665,0.16,55.0,1.228
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,56,331,44.48199614789337,0.134,47.0,1.057
Kylian Mbappé Lottin,Paris Saint-Germain,52,222,38.519216055981815,0.174,49.0,1.272
Pedro Eliezer Rodríguez Ledesma,Barcelona,131,258,37.245405689347535,0.144,49.0,1.316
Andrés Iniesta Luján,Barcelona,218,372,29.392313930206,0.079,25.0,0.851
Pierre-Emerick Aubameyang,Borussia Dortmund,30,117,27.782515866681933,0.237,25.0,0.9
Bethany England,Chelsea FCW,44,165,27.132703352719545,0.164,29.0,1.069
Gerard Piqué Bernabéu,Barcelona,133,182,26.611685095820576,0.146,25.0,0.939
Ronaldo de Assis Moreira,Barcelona,57,220,26.457376577454852,0.12,33.0,1.247
Xavier Hernández Creus,Barcelona,174,316,25.30866284435615,0.08,36.0,1.422
Thierry Henry,Barcelona,60,173,25.234700666274875,0.146,33.0,1.308
Karim Benzema,Real Madrid,50,157,25.2024368182756,0.161,31.0,1.23
Gonzalo Gerardo Higuaín,Napoli,34,182,25.025725290644914,0.138,36.0,1.439
Robert Lewandowski,Bayern Munich,31,149,24.518962886184454,0.165,30.0,1.224
Thierry Henry,Arsenal,37,194,23.886933729518205,0.123,30.0,1.256
Lionel Andrés Messi Cuccittini,Paris Saint-Germain,56,218,23.130299957469106,0.106,22.0,0.951
Zlatan Ibrahimović,Paris Saint-Germain,30,148,22.69848849112168,0.153,36.0,1.586
David Villa Sánchez,Barcelona,63,183,22.525280037429184,0.123,32.0,1.421
Jamie Vardy,Leicester City,35,118,22.298685147427022,0.189,24.0,1.076
Aritz Aduriz Zubeldia,Athletic Club,41,125,22.023574709892273,0.176,22.0,0.999
Harry Kane,Tottenham Hotspur,39,159,21.686183054931462,0.136,25.0,1.153
Samantha May Kerr,Chelsea FCW,25,99,21.09281017864123,0.213,22.0,1.043
Alexandre Lacazette,Lyon,34,100,21.05547779519111,0.211,21.0,0.997
Rubén Castro Martín,Real Betis,41,122,19.45362955913879,0.159,26.0,1.337
Wissam Ben Yedder,Toulouse,32,94,18.911515368148685,0.201,17.0,0.899
Antoine Griezmann,Barcelona,52,105,18.775480629410595,0.179,19.0,1.012
Antoine Griezmann,Atlético Madrid,42,112,18.726525066420436,0.167,23.0,1.228
Michy Batshuayi Tunga,Marseille,35,123,18.70612025912851,0.152,17.0,0.909
Nikita Parris,Manchester City WFC,20,77,18.498459219466895,0.24,20.0,1.081
Georgia Stanway,Manchester City WFC,50,161,18.46703678322956,0.115,21.0,1.137
Alexis Alejandro Sánchez Sánchez,Barcelona,54,118,18.34583252761513,0.155,29.0,1.581
Romelu Lukaku Menama,Everton,34,116,18.157158139161766,0.157,18.0,0.991
Thomas Müller,Bayern Munich,32,103,17.908506528940052,0.174,21.0,1.173
Sergio Leonel Agüero del Castillo,Manchester City,29,118,17.673074050806463,0.15,24.0,1.358
Edinson Roberto Cavani Gómez,Paris Saint-Germain,26,86,17.34057480841875,0.202,19.0,1.096
