match_id,team,player,passes_made,passes_received,total_pass_involvement,unique_receivers,unique_passers,degree_centrality,network_involvement_pct
3895266,Bayer Leverkusen,Granit Xhaka,161.0,159.0,320.0,11,11,22,36.87
3895139,Bayer Leverkusen,Granit Xhaka,142.0,137.0,279.0,12,10,22,35.63
3895266,Bayer Leverkusen,Exequiel Alejandro Palacios,144.0,135.0,279.0,12,11,23,32.14
3895210,Bayer Leverkusen,Granit Xhaka,142.0,136.0,278.0,11,12,23,30.58
3837998,Paris Saint-Germain,Marco Verratti,132.0,134.0,266.0,12,12,24,37.46
3895220,Bayer Leverkusen,Granit Xhaka,128.0,128.0,256.0,11,11,22,35.75
3895210,Bayer Leverkusen,Robert Andrich,134.0,117.0,251.0,11,11,22,27.61
3802802,Paris Saint-Germain,Leandro Daniel Paredes,125.0,119.0,244.0,13,13,26,30.85
3837963,Paris Saint-Germain,Marco Verratti,120.0,120.0,240.0,12,14,26,43.32
3895086,Bayer Leverkusen,Granit Xhaka,118.0,112.0,230.0,14,13,27,29.08
3837818,Paris Saint-Germain,Sergio Ramos García,120.0,109.0,229.0,12,10,22,28.59
3837947,Paris Saint-Germain,Fabián Ruiz Peña,116.0,112.0,228.0,10,11,21,32.43
3895194,Bayer Leverkusen,Granit Xhaka,113.0,113.0,226.0,11,10,21,29.85
3895210,Bayer Leverkusen,Piero Martín Hincapié Reyna,115.0,111.0,226.0,11,11,22,24.86
3895060,Bayer Leverkusen,Granit Xhaka,114.0,111.0,225.0,14,14,28,34.4
3895139,Bayer Leverkusen,Exequiel Alejandro Palacios,111.0,113.0,224.0,10,11,21,28.61
3895258,Bayer Leverkusen,Jonathan Tah,115.0,109.0,224.0,13,12,25,28.28
3837818,Paris Saint-Germain,Danilo Luís Hélio Pereira,113.0,108.0,221.0,12,12,24,27.59
3837818,Paris Saint-Germain,Marcos Aoás Corrêa,109.0,111.0,220.0,8,12,20,27.47
3895067,Bayer Leverkusen,Granit Xhaka,109.0,108.0,217.0,11,12,23,29.36
3895107,Bayer Leverkusen,Exequiel Alejandro Palacios,112.0,105.0,217.0,14,13,27,30.52
3895348,Bayer Leverkusen,Odilon Kossonou,115.0,101.0,216.0,14,12,26,30.81
3837896,Paris Saint-Germain,Fabián Ruiz Peña,112.0,102.0,214.0,11,13,24,29.68
3802839,Paris Saint-Germain,Marco Verratti,109.0,104.0,213.0,13,13,26,31.98
3895275,Bayer Leverkusen,Exequiel Alejandro Palacios,107.0,106.0,213.0,10,9,19,30.69
3895210,Bayer Leverkusen,Josip Stanišić,108.0,105.0,213.0,10,10,20,23.43
3837680,Paris Saint-Germain,Marco Verratti,110.0,103.0,213.0,11,11,22,32.22
3895180,Bayer Leverkusen,Granit Xhaka,110.0,102.0,212.0,14,11,25,31.04
3802676,Paris Saint-Germain,Marco Verratti,110.0,102.0,212.0,11,11,22,30.42
3817895,Goa,Eduardo Bedia Peláez,106.0,106.0,212.0,14,14,28,35.33
3895258,Bayer Leverkusen,Granit Xhaka,104.0,107.0,211.0,14,13,27,26.64
3802805,Paris Saint-Germain,Marco Verratti,101.0,109.0,210.0,10,12,22,33.18
3895194,Bayer Leverkusen,Exequiel Alejandro Palacios,108.0,102.0,210.0,11,11,22,27.74
3895153,Bayer Leverkusen,Granit Xhaka,105.0,105.0,210.0,12,11,23,31.11
3895158,Bayer Leverkusen,Granit Xhaka,105.0,104.0,209.0,11,11,22,34.38
3895286,Bayer Leverkusen,Granit Xhaka,107.0,102.0,209.0,12,13,25,30.65
3837954,Paris Saint-Germain,Fabián Ruiz Peña,106.0,103.0,209.0,11,12,23,25.61
3837818,Paris Saint-Germain,Vitor Machado Ferreira,108.0,100.0,208.0,10,11,21,25.97
3895086,Bayer Leverkusen,Edmond Fayçal Tapsoba,106.0,102.0,208.0,11,11,22,26.3
3837752,Paris Saint-Germain,Marco Verratti,107.0,100.0,207.0,12,15,27,32.86
3895153,Bayer Leverkusen,Exequiel Alejandro Palacios,108.0,99.0,207.0,12,12,24,30.67
3802802,Paris Saint-Germain,Sergio Ramos García,103.0,103.0,206.0,12,12,24,26.04
3895220,Bayer Leverkusen,Jonathan Tah,107.0,99.0,206.0,10,8,18,28.77
3895121,Bayer Leverkusen,Exequiel Alejandro Palacios,103.0,102.0,205.0,10,10,20,30.46
3895275,Bayer Leverkusen,Granit Xhaka,103.0,101.0,204.0,11,13,24,29.39
3895121,Bayer Leverkusen,Edmond Fayçal Tapsoba,103.0,101.0,204.0,9,9,18,30.31
3895250,Bayer Leverkusen,Granit Xhaka,102.0,101.0,203.0,13,11,24,32.64
3895107,Bayer Leverkusen,Granit Xhaka,102.0,101.0,203.0,12,11,23,28.55
3837954,Paris Saint-Germain,Sergio Ramos García,106.0,96.0,202.0,12,11,23,24.75
3802690,Paris Saint-Germain,Presnel Kimpembe,105.0,96.0,201.0,12,10,22,26.84
3895180,Bayer Leverkusen,Exequiel Alejandro Palacios,100.0,100.0,200.0,10,9,19,29.28
3895232,Bayern Munich,Eric Dier,100.0,100.0,200.0,14,15,29,32.52
3837918,Paris Saint-Germain,Marco Verratti,99.0,99.0,198.0,13,12,25,32.67
3895086,Bayer Leverkusen,Exequiel Alejandro Palacios,101.0,96.0,197.0,10,10,20,24.91
3802904,Paris Saint-Germain,Leandro Daniel Paredes,102.0,94.0,196.0,11,11,22,32.94
3837954,Paris Saint-Germain,Danilo Luís Hélio Pereira,98.0,96.0,194.0,12,10,22,23.77
3838004,Paris Saint-Germain,Danilo Luís Hélio Pereira,99.0,94.0,193.0,10,11,21,27.18
