player,team,total_passes,total_opponents_packed,avg_packing_per_pass,progressive_passes,avg_packing_progressive
Christopher Antwi-Adjej,Bochum,6,13.0,2.17,3.0,3.67
Fabio Torsiello,Darmstadt 98,5,10.0,2.0,1.0,9.0
Brajan Gruda,FSV Mainz 05,17,33.0,1.94,9.0,3.0
Harry Kane,Bayern Munich,7,13.0,1.86,1.0,6.0
Fabian Holland,Darmstadt 98,13,24.0,1.85,5.0,3.4
Daniel Olmo Carvajal,RB Leipzig,19,34.0,1.79,9.0,2.89
Josip Juranović,Union Berlin,24,39.0,1.63,14.0,2.14
Florent Muslija,Freiburg,8,13.0,1.63,4.0,2.5
Nadiem Amiri,FSV Mainz 05,26,42.0,1.62,14.0,2.21
Ansgar Knauff,Eintracht Frankfurt,10,16.0,1.6,4.0,3.25
Koen Casteels,Wolfsburg,17,27.0,1.59,16.0,1.69
Xavi Simons,RB Leipzig,24,36.0,1.5,10.0,2.7
Fares Chaïbi,Eintracht Frankfurt,13,19.0,1.46,6.0,3.17
Jonas Older Wind,Wolfsburg,7,10.0,1.43,5.0,2.0
Maximilian Wittek,Bochum,7,10.0,1.43,5.0,1.8
Umut Tohumcu,Hoffenheim,7,10.0,1.43,6.0,1.67
Lukas Klostermann,RB Leipzig,12,17.0,1.42,7.0,2.0
Manuel Riemann,Bochum,46,65.0,1.41,44.0,1.45
Ludovic Ajorque,FSV Mainz 05,5,7.0,1.4,3.0,2.0
Leroy Sané,Bayern Munich,30,42.0,1.4,15.0,2.2
Linton Maina,FC Köln,5,7.0,1.4,2.0,3.0
Nicolas Seiwald,RB Leipzig,20,28.0,1.4,6.0,2.33
Tim Skarke,Darmstadt 98,12,16.0,1.33,5.0,2.0
Edimilson Fernandes,FSV Mainz 05,15,20.0,1.33,8.0,2.13
Joshua Kimmich,Bayern Munich,41,54.0,1.32,14.0,2.36
Maximilian Arnold,Wolfsburg,35,46.0,1.31,18.0,1.83
Niclas Füllkrug,Borussia Dortmund,10,13.0,1.3,3.0,2.33
Matthias Bader,Darmstadt 98,27,35.0,1.3,13.0,2.0
Lucas Tousart,Union Berlin,7,9.0,1.29,2.0,2.0
Eric Dier,Bayern Munich,33,42.0,1.27,22.0,1.73
Nikola Dovedan,FC Heidenheim,11,14.0,1.27,4.0,1.25
Ritsu Doan,Freiburg,15,19.0,1.27,6.0,2.33
Ellyes Joris Skhiri,Eintracht Frankfurt,19,24.0,1.26,8.0,1.88
Robin Knoche,Union Berlin,12,15.0,1.25,7.0,1.57
Anthony Caci,FSV Mainz 05,33,41.0,1.24,19.0,1.53
Marcel Schuhen,Darmstadt 98,25,31.0,1.24,24.0,1.29
Thomas Müller,Bayern Munich,23,28.0,1.22,8.0,1.75
Faride Alidou,FC Köln,9,11.0,1.22,4.0,2.0
Luca Netz,Borussia Mönchengladbach,14,17.0,1.21,6.0,1.5
Nathan Ngoumou Minpole,Borussia Mönchengladbach,14,17.0,1.21,6.0,1.83
Franck Honorat,Borussia Mönchengladbach,29,35.0,1.21,12.0,1.58
Moritz Nicolas,Borussia Mönchengladbach,15,18.0,1.2,11.0,1.55
Sheraldo Becker,Union Berlin,15,18.0,1.2,1.0,6.0
Vincenzo Grifo,Freiburg,15,18.0,1.2,9.0,2.0
Marvin Mehlem,Darmstadt 98,11,13.0,1.18,5.0,1.6
Erhan Mašović,Bochum,11,13.0,1.18,6.0,2.17
Granit Xhaka,Bayer Leverkusen,1219,1428.0,1.17,524.0,1.63
Philipp Mwene,FSV Mainz 05,6,7.0,1.17,3.0,1.33
Benjamin Henrichs,RB Leipzig,31,36.0,1.16,12.0,2.17
Dan-Axel Zagadou,VfB Stuttgart,26,30.0,1.15,16.0,1.69
Hugo Ekitike,Eintracht Frankfurt,8,9.0,1.13,2.0,3.0
Kevin Vogt,Hoffenheim,32,36.0,1.13,30.0,1.17
Finn Dahmen,Augsburg,24,27.0,1.13,18.0,1.44
Borja Iglesias Quintas,Bayer Leverkusen,25,28.0,1.12,8.0,1.5
Anton Stach,Hoffenheim,26,29.0,1.12,13.0,1.77
Janik Haberer,Union Berlin,9,10.0,1.11,1.0,2.0
Max Finkgräfe,FC Köln,9,10.0,1.11,7.0,1.29
Lukas Kübler,Freiburg,10,11.0,1.1,6.0,1.67
Cédric Zesiger,Wolfsburg,10,11.0,1.1,5.0,1.4
Angelo Stiller,VfB Stuttgart,29,32.0,1.1,15.0,1.53
Nadiem Amiri,Bayer Leverkusen,22,24.0,1.09,7.0,1.57
Christoph Zimmermann,Darmstadt 98,13,14.0,1.08,9.0,1.33
Oliver Baumann,Hoffenheim,38,41.0,1.08,29.0,1.41
Christian Günter,Freiburg,12,13.0,1.08,4.0,2.0
Mathys Tel,Bayern Munich,12,13.0,1.08,4.0,1.75
Nico Schlotterbeck,Borussia Dortmund,46,49.0,1.07,28.0,1.46
Romano Schmid,Werder Bremen,31,33.0,1.06,12.0,1.75
Leon Goretzka,Bayern Munich,39,41.0,1.05,16.0,1.38
Anthony Jung,Werder Bremen,20,21.0,1.05,11.0,1.55
Jonas Hofmann,Bayer Leverkusen,524,552.0,1.05,144.0,1.68
Dejan Ljubicic,FC Köln,20,21.0,1.05,4.0,2.0
Florian Wirtz,Bayer Leverkusen,639,673.0,1.05,212.0,1.55
Keven Schlotterbeck,Bochum,20,21.0,1.05,10.0,0.9
Adam Hložek,Bayer Leverkusen,52,54.0,1.04,16.0,1.25
Exequiel Alejandro Palacios,Bayer Leverkusen,627,652.0,1.04,237.0,1.54
Robert Andrich,Bayer Leverkusen,513,534.0,1.04,185.0,1.44
Mario Götze,Eintracht Frankfurt,26,27.0,1.04,10.0,1.8
Niels Nkounkou,Eintracht Frankfurt,34,35.0,1.03,13.0,1.92
Xaver Schlager,RB Leipzig,35,36.0,1.03,14.0,1.64
Marius Wolf,Borussia Dortmund,35,36.0,1.03,18.0,1.5
Leonardo Bittencourt,Werder Bremen,38,39.0,1.03,16.0,1.31
Victor Okoh Boniface,Bayer Leverkusen,132,135.0,1.02,45.0,1.51
Junior Castello Lukeba,RB Leipzig,19,19.0,1.0,11.0,1.27
Aïssa Bilal Laïdouni,Union Berlin,13,13.0,1.0,5.0,1.6
Matúš Bero,Bochum,16,16.0,1.0,3.0,1.33
Lovro Majer,Wolfsburg,10,10.0,1.0,4.0,2.0
Florian Neuhaus,Borussia Mönchengladbach,15,15.0,1.0,5.0,1.4
Paul Jaeckel,Union Berlin,11,11.0,1.0,7.0,1.14
Marvin Ducksch,Werder Bremen,14,14.0,1.0,3.0,2.0
Jamal Musiala,Bayern Munich,12,12.0,1.0,5.0,1.4
Rocco Reitz,Borussia Mönchengladbach,11,11.0,1.0,7.0,1.29
Jan-Niklas Beste,FC Heidenheim,12,12.0,1.0,5.0,1.2
Fredrik Jensen,Augsburg,7,7.0,1.0,2.0,2.5
David Datro Fofana,Union Berlin,5,5.0,1.0,1.0,0.0
Tiago Barreiros de Melo Tomás,Wolfsburg,7,7.0,1.0,3.0,1.67
