player,team,match_id,possessions_with_buildup,xg_buildup,avg_xg_per_possession,total_touches_in_buildup,minutes_played,xg_buildup_per90
Gurkirat Singh,Mumbai City,3813318,1,0.472,0.472,2.0,1.0,42.466
Noah Mbamba,Bayer Leverkusen,3895220,1,0.176,0.176,5.0,1.0,15.862
Nordi Mukiele Mulere,Paris Saint-Germain,3837659,1,0.324,0.324,1.0,2.0,14.599
Pablo Sarabia García,Paris Saint-Germain,3837659,1,0.324,0.324,2.0,4.0,7.3
Wesley Saïd,Lens,3802676,1,0.567,0.567,2.0,9.0,5.667
Muhammed Nemil Valiyattil,Goa,3817894,1,0.281,0.281,2.0,5.0,5.058
Adam Hložek,Bayer Leverkusen,3895180,1,0.545,0.273,4.0,10.0,4.908
Mohammad Yasir,Hyderabad,3817871,1,0.378,0.378,4.0,7.0,4.866
Julian Draxler,Paris Saint-Germain,3802709,1,0.215,0.215,4.0,4.0,4.843
Muhammed Nemil Valiyattil,Goa,3817890,1,0.302,0.302,1.0,6.0,4.531
Julien Ponceau,Lorient,3837963,1,0.094,0.094,3.0,2.0,4.225
Patrik Schick,Bayer Leverkusen,3895158,2,1.022,0.511,4.0,22.0,4.179
Pablo Sarabia García,Paris Saint-Germain,3837752,1,0.919,0.919,7.0,21.0,3.938
Gustavo Adolfo Puerta Molano,Bayer Leverkusen,3895153,1,0.077,0.077,4.0,2.0,3.456
Marco Verratti,Paris Saint-Germain,3837839,1,0.672,0.336,4.0,18.0,3.362
Juan Bernat Velasco,Paris Saint-Germain,3802709,1,0.215,0.215,2.0,6.0,3.229
Silas Katompa Mvumpa,VfB Stuttgart,3895320,1,0.429,0.429,4.0,12.0,3.221
Thomas Meunier,Borussia Dortmund,3895158,1,0.236,0.236,4.0,8.0,2.656
Edmond Fayçal Tapsoba,Bayer Leverkusen,3895275,1,0.059,0.059,4.0,2.0,2.646
Edmond Fayçal Tapsoba,Bayer Leverkusen,3895220,1,0.176,0.176,1.0,6.0,2.644
Leo Leroy,Montpellier,3837659,1,0.146,0.146,5.0,5.0,2.619
Prasanth Karuthadathkuni,Kerala Blasters,3817870,2,0.835,0.417,5.0,30.0,2.505
Brison Deuben Fernandes,Goa,3817870,1,0.108,0.108,1.0,4.0,2.43
Matthijs de Ligt,Bayern Munich,3895074,1,0.281,0.281,1.0,11.0,2.303
Pranjal Prakash Bhumij,Mumbai City,3817867,1,0.246,0.246,1.0,10.0,2.217
Prabir Das,ATK Mohun Bagan,3827338,1,0.364,0.364,2.0,15.0,2.183
Igor Silva de Almeida,Lorient,3802818,1,0.048,0.048,2.0,2.0,2.147
Sahil Tavora,Hyderabad,3817871,1,0.378,0.378,6.0,16.0,2.129
Achraf Hakimi Mouh,Paris Saint-Germain,3837963,1,0.449,0.449,1.0,19.0,2.127
Josip Stanišić,Bayer Leverkusen,3895286,3,0.825,0.206,8.0,36.0,2.061
Piero Martín Hincapié Reyna,Bayer Leverkusen,3895180,1,0.545,0.273,2.0,24.0,2.045
Amine Adli,Bayer Leverkusen,3895074,1,0.247,0.247,2.0,11.0,2.02
Jordan Murray,Jamshedpur,3817859,1,0.398,0.398,2.0,19.0,1.886
Vitor Machado Ferreira,Paris Saint-Germain,3837752,2,1.225,0.613,10.0,60.0,1.838
Joel Joseph Chianese,Hyderabad,3813295,1,0.506,0.506,1.0,25.0,1.823
Michael Soosairaj,ATK Mohun Bagan,3817892,2,0.36,0.18,6.0,18.0,1.802
Ander Herrera Agüera,Paris Saint-Germain,3802948,1,0.359,0.359,2.0,18.0,1.794
Julian Draxler,Paris Saint-Germain,3802839,1,0.575,0.575,4.0,29.0,1.784
Raynier Fernandes,Mumbai City,3813318,1,0.472,0.472,4.0,24.0,1.769
José Miguel da Rocha Fonte,Lille,3837876,1,0.216,0.216,2.0,11.0,1.765
Prabir Das,ATK Mohun Bagan,3813287,1,0.234,0.234,1.0,12.0,1.754
Hugo Ekitike,Paris Saint-Germain,3837683,1,0.446,0.446,1.0,23.0,1.745
Ngasepam Tondonba Singh,NorthEast United,3817877,1,1.03,0.515,2.0,54.0,1.717
Udanta Kumam Singh,Bengaluru,3813287,1,0.201,0.201,1.0,11.0,1.641
Aaren D''Silva,Hyderabad,3813272,1,0.217,0.217,2.0,12.0,1.624
Isaac Vanmalsawma Chhakchhuak,Odisha,3813317,1,0.304,0.304,3.0,17.0,1.609
Marcelo Leite Pereira,NorthEast United,3817877,1,1.03,0.515,2.0,58.0,1.599
Danilo Luís Hélio Pereira,Paris Saint-Germain,3837662,1,0.069,0.069,2.0,4.0,1.542
Liridon Krasniqi,Odisha,3813300,1,0.546,0.546,6.0,32.0,1.537
Julian Draxler,Paris Saint-Germain,3802699,1,0.153,0.153,4.0,9.0,1.53
Azzedine Ounahi,Marseille,3837885,1,0.492,0.164,18.0,30.0,1.475
Danilo Luís Hélio Pereira,Paris Saint-Germain,3802984,1,0.065,0.065,6.0,4.0,1.462
Sivasakthi Narayanan,Bengaluru,3813299,1,0.081,0.081,2.0,5.0,1.456
Mohammed Rafique,East Bengal,3817882,1,0.097,0.097,3.0,6.0,1.455
Ángel Fabián Di María Hernández,Paris Saint-Germain,3802907,1,0.71,0.71,2.0,44.0,1.451
Chencho Gyeltshen,Kerala Blasters,3813300,1,0.29,0.145,2.0,18.0,1.448
Sandip Mandi,Jamshedpur,3817899,2,0.281,0.14,4.0,18.0,1.405
Anthony Caci,Strasbourg,3802643,1,0.186,0.186,3.0,12.0,1.398
Renato Júnior Luz Sanches,Paris Saint-Germain,3837683,1,0.288,0.288,6.0,19.0,1.364
Leandro Daniel Paredes,Paris Saint-Germain,3802837,2,0.572,0.286,3.0,38.0,1.356
Josip Stanišić,Bayer Leverkusen,3895067,2,0.632,0.316,8.0,42.0,1.354
Laldanmawia Ralte,NorthEast United,3813306,1,0.706,0.706,2.0,49.0,1.297
Piero Martín Hincapié Reyna,Bayer Leverkusen,3895333,1,0.479,0.479,2.0,34.0,1.267
Victor Okoh Boniface,Bayer Leverkusen,3895333,1,0.479,0.479,1.0,34.0,1.267
Warren Zaire Emery,Paris Saint-Germain,3837650,1,0.07,0.07,1.0,5.0,1.266
Juan Bernat Velasco,Paris Saint-Germain,3837902,1,0.168,0.168,2.0,12.0,1.259
Damaitphang Lyngdoh,Bengaluru,3817868,1,0.516,0.516,2.0,37.0,1.255
Vincy Barretto,Kerala Blasters,3817870,1,0.41,0.41,2.0,30.0,1.229
Renato Júnior Luz Sanches,Paris Saint-Germain,3837859,1,0.176,0.176,2.0,13.0,1.222
Paul Ramfangzauva,Odisha,3817896,1,0.83,0.83,2.0,62.0,1.205
David Joel Williams,ATK Mohun Bagan,3813306,2,0.293,0.146,9.0,22.0,1.198
Lenny Rodrigues,ATK Mohun Bagan,3813306,2,0.293,0.146,7.0,22.0,1.198
Valère Germain,Montpellier,3837659,1,0.146,0.146,3.0,11.0,1.191
Adam Hložek,Bayer Leverkusen,3895210,3,0.575,0.144,5.0,44.0,1.177
Daniel Lalhlimpuia,Odisha,3813300,2,0.591,0.296,2.0,46.0,1.157
Thilo Kehrer,Paris Saint-Germain,3802818,1,0.089,0.089,1.0,7.0,1.149
David Joel Williams,ATK Mohun Bagan,3827338,1,0.661,0.661,1.0,52.0,1.144
Rahim Ali,Chennaiyin,3813279,3,0.876,0.292,6.0,69.0,1.143
