match_id,player,team,possessions_with_shot,xg_chain,shots_in_chain,goals_in_chain,avg_xg_per_possession,total_touches_in_chains,minutes_played,xg_chain_per90,team_involvement_pct
3813318,Gurkirat Singh,Mumbai City,1,0.472,1.0,0.0,0.472,2.0,1.0,42.48,19.55
3895220,Noah Mbamba,Bayer Leverkusen,1,0.176,1.0,0.0,0.176,5.0,1.0,15.84,9.27
3837659,Nordi Mukiele Mulere,Paris Saint-Germain,1,0.324,1.0,1.0,0.324,1.0,2.0,14.58,9.18
3895180,Adam Hložek,Bayer Leverkusen,1,0.521,2.0,0.0,0.521,2.0,5.0,9.378,20.14
3813278,Vincy Barretto,Kerala Blasters,1,0.168,1.0,0.0,0.168,1.0,2.0,7.56,14.15
3802752,Georginio Wijnaldum,Paris Saint-Germain,1,0.166,4.0,0.0,0.166,1.0,2.0,7.47,8.79
3837659,Pablo Sarabia García,Paris Saint-Germain,1,0.324,1.0,1.0,0.324,2.0,4.0,7.29,9.18
3813300,Nikhil Raj Murugesh Kumar,Odisha,2,0.591,3.0,1.0,0.296,6.0,8.0,6.649,34.01
3817894,Alexander Romario Jesuraj,Goa,1,0.281,1.0,1.0,0.281,1.0,4.0,6.323,17.53
3837659,Renato Júnior Luz Sanches,Paris Saint-Germain,1,0.324,1.0,1.0,0.324,3.0,5.0,5.832,9.18
3802676,Wesley Saïd,Lens,1,0.567,1.0,1.0,0.567,2.0,9.0,5.67,67.04
3802676,Corentin Jean,Lens,1,0.567,1.0,1.0,0.567,1.0,9.0,5.67,67.04
3837896,Timothee Pembele,Paris Saint-Germain,1,0.428,1.0,1.0,0.428,2.0,7.0,5.503,30.54
3813302,Ishan Pandita,Jamshedpur,1,0.492,1.0,1.0,0.492,2.0,9.0,4.92,15.68
3813302,Alexandre Monteiro de Lima,Jamshedpur,1,0.492,1.0,1.0,0.492,1.0,9.0,4.92,15.68
3837771,Ante Palaversa,Troyes,1,0.577,3.0,1.0,0.577,1.0,11.0,4.721,39.17
3802907,Edon Zhegrova,Lille,1,0.208,1.0,0.0,0.208,5.0,4.0,4.68,20.34
3817890,Muhammed Nemil Valiyattil,Goa,1,0.302,1.0,0.0,0.302,1.0,6.0,4.53,15.42
3837963,Julien Ponceau,Lorient,1,0.094,1.0,0.0,0.094,3.0,2.0,4.23,3.59
3817868,Edmund Lalrindika,Bengaluru,1,0.516,1.0,0.0,0.516,1.0,11.0,4.222,15.31
3813300,Jorge Rolando Pereyra Díaz,Kerala Blasters,1,0.225,2.0,0.0,0.225,4.0,5.0,4.05,10.24
3837752,Pablo Sarabia García,Paris Saint-Germain,1,0.919,1.0,1.0,0.919,7.0,21.0,3.939,32.11
3895180,Piero Martín Hincapié Reyna,Bayer Leverkusen,1,0.521,2.0,0.0,0.521,2.0,12.0,3.908,20.14
3802709,Julian Draxler,Paris Saint-Germain,2,0.335,2.0,0.0,0.167,5.0,8.0,3.769,16.61
3895180,Nathan Tella,Bayer Leverkusen,1,0.521,2.0,0.0,0.521,2.0,13.0,3.607,20.14
3802752,Mauro Emanuel Icardi Rivero,Paris Saint-Germain,1,0.358,1.0,1.0,0.358,1.0,9.0,3.58,18.97
3837885,Azzedine Ounahi,Marseille,1,0.397,3.0,0.0,0.397,6.0,10.0,3.573,30.63
3895153,Gustavo Adolfo Puerta Molano,Bayer Leverkusen,1,0.077,1.0,0.0,0.077,4.0,2.0,3.465,7.27
3895153,Nadiem Amiri,Bayer Leverkusen,1,0.077,1.0,0.0,0.077,4.0,2.0,3.465,7.27
3838004,Kevin Gameiro,Strasbourg,1,0.42,2.0,1.0,0.42,5.0,11.0,3.436,35.9
3813271,Nongdamba Singh Naorem,Goa,2,0.145,3.0,0.0,0.073,3.0,4.0,3.262,14.86
3837839,Marco Verratti,Paris Saint-Germain,2,0.652,4.0,1.0,0.326,9.0,18.0,3.26,43.74
3817870,Danstan Randall Fernandes,Goa,1,0.036,1.0,0.0,0.036,4.0,1.0,3.24,1.51
3837859,Ismaël Gharbi,Paris Saint-Germain,1,0.072,1.0,0.0,0.072,2.0,2.0,3.24,4.37
3802709,Juan Bernat Velasco,Paris Saint-Germain,1,0.215,1.0,0.0,0.215,2.0,6.0,3.225,10.66
3895320,Silas Katompa Mvumpa,VfB Stuttgart,1,0.429,1.0,0.0,0.429,4.0,12.0,3.218,24.98
3802676,Deiver Andrés Machado Mena,Lens,1,0.567,1.0,1.0,0.567,1.0,16.0,3.189,67.04
3817877,Ngasepam Tondonba Singh,NorthEast United,1,0.926,2.0,1.0,0.926,1.0,27.0,3.087,50.62
3817901,Diego Maurício Machado de Brito,Mumbai City,2,0.81,2.0,1.0,0.405,3.0,24.0,3.038,37.14
3837885,Vítor Manuel Carvalho Oliveira,Marseille,1,0.397,3.0,0.0,0.397,1.0,12.0,2.978,30.63
3895158,Patrik Schick,Bayer Leverkusen,3,1.09,3.0,1.0,0.363,5.0,33.0,2.973,52.45
3817852,Bradden Inman,Mumbai City,1,0.384,1.0,1.0,0.384,6.0,12.0,2.88,23.54
3802983,Cédric Bakambu,Marseille,1,0.03,1.0,0.0,0.03,2.0,1.0,2.7,3.69
3817894,Muhammed Nemil Valiyattil,Goa,2,0.297,2.0,1.0,0.148,6.0,10.0,2.673,18.53
3895275,Edmond Fayçal Tapsoba,Bayer Leverkusen,1,0.059,1.0,0.0,0.059,4.0,2.0,2.655,2.7
3895158,Thomas Meunier,Borussia Dortmund,1,0.236,1.0,0.0,0.236,4.0,8.0,2.655,29.5
3895220,Edmond Fayçal Tapsoba,Bayer Leverkusen,1,0.176,1.0,0.0,0.176,1.0,6.0,2.64,9.27
3837659,Leo Leroy,Montpellier,1,0.146,1.0,1.0,0.146,5.0,5.0,2.628,20.18
3817866,Diego Maurício Machado de Brito,Mumbai City,1,0.784,1.0,1.0,0.784,1.0,27.0,2.613,49.42
3837771,Renaud Ripart,Troyes,1,0.577,3.0,1.0,0.577,1.0,20.0,2.597,39.17
3895286,Josip Stanišić,Bayer Leverkusen,3,0.771,4.0,1.0,0.257,6.0,27.0,2.57,29.32
3895286,Nathan Tella,Bayer Leverkusen,3,0.771,4.0,1.0,0.257,7.0,27.0,2.57,29.32
3817871,Mohammad Yasir,Hyderabad,2,0.388,2.0,1.0,0.194,8.0,14.0,2.494,14.52
3802948,Georginio Wijnaldum,Paris Saint-Germain,1,0.359,1.0,0.0,0.359,4.0,13.0,2.485,8.05
3813280,Jobby Justin,Chennaiyin,1,0.349,3.0,0.0,0.349,1.0,13.0,2.416,16.77
3895333,Jeremie Frimpong,Bayer Leverkusen,1,0.479,1.0,1.0,0.479,1.0,18.0,2.395,18.52
3895074,Matthijs de Ligt,Bayern Munich,1,0.281,1.0,1.0,0.281,1.0,11.0,2.299,13.46
3837947,Warren Zaire Emery,Paris Saint-Germain,1,0.102,2.0,0.0,0.102,4.0,4.0,2.295,7.04
3813300,Chencho Gyeltshen,Kerala Blasters,1,0.225,2.0,0.0,0.225,2.0,9.0,2.25,10.24
3837659,Khalil Fayad,Montpellier,1,0.146,1.0,1.0,0.146,4.0,6.0,2.19,20.18
3827338,Kiyan Nassiri Giri,ATK Mohun Bagan,1,0.364,1.0,0.0,0.364,3.0,15.0,2.184,21.2
3802818,Igor Silva de Almeida,Lorient,1,0.048,1.0,0.0,0.048,2.0,2.0,2.16,7.71
3813290,Aaren D''Silva,Hyderabad,1,0.214,1.0,1.0,0.214,2.0,9.0,2.14,10.38
3837963,Achraf Hakimi Mouh,Paris Saint-Germain,1,0.449,1.0,0.0,0.449,1.0,19.0,2.127,22.63
3817870,Hormipam Ruivah,Kerala Blasters,2,0.463,2.0,1.0,0.232,7.0,20.0,2.084,15.55
3895320,Woo-Yeong Jeong,VfB Stuttgart,1,0.429,1.0,0.0,0.429,2.0,19.0,2.032,24.98
3895067,Noah Mbamba,Bayer Leverkusen,2,0.632,2.0,1.0,0.316,12.0,28.0,2.031,22.73
3817859,Ishan Pandita,Jamshedpur,2,0.448,2.0,0.0,0.224,4.0,20.0,2.016,28.74
3817871,Javier Siverio Toro,Hyderabad,1,0.378,1.0,1.0,0.378,2.0,17.0,2.001,14.15
3817871,Eduardo García Martín,Hyderabad,2,0.388,2.0,1.0,0.194,7.0,18.0,1.94,14.52
3817876,Germanpreet Singh,Chennaiyin,2,0.172,2.0,0.0,0.086,3.0,8.0,1.935,26.0
3895302,Exequiel Alejandro Palacios,Bayer Leverkusen,2,0.507,2.0,1.0,0.253,5.0,24.0,1.901,17.52
3817867,Pranjal Prakash Bhumij,Mumbai City,2,0.422,2.0,0.0,0.211,3.0,20.0,1.899,16.8
3817870,Álvaro Vázquez García,Kerala Blasters,2,0.463,2.0,1.0,0.232,5.0,22.0,1.894,15.55
3895340,Alejandro Grimaldo García,Bayer Leverkusen,7,1.749,7.0,2.0,0.25,20.0,84.0,1.874,41.54
3895052,Fabio Carvalho,RB Leipzig,1,0.246,2.0,0.0,0.246,2.0,12.0,1.845,15.06
3837752,Vitor Machado Ferreira,Paris Saint-Germain,2,1.225,2.0,2.0,0.613,10.0,60.0,1.838,42.81
3817855,Vincy Barretto,Kerala Blasters,1,0.285,1.0,0.0,0.285,1.0,14.0,1.832,36.39
3813295,Joel Joseph Chianese,Hyderabad,1,0.506,1.0,1.0,0.506,1.0,25.0,1.822,25.37
3837844,Kylian Mbappé Lottin,Paris Saint-Germain,2,0.841,4.0,0.0,0.42,3.0,42.0,1.802,26.1
3813315,Boris Singh Thangjam,Jamshedpur,1,0.357,1.0,0.0,0.357,2.0,18.0,1.785,18.9
3817870,Prasanth Karuthadathkuni,Kerala Blasters,3,0.888,3.0,2.0,0.296,9.0,45.0,1.776,29.83
3837876,José Miguel da Rocha Fonte,Lille,1,0.216,1.0,0.0,0.216,2.0,11.0,1.767,10.34
3837785,Hugo Ekitike,Paris Saint-Germain,2,0.588,3.0,2.0,0.294,7.0,30.0,1.764,43.4
3837683,Juan Bernat Velasco,Paris Saint-Germain,1,0.096,2.0,1.0,0.096,1.0,5.0,1.728,3.4
3827767,Khassa Camara,Hyderabad,1,0.784,1.0,1.0,0.784,1.0,41.0,1.721,20.06
3895333,Victor Okoh Boniface,Bayer Leverkusen,2,1.262,2.0,2.0,0.631,2.0,68.0,1.67,48.8
3802984,Danilo Luís Hélio Pereira,Paris Saint-Germain,2,0.148,2.0,0.0,0.074,7.0,8.0,1.665,9.64
3837695,Sergio Ramos García,Paris Saint-Germain,2,0.988,5.0,1.0,0.494,4.0,54.0,1.647,30.97
3813287,Udanta Kumam Singh,Bengaluru,1,0.201,1.0,0.0,0.201,1.0,11.0,1.645,8.75
3813315,Jordan Murray,Jamshedpur,1,0.272,1.0,1.0,0.272,2.0,15.0,1.632,14.4
3813272,Aaren D''Silva,Hyderabad,1,0.217,1.0,0.0,0.217,2.0,12.0,1.628,15.57
3827767,Ayush Adhikari,Kerala Blasters,2,0.901,2.0,1.0,0.45,3.0,50.0,1.622,21.46
3817870,Brison Deuben Fernandes,Goa,2,0.144,2.0,0.0,0.072,8.0,8.0,1.62,6.03
3895067,Adam Hložek,Bayer Leverkusen,3,0.692,3.0,1.0,0.231,6.0,39.0,1.597,24.88
3837727,Pablo Sarabia García,Paris Saint-Germain,2,0.174,3.0,0.0,0.087,2.0,10.0,1.566,23.31
3837662,Danilo Luís Hélio Pereira,Paris Saint-Germain,1,0.069,1.0,1.0,0.069,2.0,4.0,1.553,1.85
3813300,Liridon Krasniqi,Odisha,1,0.546,2.0,1.0,0.546,6.0,32.0,1.536,31.42
3802699,Julian Draxler,Paris Saint-Germain,1,0.153,1.0,1.0,0.153,4.0,9.0,1.53,6.35
3813310,Jorge Rolando Pereyra Díaz,Kerala Blasters,1,0.168,1.0,0.0,0.168,1.0,10.0,1.512,40.34
3817877,Marcelo Leite Pereira,NorthEast United,2,0.963,3.0,1.0,0.481,3.0,58.0,1.494,52.65
3895074,Amine Adli,Bayer Leverkusen,2,0.364,2.0,0.0,0.182,7.0,22.0,1.489,16.66
3813299,Sivasakthi Narayanan,Bengaluru,1,0.081,1.0,0.0,0.081,2.0,5.0,1.458,14.46
3817882,Mohammed Rafique,East Bengal,1,0.097,1.0,0.0,0.097,3.0,6.0,1.455,6.13
