match_id,team,buildup_possessions,total_xg_from_buildup,total_touches_in_buildup,avg_xg_per_buildup_possession,avg_touches_per_buildup_possession
3802643,Paris Saint-Germain,49,9.471,170.0,0.193,3.47
3802643,Strasbourg,47,7.758,149.0,0.165,3.17
3802665,Montpellier,19,0.984,37.0,0.052,1.95
3802665,Paris Saint-Germain,60,4.965,209.0,0.083,3.48
3802676,Lens,31,3.064,68.0,0.099,2.19
3802676,Paris Saint-Germain,67,7.7379999999999995,211.0,0.115,3.15
3802683,AS Monaco,37,1.283,98.0,0.035,2.65
3802683,Paris Saint-Germain,21,2.51,129.0,0.12,6.14
3802685,Lens,49,2.705,110.0,0.055,2.24
3802685,Paris Saint-Germain,40,6.969,139.0,0.174,3.48
3802690,Lorient,23,1.628,42.0,0.071,1.83
3802690,Paris Saint-Germain,93,10.833,336.0,0.116,3.61
3802696,Paris Saint-Germain,57,5.419,224.0,0.095,3.93
3802696,Stade de Reims,22,1.467,58.0,0.067,2.64
3802699,Lille,40,9.718,110.0,0.243,2.75
3802699,Paris Saint-Germain,56,7.644,157.0,0.136,2.8
3802709,Paris Saint-Germain,53,6.51,132.0,0.123,2.49
3802709,Saint-Étienne,28,2.6109999999999998,112.0,0.093,4.0
3802752,Lyon,43,2.81,133.0,0.065,3.09
3802752,Paris Saint-Germain,46,4.862,151.0,0.106,3.28
3802793,OGC Nice,11,3.354,26.0,0.305,2.36
3802793,Paris Saint-Germain,69,6.315,203.0,0.092,2.94
3802795,Paris Saint-Germain,46,5.17,151.0,0.112,3.28
3802795,Rennes,49,3.248,148.0,0.066,3.02
3802802,Paris Saint-Germain,56,5.898,136.0,0.105,2.43
3802802,Stade de Reims,24,2.353,67.0,0.098,2.79
3802805,OGC Nice,33,1.951,110.0,0.059,3.33
3802805,Paris Saint-Germain,28,1.762,87.0,0.063,3.11
3802809,Paris Saint-Germain,31,3.842,67.0,0.124,2.16
3802809,Rennes,33,2.72,88.0,0.082,2.67
3802818,Lorient,30,1.767,92.0,0.059,3.07
3802818,Paris Saint-Germain,66,7.908,196.0,0.12,2.97
3802837,Paris Saint-Germain,49,13.899,247.0,0.284,5.04
3802837,Saint-Étienne,15,0.906,34.0,0.06,2.27
3802839,Nantes,22,3.278,54.0,0.149,2.45
3802839,Paris Saint-Germain,52,13.431000000000001,250.0,0.258,4.81
3802902,Marseille,40,4.52,193.0,0.113,4.82
3802902,Paris Saint-Germain,25,4.897,147.0,0.196,5.88
3802904,Bordeaux,58,2.265,146.0,0.039,2.52
3802904,Paris Saint-Germain,32,7.469,106.0,0.233,3.31
3802907,Lille,28,2.843,71.0,0.102,2.54
3802907,Paris Saint-Germain,61,8.427,178.0,0.138,2.92
3802930,Paris Saint-Germain,63,4.734,267.0,0.075,4.24
3802930,Troyes,15,0.252,49.0,0.017,3.27
3802948,Metz,11,1.051,27.0,0.096,2.45
3802948,Paris Saint-Germain,99,22.468999999999998,351.0,0.227,3.55
3802983,Marseille,3,0.7829999999999999,4.0,0.261,1.33
3802983,Paris Saint-Germain,15,1.814,35.0,0.121,2.33
3802984,Nantes,37,10.236,146.0,0.277,3.95
3802984,Paris Saint-Germain,46,8.57,257.0,0.186,5.59
3803000,Clermont Foot,35,7.939,106.0,0.227,3.03
3803000,Paris Saint-Germain,50,7.537,162.0,0.151,3.24
3813264,ATK Mohun Bagan,38,2.5,103.0,0.066,2.71
3813264,Hyderabad,49,4.166,111.0,0.085,2.27
3813265,East Bengal,5,0.509,9.0,0.102,1.8
3813265,Mumbai City,40,2.37,125.0,0.059,3.12
3813266,Chennaiyin,5,0.208,8.0,0.042,1.6
3813266,Goa,39,5.091,164.0,0.131,4.21
3813267,East Bengal,17,1.592,25.0,0.094,1.47
3813267,Goa,51,9.866,190.0,0.193,3.73
3813268,ATK Mohun Bagan,38,3.2590000000000003,99.0,0.086,2.61
3813268,Jamshedpur,19,1.176,25.0,0.062,1.32
3813269,Jamshedpur,25,2.631,62.0,0.105,2.48
3813269,Odisha,31,0.9590000000000001,75.0,0.031,2.42
3813270,Goa,26,1.172,75.0,0.045,2.88
3813270,Mumbai City,24,2.6390000000000002,63.0,0.11,2.62
3813271,Goa,38,2.002,159.0,0.053,4.18
3813271,Kerala Blasters,21,5.753,48.0,0.274,2.29
3813272,Goa,31,3.667,83.0,0.118,2.68
3813272,Hyderabad,40,3.968,92.0,0.099,2.3
3813273,Mumbai City,47,4.256,148.0,0.091,3.15
3813273,Odisha,22,3.59,37.0,0.163,1.68
3813274,Bengaluru,25,1.512,67.0,0.06,2.68
3813274,Mumbai City,12,0.904,34.0,0.075,2.83
3813275,Jamshedpur,24,2.317,77.0,0.097,3.21
3813275,Kerala Blasters,22,2.817,50.0,0.128,2.27
3813276,East Bengal,15,0.715,44.0,0.048,2.93
3813276,NorthEast United,50,4.2749999999999995,149.0,0.085,2.98
3813277,Hyderabad,14,0.919,25.0,0.066,1.79
3813277,Mumbai City,26,1.909,54.0,0.073,2.08
3813278,Chennaiyin,17,0.97,27.0,0.057,1.59
3813278,Kerala Blasters,26,3.423,84.0,0.132,3.23
3813279,Chennaiyin,72,5.58,227.0,0.078,3.15
3813279,Odisha,13,0.442,24.0,0.034,1.85
3813280,Chennaiyin,47,8.482,166.0,0.18,3.53
3813280,East Bengal,15,1.379,26.0,0.092,1.73
3813281,ATK Mohun Bagan,15,0.883,42.0,0.059,2.8
3813281,Chennaiyin,45,2.375,127.0,0.053,2.82
3813282,Kerala Blasters,32,1.8719999999999999,66.0,0.058,2.06
3813282,Mumbai City,22,2.197,46.0,0.1,2.09
3813283,Bengaluru,21,1.406,46.0,0.067,2.19
3813283,Chennaiyin,27,2.053,55.0,0.076,2.04
3813284,Jamshedpur,18,3.1,34.0,0.172,1.89
3813284,Mumbai City,23,5.166,48.0,0.225,2.09
3813285,Bengaluru,34,3.876,80.0,0.114,2.35
3813285,Goa,12,1.795,21.0,0.15,1.75
3813286,Chennaiyin,15,0.604,25.0,0.04,1.67
3813286,Mumbai City,41,2.848,443.0,0.069,10.8
3813287,ATK Mohun Bagan,13,0.546,20.0,0.042,1.54
3813287,Bengaluru,28,2.289,51.0,0.082,1.82
3813288,Hyderabad,17,1.099,55.0,0.065,3.24
3813288,Jamshedpur,20,1.5030000000000001,29.0,0.075,1.45
3813289,Bengaluru,51,4.809,188.0,0.094,3.69
3813289,Odisha,10,0.875,18.0,0.088,1.8
3813290,Hyderabad,20,2.663,30.0,0.133,1.5
3813290,NorthEast United,28,4.804,58.0,0.172,2.07
3813291,ATK Mohun Bagan,33,2.087,66.0,0.063,2.0
3813291,East Bengal,18,1.003,48.0,0.056,2.67
3813292,Bengaluru,29,1.888,68.0,0.065,2.34
