match_id,team,player,total_pressures,counterpresses,pressure_regains,high_pressures,pressure_success_pct,minutes_played,pressures_per_90
3837928,Lyon,Bradley Barcola,57,6.0,6.0,15,10.53,71,72.25
3837896,Nantes,Samuel Moutoussamy,52,4.0,13.0,5,25.0,91,51.43
3837954,Angers,Himad Abdelli,51,5.0,9.0,11,17.65,91,50.44
3837928,Lyon,Johann Lepenant,51,6.0,10.0,7,19.61,61,75.25
3802983,Paris Saint-Germain,Marco Verratti,48,8.0,6.0,9,12.5,87,49.66
3837987,AC Ajaccio,Mickaël Barreto,48,7.0,6.0,4,12.5,82,52.68
3802839,Nantes,Andrei Girotto,47,7.0,8.0,12,17.02,94,45.0
3837902,Stade Brestois,Hugo Magnetti,47,10.0,7.0,9,14.89,94,45.0
3837987,AC Ajaccio,Vincent Marchetti,46,8.0,10.0,1,21.74,88,47.05
3802930,Troyes,Renaud Ripart,46,4.0,5.0,6,10.87,93,44.52
3837885,Paris Saint-Germain,Fabián Ruiz Peña,45,12.0,12.0,9,26.67,92,44.02
3802983,Paris Saint-Germain,Idrissa Gana Gueye,45,5.0,4.0,7,8.89,80,50.63
3802983,Paris Saint-Germain,Neymar da Silva Santos Junior,44,9.0,7.0,21,15.91,96,41.25
3813267,East Bengal,Sourav Das,44,7.0,10.0,4,22.73,94,42.13
3895134,Hoffenheim,Wout Weghorst,43,11.0,7.0,18,16.28,95,40.74
3837954,Angers,Jean-Mattéo Bahoya Négoce,43,3.0,6.0,11,13.95,86,45.0
3895153,Bayer Leverkusen,Jonas Hofmann,43,14.0,8.0,16,18.6,88,43.98
3895220,Darmstadt 98,Matthias Bader,42,5.0,8.0,2,19.05,93,40.65
3802795,Paris Saint-Germain,Marco Verratti,42,14.0,7.0,14,16.67,92,41.09
3837902,Stade Brestois,Steve Michel Mounié,42,4.0,2.0,3,4.76,66,57.27
3817891,East Bengal,Sourav Das,42,9.0,10.0,6,23.81,95,39.79
3895167,VfB Stuttgart,Atakan Karazor,41,10.0,7.0,11,17.07,91,40.55
3895220,Darmstadt 98,Luca Pfeiffer,41,4.0,4.0,8,9.76,92,40.11
3895333,Bayer Leverkusen,Jonas Hofmann,41,7.0,5.0,14,12.2,92,40.11
3895232,Bayer Leverkusen,Florian Wirtz,40,6.0,8.0,15,20.0,89,40.45
3813303,ATK Mohun Bagan,Liston Colaco,40,11.0,5.0,9,12.5,85,42.35
3895210,Borussia Mönchengladbach,Theoson Jordan Siebatcheu,40,5.0,4.0,4,10.0,75,48.0
3803000,Clermont Foot,Yohann Magnin,39,5.0,8.0,4,20.51,91,38.57
3837947,Paris Saint-Germain,Carlos Soler Barragán,39,8.0,8.0,11,20.51,91,38.57
3837928,Lyon,Thiago Henrique Mendes Ribeiro,39,4.0,14.0,3,35.9,92,38.15
3837902,Stade Brestois,Haris Belkebla,39,5.0,9.0,3,23.08,94,37.34
3895182,Bochum,Gonçalo Mendes Paciencia,39,5.0,5.0,17,12.82,62,56.61
3802805,OGC Nice,Justin Kluivert,39,7.0,6.0,7,15.38,85,41.29
3817891,East Bengal,Naorem Mahesh Singh,38,8.0,6.0,5,15.79,76,45.0
3802752,Lyon,Lucas Tolentino Coelho de Lima,38,7.0,8.0,6,21.05,85,40.24
3802683,AS Monaco,Aleksandr Golovin,38,4.0,5.0,14,13.16,91,37.58
3895302,Bayer Leverkusen,Jonas Hofmann,38,4.0,6.0,23,15.79,88,38.86
3802818,Lorient,Laurent Abergel,38,5.0,13.0,5,34.21,92,37.17
3838017,Clermont Foot,Elbasan Rashani,37,5.0,5.0,18,13.51,92,36.2
3817888,East Bengal,Naorem Mahesh Singh,37,9.0,7.0,9,18.92,91,36.59
3813271,Kerala Blasters,Lalthathanga Khawlhring,37,3.0,14.0,2,37.84,72,46.25
3895210,Borussia Mönchengladbach,Robin Hack,37,6.0,2.0,9,5.41,61,54.59
3895232,Bayer Leverkusen,Amine Adli,37,8.0,4.0,18,10.81,82,40.61
3802904,Bordeaux,Yacine Adli,37,5.0,5.0,6,13.51,80,41.63
3837918,Rennes,Benjamin Bourigeaud,36,3.0,7.0,9,19.44,95,34.11
3813316,NorthEast United,Suhair Vadakkepeedika,36,7.0,9.0,2,25.0,96,33.75
3813306,NorthEast United,Suhair Vadakkepeedika,36,11.0,8.0,10,22.22,94,34.47
3895134,Bayer Leverkusen,Florian Wirtz,36,7.0,7.0,10,19.44,90,36.0
3838004,Strasbourg,Morgan Sanson,36,5.0,5.0,7,13.89,86,37.67
3817863,Hyderabad,Joel Joseph Chianese,36,6.0,4.0,18,11.11,88,36.82
3837885,Paris Saint-Germain,Vitor Machado Ferreira,36,12.0,6.0,7,16.67,91,35.6
3837954,Angers,Adrien Hunou,36,5.0,2.0,10,5.56,86,37.67
3895086,FC Heidenheim,Nikola Dovedan,36,5.0,5.0,1,13.89,63,51.43
3813267,East Bengal,Naorem Mahesh Singh,36,6.0,8.0,7,22.22,79,41.01
3837928,Lyon,Nicolás Alejandro Tagliafico,35,8.0,4.0,7,11.43,94,33.51
3803000,Clermont Foot,Johan Gastien,35,4.0,5.0,5,14.29,90,35.0
3837876,Lille,Jonathan David,35,6.0,8.0,22,22.86,95,33.16
3895302,Werder Bremen,Leonardo Bittencourt,35,6.0,4.0,4,11.43,76,41.45
3827767,Kerala Blasters,Adrián Nicolás Luna Retamar,35,11.0,9.0,9,25.71,120,26.25
3802907,Lille,Benjamin André,35,7.0,7.0,4,20.0,90,35.0
3895139,Union Berlin,Janik Haberer,35,1.0,3.0,1,8.57,91,34.62
3837963,Lorient,Laurent Abergel,35,4.0,9.0,2,25.71,93,33.87
3837717,Lyon,Maxence Caqueret,35,5.0,10.0,7,28.57,73,43.15
3838004,Strasbourg,Mouhamadou Diarra,35,2.0,5.0,7,14.29,90,35.0
3895139,Union Berlin,Alex Král,35,3.0,3.0,2,8.57,91,34.62
3837680,Paris Saint-Germain,Marco Verratti,35,14.0,10.0,7,28.57,96,32.81
3817900,Jamshedpur,Pronay Halder,35,10.0,6.0,4,17.14,95,33.16
3837928,Paris Saint-Germain,Vitor Machado Ferreira,35,12.0,5.0,8,14.29,82,38.41
3837859,Toulouse,Stijn Spierings,35,6.0,7.0,3,20.0,89,35.39
3895258,FC Köln,Dejan Ljubicic,35,1.0,1.0,0,2.86,91,34.62
3895194,Augsburg,Phillip Tietz,35,7.0,7.0,10,20.0,78,40.38
3817851,Kerala Blasters,Adrián Nicolás Luna Retamar,34,6.0,12.0,15,35.29,93,32.9
3895210,Borussia Mönchengladbach,Julian Weigl,34,4.0,5.0,0,14.71,92,33.26
3837918,Rennes,Arnaud Kalimuendo Muinga,34,5.0,3.0,16,8.82,76,40.26
