match_id,team,player,tackles,interceptions,pressures,blocks,clearances,ball_recoveries,fouls_committed,duels_won,total_duels,defensive_third_actions,middle_third_actions,attacking_third_actions,high_turnovers,total_defensive_actions,duel_win_pct,pressure_pct,tackle_interception_pct,high_turnover_pct,attacking_third_pct,defensive_profile
3837928,Lyon,Bradley Barcola,0.0,0.0,57.0,6.0,0.0,2.0,3.0,0.0,3.0,15.0,38.0,18.0,0.0,63.0,0.0,90.48,0.0,0.0,25.35,Balanced Defender
3837954,Angers,Himad Abdelli,0.0,3.0,51.0,3.0,1.0,9.0,1.0,3.0,5.0,16.0,39.0,18.0,7.0,57.0,60.0,89.47,5.26,12.28,24.66,Balanced Defender
3837896,Nantes,Samuel Moutoussamy,0.0,0.0,52.0,5.0,1.0,6.0,0.0,0.0,5.0,43.0,21.0,5.0,1.0,57.0,0.0,91.23,0.0,1.75,7.25,Balanced Defender
3802839,Nantes,Andrei Girotto,0.0,4.0,47.0,3.0,5.0,5.0,5.0,1.0,7.0,24.0,38.0,14.0,0.0,54.0,14.29,87.04,7.41,0.0,18.42,Balanced Defender
3837928,Lyon,Johann Lepenant,0.0,0.0,51.0,1.0,2.0,4.0,3.0,0.0,2.0,31.0,22.0,10.0,1.0,52.0,0.0,98.08,0.0,1.92,15.87,Balanced Defender
3802983,Paris Saint-Germain,Idrissa Gana Gueye,0.0,5.0,45.0,1.0,0.0,3.0,1.0,1.0,3.0,12.0,37.0,9.0,1.0,51.0,33.33,88.24,9.8,1.96,15.52,Balanced Defender
3837902,Stade Brestois,Hugo Magnetti,0.0,0.0,47.0,3.0,0.0,4.0,1.0,0.0,2.0,19.0,27.0,11.0,1.0,50.0,0.0,94.0,0.0,2.0,19.3,Balanced Defender
3837987,AC Ajaccio,Vincent Marchetti,0.0,0.0,46.0,4.0,3.0,6.0,2.0,1.0,3.0,44.0,18.0,2.0,1.0,50.0,33.33,92.0,0.0,2.0,3.12,Balanced Defender
3837885,Paris Saint-Germain,Fabián Ruiz Peña,0.0,1.0,45.0,4.0,3.0,3.0,4.0,2.0,10.0,23.0,35.0,12.0,0.0,50.0,20.0,90.0,2.0,0.0,17.14,Balanced Defender
3802795,Paris Saint-Germain,Marco Verratti,0.0,2.0,42.0,6.0,0.0,5.0,5.0,1.0,4.0,12.0,33.0,19.0,3.0,50.0,25.0,84.0,4.0,6.0,29.69,Balanced Defender
3813267,East Bengal,Sourav Das,0.0,4.0,44.0,2.0,2.0,7.0,3.0,2.0,10.0,18.0,46.0,8.0,3.0,50.0,20.0,88.0,8.0,6.0,11.11,Balanced Defender
3802983,Paris Saint-Germain,Marco Verratti,0.0,0.0,48.0,2.0,1.0,1.0,5.0,1.0,2.0,13.0,37.0,9.0,0.0,50.0,50.0,96.0,0.0,0.0,15.25,Balanced Defender
