match_id,team,counter_attacks,avg_distance_gained,avg_time_elapsed,avg_speed_units_per_sec
3802643,Strasbourg,34,17.63,5.09,3.84
3802643,Paris Saint-Germain,30,13.23,4.6,3.17
3802665,Paris Saint-Germain,25,13.35,5.37,3.39
3802665,Montpellier,21,15.39,5.28,3.23
3802676,Lens,26,11.0,4.43,3.12
3802676,Paris Saint-Germain,27,12.97,4.51,3.07
3802683,Paris Saint-Germain,27,14.2,4.69,3.49
3802683,AS Monaco,33,15.02,4.45,3.45
3802685,Lens,28,17.76,4.4,4.52
3802685,Paris Saint-Germain,23,17.06,4.41,3.94
3802690,Lorient,25,18.54,4.42,3.95
3802690,Paris Saint-Germain,27,15.02,5.46,2.85
3802696,Stade de Reims,39,12.22,4.78,2.7
3802696,Paris Saint-Germain,28,11.33,5.06,2.41
3802699,Lille,26,15.82,4.73,3.24
3802699,Paris Saint-Germain,25,17.24,5.53,3.09
3802709,Paris Saint-Germain,28,19.98,5.2,4.03
3802709,Saint-Étienne,30,15.16,4.32,3.44
3802752,Lyon,22,12.8,5.47,3.07
3802752,Paris Saint-Germain,26,14.45,5.13,2.83
3802793,Paris Saint-Germain,41,15.8,5.0,3.19
3802793,OGC Nice,12,11.66,4.6,3.04
3802795,Rennes,21,15.09,4.53,3.81
3802795,Paris Saint-Germain,26,14.99,5.18,2.87
3802802,Stade de Reims,34,16.28,4.63,3.86
3802802,Paris Saint-Germain,28,12.56,4.62,3.13
3802805,OGC Nice,29,16.57,5.16,3.55
3802805,Paris Saint-Germain,23,12.44,5.51,2.69
3802809,Rennes,25,14.25,5.11,2.88
3802809,Paris Saint-Germain,32,14.14,5.04,2.85
3802818,Lorient,24,11.95,3.81,3.85
3802818,Paris Saint-Germain,25,13.69,4.79,3.23
3802837,Saint-Étienne,26,15.05,5.56,2.94
3802837,Paris Saint-Germain,25,11.14,4.61,2.56
3802839,Paris Saint-Germain,31,16.8,5.32,3.81
3802839,Nantes,36,15.52,4.63,3.39
3802902,Paris Saint-Germain,28,18.74,4.94,3.77
3802902,Marseille,30,15.33,4.75,3.32
3802904,Paris Saint-Germain,33,13.57,5.0,2.91
3802904,Bordeaux,40,11.4,4.37,2.83
3802907,Lille,27,15.9,4.98,3.42
3802907,Paris Saint-Germain,18,14.2,4.85,3.18
3802930,Paris Saint-Germain,23,16.63,4.72,3.67
3802930,Troyes,26,14.47,4.56,3.01
3802948,Paris Saint-Germain,28,16.37,4.72,3.81
3802948,Metz,21,14.15,4.2,3.47
3802983,Paris Saint-Germain,17,14.45,5.17,3.17
3802983,Marseille,28,11.31,4.94,2.75
3802984,Nantes,24,18.75,5.09,3.63
3802984,Paris Saint-Germain,28,17.67,4.67,3.54
3803000,Paris Saint-Germain,20,15.8,4.84,3.47
3803000,Clermont Foot,26,14.82,4.72,3.47
3813264,ATK Mohun Bagan,34,16.14,4.16,4.13
3813264,Hyderabad,33,13.14,4.25,3.62
3813265,East Bengal,27,13.51,4.17,4.02
3813265,Mumbai City,37,14.56,4.73,3.25
3813266,Chennaiyin,30,15.23,4.23,3.71
3813266,Goa,34,12.17,4.33,3.35
3813267,East Bengal,16,12.7,3.88,7.18
3813267,Goa,32,10.94,4.94,2.53
3813268,Jamshedpur,28,15.72,4.41,3.72
3813268,ATK Mohun Bagan,34,12.64,5.08,2.69
3813269,Jamshedpur,30,14.76,4.23,3.59
3813269,Odisha,33,17.22,5.15,3.5
3813270,Mumbai City,30,15.28,4.43,3.62
3813270,Goa,28,13.81,4.61,3.17
3813271,Kerala Blasters,23,17.07,4.71,3.76
3813271,Goa,40,16.0,4.88,3.44
3813272,Hyderabad,26,19.46,4.74,4.86
3813272,Goa,40,15.37,4.6,3.67
3813273,Odisha,22,19.52,4.37,4.69
3813273,Mumbai City,20,15.73,5.58,2.89
3813274,Bengaluru,28,13.47,4.28,3.53
3813274,Mumbai City,31,14.51,4.49,3.23
3813275,Jamshedpur,44,17.91,4.34,3.95
3813275,Kerala Blasters,35,17.41,4.89,3.7
3813276,NorthEast United,31,18.5,4.88,3.6
3813276,East Bengal,32,15.17,4.52,3.26
3813277,Hyderabad,18,10.2,3.66,5.89
3813277,Mumbai City,34,14.27,4.72,3.86
3813278,Chennaiyin,35,16.94,5.02,6.97
3813278,Kerala Blasters,29,14.87,4.35,3.88
3813279,Odisha,30,17.95,5.08,3.65
3813279,Chennaiyin,32,13.4,4.41,3.27
3813280,East Bengal,28,14.94,4.42,3.37
3813280,Chennaiyin,31,13.49,4.95,2.94
3813281,ATK Mohun Bagan,30,16.42,4.79,3.95
3813281,Chennaiyin,34,13.98,4.75,3.64
3813282,Mumbai City,40,16.6,4.07,3.84
3813282,Kerala Blasters,34,13.83,4.22,3.46
3813283,Bengaluru,25,14.02,4.6,3.41
3813283,Chennaiyin,28,11.99,4.54,2.46
3813284,Jamshedpur,27,20.42,5.47,4.4
3813284,Mumbai City,29,12.43,4.18,3.02
3813285,Bengaluru,21,17.36,4.77,5.07
3813285,Goa,23,16.47,4.1,4.04
3813286,Chennaiyin,35,15.52,4.29,3.5
3813286,Mumbai City,28,15.45,5.45,3.07
3813287,ATK Mohun Bagan,20,16.16,3.89,8.9
3813287,Bengaluru,27,16.14,4.11,4.45
3813288,Jamshedpur,24,18.59,4.26,6.65
3813288,Hyderabad,29,18.11,5.12,4.22
3813289,Bengaluru,31,16.34,5.05,3.49
3813289,Odisha,33,13.46,4.67,3.27
3813290,Hyderabad,25,13.49,4.94,4.91
3813290,NorthEast United,30,13.56,4.74,3.45
3813291,ATK Mohun Bagan,31,17.97,4.37,4.72
3813291,East Bengal,26,14.45,5.1,3.09
3813292,Kerala Blasters,32,16.08,4.53,4.06
3813292,Bengaluru,26,12.89,5.0,2.75
3813293,East Bengal,19,14.16,4.1,3.88
3813293,Bengaluru,28,13.84,5.04,2.9
3813294,Chennaiyin,33,15.3,4.88,3.45
3813294,NorthEast United,33,14.05,5.07,3.04
3813295,Odisha,28,14.24,4.7,4.12
3813295,Hyderabad,31,12.31,4.67,2.83
3813296,NorthEast United,33,17.77,4.65,3.9
3813296,Kerala Blasters,21,14.58,4.41,3.88
3813297,Bengaluru,22,18.48,5.28,3.63
