match_id,team,opponent_passes,defensive_actions,ppda
3802643,Paris Saint-Germain,328,19,17.26
3802643,Strasbourg,398,32,12.44
3802665,Montpellier,514,24,21.42
3802665,Paris Saint-Germain,181,25,7.24
3802676,Lens,555,19,29.21
3802676,Paris Saint-Germain,259,36,7.19
3802683,AS Monaco,293,46,6.37
3802683,Paris Saint-Germain,312,21,14.86
3802685,Lens,446,23,19.39
3802685,Paris Saint-Germain,299,24,12.46
3802690,Lorient,721,20,36.05
3802690,Paris Saint-Germain,154,26,5.92
3802696,Paris Saint-Germain,224,33,6.79
3802696,Stade de Reims,502,33,15.21
3802699,Lille,430,23,18.7
3802699,Paris Saint-Germain,266,24,11.08
3802709,Paris Saint-Germain,262,21,12.48
3802709,Saint-Étienne,424,28,15.14
3802752,Lyon,347,26,13.35
3802752,Paris Saint-Germain,275,29,9.48
3802793,OGC Nice,607,32,18.97
3802793,Paris Saint-Germain,180,27,6.67
3802795,Paris Saint-Germain,234,34,6.88
3802795,Rennes,517,27,19.15
3802802,Paris Saint-Germain,224,33,6.79
3802802,Stade de Reims,631,29,21.76
3802805,OGC Nice,482,28,17.21
3802805,Paris Saint-Germain,285,35,8.14
3802809,Paris Saint-Germain,222,17,13.06
3802809,Rennes,459,26,17.65
3802818,Lorient,527,26,20.27
3802818,Paris Saint-Germain,236,29,8.14
3802837,Paris Saint-Germain,151,31,4.87
3802837,Saint-Étienne,573,13,44.08
3802839,Nantes,483,37,13.05
3802839,Paris Saint-Germain,190,19,10.0
3802902,Marseille,364,25,14.56
3802902,Paris Saint-Germain,326,19,17.16
3802904,Bordeaux,468,24,19.5
3802904,Paris Saint-Germain,233,27,8.63
3802907,Lille,382,34,11.24
3802907,Paris Saint-Germain,295,19,15.53
3802930,Paris Saint-Germain,228,26,8.77
3802930,Troyes,503,28,17.96
3802948,Metz,533,30,17.77
3802948,Paris Saint-Germain,148,28,5.29
3802983,Marseille,306,36,8.5
3802983,Paris Saint-Germain,391,38,10.29
3802984,Nantes,535,26,20.58
3802984,Paris Saint-Germain,285,14,20.36
3803000,Clermont Foot,491,13,37.77
3803000,Paris Saint-Germain,224,20,11.2
3813264,ATK Mohun Bagan,238,27,8.81
3813264,Hyderabad,238,53,4.49
3813265,East Bengal,361,41,8.8
3813265,Mumbai City,128,44,2.91
3813266,Chennaiyin,405,44,9.2
3813266,Goa,128,32,4.0
3813267,East Bengal,386,48,8.04
3813267,Goa,135,36,3.75
3813268,ATK Mohun Bagan,155,31,5.0
3813268,Jamshedpur,297,29,10.24
3813269,Jamshedpur,290,35,8.29
3813269,Odisha,201,22,9.14
3813270,Goa,169,28,6.04
3813270,Mumbai City,247,32,7.72
3813271,Goa,184,34,5.41
3813271,Kerala Blasters,344,54,6.37
3813272,Goa,185,46,4.02
3813272,Hyderabad,267,56,4.77
3813273,Mumbai City,175,26,6.73
3813273,Odisha,302,21,14.38
3813274,Bengaluru,168,51,3.29
3813274,Mumbai City,202,34,5.94
3813275,Jamshedpur,211,54,3.91
3813275,Kerala Blasters,239,38,6.29
3813276,East Bengal,266,36,7.39
3813276,NorthEast United,185,49,3.78
3813277,Hyderabad,273,43,6.35
3813277,Mumbai City,158,43,3.67
3813278,Chennaiyin,262,28,9.36
3813278,Kerala Blasters,237,42,5.64
3813279,Chennaiyin,233,33,7.06
3813279,Odisha,308,36,8.56
3813280,Chennaiyin,207,40,5.18
3813280,East Bengal,311,37,8.41
3813281,ATK Mohun Bagan,304,31,9.81
3813281,Chennaiyin,218,39,5.59
3813282,Kerala Blasters,227,52,4.37
3813282,Mumbai City,180,39,4.62
3813283,Bengaluru,256,45,5.69
3813283,Chennaiyin,250,37,6.76
3813284,Jamshedpur,198,39,5.08
3813284,Mumbai City,241,32,7.53
3813285,Bengaluru,178,43,4.14
3813285,Goa,208,27,7.7
3813286,Chennaiyin,456,29,15.72
3813286,Mumbai City,157,28,5.61
3813287,ATK Mohun Bagan,129,37,3.49
3813287,Bengaluru,175,51,3.43
3813288,Hyderabad,159,33,4.82
3813288,Jamshedpur,209,48,4.35
3813289,Bengaluru,138,38,3.63
3813289,Odisha,355,31,11.45
3813290,Hyderabad,214,34,6.29
3813290,NorthEast United,273,34,8.03
3813291,ATK Mohun Bagan,279,35,7.97
3813291,East Bengal,234,33,7.09
3813292,Bengaluru,196,36,5.44
3813292,Kerala Blasters,280,37,7.57
3813293,Bengaluru,126,23,5.48
3813293,East Bengal,367,40,9.18
3813294,Chennaiyin,255,41,6.22
3813294,NorthEast United,221,40,5.53
3813295,Hyderabad,190,42,4.52
3813295,Odisha,282,29,9.72
3813296,Kerala Blasters,191,35,5.46
3813296,NorthEast United,266,48,5.54
3813297,Bengaluru,132,32,4.13
3813297,NorthEast United,318,38,8.37
3813298,East Bengal,297,39,7.62
3813298,Jamshedpur,145,41,3.54
3813299,Bengaluru,198,48,4.13
3813299,Hyderabad,238,54,4.41
3813300,Kerala Blasters,252,30,8.4
3813300,Odisha,274,27,10.15
3813301,NorthEast United,273,47,5.81
3813301,Odisha,198,20,9.9
3813302,Jamshedpur,262,53,4.94
3813302,NorthEast United,267,20,13.35
3813303,ATK Mohun Bagan,311,41,7.59
3813303,Goa,227,32,7.09
3813304,East Bengal,400,37,10.81
3813304,Hyderabad,120,44,2.73
3813305,Hyderabad,179,47,3.81
3813305,Kerala Blasters,263,53,4.96
3813306,ATK Mohun Bagan,215,34,6.32
3813306,NorthEast United,272,58,4.69
3813307,Bengaluru,176,21,8.38
3813307,Jamshedpur,164,34,4.82
3813308,Goa,253,35,7.23
3813308,Odisha,353,37,9.54
