match_id,team,possession_pct,total_xg,epr,style
3802643,Paris Saint-Germain,56.32,1.883982852101326,29.89,Balanced
3802643,Strasbourg,43.68,1.4863644214347005,29.39,Balanced
3802665,Paris Saint-Germain,69.48,2.7566772024147213,25.2,Balanced
3802665,Montpellier,30.52,0.3563691498711705,85.64,Patient Build-up
3802676,Paris Saint-Germain,65.25,1.9679632429033518,33.16,Balanced
3802676,Lens,34.75,0.8457759548909962,41.09,Patient Build-up
3802683,Paris Saint-Germain,52.65,1.462636973708868,36.0,Balanced
3802683,AS Monaco,47.35,0.6935912519693375,68.27,Patient Build-up
3802685,Paris Saint-Germain,63.68,1.6981223374605179,37.5,Balanced
3802685,Lens,36.32,1.0683183707296848,34.0,Balanced
3802690,Paris Saint-Germain,76.6,2.0402220161631703,37.54,Balanced
3802690,Lorient,23.4,1.2862675366923213,18.19,Clinical/Direct
3802696,Paris Saint-Germain,66.0,1.0116149131208658,65.24,Patient Build-up
3802696,Stade de Reims,34.0,0.5733577897772193,59.3,Patient Build-up
3802699,Paris Saint-Germain,59.41,2.410041768103838,24.65,Balanced
3802699,Lille,40.59,1.7374554350972176,23.36,Balanced
3802709,Paris Saint-Germain,62.57,2.0431991182267666,30.62,Balanced
3802709,Saint-Étienne,37.43,0.8640110827982426,43.32,Patient Build-up
3802752,Paris Saint-Germain,53.5,2.0064094038680196,26.66,Balanced
3802752,Lyon,46.5,0.6762198759242892,68.76,Patient Build-up
3802793,Paris Saint-Germain,69.86,1.7921729600057006,38.98,Balanced
3802793,OGC Nice,30.14,0.9022776056081057,33.4,Balanced
3802795,Paris Saint-Germain,63.02,0.9943207325413823,63.38,Patient Build-up
3802795,Rennes,36.98,0.7518168343231082,49.19,Patient Build-up
3802802,Paris Saint-Germain,68.06,2.533389975782484,26.87,Balanced
3802802,Stade de Reims,31.94,0.5193836055696011,61.5,Patient Build-up
3802805,Paris Saint-Germain,57.51,0.5226310482248664,110.04,Patient Build-up
3802805,OGC Nice,42.49,0.6339590232819319,67.02,Patient Build-up
3802809,Paris Saint-Germain,66.43,1.3218696052208543,50.25,Patient Build-up
3802809,Rennes,33.57,0.7537271101027727,44.54,Patient Build-up
3802818,Paris Saint-Germain,66.08,1.8679088419303298,35.38,Balanced
3802818,Lorient,33.92,0.7037085313349962,48.2,Patient Build-up
3802837,Paris Saint-Germain,71.24,2.923183389008045,24.37,Balanced
3802837,Saint-Étienne,28.76,0.5320462710224092,54.06,Patient Build-up
3802839,Paris Saint-Germain,70.95,3.663115445524454,19.37,Clinical/Direct
3802839,Nantes,29.05,2.3669375088065863,12.27,Clinical/Direct
3802902,Paris Saint-Germain,51.71,1.0542981699109077,49.05,Patient Build-up
3802902,Marseille,48.29,0.9411382675170898,51.31,Patient Build-up
3802904,Paris Saint-Germain,57.16,1.5777517892420292,36.23,Balanced
3802904,Bordeaux,42.84,0.6438692528754473,66.54,Patient Build-up
3802907,Paris Saint-Germain,58.38,2.932692650705576,19.91,Clinical/Direct
3802907,Lille,41.62,1.0228648465126753,40.69,Patient Build-up
3802930,Paris Saint-Germain,62.75,2.223207548260689,28.22,Balanced
3802930,Troyes,37.25,1.3226006189361215,28.16,Balanced
3802948,Paris Saint-Germain,74.74,4.766809864435345,15.68,Clinical/Direct
3802948,Metz,25.26,0.4775967076420784,52.89,Patient Build-up
3802983,Marseille,57.07,0.813491391018033,70.15,Patient Build-up
3802983,Paris Saint-Germain,42.93,1.2930470146238804,33.2,Balanced
3802984,Paris Saint-Germain,66.15,1.7016504146158695,38.87,Balanced
3802984,Nantes,33.85,2.160374435596168,15.67,Clinical/Direct
3803000,Paris Saint-Germain,63.49,3.507722981274128,18.1,Clinical/Direct
3803000,Clermont Foot,36.51,1.2051200307905674,30.3,Balanced
3813264,ATK Mohun Bagan,53.01,0.7275608382187784,72.86,Patient Build-up
3813264,Hyderabad,46.99,1.3953872062265873,33.68,Balanced
3813265,Mumbai City,70.13,0.5565951326861978,126.0,Patient Build-up
3813265,East Bengal,29.87,0.3829134404659271,78.01,Patient Build-up
3813266,Goa,67.06,1.42664135992527,47.01,Patient Build-up
3813266,Chennaiyin,32.94,0.14074826333671808,234.03,Patient Build-up
3813267,Goa,69.24,2.991310828831047,23.15,Balanced
3813267,East Bengal,30.76,0.6501293457113206,47.31,Patient Build-up
3813268,ATK Mohun Bagan,60.89,1.347025252878666,45.2,Patient Build-up
3813268,Jamshedpur,39.11,0.7734670080244541,50.56,Patient Build-up
3813269,Odisha,59.36,0.57130934484303,103.9,Patient Build-up
3813269,Jamshedpur,40.64,1.509152383543551,26.93,Balanced
3813270,Goa,56.99,0.34925980120897293,163.17,Patient Build-up
3813270,Mumbai City,43.01,2.0075733456760645,21.42,Balanced
3813271,Goa,63.66,1.0124208731867839,62.88,Patient Build-up
