team,player,total_mins,progressive_passes,progressive_carries,progressive_passes_received,progressive_passes_p90,progressive_carries_p90,progressive_passes_received_p90,total_progressive_actions_p90,progression_type
Angers,Sofiane Boufal,31.0,2.0,8.0,6.0,5.81,23.23,17.42,46.46,Complete Progressor
AC Ajaccio,Romain Hamouma,35.0,2.0,5.0,7.0,5.14,12.86,18.0,36.0,Complete Progressor
Angers,Sada Thioub,36.0,2.0,7.0,5.0,5.0,17.5,12.5,35.0,Complete Progressor
Marseille,Dimitri Payet,198.0,23.0,23.0,22.0,10.45,10.45,10.0,30.9,Complete Progressor
Saint-Étienne,Romain Hamouma,35.0,3.0,4.0,5.0,7.71,10.29,12.86,30.86,Complete Progressor
Angers,Farid El Melali,31.0,1.0,4.0,4.0,2.9,11.61,11.61,26.119999999999997,Ball Carrier
Lille,Alan Virginius,39.0,1.0,4.0,6.0,2.31,9.23,13.85,25.39,Ball Carrier
ATK Mohun Bagan,Michael Soosairaj,36.0,2.0,3.0,5.0,5.0,7.5,12.5,25.0,Complete Progressor
Lyon,Karl Brillant Toko Ekambi,148.0,4.0,17.0,20.0,2.43,10.34,12.16,24.93,Ball Carrier
Bayern Munich,Serge Gnabry,69.0,5.0,5.0,9.0,6.52,6.52,11.74,24.78,Complete Progressor
AS Monaco,Maghnes Akliouche,38.0,3.0,2.0,5.0,7.11,4.74,11.84,23.69,Complete Progressor
Lorient,Romain Faivre,93.0,5.0,14.0,5.0,4.84,13.55,4.84,23.23,Complete Progressor
Hyderabad,Abdul Rabeeh,62.0,1.0,7.0,8.0,1.45,10.16,11.61,23.22,Ball Carrier
Bayern Munich,Thomas Müller,90.0,7.0,5.0,11.0,7.0,5.0,11.0,23.0,Complete Progressor
Auxerre,Hamza Sakhi,83.0,15.0,4.0,2.0,16.27,4.34,2.17,22.78,Complete Progressor
Paris Saint-Germain,Kylian Mbappé Lottin,4423.0,137.0,438.0,541.0,2.79,8.91,11.01,22.71,Ball Carrier
Bayer Leverkusen,Florian Wirtz,2409.0,118.0,208.0,271.0,4.41,7.77,10.12,22.299999999999997,Complete Progressor
Stade de Reims,Ilan Kebbal,74.0,5.0,9.0,4.0,6.08,10.95,4.86,21.89,Complete Progressor
