match_id,team,progressive_passes,progressive_carries,progressive_passes_received,progressive_actions,progressive_carry_pct,progressive_pass_pct
3802643,Paris Saint-Germain,26.0,25.0,26.0,77.0,32.47,33.77
3802643,Strasbourg,37.0,28.0,37.0,102.0,27.45,36.27
3802665,Montpellier,21.0,23.0,21.0,65.0,35.38,32.31
3802665,Paris Saint-Germain,40.0,43.0,40.0,123.0,34.96,32.52
3802676,Lens,15.0,10.0,15.0,40.0,25.0,37.5
3802676,Paris Saint-Germain,33.0,35.0,33.0,101.0,34.65,32.67
3802683,AS Monaco,27.0,21.0,27.0,75.0,28.0,36.0
3802683,Paris Saint-Germain,24.0,22.0,24.0,70.0,31.43,34.29
3802685,Lens,25.0,30.0,25.0,80.0,37.5,31.25
3802685,Paris Saint-Germain,39.0,30.0,39.0,108.0,27.78,36.11
3802690,Lorient,20.0,21.0,20.0,61.0,34.43,32.79
3802690,Paris Saint-Germain,56.0,29.0,56.0,141.0,20.57,39.72
3802696,Paris Saint-Germain,34.0,24.0,34.0,92.0,26.09,36.96
3802696,Stade de Reims,23.0,27.0,23.0,73.0,36.99,31.51
3802699,Lille,25.0,18.0,25.0,68.0,26.47,36.76
3802699,Paris Saint-Germain,47.0,36.0,47.0,130.0,27.69,36.15
3802709,Paris Saint-Germain,50.0,28.0,50.0,128.0,21.88,39.06
3802709,Saint-Étienne,30.0,25.0,30.0,85.0,29.41,35.29
3802752,Lyon,23.0,27.0,23.0,73.0,36.99,31.51
3802752,Paris Saint-Germain,28.0,29.0,28.0,85.0,34.12,32.94
3802793,OGC Nice,13.0,16.0,13.0,42.0,38.1,30.95
3802793,Paris Saint-Germain,35.0,29.0,35.0,99.0,29.29,35.35
3802795,Paris Saint-Germain,62.0,46.0,62.0,170.0,27.06,36.47
3802795,Rennes,23.0,21.0,23.0,67.0,31.34,34.33
3802802,Paris Saint-Germain,60.0,39.0,60.0,159.0,24.53,37.74
3802802,Stade de Reims,31.0,23.0,31.0,85.0,27.06,36.47
3802805,OGC Nice,43.0,39.0,43.0,125.0,31.2,34.4
3802805,Paris Saint-Germain,48.0,32.0,48.0,128.0,25.0,37.5
3802809,Paris Saint-Germain,32.0,32.0,32.0,96.0,33.33,33.33
3802809,Rennes,25.0,29.0,25.0,79.0,36.71,31.65
3802818,Lorient,16.0,13.0,16.0,45.0,28.89,35.56
3802818,Paris Saint-Germain,53.0,33.0,53.0,139.0,23.74,38.13
3802837,Paris Saint-Germain,55.0,32.0,55.0,142.0,22.54,38.73
3802837,Saint-Étienne,8.0,12.0,8.0,28.0,42.86,28.57
3802839,Nantes,22.0,29.0,22.0,73.0,39.73,30.14
3802839,Paris Saint-Germain,40.0,34.0,40.0,114.0,29.82,35.09
3802902,Marseille,42.0,32.0,42.0,116.0,27.59,36.21
3802902,Paris Saint-Germain,30.0,24.0,30.0,84.0,28.57,35.71
3802904,Bordeaux,23.0,27.0,23.0,73.0,36.99,31.51
3802904,Paris Saint-Germain,38.0,30.0,38.0,106.0,28.3,35.85
3802907,Lille,19.0,29.0,19.0,67.0,43.28,28.36
3802907,Paris Saint-Germain,31.0,33.0,31.0,95.0,34.74,32.63
3802930,Paris Saint-Germain,44.0,30.0,44.0,118.0,25.42,37.29
3802930,Troyes,13.0,14.0,13.0,40.0,35.0,32.5
3802948,Metz,11.0,13.0,11.0,35.0,37.14,31.43
3802948,Paris Saint-Germain,55.0,33.0,55.0,143.0,23.08,38.46
3802983,Marseille,29.0,27.0,29.0,85.0,31.76,34.12
3802983,Paris Saint-Germain,18.0,14.0,18.0,50.0,28.0,36.0
3802984,Nantes,31.0,22.0,31.0,84.0,26.19,36.9
3802984,Paris Saint-Germain,58.0,37.0,58.0,153.0,24.18,37.91
3803000,Clermont Foot,14.0,9.0,14.0,37.0,24.32,37.84
3803000,Paris Saint-Germain,39.0,31.0,39.0,109.0,28.44,35.78
3813264,ATK Mohun Bagan,23.0,25.0,23.0,71.0,35.21,32.39
3813264,Hyderabad,23.0,15.0,23.0,61.0,24.59,37.7
3813265,East Bengal,8.0,12.0,8.0,28.0,42.86,28.57
3813265,Mumbai City,47.0,17.0,47.0,111.0,15.32,42.34
