player,team,matches,shots,xg,goals,goals_minus_xg
Kylian Mbappé Lottin,Paris Saint-Germain,52,222,38.52,49.0,10.48
Bartholomew Owogbalor Ogbeche,Hyderabad,20,66,8.44,18.0,9.56
Neymar da Silva Santos Junior,Paris Saint-Germain,31,76,17.32,23.0,5.68
Adrián Nicolás Luna Retamar,Kerala Blasters,18,30,1.0,6.0,5.0
Greg Stewart,Jamshedpur,18,62,6.1,11.0,4.9
Alejandro Grimaldo García,Bayer Leverkusen,30,71,5.21,10.0,4.79
Darren Sidoel,East Bengal,6,7,0.37,3.0,2.63
Florian Wirtz,Bayer Leverkusen,28,71,8.47,11.0,2.53
João Victor de Albuquerque Bruno,Hyderabad,18,26,3.49,6.0,2.51
Sahal Abdul Samad,Kerala Blasters,15,24,3.55,6.0,2.45
Achraf Hakimi Mouh,Paris Saint-Germain,21,25,3.58,6.0,2.42
Ariday Cabrera Suárez,Odisha,15,37,2.65,5.0,2.35
Jorge Ortiz Mendoza,Goa,14,60,5.67,8.0,2.33
Robert Andrich,Bayer Leverkusen,11,23,1.7,4.0,2.3
Hugo Adnan Boumous,ATK Mohun Bagan,12,22,2.77,5.0,2.23
Josip Stanišić,Bayer Leverkusen,7,10,0.79,3.0,2.21
Jonathan Tah,Bayer Leverkusen,18,26,1.81,4.0,2.19
Deshorn Brown,NorthEast United,9,26,4.91,7.0,2.09
Carlos Soler Barragán,Paris Saint-Germain,6,8,1.01,3.0,1.99
Kiyan Nassiri Giri,ATK Mohun Bagan,5,8,1.03,3.0,1.97
Bipin Singh Thounajam,Mumbai City,18,35,4.1,6.0,1.9
Cleiton Augusto Oliveira Silva,Bengaluru,18,49,7.12,9.0,1.88
Daniel Chima Chukwu,Jamshedpur,10,25,5.2,7.0,1.8
Serigne Mourtada Fall,Mumbai City,10,15,1.26,3.0,1.74
Amir Derviševič,East Bengal,5,8,0.31,2.0,1.69
Danish Farooq Bhat,Bengaluru,8,15,1.38,3.0,1.62
Javier Siverio Toro,Hyderabad,15,38,5.41,7.0,1.59
Ygor de Oliveira Ferreira,Mumbai City,11,19,1.44,3.0,1.56
Mohammed Irshad,NorthEast United,7,12,0.44,2.0,1.56
Patrik Schick,Bayer Leverkusen,16,40,5.45,7.0,1.55
Jonathas Cristian de Jesus,Odisha,14,34,6.45,8.0,1.55
Igor Angulo Albóniga,Mumbai City,18,51,8.53,10.0,1.47
Mama Samba Baldé,Troyes,2,6,0.54,2.0,1.46
Denis Bouanga,Saint-Étienne,2,6,0.54,2.0,1.46
Liston Colaco,ATK Mohun Bagan,21,84,6.54,8.0,1.46
Jerry Mawihmingthanga,Odisha,12,22,1.55,3.0,1.45
Francisco Javier Hernández González,Odisha,18,49,4.57,6.0,1.43
Granit Xhaka,Bayer Leverkusen,25,44,1.57,3.0,1.43
Vladimir Koman Jr.,Chennaiyin,11,20,1.58,3.0,1.42
Joel Joseph Chianese,Hyderabad,10,15,2.59,4.0,1.41
Peter Hartley,Jamshedpur,10,13,1.63,3.0,1.37
Ahmed Jahouh,Mumbai City,12,23,1.65,3.0,1.35
Exequiel Alejandro Palacios,Bayer Leverkusen,11,21,2.69,4.0,1.31
Thongkhosiem Haokip,East Bengal,6,8,0.71,2.0,1.29
Héctor Rodas Ramírez,Odisha,8,10,0.73,2.0,1.27
Akash Mishra,Hyderabad,10,12,0.75,2.0,1.25
Nathan Tella,Bayer Leverkusen,11,21,3.76,5.0,1.24
Diego Maurício Machado de Brito,Mumbai City,5,6,1.77,3.0,1.23
Ritwik Kumar Das,Jamshedpur,11,21,2.98,4.0,1.02
Antonio Perošević,East Bengal,14,51,3.02,4.0,0.98
Danilo Luís Hélio Pereira,Paris Saint-Germain,19,30,4.05,5.0,0.95
Kevin Gameiro,Strasbourg,2,6,1.06,2.0,0.94
Alberto Noguera Ripoll,Goa,12,22,2.06,3.0,0.94
Vincy Barretto,Kerala Blasters,8,9,1.09,2.0,0.91
Amine Adli,Bayer Leverkusen,16,27,3.09,4.0,0.91
Chris Führich,VfB Stuttgart,2,6,1.1,2.0,0.9
Eduardo García Martín,Hyderabad,8,18,1.11,2.0,0.89
Udanta Kumam Singh,Bengaluru,8,11,2.12,3.0,0.88
Seko Fofana,Lens,2,6,0.16,1.0,0.84
Renato Júnior Luz Sanches,Paris Saint-Germain,9,14,1.17,2.0,0.83
Alan Henrique Costa,Bengaluru,7,11,1.22,2.0,0.78
Laldanmawia Ralte,NorthEast United,6,10,3.22,4.0,0.78
Leandro Daniel Paredes,Paris Saint-Germain,5,6,0.23,1.0,0.77
Mashoor Shereef Thangalakath,NorthEast United,4,5,0.23,1.0,0.77
Paul Ramfangzauva,Odisha,6,7,0.24,1.0,0.76
Sahil Tavora,Hyderabad,7,8,0.25,1.0,0.75
Branco van den Boomen,Toulouse,2,7,0.26,1.0,0.74
Marcos Aoás Corrêa,Paris Saint-Germain,21,30,4.26,5.0,0.74
Naorem Roshan Singh,Bengaluru,9,13,0.28,1.0,0.72
Roy Krishna,ATK Mohun Bagan,12,37,6.28,7.0,0.72
Muhammad Ashique Kuruniyan,Bengaluru,9,12,0.32,1.0,0.68
Ignatius Kpene Ganago,Nantes,2,5,0.33,1.0,0.67
Ikoma Loïs Openda,RB Leipzig,2,6,1.36,2.0,0.64
Gaëtan Laborde,Rennes,2,5,0.37,1.0,0.63
Mohammad Yasir,Hyderabad,8,13,0.39,1.0,0.61
Odilon Kossonou,Bayer Leverkusen,5,5,0.39,1.0,0.61
Prasanth Karuthadathkuni,Kerala Blasters,6,7,0.41,1.0,0.59
Ludovic Blas,Nantes,4,11,1.42,2.0,0.58
Khumanthem Ninthoinganba Meetei,Chennaiyin,6,8,0.45,1.0,0.55
Airam López Cabrera,Goa,9,25,5.46,6.0,0.54
Komal Thatal,Jamshedpur,4,10,0.49,1.0,0.51
Jonathan Bamba,Lille,3,9,1.52,2.0,0.48
Vikram Pratap Singh,Mumbai City,7,16,2.53,3.0,0.47
Ariel Borysiuk,Chennaiyin,10,22,0.53,1.0,0.47
Álvaro Vázquez García,Kerala Blasters,22,72,7.53,8.0,0.47
Prince Vinny Ibara Doniama,Bengaluru,14,35,3.55,4.0,0.45
Khassa Camara,NorthEast United,6,12,0.55,1.0,0.45
David Joel Williams,ATK Mohun Bagan,11,24,3.55,4.0,0.45
Maximilian Beier,Hoffenheim,2,6,0.56,1.0,0.44
Harmanjot Singh Khabra,Kerala Blasters,6,9,0.56,1.0,0.44
Nikhil Poojary,Hyderabad,11,14,0.56,1.0,0.44
Redeem Tlang,Odisha,3,7,0.59,1.0,0.41
Randal Kolo Muani,Nantes,2,6,1.61,2.0,0.39
Deniz Undav,VfB Stuttgart,2,9,0.63,1.0,0.37
Jorge Rolando Pereyra Díaz,Kerala Blasters,14,37,7.64,8.0,0.36
Enzo Le Fée,Lorient,3,6,0.65,1.0,0.35
Jordan Murray,Jamshedpur,14,33,3.65,4.0,0.35
Pronay Halder,Jamshedpur,5,7,0.67,1.0,0.33
Warren Zaire Emery,Paris Saint-Germain,5,7,0.68,1.0,0.32
