match_id,team,total_shots,total_xg,npxg,total_goals,np_goals,avg_npxg_per_shot
3802643,Paris Saint-Germain,14,1.884,1.884,3.0,3.0,0.135
3802643,Strasbourg,14,1.486,1.486,2.0,2.0,0.106
3802665,Paris Saint-Germain,15,2.757,1.973,4.0,3.0,0.141
3802665,Montpellier,10,0.356,0.356,0.0,0.0,0.036
3802676,Paris Saint-Germain,18,1.968,1.968,1.0,1.0,0.109
3802676,Lens,8,0.846,0.846,1.0,1.0,0.106
3802683,AS Monaco,13,0.694,0.694,0.0,0.0,0.053
3802683,Paris Saint-Germain,9,1.463,0.679,2.0,1.0,0.085
3802685,Paris Saint-Germain,13,1.698,1.698,1.0,1.0,0.131
3802685,Lens,18,1.068,1.068,1.0,1.0,0.059
3802690,Paris Saint-Germain,17,2.04,2.04,1.0,1.0,0.12
3802690,Lorient,17,1.286,1.286,1.0,1.0,0.076
3802696,Paris Saint-Germain,12,1.012,1.012,2.0,2.0,0.084
3802696,Stade de Reims,11,0.573,0.573,0.0,0.0,0.052
3802699,Paris Saint-Germain,17,2.41,2.41,2.0,2.0,0.142
3802699,Lille,11,1.737,1.737,1.0,1.0,0.158
3802709,Paris Saint-Germain,21,2.043,2.043,3.0,3.0,0.097
3802709,Saint-Étienne,13,0.864,0.864,1.0,1.0,0.066
3802752,Paris Saint-Germain,15,2.006,1.223,2.0,1.0,0.087
3802752,Lyon,12,0.676,0.676,1.0,1.0,0.056
3802793,Paris Saint-Germain,22,1.792,1.792,0.0,0.0,0.081
3802793,OGC Nice,4,0.902,0.902,0.0,0.0,0.226
3802795,Paris Saint-Germain,12,0.994,0.994,1.0,1.0,0.083
3802795,Rennes,13,0.752,0.752,0.0,0.0,0.058
3802802,Paris Saint-Germain,22,2.533,2.533,3.0,3.0,0.115
3802802,Stade de Reims,7,0.519,0.519,0.0,0.0,0.074
3802805,OGC Nice,11,0.634,0.634,1.0,1.0,0.058
3802805,Paris Saint-Germain,8,0.523,0.523,0.0,0.0,0.065
3802809,Paris Saint-Germain,13,1.322,1.322,0.0,0.0,0.102
3802809,Rennes,12,0.754,0.754,2.0,2.0,0.063
3802818,Paris Saint-Germain,15,1.868,1.868,5.0,5.0,0.125
3802818,Lorient,11,0.704,0.704,1.0,1.0,0.064
3802837,Paris Saint-Germain,15,2.923,2.923,3.0,3.0,0.195
3802837,Saint-Étienne,8,0.532,0.532,1.0,1.0,0.067
3802839,Paris Saint-Germain,16,3.663,2.88,1.0,1.0,0.192
3802839,Nantes,13,2.367,1.583,3.0,2.0,0.132
3802902,Paris Saint-Germain,10,1.054,1.054,0.0,0.0,0.105
3802902,Marseille,15,0.941,0.941,0.0,0.0,0.063
3802904,Paris Saint-Germain,12,1.578,1.578,3.0,3.0,0.131
3802904,Bordeaux,15,0.644,0.644,0.0,0.0,0.043
3802907,Paris Saint-Germain,18,2.933,2.933,5.0,5.0,0.163
3802907,Lille,10,1.023,1.023,1.0,1.0,0.102
3802930,Paris Saint-Germain,17,2.223,1.44,2.0,1.0,0.09
3802930,Troyes,10,1.323,0.539,2.0,1.0,0.06
3802948,Paris Saint-Germain,27,4.767,4.767,5.0,5.0,0.177
3802948,Metz,4,0.478,0.478,0.0,0.0,0.119
3802983,Marseille,3,0.813,0.813,1.0,1.0,0.271
3802983,Paris Saint-Germain,7,1.293,0.51,2.0,1.0,0.085
3802984,Nantes,12,2.16,2.16,1.0,1.0,0.18
3802984,Paris Saint-Germain,14,1.702,1.702,2.0,2.0,0.122
3803000,Paris Saint-Germain,17,3.508,2.724,6.0,5.0,0.17
3803000,Clermont Foot,10,1.205,1.205,1.0,1.0,0.121
3813264,Hyderabad,18,1.395,1.395,2.0,2.0,0.078
3813264,ATK Mohun Bagan,12,0.728,0.728,1.0,1.0,0.061
3813265,Mumbai City,15,0.557,0.557,0.0,0.0,0.037
3813265,East Bengal,5,0.383,0.383,0.0,0.0,0.077
3813266,Goa,17,1.427,1.427,1.0,1.0,0.084
3813266,Chennaiyin,4,0.141,0.141,0.0,0.0,0.035
3813267,Goa,18,2.991,2.208,3.0,2.0,0.13
3813267,East Bengal,10,0.65,0.65,3.0,3.0,0.065
3813268,ATK Mohun Bagan,11,1.347,1.347,1.0,1.0,0.122
3813268,Jamshedpur,13,0.773,0.773,2.0,2.0,0.059
3813269,Jamshedpur,19,1.509,1.509,4.0,4.0,0.079
3813269,Odisha,10,0.571,0.571,0.0,0.0,0.057
3813270,Mumbai City,11,2.008,1.224,3.0,2.0,0.122
3813270,Goa,8,0.349,0.349,0.0,0.0,0.044
3813271,Kerala Blasters,10,1.408,1.408,2.0,2.0,0.141
3813271,Goa,22,1.012,1.012,2.0,2.0,0.046
3813272,Goa,11,1.434,1.434,1.0,1.0,0.13
3813272,Hyderabad,19,1.424,1.424,1.0,1.0,0.075
3813273,Odisha,9,1.59,1.59,4.0,4.0,0.177
3813273,Mumbai City,16,1.165,1.165,2.0,2.0,0.073
3813274,Bengaluru,12,1.293,0.51,1.0,1.0,0.046
3813274,Mumbai City,9,1.071,0.287,3.0,2.0,0.036
