team,cluster,archetype_name
Real Madrid,1,Elite Possession
Lorient,0,Defensive Pragmatists
OGC Nice,0,Defensive Pragmatists
Southampton,2,Progressive Pressers
West Bromwich Albion,0,Defensive Pragmatists
Manchester United,2,Progressive Pressers
Eintracht Frankfurt,0,Defensive Pragmatists
AC Milan,2,Progressive Pressers
Lyon,1,Elite Possession
Atlético Madrid,2,Progressive Pressers
Angers,0,Defensive Pragmatists
Liverpool,2,Progressive Pressers
Bastia,0,Defensive Pragmatists
Crystal Palace,0,Defensive Pragmatists
Lazio,2,Progressive Pressers
Rennes,0,Defensive Pragmatists
Norwich City,0,Defensive Pragmatists
Everton,0,Defensive Pragmatists
Manchester City,2,Progressive Pressers
Saint-Étienne,2,Progressive Pressers
VfB Stuttgart,2,Progressive Pressers
Celta Vigo,2,Progressive Pressers
Inter Milan,2,Progressive Pressers
Borussia Mönchengladbach,2,Progressive Pressers
Hannover 96,0,Defensive Pragmatists
Real Betis,0,Defensive Pragmatists
Arsenal,1,Elite Possession
Rayo Vallecano,2,Progressive Pressers
Nantes,2,Progressive Pressers
AS Roma,2,Progressive Pressers
Sevilla,2,Progressive Pressers
Swansea City,0,Defensive Pragmatists
Stoke City,0,Defensive Pragmatists
Frosinone,0,Defensive Pragmatists
Lille,2,Progressive Pressers
Paris Saint-Germain,1,Elite Possession
Stade de Reims,0,Defensive Pragmatists
Bayer Leverkusen,2,Progressive Pressers
Darmstadt 98,0,Defensive Pragmatists
Sunderland,0,Defensive Pragmatists
Eibar,2,Progressive Pressers
Las Palmas,0,Defensive Pragmatists
Toulouse,2,Progressive Pressers
Udinese,0,Defensive Pragmatists
Getafe,0,Defensive Pragmatists
Hamburger SV,0,Defensive Pragmatists
Torino,0,Defensive Pragmatists
Augsburg,0,Defensive Pragmatists
RC Deportivo La Coruña,0,Defensive Pragmatists
Wolfsburg,2,Progressive Pressers
Sassuolo,2,Progressive Pressers
Genoa,0,Defensive Pragmatists
Guingamp,0,Defensive Pragmatists
Real Sociedad,2,Progressive Pressers
Hellas Verona,0,Defensive Pragmatists
Caen,0,Defensive Pragmatists
FSV Mainz 05,0,Defensive Pragmatists
Atalanta,0,Defensive Pragmatists
Fiorentina,2,Progressive Pressers
Bayern Munich,1,Elite Possession
Juventus,2,Progressive Pressers
Ingolstadt,2,Progressive Pressers
Schalke 04,0,Defensive Pragmatists
Espanyol,0,Defensive Pragmatists
FC Köln,0,Defensive Pragmatists
Empoli,0,Defensive Pragmatists
Sporting Gijón,0,Defensive Pragmatists
Borussia Dortmund,1,Elite Possession
Tottenham Hotspur,2,Progressive Pressers
Aston Villa,0,Defensive Pragmatists
Newcastle United,0,Defensive Pragmatists
Hertha Berlin,0,Defensive Pragmatists
AS Monaco,2,Progressive Pressers
Palermo,0,Defensive Pragmatists
Chelsea,2,Progressive Pressers
Marseille,2,Progressive Pressers
Valencia,0,Defensive Pragmatists
Napoli,1,Elite Possession
Athletic Club,2,Progressive Pressers
Bordeaux,2,Progressive Pressers
Werder Bremen,2,Progressive Pressers
Chievo,0,Defensive Pragmatists
Montpellier,0,Defensive Pragmatists
Hoffenheim,0,Defensive Pragmatists
Levante UD,0,Defensive Pragmatists
Málaga,2,Progressive Pressers
Sampdoria,0,Defensive Pragmatists
AFC Bournemouth,0,Defensive Pragmatists
Barcelona,1,Elite Possession
Bologna,0,Defensive Pragmatists
West Ham United,2,Progressive Pressers
Troyes,0,Defensive Pragmatists
Granada,0,Defensive Pragmatists
Carpi,0,Defensive Pragmatists
Gazélec Ajaccio,0,Defensive Pragmatists
Villarreal,0,Defensive Pragmatists
Leicester City,2,Progressive Pressers
Watford,0,Defensive Pragmatists
