player,finishing_quality,xg_volume,progressive_passes,progressive_carries,xg_chain,team_involvement,xg_buildup,network_centrality,defensive_actions,high_turnovers,pressure_volume,pressure_success,recency_factor,league_mult,finishing_quality_percentile,xg_volume_percentile,progressive_passes_percentile,progressive_carries_percentile,xg_chain_percentile,team_involvement_percentile,xg_buildup_percentile,network_centrality_percentile,defensive_actions_percentile,high_turnovers_percentile,pressure_volume_percentile,pressure_success_percentile,latest_club,position,Mobility_Intensity,Progression,Control,Final_Third_Output,overall_quality,latest_club_right,position_right
Florian Wirtz,2.0286140182917993,5.8825,6.7405,8.9245,0.24320833333333336,68.8375277777778,0.21385,20.766270270270272,33.614285714285714,4.457142857142857,32.93918918918919,26.076945945945948,1.0,1.3,97.18014705882352,96.81617647058823,94.28571428571428,98.21428571428571,77.73333333333333,95.33333333333334,82.43726235741445,85.53308823529412,97.46511627906976,98.61627906976744,97.81673306772909,66.2629482071713,Liverpool,Right Wing,96.04347609561752,78.1,70.39747242647059,94.58862188268843,86.17188797131236,Liverpool,Right Wing
Kylian Mbappé Lottin,2.867814535622826,14.142520032276398,3.54449393975918,10.905067484040542,0.2566719251363789,84.39922284094017,0.12757989501586878,17.131571522838694,25.596580825383917,2.4954411005118913,10.035067378075386,22.017024469861724,1.0,1.3,98.27205882352942,98.63602941176471,76.60714285714285,98.60714285714285,79.56666666666666,98.63333333333334,57.59315589353612,76.79779411764706,82.88372093023256,77.8953488372093,28.792828685258964,50.8804780876494,Real Madrid,Left Wing,76.05253289168905,76.24571428571429,71.5185018382353,94.10031389789756,80.22205481600972,Real Madrid,Left Wing
Jamal Musiala,0.7169428843715248,1.2851617004766167,4.69551565111909,8.241701467360427,0.21716190043352987,56.37000977138803,0.1957549443352288,15.039372167581774,27.684769505687935,3.088834850642357,24.109865130720628,26.841638568191385,1.0,1.3,86.26102941176471,52.411764705882355,87.60714285714285,97.03571428571428,73.7,84.33333333333333,78.67300380228137,67.69852941176471,88.63953488372093,89.7906976744186,90.32270916334662,69.81274900398407,Bayern Munich,Left Wing,88.61832321875289,76.49714285714285,61.37858455882352,82.21115543222993,78.32707925515908,Bayern Munich,Left Wing
Daniel Olmo Carvajal,0.8135396567922819,1.65580595942806,2.924112357105747,5.530046318271699,0.15363889088495825,71.22772385772998,0.1306274367860226,14.574827121212945,26.907357525779627,3.686802178165147,21.62814736527889,23.848739736568724,1.0,1.3,89.53676470588235,63.69485294117648,71.10714285714286,92.32142857142856,56.46666666666667,96.43333333333334,60.22813688212928,65.51470588235294,87.87209302325581,95.16279069767441,85.58964143426294,59.55776892430279,Barcelona,Center Attacking Midfield,59.29795660381729,75.76839285714284,87.20576225490194,82.92021688380675,77.88768021652645,Barcelona,Center Attacking Midfield
Bruno Miguel Borges Fernandes,0.3545244977165987,2.1615661341316637,7.724458212171582,4.369196948453973,0.15265532340095325,72.18419248674864,0.14149238736282393,23.319984465691096,28.072103936386245,2.4511688535479137,22.959984194879354,32.73555432302354,1.0,1.3,68.79044117647058,76.43382352941177,97.82142857142857,86.42857142857143,56.1,97.16666666666667,62.48669201520912,90.99264705882352,89.40697674418604,76.74418604651163,87.56175298804781,85.19521912350598,Manchester United,Center Attacking Midfield,57.2019459950894,81.69562499999999,91.42853553921567,73.2894982246701,77.32439221267626,Manchester United,Center Attacking Midfield
Lamine Yamal Nasraoui Ebana,-0.09751320198402759,2.067,3.458,8.307,0.13092857142857145,68.92042857142857,0.08375714285714286,12.500428571428573,26.0,3.6399999999999997,28.646428571428576,26.503285714285717,1.0,1.3,19.290441176470587,75.70588235294117,74.64285714285714,97.42857142857142,46.56666666666667,95.7,36.136882129277566,54.23161764705882,85.37790697674419,94.01162790697674,96.2390438247012,68.23505976095618,Barcelona,Right Wing,93.15710356249421,75.20857142857142,67.10980698529411,66.32160807146052,76.05011944106548,Barcelona,Right Wing
Cody Mathès Gakpo,1.5353921872497993,0.996593023389931,2.821,4.98750399689604,0.12839325178195704,65.29028027707939,0.12982869267948305,11.602738883441326,25.776725544809636,1.737842485604319,15.00245234497905,28.48012380433476,1.0,1.3,96.45220588235294,42.584558823529406,68.35714285714286,89.96428571428571,44.733333333333334,94.23333333333333,58.72243346007604,48.772058823529406,83.65116279069767,54.872093023255815,59.55776892430279,74.9402390438247,Liverpool,Left Wing,79.03240873714444,69.37857142857142,65.56060661764705,85.70348398009394,75.88991685164248,Liverpool,Left Wing
Jonas Hofmann,-1.3455051905236346,6.5665,3.4457296095948746,4.470893727149243,0.23510297903203284,54.24155887306494,0.2191045996088635,14.54802053167154,30.441176470588236,2.502941176470588,27.699596279691004,22.595484527317332,1.0,1.15,0.7279411764705882,97.54411764705881,74.25,87.21428571428571,77.0,83.23333333333333,83.19011406844106,64.78676470588235,94.77906976744187,78.27906976744185,94.66135458167331,53.6414342629482,Bayer Leverkusen,Right Attacking Midfield,58.79082200268693,72.47919642857143,76.44303063725489,87.66554531983894,75.39355817138068,Bayer Leverkusen,Right Attacking Midfield
Jude Bellingham,0.7449820815120969,1.6040054508370556,3.646576670878764,3.8467601747036038,0.1355783883581613,60.8570265263696,0.12146916798865155,23.09276004820969,33.14058259240017,3.9165973104285516,25.009884104842495,28.316271085180443,1.0,1.3,86.98897058823529,61.875,77.78571428571428,80.53571428571429,48.76666666666667,89.10000000000001,54.58174904942966,90.26470588235294,97.0813953488372,96.31395348837209,91.50597609561753,74.15139442231076,Real Madrid,Center Attacking Midfield,61.675854952283885,68.10473214285715,85.5855,79.80820838458956,75.09935113768192,Real Madrid,Center Attacking Midfield
Ousmane Dembélé,-0.01387946198965393,1.2066308143223101,3.7965308861543074,8.63443677375037,0.20575450599637246,62.564419666013656,0.15422931608792087,15.121790143300899,30.543417351831028,1.3348039268591414,19.412567338112087,27.05695033134509,1.0,1.3,30.9375,50.59191176470588,79.74999999999999,97.82142857142857,72.60000000000001,92.03333333333335,67.38022813688214,68.42647058823529,95.93023255813952,38.372093023255815,79.67330677290836,70.20717131474105,Paris Saint-Germain,Right Wing,88.46487306587602,76.08857142857143,66.36922794117648,67.43322299261911,75.08334483302383,Paris Saint-Germain,Right Wing
