team,assigned_archetype,archetype_name,distance_to_center
Union Berlin,1,Balanced Mainstream,30.00014635327989
Eintracht Frankfurt,0,Proactive Organizers,9.209946885939956
FC Heidenheim,1,Balanced Mainstream,25.20295960076341
Clermont Foot,1,Balanced Mainstream,14.905949810185925
AS Monaco,1,Balanced Mainstream,13.831341202808249
Lens,1,Balanced Mainstream,18.84608926888031
Bochum,1,Balanced Mainstream,35.13490733701638
OGC Nice,0,Proactive Organizers,10.781813932743756
Bayern Munich,2,Elite Attackers,7.523073797433612
VfB Stuttgart,1,Balanced Mainstream,9.734744590264786
Rennes,1,Balanced Mainstream,12.144588845409187
Auxerre,0,Proactive Organizers,19.291200439443276
Hoffenheim,1,Balanced Mainstream,14.817110675979029
Troyes,1,Balanced Mainstream,14.919779733976231
Stade de Reims,2,Elite Attackers,40.910483483165116
RB Leipzig,1,Balanced Mainstream,21.840589959586755
FC Köln,1,Balanced Mainstream,38.092945055449064
Bayer Leverkusen,2,Elite Attackers,12.635089548928661
Marseille,2,Elite Attackers,14.80716274918565
Freiburg,1,Balanced Mainstream,16.840522109267432
FSV Mainz 05,1,Balanced Mainstream,27.07352917393727
AC Ajaccio,1,Balanced Mainstream,17.37978448402192
Lille,0,Proactive Organizers,3.7196547186961886
Augsburg,1,Balanced Mainstream,26.132961523856725
Nantes,1,Balanced Mainstream,12.703315712974474
Stade Brestois,1,Balanced Mainstream,13.4303763590056
Paris Saint-Germain,2,Elite Attackers,5.80154777847803
Borussia Dortmund,1,Balanced Mainstream,27.705548237740484
Wolfsburg,1,Balanced Mainstream,25.625149336539106
Montpellier,1,Balanced Mainstream,41.40308162338598
Lorient,0,Proactive Organizers,9.653585268830414
Lyon,0,Proactive Organizers,17.272992889266984
Darmstadt 98,1,Balanced Mainstream,32.19906555743134
Strasbourg,1,Balanced Mainstream,18.28686240906867
Toulouse,0,Proactive Organizers,13.584154545552018
Borussia Mönchengladbach,1,Balanced Mainstream,17.395765783634726
Werder Bremen,1,Balanced Mainstream,8.992182689996183
Angers,2,Elite Attackers,29.433290748985637
