team,possession_dominance,territorial_control,possession_efficiency,progression_intensity,progression_method,buildup_complexity,offensive_threat,tempo,press_intensity,defensive_line_height,press_effectiveness,counter_speed
Stade de Reims,41.1,29.5,0.04640371229698376,156.0,0.375,0.094,1.90744274482131,5.66,0.06906077348066299,1.468,0.5343971631205674,2.73
Eintracht Frankfurt,47.510000000000005,19.1,0.008036324185317635,80.5,0.44,0.0775,0.8132235840894282,5.865,0.10411244143675169,1.539,0.4752457551385165,3.16
FC Heidenheim,34.18,21.525,0.011415525114155252,47.5,0.3895,0.108,0.39202528540045023,3.8200000000000003,0.06060606060606061,1.306,0.2732323232323232,3.0300000000000002
Lille,50.86,23.63,0.04106776180698152,86.0,0.3915,0.15000000000000002,2.088993249461055,6.470000000000001,0.1010611419909045,1.566,0.3964212678936605,3.6100000000000003
Angers,33.79,26.009999999999998,0.016474464579901156,123.5,0.46699999999999997,0.08499999999999999,0.7998526110313833,5.625,0.02184598580010923,1.4085,0.3286770140428677,3.355
Toulouse,39.055,22.21,0.019146084625694042,83.5,0.439,0.059,0.7520412071608007,4.9350000000000005,0.05678591709256105,1.4895,0.23333333333333334,3.4349999999999996
Borussia Dortmund,39.885,16.06,0.015894460780418028,43.5,0.5405,0.1305,0.6812828022520989,5.075,0.040992006558721046,1.2970000000000002,0.36265822784810126,3.3049999999999997
Wolfsburg,33.08,19.21,0.01411631846414455,48.0,0.375,0.08299999999999999,0.7125683161430061,4.575,0.02997152704930316,1.3159999999999998,0.22097791798107255,3.375
Werder Bremen,42.735,16.225,0.007002555932915514,72.0,0.44799999999999995,0.153,0.43483955785632133,6.05,0.05396654074473826,1.327,0.3412322274881517,3.24
Augsburg,29.915,18.08,0.016224547740731725,50.0,0.524,0.088,0.5480979327112436,4.79,0.044169611307420496,1.274,0.4195804195804196,3.67
Lens,38.33,27.32,0.04474272930648769,53.0,0.486,0.079,1.7146206106990576,6.08,0.03142677561282212,1.194,0.46862745098039216,2.71
Strasbourg,34.27,19.71,0.040866366979975484,82.0,0.536,0.09,1.4004451595246792,5.94,0.04723665564478034,1.607,0.20142671854734112,3.18
Lorient,46.91,18.24,0.06844626967830253,86.0,0.542,0.188,3.211628455668688,6.07,0.055928411633109625,1.364,0.4027027027027027,3.71
Union Berlin,33.21,18.345,0.0022591977588758234,43.0,0.309,0.04,0.2919918242841959,4.515000000000001,0.04116920543433512,1.2925,0.27435577722360766,2.875
Clermont Foot,42.17,21.075,0.01254390366281987,55.5,0.432,0.1785,1.8179277889430523,6.29,0.06648936170212766,1.5074999999999998,0.39175199089874857,3.65
Montpellier,37.75,13.965,0.01342642320085929,30.0,0.5035000000000001,0.244,0.5784015633398667,4.505,0.03455425017277125,1.1275,0.29166666666666663,3.29
Rennes,37.230000000000004,20.240000000000002,0.021777003484320556,62.5,0.527,0.087,0.9566668774932623,5.1850000000000005,0.06291286568103177,1.3399999999999999,0.26818950930626057,3.265
AC Ajaccio,31.270000000000003,21.625,0.008433125316242199,61.5,0.49,0.0355,0.27157997246831656,4.115,0.04250797024442083,1.317,0.3553864168618267,3.325
Bayern Munich,56.26,23.695,0.01636929120969062,124.5,0.403,0.10650000000000001,1.4138209139928222,6.635,0.11185682326621925,1.6595,0.4735159817351598,3.495
Bayer Leverkusen,61.6985294117647,28.301176470588235,0.030329791884104514,133.85294117647058,0.44232352941176467,0.12970588235294117,2.1380968260688378,7.727941176470588,0.09910225020403406,1.5823823529411765,0.5472554755291168,3.1908823529411765
FC Köln,29.36,11.615,0.031575623618566466,37.5,0.393,0.0875,0.9384387922473252,4.0649999999999995,0.027936862690319877,1.1705,0.18168316831683168,3.7600000000000002
Hoffenheim,39.925,20.46,0.024530847540782535,56.5,0.5365,0.1805,1.0663641882129014,5.01,0.039643211100099114,1.3675000000000002,0.3176029962546817,4.140000000000001
Troyes,33.24,17.19,0.05175983436853002,68.0,0.522,0.091,1.720846931450069,4.34,0.02345215759849906,1.17,0.3649325626204239,3.34
Bochum,31.700000000000003,17.925,0.009484066767830045,38.0,0.417,0.09,0.30088625382632017,3.71,0.07892659826361483,1.5354999999999999,0.2898023360287511,3.305
Paris Saint-Germain,60.4815625,26.124375,0.027977163640178705,117.03125,0.4488125,0.14246875,2.050822618068196,7.73625,0.0822643255610684,1.553625,0.4830741822880506,3.0646875000000002
Lyon,36.260000000000005,21.74,0.033405712376816436,90.0,0.489,0.169,1.5398454181849957,5.13,0.056818181818181816,1.3159999999999998,0.3372759856630825,3.66
Stade Brestois,39.03,21.235,0.02026137169486374,58.5,0.395,0.074,0.8517988324165344,4.4350000000000005,0.046707146193367584,1.2715,0.2238765928906774,3.0999999999999996
VfB Stuttgart,51.31,19.41,0.040176777822418644,76.5,0.5385,0.158,2.101490955799818,5.685,0.08357709987463435,1.4580000000000002,0.34115281501340483,3.115
AS Monaco,33.39,19.72,0.013561160835367509,69.0,0.467,0.2,0.45281679555773735,3.85,0.09407337723424271,1.378,0.14753086419753086,3.88
